t phi
0.000000000000000000e+00 5.404755155165869862e-180
0.000000000000000000e+00 5.404755155165869862e-180
0.000000000000000000e+00 5.404755155165869862e-180
0.000000000000000000e+00 5.404755155165869862e-180
8.000000000000000167e-02 -1.718326479918389909e-07
8.000000000000000167e-02 -1.718326479918389909e-07
8.000000000000000167e-02 -1.718326479918389909e-07
1.600000000000000033e-01 -6.873159654662850371e-07
1.600000000000000033e-01 -6.873159654662850371e-07
1.600000000000000033e-01 -6.873159654662850371e-07
1.600000000000000033e-01 -6.873159654662850371e-07
2.399999999999999911e-01 -1.546407087710569914e-06
2.399999999999999911e-01 -1.546407087710569914e-06
2.399999999999999911e-01 -1.546407087710569914e-06
3.200000000000000067e-01 -2.749035423145019794e-06
3.200000000000000067e-01 -2.749035423145019794e-06
3.200000000000000067e-01 -2.749035423145019794e-06
3.200000000000000067e-01 -2.749035423145019794e-06
4.000000000000000222e-01 -4.295096285665499960e-06
4.000000000000000222e-01 -4.295096285665499960e-06
4.000000000000000222e-01 -4.295096285665499960e-06
4.799999999999999822e-01 -6.184458852044620064e-06
4.799999999999999822e-01 -6.184458852044620064e-06
4.799999999999999822e-01 -6.184458852044620064e-06
4.799999999999999822e-01 -6.184458852044620064e-06
5.600000000000000533e-01 -8.416957434010610372e-06
5.600000000000000533e-01 -8.416957434010610372e-06
5.600000000000000533e-01 -8.416957434010610372e-06
6.400000000000000133e-01 -1.099240106389310067e-05
6.400000000000000133e-01 -1.099240106389310067e-05
6.400000000000000133e-01 -1.099240106389310067e-05
6.400000000000000133e-01 -1.099240106389310067e-05
7.199999999999999734e-01 -1.391057153133989952e-05
7.199999999999999734e-01 -1.391057153133989952e-05
7.199999999999999734e-01 -1.391057153133989952e-05
8.000000000000000444e-01 -1.717120760907159884e-05
8.000000000000000444e-01 -1.717120760907159884e-05
8.000000000000000444e-01 -1.717120760907159884e-05
8.000000000000000444e-01 -1.717120760907159884e-05
8.800000000000000044e-01 -2.077402118492699989e-05
8.800000000000000044e-01 -2.077402118492699989e-05
8.800000000000000044e-01 -2.077402118492699989e-05
9.599999999999999645e-01 -2.471870069210660052e-05
9.599999999999999645e-01 -2.471870069210660052e-05
9.599999999999999645e-01 -2.471870069210660052e-05
9.599999999999999645e-01 -2.471870069210660052e-05
1.040000000000000036e+00 -2.900489996176150133e-05
1.040000000000000036e+00 -2.900489996176150133e-05
1.040000000000000036e+00 -2.900489996176150133e-05
1.120000000000000107e+00 -3.363223437253400029e-05
1.120000000000000107e+00 -3.363223437253400029e-05
1.120000000000000107e+00 -3.363223437253400029e-05
1.120000000000000107e+00 -3.363223437253400029e-05
1.199999999999999956e+00 -3.860028221983239998e-05
1.199999999999999956e+00 -3.860028221983239998e-05
1.199999999999999956e+00 -3.860028221983239998e-05
