t phi
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
8.000000000000000167e-02 -2.628503215638970138e-03
8.000000000000000167e-02 -2.628503215638970138e-03
8.000000000000000167e-02 -2.628503215638970138e-03
1.600000000000000033e-01 -2.628503908628699974e-03
1.600000000000000033e-01 -2.628503908628699974e-03
1.600000000000000033e-01 -2.628503908628699974e-03
1.600000000000000033e-01 -2.628503908628699974e-03
2.399999999999999911e-01 -2.628502577841080115e-03
2.399999999999999911e-01 -2.628502577841080115e-03
2.399999999999999911e-01 -2.628502577841080115e-03
3.200000000000000067e-01 -2.628505277127630036e-03
3.200000000000000067e-01 -2.628505277127630036e-03
3.200000000000000067e-01 -2.628505277127630036e-03
3.200000000000000067e-01 -2.628505277127630036e-03
4.000000000000000222e-01 -2.628501594345569823e-03
4.000000000000000222e-01 -2.628501594345569823e-03
4.000000000000000222e-01 -2.628501594345569823e-03
4.799999999999999822e-01 -2.628500824431499825e-03
4.799999999999999822e-01 -2.628500824431499825e-03
4.799999999999999822e-01 -2.628500824431499825e-03
4.799999999999999822e-01 -2.628500824431499825e-03
5.600000000000000533e-01 -2.628505071924240166e-03
5.600000000000000533e-01 -2.628505071924240166e-03
5.600000000000000533e-01 -2.628505071924240166e-03
6.400000000000000133e-01 -2.628506845187849900e-03
6.400000000000000133e-01 -2.628506845187849900e-03
6.400000000000000133e-01 -2.628506845187849900e-03
6.400000000000000133e-01 -2.628506845187849900e-03
7.199999999999999734e-01 -2.628503880541740133e-03
7.199999999999999734e-01 -2.628503880541740133e-03
7.199999999999999734e-01 -2.628503880541740133e-03
8.000000000000000444e-01 -2.628502212545960007e-03
8.000000000000000444e-01 -2.628502212545960007e-03
8.000000000000000444e-01 -2.628502212545960007e-03
8.000000000000000444e-01 -2.628502212545960007e-03
8.800000000000000044e-01 -2.628505712648489864e-03
8.800000000000000044e-01 -2.628505712648489864e-03
8.800000000000000044e-01 -2.628505712648489864e-03
9.599999999999999645e-01 -2.628509657604799835e-03
9.599999999999999645e-01 -2.628509657604799835e-03
9.599999999999999645e-01 -2.628509657604799835e-03
9.599999999999999645e-01 -2.628509657604799835e-03
1.040000000000000036e+00 -2.628508643676849988e-03
1.040000000000000036e+00 -2.628508643676849988e-03
1.040000000000000036e+00 -2.628508643676849988e-03
1.120000000000000107e+00 -2.628504424065100133e-03
1.120000000000000107e+00 -2.628504424065100133e-03
1.120000000000000107e+00 -2.628504424065100133e-03
1.120000000000000107e+00 -2.628504424065100133e-03
1.199999999999999956e+00 -2.628502628877509972e-03
1.199999999999999956e+00 -2.628502628877509972e-03
1.199999999999999956e+00 -2.628502628877509972e-03
1.280000000000000027e+00 -2.628505571730290011e-03
1.280000000000000027e+00 -2.628505571730290011e-03
1.280000000000000027e+00 -2.628505571730290011e-03
1.280000000000000027e+00 -2.628505571730290011e-03
1.360000000000000098e+00 -2.628510731398569882e-03
1.360000000000000098e+00 -2.628510731398569882e-03
1.360000000000000098e+00 -2.628510731398569882e-03
1.439999999999999947e+00 -2.628514540574349804e-03
1.439999999999999947e+00 -2.628514540574349804e-03
1.439999999999999947e+00 -2.628514540574349804e-03
1.439999999999999947e+00 -2.628514540574349804e-03
1.520000000000000018e+00 -2.628515645630710024e-03
1.520000000000000018e+00 -2.628515645630710024e-03
1.520000000000000018e+00 -2.628515645630710024e-03
1.600000000000000089e+00 -2.628514731435330036e-03
1.600000000000000089e+00 -2.628514731435330036e-03
