t phi
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
8.000000000000000167e-02 -2.628501115605779825e-03
8.000000000000000167e-02 -2.628501115605779825e-03
1.600000000000000033e-01 -2.628503264179469882e-03
1.600000000000000033e-01 -2.628503264179469882e-03
1.600000000000000033e-01 -2.628503264179469882e-03
2.399999999999999911e-01 -2.628501562986539867e-03
2.399999999999999911e-01 -2.628501562986539867e-03
3.200000000000000067e-01 -2.628498701962510200e-03
3.200000000000000067e-01 -2.628498701962510200e-03
3.200000000000000067e-01 -2.628498701962510200e-03
4.000000000000000222e-01 -2.628498631706980074e-03
4.000000000000000222e-01 -2.628498631706980074e-03
4.799999999999999822e-01 -2.628501965149810000e-03
4.799999999999999822e-01 -2.628501965149810000e-03
4.799999999999999822e-01 -2.628501965149810000e-03
5.600000000000000533e-01 -2.628505938757940037e-03
5.600000000000000533e-01 -2.628505938757940037e-03
6.400000000000000133e-01 -2.628507624025249855e-03
6.400000000000000133e-01 -2.628507624025249855e-03
6.400000000000000133e-01 -2.628507624025249855e-03
7.199999999999999734e-01 -2.628506464459379882e-03
7.199999999999999734e-01 -2.628506464459379882e-03
8.000000000000000444e-01 -2.628504036132610182e-03
8.000000000000000444e-01 -2.628504036132610182e-03
8.000000000000000444e-01 -2.628504036132610182e-03
8.800000000000000044e-01 -2.628502073071700175e-03
8.800000000000000044e-01 -2.628502073071700175e-03
9.599999999999999645e-01 -2.628501024919939911e-03
9.599999999999999645e-01 -2.628501024919939911e-03
9.599999999999999645e-01 -2.628501024919939911e-03
1.040000000000000036e+00 -2.628500263840059803e-03
1.040000000000000036e+00 -2.628500263840059803e-03
1.120000000000000107e+00 -2.628499296817170088e-03
1.120000000000000107e+00 -2.628499296817170088e-03
1.120000000000000107e+00 -2.628499296817170088e-03
1.199999999999999956e+00 -2.628498617359360193e-03
1.199999999999999956e+00 -2.628498617359360193e-03
1.280000000000000027e+00 -2.628499402385050046e-03
1.280000000000000027e+00 -2.628499402385050046e-03
1.280000000000000027e+00 -2.628499402385050046e-03
1.360000000000000098e+00 -2.628502371542390179e-03
1.360000000000000098e+00 -2.628502371542390179e-03
1.439999999999999947e+00 -2.628506858474129963e-03
1.439999999999999947e+00 -2.628506858474129963e-03
1.439999999999999947e+00 -2.628506858474129963e-03
1.520000000000000018e+00 -2.628510969518740165e-03
1.520000000000000018e+00 -2.628510969518740165e-03
1.600000000000000089e+00 -2.628512780938589786e-03
1.600000000000000089e+00 -2.628512780938589786e-03
1.600000000000000089e+00 -2.628512780938589786e-03
1.679999999999999938e+00 -2.628511625082810207e-03
1.679999999999999938e+00 -2.628511625082810207e-03
1.760000000000000009e+00 -2.628508437363580134e-03
1.760000000000000009e+00 -2.628508437363580134e-03
1.760000000000000009e+00 -2.628508437363580134e-03
1.840000000000000080e+00 -2.628504958375910139e-03
1.840000000000000080e+00 -2.628504958375910139e-03
1.919999999999999929e+00 -2.628502545571060126e-03
1.919999999999999929e+00 -2.628502545571060126e-03
1.919999999999999929e+00 -2.628502545571060126e-03
2.000000000000000000e+00 -2.628501567845309937e-03
2.000000000000000000e+00 -2.628501567845309937e-03
2.080000000000000071e+00 -2.628501699837739944e-03
2.080000000000000071e+00 -2.628501699837739944e-03
2.080000000000000071e+00 -2.628501699837739944e-03
2.160000000000000142e+00 -2.628502600594260098e-03
2.160000000000000142e+00 -2.628502600594260098e-03
2.240000000000000213e+00 -2.628504240786470013e-03
2.240000000000000213e+00 -2.628504240786470013e-03
