t phi
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
0.000000000000000000e+00 -2.628498205900000120e-03
8.000000000000000167e-02 -2.628503197247970043e-03
8.000000000000000167e-02 -2.628503197247970043e-03
8.000000000000000167e-02 -2.628503197247970043e-03
1.600000000000000033e-01 -2.628503834676650195e-03
1.600000000000000033e-01 -2.628503834676650195e-03
1.600000000000000033e-01 -2.628503834676650195e-03
1.600000000000000033e-01 -2.628503834676650195e-03
2.399999999999999911e-01 -2.628502412410250056e-03
2.399999999999999911e-01 -2.628502412410250056e-03
2.399999999999999911e-01 -2.628502412410250056e-03
3.200000000000000067e-01 -2.628504986444010066e-03
3.200000000000000067e-01 -2.628504986444010066e-03
3.200000000000000067e-01 -2.628504986444010066e-03
3.200000000000000067e-01 -2.628504986444010066e-03
4.000000000000000222e-01 -2.628501145718380172e-03
4.000000000000000222e-01 -2.628501145718380172e-03
4.000000000000000222e-01 -2.628501145718380172e-03
4.799999999999999822e-01 -2.628500185078990088e-03
4.799999999999999822e-01 -2.628500185078990088e-03
4.799999999999999822e-01 -2.628500185078990088e-03
4.799999999999999822e-01 -2.628500185078990088e-03
5.600000000000000533e-01 -2.628504209151119857e-03
5.600000000000000533e-01 -2.628504209151119857e-03
5.600000000000000533e-01 -2.628504209151119857e-03
6.400000000000000133e-01 -2.628505727113249982e-03
6.400000000000000133e-01 -2.628505727113249982e-03
6.400000000000000133e-01 -2.628505727113249982e-03
6.400000000000000133e-01 -2.628505727113249982e-03
7.199999999999999734e-01 -2.628502476098079806e-03
7.199999999999999734e-01 -2.628502476098079806e-03
7.199999999999999734e-01 -2.628502476098079806e-03
8.000000000000000444e-01 -2.628500491285529813e-03
8.000000000000000444e-01 -2.628500491285529813e-03
8.000000000000000444e-01 -2.628500491285529813e-03
8.000000000000000444e-01 -2.628500491285529813e-03
8.800000000000000044e-01 -2.628503644633830173e-03
8.800000000000000044e-01 -2.628503644633830173e-03
8.800000000000000044e-01 -2.628503644633830173e-03
9.599999999999999645e-01 -2.628507213285570174e-03
9.599999999999999645e-01 -2.628507213285570174e-03
9.599999999999999645e-01 -2.628507213285570174e-03
9.599999999999999645e-01 -2.628507213285570174e-03
1.040000000000000036e+00 -2.628505793841749878e-03
1.040000000000000036e+00 -2.628505793841749878e-03
1.040000000000000036e+00 -2.628505793841749878e-03
1.120000000000000107e+00 -2.628501139755060056e-03
1.120000000000000107e+00 -2.628501139755060056e-03
1.120000000000000107e+00 -2.628501139755060056e-03
1.120000000000000107e+00 -2.628501139755060056e-03
1.199999999999999956e+00 -2.628498881295599811e-03
1.199999999999999956e+00 -2.628498881295599811e-03
1.199999999999999956e+00 -2.628498881295599811e-03
1.280000000000000027e+00 -2.628501332189820024e-03
1.280000000000000027e+00 -2.628501332189820024e-03
1.280000000000000027e+00 -2.628501332189820024e-03
1.280000000000000027e+00 -2.628501332189820024e-03
1.360000000000000098e+00 -2.628505971426140213e-03
1.360000000000000098e+00 -2.628505971426140213e-03
1.360000000000000098e+00 -2.628505971426140213e-03
1.439999999999999947e+00 -2.628509232173269986e-03
1.439999999999999947e+00 -2.628509232173269986e-03
1.439999999999999947e+00 -2.628509232173269986e-03
1.439999999999999947e+00 -2.628509232173269986e-03
1.520000000000000018e+00 -2.628509761269750156e-03
1.520000000000000018e+00 -2.628509761269750156e-03
1.520000000000000018e+00 -2.628509761269750156e-03
1.600000000000000089e+00 -2.628508243958359910e-03
1.600000000000000089e+00 -2.628508243958359910e-03
