t phi
0.000000000000000000e+00 5.231108723999999648e-03
0.000000000000000000e+00 5.231108723999999648e-03
0.000000000000000000e+00 5.231108723999999648e-03
1.600000000000000033e-01 5.231128754250309598e-03
1.600000000000000033e-01 5.231128754250309598e-03
1.600000000000000033e-01 5.231128754250309598e-03
3.200000000000000067e-01 5.231135237576219586e-03
3.200000000000000067e-01 5.231135237576219586e-03
3.200000000000000067e-01 5.231135237576219586e-03
4.799999999999999822e-01 5.231178982976149652e-03
4.799999999999999822e-01 5.231178982976149652e-03
4.799999999999999822e-01 5.231178982976149652e-03
6.400000000000000133e-01 5.231248936535330164e-03
6.400000000000000133e-01 5.231248936535330164e-03
6.400000000000000133e-01 5.231248936535330164e-03
8.000000000000000444e-01 5.231288980170069845e-03
8.000000000000000444e-01 5.231288980170069845e-03
8.000000000000000444e-01 5.231288980170069845e-03
9.599999999999999645e-01 5.231373834122370232e-03
9.599999999999999645e-01 5.231373834122370232e-03
9.599999999999999645e-01 5.231373834122370232e-03
1.120000000000000107e+00 5.231466294292879717e-03
1.120000000000000107e+00 5.231466294292879717e-03
1.120000000000000107e+00 5.231466294292879717e-03
1.280000000000000027e+00 5.231554548458979860e-03
1.280000000000000027e+00 5.231554548458979860e-03
1.280000000000000027e+00 5.231554548458979860e-03
1.439999999999999947e+00 5.231700608839549675e-03
1.439999999999999947e+00 5.231700608839549675e-03
1.439999999999999947e+00 5.231700608839549675e-03
1.600000000000000089e+00 5.231845738692489714e-03
1.600000000000000089e+00 5.231845738692489714e-03
1.600000000000000089e+00 5.231845738692489714e-03
1.760000000000000009e+00 5.231982383441540277e-03
1.760000000000000009e+00 5.231982383441540277e-03
1.760000000000000009e+00 5.231982383441540277e-03
1.919999999999999929e+00 5.232112958291539571e-03
1.919999999999999929e+00 5.232112958291539571e-03
1.919999999999999929e+00 5.232112958291539571e-03
2.080000000000000071e+00 5.232304135743689848e-03
2.080000000000000071e+00 5.232304135743689848e-03
2.080000000000000071e+00 5.232304135743689848e-03
2.240000000000000213e+00 5.232494520641019740e-03
2.240000000000000213e+00 5.232494520641019740e-03
2.240000000000000213e+00 5.232494520641019740e-03
2.399999999999999911e+00 5.232660317074099704e-03
2.399999999999999911e+00 5.232660317074099704e-03
2.399999999999999911e+00 5.232660317074099704e-03
2.560000000000000053e+00 5.232933537026849581e-03
2.560000000000000053e+00 5.232933537026849581e-03
2.560000000000000053e+00 5.232933537026849581e-03
2.720000000000000195e+00 5.233117765630139820e-03
2.720000000000000195e+00 5.233117765630139820e-03
2.720000000000000195e+00 5.233117765630139820e-03
2.879999999999999893e+00 5.233295519976599759e-03
2.879999999999999893e+00 5.233295519976599759e-03
2.879999999999999893e+00 5.233295519976599759e-03
3.040000000000000036e+00 5.233604886878790233e-03
3.040000000000000036e+00 5.233604886878790233e-03
3.040000000000000036e+00 5.233604886878790233e-03
3.200000000000000178e+00 5.233810887506800021e-03
3.200000000000000178e+00 5.233810887506800021e-03
3.200000000000000178e+00 5.233810887506800021e-03
3.359999999999999876e+00 5.234097026991580033e-03
3.359999999999999876e+00 5.234097026991580033e-03
3.359999999999999876e+00 5.234097026991580033e-03
3.520000000000000018e+00 5.234379840686090128e-03
3.520000000000000018e+00 5.234379840686090128e-03
3.520000000000000018e+00 5.234379840686090128e-03
3.680000000000000160e+00 5.234578464578530307e-03
3.680000000000000160e+00 5.234578464578530307e-03
3.680000000000000160e+00 5.234578464578530307e-03
3.839999999999999858e+00 5.234945642355839923e-03
3.839999999999999858e+00 5.234945642355839923e-03
3.839999999999999858e+00 5.234945642355839923e-03
4.000000000000000000e+00 5.235223298590990261e-03
4.000000000000000000e+00 5.235223298590990261e-03
4.000000000000000000e+00 5.235223298590990261e-03
4.160000000000000142e+00 5.235451438745719784e-03
4.160000000000000142e+00 5.235451438745719784e-03
4.160000000000000142e+00 5.235451438745719784e-03
4.320000000000000284e+00 5.235775286652469794e-03
4.320000000000000284e+00 5.235775286652469794e-03
4.320000000000000284e+00 5.235775286652469794e-03
4.480000000000000426e+00 5.236102957014879961e-03
4.480000000000000426e+00 5.236102957014879961e-03
4.480000000000000426e+00 5.236102957014879961e-03
4.639999999999999680e+00 5.236399564288479747e-03
4.639999999999999680e+00 5.236399564288479747e-03
4.639999999999999680e+00 5.236399564288479747e-03
4.799999999999999822e+00 5.236722874660200248e-03
4.799999999999999822e+00 5.236722874660200248e-03
4.799999999999999822e+00 5.236722874660200248e-03
4.959999999999999964e+00 5.237060053255309863e-03
4.959999999999999964e+00 5.237060053255309863e-03
4.959999999999999964e+00 5.237060053255309863e-03
5.120000000000000107e+00 5.237381986811159851e-03
5.120000000000000107e+00 5.237381986811159851e-03
5.120000000000000107e+00 5.237381986811159851e-03
5.280000000000000249e+00 5.237671177990710011e-03
5.280000000000000249e+00 5.237671177990710011e-03
5.280000000000000249e+00 5.237671177990710011e-03
5.440000000000000391e+00 5.238003050241490412e-03
5.440000000000000391e+00 5.238003050241490412e-03
5.440000000000000391e+00 5.238003050241490412e-03
5.599999999999999645e+00 5.238357239952680031e-03
5.599999999999999645e+00 5.238357239952680031e-03
5.599999999999999645e+00 5.238357239952680031e-03
5.759999999999999787e+00 5.238630841465460007e-03
5.759999999999999787e+00 5.238630841465460007e-03
5.759999999999999787e+00 5.238630841465460007e-03
5.919999999999999929e+00 5.238976867757620323e-03
5.919999999999999929e+00 5.238976867757620323e-03
5.919999999999999929e+00 5.238976867757620323e-03
6.080000000000000071e+00 5.239313753519820108e-03
6.080000000000000071e+00 5.239313753519820108e-03
6.080000000000000071e+00 5.239313753519820108e-03
6.240000000000000213e+00 5.239566532202639786e-03
6.240000000000000213e+00 5.239566532202639786e-03
6.240000000000000213e+00 5.239566532202639786e-03
6.400000000000000355e+00 5.240027829458709582e-03
