t phi
4.000000000000000222e-01 2.236422703159230093e-06
4.000000000000000222e-01 2.236422703159230093e-06
4.000000000000000222e-01 2.236422703159230093e-06
4.000000000000000222e-01 2.236422703159230093e-06
8.000000000000000444e-01 2.233868899490429808e-06
8.000000000000000444e-01 2.233868899490429808e-06
8.000000000000000444e-01 2.233868899490429808e-06
8.000000000000000444e-01 2.233868899490429808e-06
1.199999999999999956e+00 2.229662809068099855e-06
1.199999999999999956e+00 2.229662809068099855e-06
1.199999999999999956e+00 2.229662809068099855e-06
1.199999999999999956e+00 2.229662809068099855e-06
1.600000000000000089e+00 2.223830921675029812e-06
1.600000000000000089e+00 2.223830921675029812e-06
1.600000000000000089e+00 2.223830921675029812e-06
1.600000000000000089e+00 2.223830921675029812e-06
2.000000000000000000e+00 2.216502708168420171e-06
2.000000000000000000e+00 2.216502708168420171e-06
2.000000000000000000e+00 2.216502708168420171e-06
2.000000000000000000e+00 2.216502708168420171e-06
2.399999999999999911e+00 2.207747370105429921e-06
2.399999999999999911e+00 2.207747370105429921e-06
2.399999999999999911e+00 2.207747370105429921e-06
2.399999999999999911e+00 2.207747370105429921e-06
2.799999999999999822e+00 2.197755761636110186e-06
2.799999999999999822e+00 2.197755761636110186e-06
2.799999999999999822e+00 2.197755761636110186e-06
2.799999999999999822e+00 2.197755761636110186e-06
3.200000000000000178e+00 2.186661080180039838e-06
3.200000000000000178e+00 2.186661080180039838e-06
3.200000000000000178e+00 2.186661080180039838e-06
3.200000000000000178e+00 2.186661080180039838e-06
3.600000000000000089e+00 2.174680798432559951e-06
3.600000000000000089e+00 2.174680798432559951e-06
3.600000000000000089e+00 2.174680798432559951e-06
3.600000000000000089e+00 2.174680798432559951e-06
4.000000000000000000e+00 2.162089438100469998e-06
4.000000000000000000e+00 2.162089438100469998e-06
4.000000000000000000e+00 2.162089438100469998e-06
4.000000000000000000e+00 2.162089438100469998e-06
4.400000000000000355e+00 2.149144245621920157e-06
4.400000000000000355e+00 2.149144245621920157e-06
4.400000000000000355e+00 2.149144245621920157e-06
4.400000000000000355e+00 2.149144245621920157e-06
4.799999999999999822e+00 2.136177168790949789e-06
4.799999999999999822e+00 2.136177168790949789e-06
4.799999999999999822e+00 2.136177168790949789e-06
4.799999999999999822e+00 2.136177168790949789e-06
5.200000000000000178e+00 2.123565023859899961e-06
5.200000000000000178e+00 2.123565023859899961e-06
5.200000000000000178e+00 2.123565023859899961e-06
5.200000000000000178e+00 2.123565023859899961e-06
5.599999999999999645e+00 2.111618870052520154e-06
5.599999999999999645e+00 2.111618870052520154e-06
5.599999999999999645e+00 2.111618870052520154e-06
5.599999999999999645e+00 2.111618870052520154e-06
6.000000000000000000e+00 2.100699509307000186e-06
6.000000000000000000e+00 2.100699509307000186e-06
6.000000000000000000e+00 2.100699509307000186e-06
6.000000000000000000e+00 2.100699509307000186e-06
6.400000000000000355e+00 2.091172934852230189e-06
6.400000000000000355e+00 2.091172934852230189e-06
6.400000000000000355e+00 2.091172934852230189e-06
6.400000000000000355e+00 2.091172934852230189e-06
6.799999999999999822e+00 2.083285347242979790e-06
6.799999999999999822e+00 2.083285347242979790e-06
6.799999999999999822e+00 2.083285347242979790e-06
6.799999999999999822e+00 2.083285347242979790e-06
7.200000000000000178e+00 2.077250569951689951e-06
7.200000000000000178e+00 2.077250569951689951e-06
7.200000000000000178e+00 2.077250569951689951e-06
7.200000000000000178e+00 2.077250569951689951e-06
7.599999999999999645e+00 2.073235032937509969e-06
7.599999999999999645e+00 2.073235032937509969e-06
7.599999999999999645e+00 2.073235032937509969e-06
7.599999999999999645e+00 2.073235032937509969e-06
8.000000000000000000e+00 2.071301959302890073e-06
8.000000000000000000e+00 2.071301959302890073e-06
8.000000000000000000e+00 2.071301959302890073e-06
8.000000000000000000e+00 2.071301959302890073e-06
8.400000000000000355e+00 2.071438120327579810e-06
8.400000000000000355e+00 2.071438120327579810e-06
8.400000000000000355e+00 2.071438120327579810e-06
8.400000000000000355e+00 2.071438120327579810e-06
8.800000000000000711e+00 2.073556733719690015e-06
8.800000000000000711e+00 2.073556733719690015e-06
8.800000000000000711e+00 2.073556733719690015e-06
8.800000000000000711e+00 2.073556733719690015e-06
9.199999999999999289e+00 2.077526171941570059e-06
9.199999999999999289e+00 2.077526171941570059e-06
9.199999999999999289e+00 2.077526171941570059e-06
9.199999999999999289e+00 2.077526171941570059e-06
9.599999999999999645e+00 2.083173469133279810e-06
9.599999999999999645e+00 2.083173469133279810e-06
9.599999999999999645e+00 2.083173469133279810e-06
9.599999999999999645e+00 2.083173469133279810e-06
1.000000000000000000e+01 2.090260379868169890e-06
1.000000000000000000e+01 2.090260379868169890e-06
1.000000000000000000e+01 2.090260379868169890e-06
1.000000000000000000e+01 2.090260379868169890e-06
1.040000000000000036e+01 2.098536577065079997e-06
1.040000000000000036e+01 2.098536577065079997e-06
1.040000000000000036e+01 2.098536577065079997e-06
1.040000000000000036e+01 2.098536577065079997e-06
1.080000000000000071e+01 2.107747162649830058e-06
1.080000000000000071e+01 2.107747162649830058e-06
1.080000000000000071e+01 2.107747162649830058e-06
1.080000000000000071e+01 2.107747162649830058e-06
1.119999999999999929e+01 2.117626121313879972e-06
1.119999999999999929e+01 2.117626121313879972e-06
1.119999999999999929e+01 2.117626121313879972e-06
1.119999999999999929e+01 2.117626121313879972e-06
1.159999999999999964e+01 2.127911800013339941e-06
1.159999999999999964e+01 2.127911800013339941e-06
1.159999999999999964e+01 2.127911800013339941e-06
1.159999999999999964e+01 2.127911800013339941e-06
1.200000000000000000e+01 2.138361778359300136e-06
1.200000000000000000e+01 2.138361778359300136e-06
1.200000000000000000e+01 2.138361778359300136e-06
1.200000000000000000e+01 2.138361778359300136e-06
1.240000000000000036e+01 2.148727987564510032e-06
1.240000000000000036e+01 2.148727987564510032e-06
1.240000000000000036e+01 2.148727987564510032e-06
1.240000000000000036e+01 2.148727987564510032e-06
1.280000000000000071e+01 2.158980567480960044e-06
1.280000000000000071e+01 2.158980567480960044e-06
1.280000000000000071e+01 2.158980567480960044e-06
1.280000000000000071e+01 2.158980567480960044e-06
1.319999999999999929e+01 2.168766585270140099e-06
1.319999999999999929e+01 2.168766585270140099e-06
1.319999999999999929e+01 2.168766585270140099e-06
1.319999999999999929e+01 2.168766585270140099e-06
1.359999999999999964e+01 2.174221803686509906e-06
1.359999999999999964e+01 2.174221803686509906e-06
1.359999999999999964e+01 2.174221803686509906e-06
1.359999999999999964e+01 2.174221803686509906e-06
1.400000000000000000e+01 2.171115841071269805e-06
1.400000000000000000e+01 2.171115841071269805e-06
1.400000000000000000e+01 2.171115841071269805e-06
1.400000000000000000e+01 2.171115841071269805e-06
1.440000000000000036e+01 2.163727265127959830e-06
1.440000000000000036e+01 2.163727265127959830e-06
