t phi
6.400000000000000133e-01 1.699616328103879955e-116
6.400000000000000133e-01 1.699616328103879955e-116
6.400000000000000133e-01 1.699616328103879955e-116
1.280000000000000027e+00 -1.180653204842109945e-103
1.280000000000000027e+00 -1.180653204842109945e-103
1.280000000000000027e+00 -1.180653204842109945e-103
1.919999999999999929e+00 -3.580302232415540216e-94
1.919999999999999929e+00 -3.580302232415540216e-94
1.919999999999999929e+00 -3.580302232415540216e-94
2.560000000000000053e+00 -2.798810955302489835e-87
2.560000000000000053e+00 -2.798810955302489835e-87
2.560000000000000053e+00 -2.798810955302489835e-87
3.200000000000000178e+00 -1.830564713454849926e-81
3.200000000000000178e+00 -1.830564713454849926e-81
3.200000000000000178e+00 -1.830564713454849926e-81
3.839999999999999858e+00 -5.506751133519890208e-76
3.839999999999999858e+00 -5.506751133519890208e-76
3.839999999999999858e+00 -5.506751133519890208e-76
4.480000000000000426e+00 -2.849712250488319805e-71
4.480000000000000426e+00 -2.849712250488319805e-71
4.480000000000000426e+00 -2.849712250488319805e-71
5.120000000000000107e+00 2.072645563899079874e-66
5.120000000000000107e+00 2.072645563899079874e-66
5.120000000000000107e+00 2.072645563899079874e-66
5.759999999999999787e+00 -1.584386090520850012e-62
5.759999999999999787e+00 -1.584386090520850012e-62
5.759999999999999787e+00 -1.584386090520850012e-62
6.400000000000000355e+00 1.752342506517259963e-59
6.400000000000000355e+00 1.752342506517259963e-59
6.400000000000000355e+00 1.752342506517259963e-59
7.040000000000000036e+00 5.493393167882270110e-56
7.040000000000000036e+00 5.493393167882270110e-56
7.040000000000000036e+00 5.493393167882270110e-56
7.679999999999999716e+00 -1.299151410446140001e-52
7.679999999999999716e+00 -1.299151410446140001e-52
7.679999999999999716e+00 -1.299151410446140001e-52
8.320000000000000284e+00 1.140448537310390051e-49
8.320000000000000284e+00 1.140448537310390051e-49
8.320000000000000284e+00 1.140448537310390051e-49
8.960000000000000853e+00 -5.601713130740839812e-47
8.960000000000000853e+00 -5.601713130740839812e-47
8.960000000000000853e+00 -5.601713130740839812e-47
9.599999999999999645e+00 1.783888122312360117e-44
9.599999999999999645e+00 1.783888122312360117e-44
9.599999999999999645e+00 1.783888122312360117e-44
1.024000000000000021e+01 -3.963654887762940312e-42
1.024000000000000021e+01 -3.963654887762940312e-42
1.024000000000000021e+01 -3.963654887762940312e-42
1.088000000000000078e+01 6.315672338014739631e-40
1.088000000000000078e+01 6.315672338014739631e-40
1.088000000000000078e+01 6.315672338014739631e-40
1.151999999999999957e+01 -7.100383576309180105e-38
1.151999999999999957e+01 -7.100383576309180105e-38
1.151999999999999957e+01 -7.100383576309180105e-38
1.216000000000000014e+01 5.141588889820199904e-36
1.216000000000000014e+01 5.141588889820199904e-36
1.216000000000000014e+01 5.141588889820199904e-36
1.280000000000000071e+01 -1.490712140240090099e-34
1.280000000000000071e+01 -1.490712140240090099e-34
1.280000000000000071e+01 -1.490712140240090099e-34
1.343999999999999950e+01 -1.328398734287780057e-32
1.343999999999999950e+01 -1.328398734287780057e-32
1.343999999999999950e+01 -1.328398734287780057e-32
1.408000000000000007e+01 1.951520317445789885e-30
1.408000000000000007e+01 1.951520317445789885e-30
1.408000000000000007e+01 1.951520317445789885e-30
1.472000000000000064e+01 -1.161766766741750101e-28
1.472000000000000064e+01 -1.161766766741750101e-28
1.472000000000000064e+01 -1.161766766741750101e-28
1.535999999999999943e+01 3.362707024128650010e-27
1.535999999999999943e+01 3.362707024128650010e-27
1.535999999999999943e+01 3.362707024128650010e-27
1.600000000000000000e+01 -7.809145260407689754e-28
1.600000000000000000e+01 -7.809145260407689754e-28
1.600000000000000000e+01 -7.809145260407689754e-28
1.664000000000000057e+01 -3.432500890738429872e-24
1.664000000000000057e+01 -3.432500890738429872e-24
1.664000000000000057e+01 -3.432500890738429872e-24
1.728000000000000114e+01 1.034569495641849976e-22
1.728000000000000114e+01 1.034569495641849976e-22
1.728000000000000114e+01 1.034569495641849976e-22
1.792000000000000171e+01 -3.534928241252769875e-22
1.792000000000000171e+01 -3.534928241252769875e-22
1.792000000000000171e+01 -3.534928241252769875e-22
1.855999999999999872e+01 -4.321989368579310084e-20
1.855999999999999872e+01 -4.321989368579310084e-20
1.855999999999999872e+01 -4.321989368579310084e-20
1.919999999999999929e+01 7.486088911820389569e-19
1.919999999999999929e+01 7.486088911820389569e-19
1.919999999999999929e+01 7.486088911820389569e-19
1.983999999999999986e+01 5.929553692987619788e-18
1.983999999999999986e+01 5.929553692987619788e-18
1.983999999999999986e+01 5.929553692987619788e-18
2.048000000000000043e+01 -2.502467589234799948e-16
2.048000000000000043e+01 -2.502467589234799948e-16
2.048000000000000043e+01 -2.502467589234799948e-16
2.112000000000000099e+01 -6.870033138311879715e-18
2.112000000000000099e+01 -6.870033138311879715e-18
2.112000000000000099e+01 -6.870033138311879715e-18
2.176000000000000156e+01 4.941951962923169887e-14
2.176000000000000156e+01 4.941951962923169887e-14
2.176000000000000156e+01 4.941951962923169887e-14
2.239999999999999858e+01 -6.698921255796649653e-14
2.239999999999999858e+01 -6.698921255796649653e-14
2.239999999999999858e+01 -6.698921255796649653e-14
2.303999999999999915e+01 -7.138866876329469951e-12
2.303999999999999915e+01 -7.138866876329469951e-12
2.303999999999999915e+01 -7.138866876329469951e-12
2.367999999999999972e+01 -4.063273892228419780e-12
2.367999999999999972e+01 -4.063273892228419780e-12
2.367999999999999972e+01 -4.063273892228419780e-12
2.432000000000000028e+01 7.337565735877829761e-10
2.432000000000000028e+01 7.337565735877829761e-10
2.432000000000000028e+01 7.337565735877829761e-10
2.496000000000000085e+01 3.157981977342769981e-09
2.496000000000000085e+01 3.157981977342769981e-09
2.496000000000000085e+01 3.157981977342769981e-09
2.560000000000000142e+01 -4.123464011939819707e-08
2.560000000000000142e+01 -4.123464011939819707e-08
2.560000000000000142e+01 -4.123464011939819707e-08
2.623999999999999844e+01 -4.129172112424909896e-07
2.623999999999999844e+01 -4.129172112424909896e-07
2.623999999999999844e+01 -4.129172112424909896e-07
2.687999999999999901e+01 -6.181197835412480570e-08
2.687999999999999901e+01 -6.181197835412480570e-08
2.687999999999999901e+01 -6.181197835412480570e-08
2.751999999999999957e+01 1.852427554968209865e-05
2.751999999999999957e+01 1.852427554968209865e-05
2.751999999999999957e+01 1.852427554968209865e-05
2.816000000000000014e+01 1.288505703208039986e-04
2.816000000000000014e+01 1.288505703208039986e-04
2.816000000000000014e+01 1.288505703208039986e-04
2.880000000000000071e+01 4.280549181048319920e-04
2.880000000000000071e+01 4.280549181048319920e-04
2.880000000000000071e+01 4.280549181048319920e-04
2.944000000000000128e+01 7.458648869400779681e-04
2.944000000000000128e+01 7.458648869400779681e-04
2.944000000000000128e+01 7.458648869400779681e-04
3.007999999999999829e+01 5.197420969035390246e-04
3.007999999999999829e+01 5.197420969035390246e-04
3.007999999999999829e+01 5.197420969035390246e-04
3.071999999999999886e+01 -2.985163926016120000e-04
3.071999999999999886e+01 -2.985163926016120000e-04
3.071999999999999886e+01 -2.985163926016120000e-04
3.135999999999999943e+01 -7.188750088584189941e-04
3.135999999999999943e+01 -7.188750088584189941e-04
3.135999999999999943e+01 -7.188750088584189941e-04
3.200000000000000000e+01 -3.562646369216780130e-04
