t phi
6.400000000000000133e-01 1.699616327370509885e-116
6.400000000000000133e-01 1.699616327370509885e-116
6.400000000000000133e-01 1.699616327370509885e-116
1.280000000000000027e+00 -1.180653192911110044e-103
1.280000000000000027e+00 -1.180653192911110044e-103
1.280000000000000027e+00 -1.180653192911110044e-103
1.919999999999999929e+00 -3.580302184210919793e-94
1.919999999999999929e+00 -3.580302184210919793e-94
1.919999999999999929e+00 -3.580302184210919793e-94
2.560000000000000053e+00 -2.798810886091289969e-87
2.560000000000000053e+00 -2.798810886091289969e-87
2.560000000000000053e+00 -2.798810886091289969e-87
3.200000000000000178e+00 -1.830564644397399895e-81
3.200000000000000178e+00 -1.830564644397399895e-81
3.200000000000000178e+00 -1.830564644397399895e-81
3.839999999999999858e+00 -5.506750786588950126e-76
3.839999999999999858e+00 -5.506750786588950126e-76
3.839999999999999858e+00 -5.506750786588950126e-76
4.480000000000000426e+00 -2.849712203542829849e-71
4.480000000000000426e+00 -2.849712203542829849e-71
4.480000000000000426e+00 -2.849712203542829849e-71
5.120000000000000107e+00 2.072645399718049921e-66
5.120000000000000107e+00 2.072645399718049921e-66
5.120000000000000107e+00 2.072645399718049921e-66
5.759999999999999787e+00 -1.584385866958359944e-62
5.759999999999999787e+00 -1.584385866958359944e-62
5.759999999999999787e+00 -1.584385866958359944e-62
6.400000000000000355e+00 1.752341804065990017e-59
6.400000000000000355e+00 1.752341804065990017e-59
6.400000000000000355e+00 1.752341804065990017e-59
7.040000000000000036e+00 5.493393538645599806e-56
7.040000000000000036e+00 5.493393538645599806e-56
7.040000000000000036e+00 5.493393538645599806e-56
7.679999999999999716e+00 -1.299151314465969975e-52
7.679999999999999716e+00 -1.299151314465969975e-52
7.679999999999999716e+00 -1.299151314465969975e-52
8.320000000000000284e+00 1.140448385376639996e-49
8.320000000000000284e+00 1.140448385376639996e-49
8.320000000000000284e+00 1.140448385376639996e-49
8.960000000000000853e+00 -5.601712139651350120e-47
8.960000000000000853e+00 -5.601712139651350120e-47
8.960000000000000853e+00 -5.601712139651350120e-47
9.599999999999999645e+00 1.783887747068770015e-44
9.599999999999999645e+00 1.783887747068770015e-44
9.599999999999999645e+00 1.783887747068770015e-44
1.024000000000000021e+01 -3.963653974380930319e-42
1.024000000000000021e+01 -3.963653974380930319e-42
1.024000000000000021e+01 -3.963653974380930319e-42
1.088000000000000078e+01 6.315670885677239685e-40
1.088000000000000078e+01 6.315670885677239685e-40
1.088000000000000078e+01 6.315670885677239685e-40
1.151999999999999957e+01 -7.100382209210239499e-38
1.151999999999999957e+01 -7.100382209210239499e-38
1.151999999999999957e+01 -7.100382209210239499e-38
1.216000000000000014e+01 5.141588587722129712e-36
1.216000000000000014e+01 5.141588587722129712e-36
1.216000000000000014e+01 5.141588587722129712e-36
1.280000000000000071e+01 -1.490713278133549955e-34
1.280000000000000071e+01 -1.490713278133549955e-34
1.280000000000000071e+01 -1.490713278133549955e-34
