t phi
0.000000000000000000e+00 1.000000000000000021e-02
0.000000000000000000e+00 1.000000000000000021e-02
0.000000000000000000e+00 1.000000000000000021e-02
0.000000000000000000e+00 1.000000000000000021e-02
3.200000000000000067e-01 1.000000000000000021e-02
3.200000000000000067e-01 1.000000000000000021e-02
3.200000000000000067e-01 1.000000000000000021e-02
3.200000000000000067e-01 1.000178815382879970e-02
6.400000000000000133e-01 1.000000000000000021e-02
6.400000000000000133e-01 1.000000000000000021e-02
6.400000000000000133e-01 1.000000000000000021e-02
6.400000000000000133e-01 1.000171119717239987e-02
9.599999999999999645e-01 1.000000000000000021e-02
9.599999999999999645e-01 1.000000000000000021e-02
9.599999999999999645e-01 1.000000000000000021e-02
9.599999999999999645e-01 1.000170493592049924e-02
1.280000000000000027e+00 1.000000000000000021e-02
1.280000000000000027e+00 1.000000000000000021e-02
1.280000000000000027e+00 1.000000000000000021e-02
1.280000000000000027e+00 1.000171468016649960e-02
1.600000000000000089e+00 1.000000000000000021e-02
1.600000000000000089e+00 1.000000000000000021e-02
1.600000000000000089e+00 1.000000000000000021e-02
1.600000000000000089e+00 1.000172648296179974e-02
1.919999999999999929e+00 1.000000000000000021e-02
1.919999999999999929e+00 1.000000000000000021e-02
1.919999999999999929e+00 1.000000000000000021e-02
1.919999999999999929e+00 1.000173549453470083e-02
2.240000000000000213e+00 1.000000000000000021e-02
2.240000000000000213e+00 1.000000000000000021e-02
2.240000000000000213e+00 1.000000000000000021e-02
2.240000000000000213e+00 1.000174151157499913e-02
2.560000000000000053e+00 1.000000000000000021e-02
2.560000000000000053e+00 1.000000000000000021e-02
2.560000000000000053e+00 1.000000000000000021e-02
2.560000000000000053e+00 1.000174572781560058e-02
2.879999999999999893e+00 1.000000000000000021e-02
2.879999999999999893e+00 1.000000000000000021e-02
2.879999999999999893e+00 1.000000000000000021e-02
2.879999999999999893e+00 1.000174868624340019e-02
3.200000000000000178e+00 1.000000000000000021e-02
3.200000000000000178e+00 1.000000000000000021e-02
3.200000000000000178e+00 1.000000000000000021e-02
3.200000000000000178e+00 1.000175111681429925e-02
3.520000000000000018e+00 1.000000000000000021e-02
3.520000000000000018e+00 1.000000000000000021e-02
3.520000000000000018e+00 1.000000000000000021e-02
3.520000000000000018e+00 1.000174522053929975e-02
3.839999999999999858e+00 1.000000000000000021e-02
3.839999999999999858e+00 1.000000000000000021e-02
3.839999999999999858e+00 1.000000000000000021e-02
3.839999999999999858e+00 1.000158405411630085e-02
4.160000000000000142e+00 1.000000000000000021e-02
4.160000000000000142e+00 1.000000000000000021e-02
4.160000000000000142e+00 1.000000000000000021e-02
4.160000000000000142e+00 1.000135357643699985e-02
4.480000000000000426e+00 1.000000000000000021e-02
4.480000000000000426e+00 1.000000000000000021e-02
4.480000000000000426e+00 1.000000000000000021e-02
4.480000000000000426e+00 1.000129421804889923e-02
4.799999999999999822e+00 1.000000000000000021e-02
4.799999999999999822e+00 1.000000000000000021e-02
4.799999999999999822e+00 1.000000000000000021e-02
4.799999999999999822e+00 1.000127286968249991e-02
5.120000000000000107e+00 1.000000000000000021e-02
5.120000000000000107e+00 1.000000000000000021e-02
5.120000000000000107e+00 1.000000000000000021e-02
5.120000000000000107e+00 1.000129868168920036e-02
5.440000000000000391e+00 1.000000000000000021e-02
5.440000000000000391e+00 1.000000000000000021e-02
5.440000000000000391e+00 1.000000000000000021e-02
5.440000000000000391e+00 1.000155021413299920e-02
5.759999999999999787e+00 1.000000000000000021e-02
5.759999999999999787e+00 1.000000000000000021e-02
5.759999999999999787e+00 1.000000000000000021e-02
5.759999999999999787e+00 1.000194598835250047e-02
6.080000000000000071e+00 1.000000000000000021e-02
6.080000000000000071e+00 1.000000000000000021e-02
6.080000000000000071e+00 1.000000000000000021e-02
6.080000000000000071e+00 1.000197411191799945e-02
