t phi
2.000000000000000111e-01 5.256827447759729877e-01
2.000000000000000111e-01 5.256827447759729877e-01
2.000000000000000111e-01 5.256827447759729877e-01
4.000000000000000222e-01 5.256837366437260295e-01
4.000000000000000222e-01 5.256837366437260295e-01
4.000000000000000222e-01 5.256837366437260295e-01
5.999999999999999778e-01 5.256852963988940530e-01
5.999999999999999778e-01 5.256852963988940530e-01
5.999999999999999778e-01 5.256852963988940530e-01
8.000000000000000444e-01 5.256872730944339711e-01
8.000000000000000444e-01 5.256872730944339711e-01
8.000000000000000444e-01 5.256872730944339711e-01
1.000000000000000000e+00 5.256888602077069983e-01
1.000000000000000000e+00 5.256888602077069983e-01
1.000000000000000000e+00 5.256888602077069983e-01
1.199999999999999956e+00 5.256907274045560241e-01
1.199999999999999956e+00 5.256907274045560241e-01
1.199999999999999956e+00 5.256907274045560241e-01
1.399999999999999911e+00 5.256940374685219464e-01
1.399999999999999911e+00 5.256940374685219464e-01
1.399999999999999911e+00 5.256940374685219464e-01
1.600000000000000089e+00 5.256979028525170516e-01
1.600000000000000089e+00 5.256979028525170516e-01
1.600000000000000089e+00 5.256979028525170516e-01
1.800000000000000044e+00 5.257010699172409707e-01
1.800000000000000044e+00 5.257010699172409707e-01
1.800000000000000044e+00 5.257010699172409707e-01
2.000000000000000000e+00 5.257042581308559726e-01
2.000000000000000000e+00 5.257042581308559726e-01
2.000000000000000000e+00 5.257042581308559726e-01
2.200000000000000178e+00 5.257085288128450218e-01
2.200000000000000178e+00 5.257085288128450218e-01
2.200000000000000178e+00 5.257085288128450218e-01
2.399999999999999911e+00 5.257133181063939897e-01
2.399999999999999911e+00 5.257133181063939897e-01
2.399999999999999911e+00 5.257133181063939897e-01
2.600000000000000089e+00 5.257181613616730420e-01
2.600000000000000089e+00 5.257181613616730420e-01
2.600000000000000089e+00 5.257181613616730420e-01
2.799999999999999822e+00 5.257239965242009871e-01
2.799999999999999822e+00 5.257239965242009871e-01
2.799999999999999822e+00 5.257239965242009871e-01
3.000000000000000000e+00 5.257310809068870272e-01
3.000000000000000000e+00 5.257310809068870272e-01
3.000000000000000000e+00 5.257310809068870272e-01
3.200000000000000178e+00 5.257381790664069632e-01
3.200000000000000178e+00 5.257381790664069632e-01
3.200000000000000178e+00 5.257381790664069632e-01
3.399999999999999911e+00 5.257447911444379507e-01
3.399999999999999911e+00 5.257447911444379507e-01
3.399999999999999911e+00 5.257447911444379507e-01
3.600000000000000089e+00 5.257518918067090041e-01
3.600000000000000089e+00 5.257518918067090041e-01
3.600000000000000089e+00 5.257518918067090041e-01
3.799999999999999822e+00 5.257602176544640127e-01
3.799999999999999822e+00 5.257602176544640127e-01
3.799999999999999822e+00 5.257602176544640127e-01
4.000000000000000000e+00 5.257695166037810175e-01
4.000000000000000000e+00 5.257695166037810175e-01
4.000000000000000000e+00 5.257695166037810175e-01
4.200000000000000178e+00 5.257792692236950005e-01
4.200000000000000178e+00 5.257792692236950005e-01
4.200000000000000178e+00 5.257792692236950005e-01
4.400000000000000355e+00 5.257891720280859493e-01
4.400000000000000355e+00 5.257891720280859493e-01
4.400000000000000355e+00 5.257891720280859493e-01
4.599999999999999645e+00 5.257992337002800332e-01
4.599999999999999645e+00 5.257992337002800332e-01
4.599999999999999645e+00 5.257992337002800332e-01
4.799999999999999822e+00 5.258097930246180551e-01
4.799999999999999822e+00 5.258097930246180551e-01
4.799999999999999822e+00 5.258097930246180551e-01
5.000000000000000000e+00 5.258212435581529620e-01
5.000000000000000000e+00 5.258212435581529620e-01
5.000000000000000000e+00 5.258212435581529620e-01
5.200000000000000178e+00 5.258337152982900387e-01
5.200000000000000178e+00 5.258337152982900387e-01
5.200000000000000178e+00 5.258337152982900387e-01
5.400000000000000355e+00 5.258470284742160494e-01
5.400000000000000355e+00 5.258470284742160494e-01
5.400000000000000355e+00 5.258470284742160494e-01
5.599999999999999645e+00 5.258606970172110540e-01
5.599999999999999645e+00 5.258606970172110540e-01
5.599999999999999645e+00 5.258606970172110540e-01
5.799999999999999822e+00 5.258742565218550435e-01
5.799999999999999822e+00 5.258742565218550435e-01
5.799999999999999822e+00 5.258742565218550435e-01
6.000000000000000000e+00 5.258880573313919893e-01
6.000000000000000000e+00 5.258880573313919893e-01
6.000000000000000000e+00 5.258880573313919893e-01
6.200000000000000178e+00 5.259032739110359733e-01
6.200000000000000178e+00 5.259032739110359733e-01
6.200000000000000178e+00 5.259032739110359733e-01
6.400000000000000355e+00 5.259204454851259536e-01
6.400000000000000355e+00 5.259204454851259536e-01
6.400000000000000355e+00 5.259204454851259536e-01
6.599999999999999645e+00 5.259384345561779472e-01
6.599999999999999645e+00 5.259384345561779472e-01
6.599999999999999645e+00 5.259384345561779472e-01
6.799999999999999822e+00 5.259556835727250412e-01
6.799999999999999822e+00 5.259556835727250412e-01
6.799999999999999822e+00 5.259556835727250412e-01
7.000000000000000000e+00 5.259722675115520163e-01
7.000000000000000000e+00 5.259722675115520163e-01
7.000000000000000000e+00 5.259722675115520163e-01
7.200000000000000178e+00 5.259898494740760100e-01
7.200000000000000178e+00 5.259898494740760100e-01
7.200000000000000178e+00 5.259898494740760100e-01
7.400000000000000355e+00 5.260095807829590075e-01
7.400000000000000355e+00 5.260095807829590075e-01
7.400000000000000355e+00 5.260095807829590075e-01
7.599999999999999645e+00 5.260307898837619511e-01
7.599999999999999645e+00 5.260307898837619511e-01
7.599999999999999645e+00 5.260307898837619511e-01
7.799999999999999822e+00 5.260519605551370326e-01
7.799999999999999822e+00 5.260519605551370326e-01
7.799999999999999822e+00 5.260519605551370326e-01
8.000000000000000000e+00 5.260724789029499471e-01
8.000000000000000000e+00 5.260724789029499471e-01
8.000000000000000000e+00 5.260724789029499471e-01
8.199999999999999289e+00 5.260930955223239724e-01
8.199999999999999289e+00 5.260930955223239724e-01
8.199999999999999289e+00 5.260930955223239724e-01
8.400000000000000355e+00 5.261149424376230233e-01
8.400000000000000355e+00 5.261149424376230233e-01
8.400000000000000355e+00 5.261149424376230233e-01
8.599999999999999645e+00 5.261384202205090510e-01
8.599999999999999645e+00 5.261384202205090510e-01
8.599999999999999645e+00 5.261384202205090510e-01
8.800000000000000711e+00 5.261629816598699660e-01
8.800000000000000711e+00 5.261629816598699660e-01
8.800000000000000711e+00 5.261629816598699660e-01
9.000000000000000000e+00 5.261877475458009989e-01
9.000000000000000000e+00 5.261877475458009989e-01
9.000000000000000000e+00 5.261877475458009989e-01
9.199999999999999289e+00 5.262122293234480219e-01
9.199999999999999289e+00 5.262122293234480219e-01
9.199999999999999289e+00 5.262122293234480219e-01
9.400000000000000355e+00 5.262366220820440255e-01
9.400000000000000355e+00 5.262366220820440255e-01
9.400000000000000355e+00 5.262366220820440255e-01
9.599999999999999645e+00 5.262615982029540396e-01
9.599999999999999645e+00 5.262615982029540396e-01
9.599999999999999645e+00 5.262615982029540396e-01
9.800000000000000711e+00 5.262877233881250172e-01
9.800000000000000711e+00 5.262877233881250172e-01
9.800000000000000711e+00 5.262877233881250172e-01
1.000000000000000000e+01 5.263148393494520016e-01
1.000000000000000000e+01 5.263148393494520016e-01
1.000000000000000000e+01 5.263148393494520016e-01
1.019999999999999929e+01 5.263421017001129742e-01
1.019999999999999929e+01 5.263421017001129742e-01
1.019999999999999929e+01 5.263421017001129742e-01
1.040000000000000036e+01 5.263688590682169544e-01
1.040000000000000036e+01 5.263688590682169544e-01
1.040000000000000036e+01 5.263688590682169544e-01
1.059999999999999964e+01 5.263953552186649842e-01
1.059999999999999964e+01 5.263953552186649842e-01
1.059999999999999964e+01 5.263953552186649842e-01
1.080000000000000071e+01 5.264223049825940137e-01
1.080000000000000071e+01 5.264223049825940137e-01
1.080000000000000071e+01 5.264223049825940137e-01
1.100000000000000000e+01 5.264499275567390280e-01
1.100000000000000000e+01 5.264499275567390280e-01
1.100000000000000000e+01 5.264499275567390280e-01
1.119999999999999929e+01 5.264777342724249465e-01
1.119999999999999929e+01 5.264777342724249465e-01
1.119999999999999929e+01 5.264777342724249465e-01
1.140000000000000036e+01 5.265051737726730297e-01
1.140000000000000036e+01 5.265051737726730297e-01
1.140000000000000036e+01 5.265051737726730297e-01
1.159999999999999964e+01 5.265321628877549509e-01
1.159999999999999964e+01 5.265321628877549509e-01
1.159999999999999964e+01 5.265321628877549509e-01
1.180000000000000071e+01 5.265589566326209781e-01
1.180000000000000071e+01 5.265589566326209781e-01
1.180000000000000071e+01 5.265589566326209781e-01
1.200000000000000000e+01 5.265857164176650507e-01
1.200000000000000000e+01 5.265857164176650507e-01
1.200000000000000000e+01 5.265857164176650507e-01
1.219999999999999929e+01 5.266123013149750509e-01
1.219999999999999929e+01 5.266123013149750509e-01
1.219999999999999929e+01 5.266123013149750509e-01
1.240000000000000036e+01 5.266384202471590115e-01
1.240000000000000036e+01 5.266384202471590115e-01
1.240000000000000036e+01 5.266384202471590115e-01
1.259999999999999964e+01 5.266638635357649978e-01
1.259999999999999964e+01 5.266638635357649978e-01
1.259999999999999964e+01 5.266638635357649978e-01
1.280000000000000071e+01 5.266885642422000080e-01
1.280000000000000071e+01 5.266885642422000080e-01
1.280000000000000071e+01 5.266885642422000080e-01
1.300000000000000000e+01 5.267125579745950414e-01
1.300000000000000000e+01 5.267125579745950414e-01
1.300000000000000000e+01 5.267125579745950414e-01
1.319999999999999929e+01 5.267359152874360184e-01
1.319999999999999929e+01 5.267359152874360184e-01
1.319999999999999929e+01 5.267359152874360184e-01
1.340000000000000036e+01 5.267586139004529766e-01
1.340000000000000036e+01 5.267586139004529766e-01
1.340000000000000036e+01 5.267586139004529766e-01
1.359999999999999964e+01 5.267804565065610234e-01
1.359999999999999964e+01 5.267804565065610234e-01
1.359999999999999964e+01 5.267804565065610234e-01
1.380000000000000071e+01 5.268011826574120482e-01
1.380000000000000071e+01 5.268011826574120482e-01
1.380000000000000071e+01 5.268011826574120482e-01
1.400000000000000000e+01 5.268206709450430347e-01
1.400000000000000000e+01 5.268206709450430347e-01
1.400000000000000000e+01 5.268206709450430347e-01
1.419999999999999929e+01 5.268390063516530386e-01
1.419999999999999929e+01 5.268390063516530386e-01
1.419999999999999929e+01 5.268390063516530386e-01
1.440000000000000036e+01 5.268563933543559674e-01
1.440000000000000036e+01 5.268563933543559674e-01
1.440000000000000036e+01 5.268563933543559674e-01
1.459999999999999964e+01 5.268730959009430004e-01
1.459999999999999964e+01 5.268730959009430004e-01
1.459999999999999964e+01 5.268730959009430004e-01
1.480000000000000071e+01 5.268894373362059680e-01
1.480000000000000071e+01 5.268894373362059680e-01
1.480000000000000071e+01 5.268894373362059680e-01
1.500000000000000000e+01 5.269057204509960401e-01
1.500000000000000000e+01 5.269057204509960401e-01
1.500000000000000000e+01 5.269057204509960401e-01
1.519999999999999929e+01 5.269220882742460255e-01
1.519999999999999929e+01 5.269220882742460255e-01
1.519999999999999929e+01 5.269220882742460255e-01
1.540000000000000036e+01 5.269385044114880401e-01
1.540000000000000036e+01 5.269385044114880401e-01
1.540000000000000036e+01 5.269385044114880401e-01
1.559999999999999964e+01 5.269548793796080544e-01
1.559999999999999964e+01 5.269548793796080544e-01
1.559999999999999964e+01 5.269548793796080544e-01
1.580000000000000071e+01 5.269711926679789826e-01
1.580000000000000071e+01 5.269711926679789826e-01
1.580000000000000071e+01 5.269711926679789826e-01
1.600000000000000000e+01 5.269875013991950352e-01
1.600000000000000000e+01 5.269875013991950352e-01
