t phi
3.200000000000000067e-01 1.471442917550200014e-01
3.200000000000000067e-01 1.471442917550200014e-01
3.200000000000000067e-01 1.471442917550200014e-01
6.400000000000000133e-01 1.471459100265840036e-01
6.400000000000000133e-01 1.471459100265840036e-01
6.400000000000000133e-01 1.471459100265840036e-01
9.599999999999999645e-01 1.471484291823549895e-01
9.599999999999999645e-01 1.471484291823549895e-01
9.599999999999999645e-01 1.471484291823549895e-01
1.280000000000000027e+00 1.471524553849860029e-01
1.280000000000000027e+00 1.471524553849860029e-01
1.280000000000000027e+00 1.471524553849860029e-01
1.600000000000000089e+00 1.471573775994549915e-01
1.600000000000000089e+00 1.471573775994549915e-01
1.600000000000000089e+00 1.471573775994549915e-01
1.919999999999999929e+00 1.471633713990370129e-01
1.919999999999999929e+00 1.471633713990370129e-01
1.919999999999999929e+00 1.471633713990370129e-01
2.240000000000000213e+00 1.471707791560470102e-01
2.240000000000000213e+00 1.471707791560470102e-01
2.240000000000000213e+00 1.471707791560470102e-01
2.560000000000000053e+00 1.471791727855689957e-01
2.560000000000000053e+00 1.471791727855689957e-01
2.560000000000000053e+00 1.471791727855689957e-01
2.879999999999999893e+00 1.471884805220060044e-01
2.879999999999999893e+00 1.471884805220060044e-01
2.879999999999999893e+00 1.471884805220060044e-01
3.200000000000000178e+00 1.471991246067629877e-01
3.200000000000000178e+00 1.471991246067629877e-01
3.200000000000000178e+00 1.471991246067629877e-01
3.520000000000000018e+00 1.472111633315000001e-01
3.520000000000000018e+00 1.472111633315000001e-01
3.520000000000000018e+00 1.472111633315000001e-01
3.839999999999999858e+00 1.472243967800790088e-01
3.839999999999999858e+00 1.472243967800790088e-01
3.839999999999999858e+00 1.472243967800790088e-01
4.160000000000000142e+00 1.472388860335470118e-01
4.160000000000000142e+00 1.472388860335470118e-01
4.160000000000000142e+00 1.472388860335470118e-01
4.480000000000000426e+00 1.472548349217459862e-01
4.480000000000000426e+00 1.472548349217459862e-01
4.480000000000000426e+00 1.472548349217459862e-01
4.799999999999999822e+00 1.472722803982300099e-01
4.799999999999999822e+00 1.472722803982300099e-01
4.799999999999999822e+00 1.472722803982300099e-01
5.120000000000000107e+00 1.472911639950610085e-01
5.120000000000000107e+00 1.472911639950610085e-01
5.120000000000000107e+00 1.472911639950610085e-01
5.440000000000000391e+00 1.473115030677470128e-01
5.440000000000000391e+00 1.473115030677470128e-01
5.440000000000000391e+00 1.473115030677470128e-01
