t phi
7.500000000000000000e-01 -6.464680095326400533e-01
7.500000000000000000e-01 -6.464680095326400533e-01
7.500000000000000000e-01 -6.464680095326400533e-01
7.500000000000000000e-01 -6.464680095326400533e-01
7.500000000000000000e-01 -6.464680095326400533e-01
1.500000000000000000e+00 -6.464692851628119907e-01
1.500000000000000000e+00 -6.464692851628119907e-01
1.500000000000000000e+00 -6.464692851628119907e-01
1.500000000000000000e+00 -6.464692851628119907e-01
1.500000000000000000e+00 -6.464692851628119907e-01
2.250000000000000000e+00 -6.464693511715440266e-01
2.250000000000000000e+00 -6.464693511715440266e-01
2.250000000000000000e+00 -6.464693511715440266e-01
2.250000000000000000e+00 -6.464693511715440266e-01
2.250000000000000000e+00 -6.464693511715440266e-01
3.000000000000000000e+00 -6.464693055508770048e-01
3.000000000000000000e+00 -6.464693055508770048e-01
3.000000000000000000e+00 -6.464693055508770048e-01
3.000000000000000000e+00 -6.464693055508770048e-01
3.000000000000000000e+00 -6.464693055508770048e-01
3.750000000000000000e+00 -6.464725611926169790e-01
3.750000000000000000e+00 -6.464725611926169790e-01
3.750000000000000000e+00 -6.464725611926169790e-01
3.750000000000000000e+00 -6.464725611926169790e-01
3.750000000000000000e+00 -6.464725611926169790e-01
4.500000000000000000e+00 -6.464705258131999699e-01
4.500000000000000000e+00 -6.464705258131999699e-01
4.500000000000000000e+00 -6.464705258131999699e-01
4.500000000000000000e+00 -6.464705258131999699e-01
4.500000000000000000e+00 -6.464705258131999699e-01
5.250000000000000000e+00 -6.464708950514720387e-01
5.250000000000000000e+00 -6.464708950514720387e-01
5.250000000000000000e+00 -6.464708950514720387e-01
5.250000000000000000e+00 -6.464708950514720387e-01
5.250000000000000000e+00 -6.464708950514720387e-01
6.000000000000000000e+00 -6.464689994141660234e-01
6.000000000000000000e+00 -6.464689994141660234e-01
6.000000000000000000e+00 -6.464689994141660234e-01
6.000000000000000000e+00 -6.464689994141660234e-01
6.000000000000000000e+00 -6.464689994141660234e-01
6.750000000000000000e+00 -6.464685187847809544e-01
6.750000000000000000e+00 -6.464685187847809544e-01
6.750000000000000000e+00 -6.464685187847809544e-01
6.750000000000000000e+00 -6.464685187847809544e-01
6.750000000000000000e+00 -6.464685187847809544e-01
7.500000000000000000e+00 -6.464662959203310022e-01
7.500000000000000000e+00 -6.464662959203310022e-01
7.500000000000000000e+00 -6.464662959203310022e-01
7.500000000000000000e+00 -6.464662959203310022e-01
7.500000000000000000e+00 -6.464662959203310022e-01
8.250000000000000000e+00 -6.464645124843839685e-01
8.250000000000000000e+00 -6.464645124843839685e-01
8.250000000000000000e+00 -6.464645124843839685e-01
8.250000000000000000e+00 -6.464645124843839685e-01
8.250000000000000000e+00 -6.464645124843839685e-01
9.000000000000000000e+00 -6.464624513452500443e-01
9.000000000000000000e+00 -6.464624513452500443e-01
9.000000000000000000e+00 -6.464624513452500443e-01
9.000000000000000000e+00 -6.464624513452500443e-01
9.000000000000000000e+00 -6.464624513452500443e-01
9.750000000000000000e+00 -6.464606663145919807e-01
9.750000000000000000e+00 -6.464606663145919807e-01
9.750000000000000000e+00 -6.464606663145919807e-01
9.750000000000000000e+00 -6.464606663145919807e-01
9.750000000000000000e+00 -6.464606663145919807e-01
1.050000000000000000e+01 -6.464573176439319946e-01
1.050000000000000000e+01 -6.464573176439319946e-01
1.050000000000000000e+01 -6.464573176439319946e-01
1.050000000000000000e+01 -6.464573176439319946e-01
1.050000000000000000e+01 -6.464573176439319946e-01
1.125000000000000000e+01 -6.464554521767329476e-01
1.125000000000000000e+01 -6.464554521767329476e-01
1.125000000000000000e+01 -6.464554521767329476e-01
1.125000000000000000e+01 -6.464554521767329476e-01
1.125000000000000000e+01 -6.464554521767329476e-01
1.200000000000000000e+01 -6.464528842281680454e-01
1.200000000000000000e+01 -6.464528842281680454e-01
1.200000000000000000e+01 -6.464528842281680454e-01
1.200000000000000000e+01 -6.464528842281680454e-01
1.200000000000000000e+01 -6.464528842281680454e-01
1.275000000000000000e+01 -6.464505509287290508e-01
1.275000000000000000e+01 -6.464505509287290508e-01
1.275000000000000000e+01 -6.464505509287290508e-01
1.275000000000000000e+01 -6.464505509287290508e-01
1.275000000000000000e+01 -6.464505509287290508e-01
1.350000000000000000e+01 -6.464487664852679449e-01
