t phi
9.599999999999999645e-01 -6.464685571770779626e-01
9.599999999999999645e-01 -6.464685571770779626e-01
9.599999999999999645e-01 -6.464685571770779626e-01
9.599999999999999645e-01 -6.464685571770779626e-01
9.599999999999999645e-01 -6.464685571770779626e-01
1.919999999999999929e+00 -6.464701339423599702e-01
1.919999999999999929e+00 -6.464701339423599702e-01
1.919999999999999929e+00 -6.464701339423599702e-01
1.919999999999999929e+00 -6.464701339423599702e-01
1.919999999999999929e+00 -6.464701339423599702e-01
2.879999999999999893e+00 -6.464763728788419650e-01
2.879999999999999893e+00 -6.464763728788419650e-01
2.879999999999999893e+00 -6.464763728788419650e-01
2.879999999999999893e+00 -6.464763728788419650e-01
2.879999999999999893e+00 -6.464763728788419650e-01
3.839999999999999858e+00 -6.464744050190449620e-01
3.839999999999999858e+00 -6.464744050190449620e-01
3.839999999999999858e+00 -6.464744050190449620e-01
3.839999999999999858e+00 -6.464744050190449620e-01
3.839999999999999858e+00 -6.464744050190449620e-01
4.799999999999999822e+00 -6.464681449962009774e-01
4.799999999999999822e+00 -6.464681449962009774e-01
4.799999999999999822e+00 -6.464681449962009774e-01
4.799999999999999822e+00 -6.464681449962009774e-01
4.799999999999999822e+00 -6.464681449962009774e-01
5.759999999999999787e+00 -6.464712002719400497e-01
5.759999999999999787e+00 -6.464712002719400497e-01
5.759999999999999787e+00 -6.464712002719400497e-01
5.759999999999999787e+00 -6.464712002719400497e-01
5.759999999999999787e+00 -6.464712002719400497e-01
6.719999999999999751e+00 -6.464716792878869578e-01
6.719999999999999751e+00 -6.464716792878869578e-01
6.719999999999999751e+00 -6.464716792878869578e-01
6.719999999999999751e+00 -6.464716792878869578e-01
6.719999999999999751e+00 -6.464716792878869578e-01
7.679999999999999716e+00 -6.464682426087680067e-01
7.679999999999999716e+00 -6.464682426087680067e-01
7.679999999999999716e+00 -6.464682426087680067e-01
7.679999999999999716e+00 -6.464682426087680067e-01
7.679999999999999716e+00 -6.464682426087680067e-01
8.640000000000000568e+00 -6.464603337924730297e-01
8.640000000000000568e+00 -6.464603337924730297e-01
8.640000000000000568e+00 -6.464603337924730297e-01
8.640000000000000568e+00 -6.464603337924730297e-01
8.640000000000000568e+00 -6.464603337924730297e-01
9.599999999999999645e+00 -6.464604092343799735e-01
9.599999999999999645e+00 -6.464604092343799735e-01
9.599999999999999645e+00 -6.464604092343799735e-01
9.599999999999999645e+00 -6.464604092343799735e-01
9.599999999999999645e+00 -6.464604092343799735e-01
1.056000000000000050e+01 -6.464582134292460314e-01
1.056000000000000050e+01 -6.464582134292460314e-01
1.056000000000000050e+01 -6.464582134292460314e-01
1.056000000000000050e+01 -6.464582134292460314e-01
1.056000000000000050e+01 -6.464582134292460314e-01
1.151999999999999957e+01 -6.464525031318819615e-01
1.151999999999999957e+01 -6.464525031318819615e-01
1.151999999999999957e+01 -6.464525031318819615e-01
1.151999999999999957e+01 -6.464525031318819615e-01
1.151999999999999957e+01 -6.464525031318819615e-01
1.248000000000000043e+01 -6.464503464399979915e-01
1.248000000000000043e+01 -6.464503464399979915e-01
1.248000000000000043e+01 -6.464503464399979915e-01
1.248000000000000043e+01 -6.464503464399979915e-01
1.248000000000000043e+01 -6.464503464399979915e-01
1.343999999999999950e+01 -6.464493205641940188e-01
1.343999999999999950e+01 -6.464493205641940188e-01
1.343999999999999950e+01 -6.464493205641940188e-01
1.343999999999999950e+01 -6.464493205641940188e-01
1.343999999999999950e+01 -6.464493205641940188e-01
1.440000000000000036e+01 -6.464462482071019478e-01
1.440000000000000036e+01 -6.464462482071019478e-01
1.440000000000000036e+01 -6.464462482071019478e-01
1.440000000000000036e+01 -6.464462482071019478e-01
1.440000000000000036e+01 -6.464462482071019478e-01
1.535999999999999943e+01 -6.464432592803469602e-01
1.535999999999999943e+01 -6.464432592803469602e-01
1.535999999999999943e+01 -6.464432592803469602e-01
1.535999999999999943e+01 -6.464432592803469602e-01
1.535999999999999943e+01 -6.464432592803469602e-01
1.632000000000000028e+01 -6.464400698090769781e-01
1.632000000000000028e+01 -6.464400698090769781e-01
1.632000000000000028e+01 -6.464400698090769781e-01
1.632000000000000028e+01 -6.464400698090769781e-01
1.632000000000000028e+01 -6.464400698090769781e-01
1.728000000000000114e+01 -6.464353308734139825e-01
1.728000000000000114e+01 -6.464353308734139825e-01
1.728000000000000114e+01 -6.464353308734139825e-01
1.728000000000000114e+01 -6.464353308734139825e-01
1.728000000000000114e+01 -6.464353308734139825e-01
1.823999999999999844e+01 -6.464299114305299687e-01
1.823999999999999844e+01 -6.464299114305299687e-01
1.823999999999999844e+01 -6.464299114305299687e-01
1.823999999999999844e+01 -6.464299114305299687e-01
1.823999999999999844e+01 -6.464299114305299687e-01
1.919999999999999929e+01 -6.464230801269810200e-01
1.919999999999999929e+01 -6.464230801269810200e-01
1.919999999999999929e+01 -6.464230801269810200e-01
1.919999999999999929e+01 -6.464230801269810200e-01
1.919999999999999929e+01 -6.464230801269810200e-01
2.016000000000000014e+01 -6.464153402875340015e-01
2.016000000000000014e+01 -6.464153402875340015e-01
2.016000000000000014e+01 -6.464153402875340015e-01
2.016000000000000014e+01 -6.464153402875340015e-01
2.016000000000000014e+01 -6.464153402875340015e-01
2.112000000000000099e+01 -6.464064468455049672e-01
2.112000000000000099e+01 -6.464064468455049672e-01
2.112000000000000099e+01 -6.464064468455049672e-01
2.112000000000000099e+01 -6.464064468455049672e-01
2.112000000000000099e+01 -6.464064468455049672e-01
2.207999999999999829e+01 -6.463965200267349775e-01
2.207999999999999829e+01 -6.463965200267349775e-01
2.207999999999999829e+01 -6.463965200267349775e-01
2.207999999999999829e+01 -6.463965200267349775e-01
2.207999999999999829e+01 -6.463965200267349775e-01
2.303999999999999915e+01 -6.463855598487200371e-01
2.303999999999999915e+01 -6.463855598487200371e-01
2.303999999999999915e+01 -6.463855598487200371e-01
2.303999999999999915e+01 -6.463855598487200371e-01
2.303999999999999915e+01 -6.463855598487200371e-01
2.400000000000000000e+01 -6.463733056385380094e-01
2.400000000000000000e+01 -6.463733056385380094e-01
2.400000000000000000e+01 -6.463733056385380094e-01
2.400000000000000000e+01 -6.463733056385380094e-01
2.400000000000000000e+01 -6.463733056385380094e-01
2.496000000000000085e+01 -6.463598279092529486e-01
2.496000000000000085e+01 -6.463598279092529486e-01
2.496000000000000085e+01 -6.463598279092529486e-01
2.496000000000000085e+01 -6.463598279092529486e-01
2.496000000000000085e+01 -6.463598279092529486e-01
2.592000000000000171e+01 -6.463450721589140135e-01
2.592000000000000171e+01 -6.463450721589140135e-01
2.592000000000000171e+01 -6.463450721589140135e-01
2.592000000000000171e+01 -6.463450721589140135e-01
2.592000000000000171e+01 -6.463450721589140135e-01
2.687999999999999901e+01 -6.463288422284130252e-01
2.687999999999999901e+01 -6.463288422284130252e-01
2.687999999999999901e+01 -6.463288422284130252e-01
2.687999999999999901e+01 -6.463288422284130252e-01
2.687999999999999901e+01 -6.463288422284130252e-01
2.783999999999999986e+01 -6.463109724946860535e-01
2.783999999999999986e+01 -6.463109724946860535e-01
2.783999999999999986e+01 -6.463109724946860535e-01
2.783999999999999986e+01 -6.463109724946860535e-01
2.783999999999999986e+01 -6.463109724946860535e-01
2.880000000000000071e+01 -6.462916873178700117e-01
2.880000000000000071e+01 -6.462916873178700117e-01
2.880000000000000071e+01 -6.462916873178700117e-01
2.880000000000000071e+01 -6.462916873178700117e-01
2.880000000000000071e+01 -6.462916873178700117e-01
2.976000000000000156e+01 -6.462706172913860181e-01
2.976000000000000156e+01 -6.462706172913860181e-01
2.976000000000000156e+01 -6.462706172913860181e-01
2.976000000000000156e+01 -6.462706172913860181e-01
2.976000000000000156e+01 -6.462706172913860181e-01
3.071999999999999886e+01 -6.462487260007170331e-01
3.071999999999999886e+01 -6.462487260007170331e-01
3.071999999999999886e+01 -6.462487260007170331e-01
3.071999999999999886e+01 -6.462487260007170331e-01
3.071999999999999886e+01 -6.462487260007170331e-01
3.167999999999999972e+01 -6.462250796468780312e-01
3.167999999999999972e+01 -6.462250796468780312e-01
3.167999999999999972e+01 -6.462250796468780312e-01
3.167999999999999972e+01 -6.462250796468780312e-01
3.167999999999999972e+01 -6.462250796468780312e-01
3.264000000000000057e+01 -6.462008587731129516e-01
3.264000000000000057e+01 -6.462008587731129516e-01
3.264000000000000057e+01 -6.462008587731129516e-01
3.264000000000000057e+01 -6.462008587731129516e-01
3.264000000000000057e+01 -6.462008587731129516e-01
3.360000000000000142e+01 -6.461753200859640112e-01
3.360000000000000142e+01 -6.461753200859640112e-01
3.360000000000000142e+01 -6.461753200859640112e-01
3.360000000000000142e+01 -6.461753200859640112e-01
3.360000000000000142e+01 -6.461753200859640112e-01
3.456000000000000227e+01 -6.461499135630569546e-01
3.456000000000000227e+01 -6.461499135630569546e-01
3.456000000000000227e+01 -6.461499135630569546e-01
3.456000000000000227e+01 -6.461499135630569546e-01
3.456000000000000227e+01 -6.461499135630569546e-01
3.552000000000000313e+01 -6.461250640608490192e-01
3.552000000000000313e+01 -6.461250640608490192e-01
3.552000000000000313e+01 -6.461250640608490192e-01
3.552000000000000313e+01 -6.461250640608490192e-01
3.552000000000000313e+01 -6.461250640608490192e-01
3.647999999999999687e+01 -6.461008768562750415e-01
3.647999999999999687e+01 -6.461008768562750415e-01
3.647999999999999687e+01 -6.461008768562750415e-01
3.647999999999999687e+01 -6.461008768562750415e-01
3.647999999999999687e+01 -6.461008768562750415e-01
3.743999999999999773e+01 -6.460778857184750201e-01
3.743999999999999773e+01 -6.460778857184750201e-01
3.743999999999999773e+01 -6.460778857184750201e-01
3.743999999999999773e+01 -6.460778857184750201e-01
3.743999999999999773e+01 -6.460778857184750201e-01
3.839999999999999858e+01 -6.460573753789260465e-01
3.839999999999999858e+01 -6.460573753789260465e-01
3.839999999999999858e+01 -6.460573753789260465e-01
3.839999999999999858e+01 -6.460573753789260465e-01
3.839999999999999858e+01 -6.460573753789260465e-01
3.935999999999999943e+01 -6.460397683589169660e-01
3.935999999999999943e+01 -6.460397683589169660e-01
3.935999999999999943e+01 -6.460397683589169660e-01
3.935999999999999943e+01 -6.460397683589169660e-01
3.935999999999999943e+01 -6.460397683589169660e-01
4.032000000000000028e+01 -6.460257907608609740e-01
4.032000000000000028e+01 -6.460257907608609740e-01
4.032000000000000028e+01 -6.460257907608609740e-01
4.032000000000000028e+01 -6.460257907608609740e-01
4.032000000000000028e+01 -6.460257907608609740e-01
4.128000000000000114e+01 -6.460159959340600055e-01
4.128000000000000114e+01 -6.460159959340600055e-01
4.128000000000000114e+01 -6.460159959340600055e-01
4.128000000000000114e+01 -6.460159959340600055e-01
4.128000000000000114e+01 -6.460159959340600055e-01
4.224000000000000199e+01 -6.460103191731429995e-01
4.224000000000000199e+01 -6.460103191731429995e-01
4.224000000000000199e+01 -6.460103191731429995e-01
4.224000000000000199e+01 -6.460103191731429995e-01
4.224000000000000199e+01 -6.460103191731429995e-01
4.320000000000000284e+01 -6.460096571460589576e-01
4.320000000000000284e+01 -6.460096571460589576e-01
4.320000000000000284e+01 -6.460096571460589576e-01
4.320000000000000284e+01 -6.460096571460589576e-01
4.320000000000000284e+01 -6.460096571460589576e-01
4.415999999999999659e+01 -6.460099166734559750e-01
4.415999999999999659e+01 -6.460099166734559750e-01
4.415999999999999659e+01 -6.460099166734559750e-01
4.415999999999999659e+01 -6.460099166734559750e-01
4.415999999999999659e+01 -6.460099166734559750e-01
4.511999999999999744e+01 -6.460098867186879756e-01
4.511999999999999744e+01 -6.460098867186879756e-01
4.511999999999999744e+01 -6.460098867186879756e-01
4.511999999999999744e+01 -6.460098867186879756e-01
4.511999999999999744e+01 -6.460098867186879756e-01
4.607999999999999829e+01 -6.460101582571350365e-01
4.607999999999999829e+01 -6.460101582571350365e-01
4.607999999999999829e+01 -6.460101582571350365e-01
4.607999999999999829e+01 -6.460101582571350365e-01
4.607999999999999829e+01 -6.460101582571350365e-01
4.703999999999999915e+01 -6.460101654926270198e-01
4.703999999999999915e+01 -6.460101654926270198e-01
4.703999999999999915e+01 -6.460101654926270198e-01
4.703999999999999915e+01 -6.460101654926270198e-01
4.703999999999999915e+01 -6.460101654926270198e-01
4.800000000000000000e+01 -6.460081600210030306e-01
4.800000000000000000e+01 -6.460081600210030306e-01
4.800000000000000000e+01 -6.460081600210030306e-01
4.800000000000000000e+01 -6.460081600210030306e-01
4.800000000000000000e+01 -6.460081600210030306e-01
4.896000000000000085e+01 -6.460039995475770347e-01
4.896000000000000085e+01 -6.460039995475770347e-01
4.896000000000000085e+01 -6.460039995475770347e-01
4.896000000000000085e+01 -6.460039995475770347e-01
4.896000000000000085e+01 -6.460039995475770347e-01
4.992000000000000171e+01 -6.459968844154510004e-01
4.992000000000000171e+01 -6.459968844154510004e-01
4.992000000000000171e+01 -6.459968844154510004e-01
4.992000000000000171e+01 -6.459968844154510004e-01
4.992000000000000171e+01 -6.459968844154510004e-01
5.088000000000000256e+01 -6.459848144660940150e-01
5.088000000000000256e+01 -6.459848144660940150e-01
5.088000000000000256e+01 -6.459848144660940150e-01
5.088000000000000256e+01 -6.459848144660940150e-01
5.088000000000000256e+01 -6.459848144660940150e-01
5.184000000000000341e+01 -6.459677758228890010e-01
5.184000000000000341e+01 -6.459677758228890010e-01
5.184000000000000341e+01 -6.459677758228890010e-01
5.184000000000000341e+01 -6.459677758228890010e-01
5.184000000000000341e+01 -6.459677758228890010e-01
5.279999999999999716e+01 -6.459486809629370052e-01
5.279999999999999716e+01 -6.459486809629370052e-01
5.279999999999999716e+01 -6.459486809629370052e-01
5.279999999999999716e+01 -6.459486809629370052e-01
5.279999999999999716e+01 -6.459486809629370052e-01
5.375999999999999801e+01 -6.459418831022469831e-01
5.375999999999999801e+01 -6.459418831022469831e-01
5.375999999999999801e+01 -6.459418831022469831e-01
5.375999999999999801e+01 -6.459418831022469831e-01
5.375999999999999801e+01 -6.459418831022469831e-01
5.471999999999999886e+01 -6.459570790448370126e-01
5.471999999999999886e+01 -6.459570790448370126e-01
5.471999999999999886e+01 -6.459570790448370126e-01
5.471999999999999886e+01 -6.459570790448370126e-01
5.471999999999999886e+01 -6.459570790448370126e-01
5.567999999999999972e+01 -6.459708884371719861e-01
5.567999999999999972e+01 -6.459708884371719861e-01
5.567999999999999972e+01 -6.459708884371719861e-01
5.567999999999999972e+01 -6.459708884371719861e-01
5.567999999999999972e+01 -6.459708884371719861e-01
5.664000000000000057e+01 -6.459356756569519797e-01
5.664000000000000057e+01 -6.459356756569519797e-01
5.664000000000000057e+01 -6.459356756569519797e-01
5.664000000000000057e+01 -6.459356756569519797e-01
5.664000000000000057e+01 -6.459356756569519797e-01
5.760000000000000142e+01 -6.458867322487730211e-01
5.760000000000000142e+01 -6.458867322487730211e-01
5.760000000000000142e+01 -6.458867322487730211e-01
5.760000000000000142e+01 -6.458867322487730211e-01
5.760000000000000142e+01 -6.458867322487730211e-01
5.856000000000000227e+01 -6.459133521041879877e-01
5.856000000000000227e+01 -6.459133521041879877e-01
5.856000000000000227e+01 -6.459133521041879877e-01
5.856000000000000227e+01 -6.459133521041879877e-01
5.856000000000000227e+01 -6.459133521041879877e-01
5.952000000000000313e+01 -6.459398268801600507e-01
5.952000000000000313e+01 -6.459398268801600507e-01
5.952000000000000313e+01 -6.459398268801600507e-01
5.952000000000000313e+01 -6.459398268801600507e-01
5.952000000000000313e+01 -6.459398268801600507e-01
6.047999999999999687e+01 -6.458836019754170543e-01
6.047999999999999687e+01 -6.458836019754170543e-01
6.047999999999999687e+01 -6.458836019754170543e-01
6.047999999999999687e+01 -6.458836019754170543e-01
6.047999999999999687e+01 -6.458836019754170543e-01
6.143999999999999773e+01 -6.458940464728289976e-01
6.143999999999999773e+01 -6.458940464728289976e-01
6.143999999999999773e+01 -6.458940464728289976e-01
6.143999999999999773e+01 -6.458940464728289976e-01
6.143999999999999773e+01 -6.458940464728289976e-01
6.239999999999999858e+01 -6.459034579205480409e-01
6.239999999999999858e+01 -6.459034579205480409e-01
6.239999999999999858e+01 -6.459034579205480409e-01
6.239999999999999858e+01 -6.459034579205480409e-01
6.239999999999999858e+01 -6.459034579205480409e-01
6.335999999999999943e+01 -6.458631192562820367e-01
6.335999999999999943e+01 -6.458631192562820367e-01
6.335999999999999943e+01 -6.458631192562820367e-01
6.335999999999999943e+01 -6.458631192562820367e-01
6.335999999999999943e+01 -6.458631192562820367e-01
6.431999999999999318e+01 -6.458943995833630325e-01
6.431999999999999318e+01 -6.458943995833630325e-01
6.431999999999999318e+01 -6.458943995833630325e-01
6.431999999999999318e+01 -6.458943995833630325e-01
6.431999999999999318e+01 -6.458943995833630325e-01
6.528000000000000114e+01 -6.458528110951899937e-01
6.528000000000000114e+01 -6.458528110951899937e-01
6.528000000000000114e+01 -6.458528110951899937e-01
6.528000000000000114e+01 -6.458528110951899937e-01
6.528000000000000114e+01 -6.458528110951899937e-01
6.623999999999999488e+01 -6.458781370247710374e-01
6.623999999999999488e+01 -6.458781370247710374e-01
6.623999999999999488e+01 -6.458781370247710374e-01
6.623999999999999488e+01 -6.458781370247710374e-01
6.623999999999999488e+01 -6.458781370247710374e-01
6.720000000000000284e+01 -6.458462648212129897e-01
6.720000000000000284e+01 -6.458462648212129897e-01
6.720000000000000284e+01 -6.458462648212129897e-01
6.720000000000000284e+01 -6.458462648212129897e-01
6.720000000000000284e+01 -6.458462648212129897e-01
6.815999999999999659e+01 -6.458655673219150239e-01
6.815999999999999659e+01 -6.458655673219150239e-01
6.815999999999999659e+01 -6.458655673219150239e-01
6.815999999999999659e+01 -6.458655673219150239e-01
6.815999999999999659e+01 -6.458655673219150239e-01
6.912000000000000455e+01 -6.458388254926269445e-01
6.912000000000000455e+01 -6.458388254926269445e-01
6.912000000000000455e+01 -6.458388254926269445e-01
6.912000000000000455e+01 -6.458388254926269445e-01
6.912000000000000455e+01 -6.458388254926269445e-01
7.007999999999999829e+01 -6.458618514425500390e-01
7.007999999999999829e+01 -6.458618514425500390e-01
7.007999999999999829e+01 -6.458618514425500390e-01
7.007999999999999829e+01 -6.458618514425500390e-01
7.007999999999999829e+01 -6.458618514425500390e-01
7.104000000000000625e+01 -6.458302809896649954e-01
7.104000000000000625e+01 -6.458302809896649954e-01
7.104000000000000625e+01 -6.458302809896649954e-01
7.104000000000000625e+01 -6.458302809896649954e-01
7.104000000000000625e+01 -6.458302809896649954e-01
7.200000000000000000e+01 -6.458661095624219639e-01
7.200000000000000000e+01 -6.458661095624219639e-01
7.200000000000000000e+01 -6.458661095624219639e-01
7.200000000000000000e+01 -6.458661095624219639e-01
7.200000000000000000e+01 -6.458661095624219639e-01
7.295999999999999375e+01 -6.458264297979400270e-01
7.295999999999999375e+01 -6.458264297979400270e-01
7.295999999999999375e+01 -6.458264297979400270e-01
7.295999999999999375e+01 -6.458264297979400270e-01
7.295999999999999375e+01 -6.458264297979400270e-01
7.392000000000000171e+01 -6.458703892080079889e-01
7.392000000000000171e+01 -6.458703892080079889e-01
7.392000000000000171e+01 -6.458703892080079889e-01
7.392000000000000171e+01 -6.458703892080079889e-01
7.392000000000000171e+01 -6.458703892080079889e-01
7.487999999999999545e+01 -6.458365031258289646e-01
7.487999999999999545e+01 -6.458365031258289646e-01
7.487999999999999545e+01 -6.458365031258289646e-01
7.487999999999999545e+01 -6.458365031258289646e-01
7.487999999999999545e+01 -6.458365031258289646e-01
7.584000000000000341e+01 -6.458645788301640156e-01
7.584000000000000341e+01 -6.458645788301640156e-01
7.584000000000000341e+01 -6.458645788301640156e-01
7.584000000000000341e+01 -6.458645788301640156e-01
7.584000000000000341e+01 -6.458645788301640156e-01
7.679999999999999716e+01 -6.458699438400660187e-01
7.679999999999999716e+01 -6.458699438400660187e-01
7.679999999999999716e+01 -6.458699438400660187e-01
7.679999999999999716e+01 -6.458699438400660187e-01
7.679999999999999716e+01 -6.458699438400660187e-01
7.776000000000000512e+01 -6.458503861814030023e-01
7.776000000000000512e+01 -6.458503861814030023e-01
7.776000000000000512e+01 -6.458503861814030023e-01
7.776000000000000512e+01 -6.458503861814030023e-01
7.776000000000000512e+01 -6.458503861814030023e-01
7.871999999999999886e+01 -6.459010869271469835e-01
7.871999999999999886e+01 -6.459010869271469835e-01
7.871999999999999886e+01 -6.459010869271469835e-01
7.871999999999999886e+01 -6.459010869271469835e-01
7.871999999999999886e+01 -6.459010869271469835e-01
7.968000000000000682e+01 -6.458691875298320229e-01
7.968000000000000682e+01 -6.458691875298320229e-01
7.968000000000000682e+01 -6.458691875298320229e-01
7.968000000000000682e+01 -6.458691875298320229e-01
7.968000000000000682e+01 -6.458691875298320229e-01
8.064000000000000057e+01 -6.458936976806219921e-01
8.064000000000000057e+01 -6.458936976806219921e-01
8.064000000000000057e+01 -6.458936976806219921e-01
8.064000000000000057e+01 -6.458936976806219921e-01
8.064000000000000057e+01 -6.458936976806219921e-01
8.159999999999999432e+01 -6.459277981097859556e-01
8.159999999999999432e+01 -6.459277981097859556e-01
8.159999999999999432e+01 -6.459277981097859556e-01
8.159999999999999432e+01 -6.459277981097859556e-01
8.159999999999999432e+01 -6.459277981097859556e-01
8.256000000000000227e+01 -6.458920422808099859e-01
8.256000000000000227e+01 -6.458920422808099859e-01
8.256000000000000227e+01 -6.458920422808099859e-01
8.256000000000000227e+01 -6.458920422808099859e-01
8.256000000000000227e+01 -6.458920422808099859e-01
8.351999999999999602e+01 -6.459419847776940449e-01
8.351999999999999602e+01 -6.459419847776940449e-01
8.351999999999999602e+01 -6.459419847776940449e-01
8.351999999999999602e+01 -6.459419847776940449e-01
8.351999999999999602e+01 -6.459419847776940449e-01
8.448000000000000398e+01 -6.459592805251199721e-01
8.448000000000000398e+01 -6.459592805251199721e-01
8.448000000000000398e+01 -6.459592805251199721e-01
8.448000000000000398e+01 -6.459592805251199721e-01
8.448000000000000398e+01 -6.459592805251199721e-01
8.543999999999999773e+01 -6.459344540100699916e-01
8.543999999999999773e+01 -6.459344540100699916e-01
8.543999999999999773e+01 -6.459344540100699916e-01
8.543999999999999773e+01 -6.459344540100699916e-01
8.543999999999999773e+01 -6.459344540100699916e-01
8.640000000000000568e+01 -6.459849423728070139e-01
8.640000000000000568e+01 -6.459849423728070139e-01
8.640000000000000568e+01 -6.459849423728070139e-01
8.640000000000000568e+01 -6.459849423728070139e-01
8.640000000000000568e+01 -6.459849423728070139e-01
8.735999999999999943e+01 -6.460075206888540311e-01
8.735999999999999943e+01 -6.460075206888540311e-01
8.735999999999999943e+01 -6.460075206888540311e-01
8.735999999999999943e+01 -6.460075206888540311e-01
8.735999999999999943e+01 -6.460075206888540311e-01
8.831999999999999318e+01 -6.459878520870729890e-01
8.831999999999999318e+01 -6.459878520870729890e-01
8.831999999999999318e+01 -6.459878520870729890e-01
8.831999999999999318e+01 -6.459878520870729890e-01
8.831999999999999318e+01 -6.459878520870729890e-01
8.928000000000000114e+01 -6.460269656760090351e-01
8.928000000000000114e+01 -6.460269656760090351e-01
8.928000000000000114e+01 -6.460269656760090351e-01
8.928000000000000114e+01 -6.460269656760090351e-01
8.928000000000000114e+01 -6.460269656760090351e-01
9.023999999999999488e+01 -6.460657221443719678e-01
9.023999999999999488e+01 -6.460657221443719678e-01
9.023999999999999488e+01 -6.460657221443719678e-01
9.023999999999999488e+01 -6.460657221443719678e-01
9.023999999999999488e+01 -6.460657221443719678e-01
9.120000000000000284e+01 -6.460559569970849569e-01
9.120000000000000284e+01 -6.460559569970849569e-01
9.120000000000000284e+01 -6.460559569970849569e-01
9.120000000000000284e+01 -6.460559569970849569e-01
9.120000000000000284e+01 -6.460559569970849569e-01
9.215999999999999659e+01 -6.460720401437719529e-01
9.215999999999999659e+01 -6.460720401437719529e-01
9.215999999999999659e+01 -6.460720401437719529e-01
9.215999999999999659e+01 -6.460720401437719529e-01
9.215999999999999659e+01 -6.460720401437719529e-01
9.312000000000000455e+01 -6.461187851127719872e-01
9.312000000000000455e+01 -6.461187851127719872e-01
9.312000000000000455e+01 -6.461187851127719872e-01
9.312000000000000455e+01 -6.461187851127719872e-01
9.312000000000000455e+01 -6.461187851127719872e-01
9.407999999999999829e+01 -6.461346906091329778e-01
9.407999999999999829e+01 -6.461346906091329778e-01
9.407999999999999829e+01 -6.461346906091329778e-01
9.407999999999999829e+01 -6.461346906091329778e-01
9.407999999999999829e+01 -6.461346906091329778e-01
9.504000000000000625e+01 -6.461348551540709861e-01
9.504000000000000625e+01 -6.461348551540709861e-01
9.504000000000000625e+01 -6.461348551540709861e-01
9.504000000000000625e+01 -6.461348551540709861e-01
9.504000000000000625e+01 -6.461348551540709861e-01
9.600000000000000000e+01 -6.461625268784130238e-01
9.600000000000000000e+01 -6.461625268784130238e-01
9.600000000000000000e+01 -6.461625268784130238e-01
9.600000000000000000e+01 -6.461625268784130238e-01
9.600000000000000000e+01 -6.461625268784130238e-01
9.695999999999999375e+01 -6.462006874016810176e-01
9.695999999999999375e+01 -6.462006874016810176e-01
9.695999999999999375e+01 -6.462006874016810176e-01
9.695999999999999375e+01 -6.462006874016810176e-01
9.695999999999999375e+01 -6.462006874016810176e-01
9.792000000000000171e+01 -6.462169633139059899e-01
9.792000000000000171e+01 -6.462169633139059899e-01
9.792000000000000171e+01 -6.462169633139059899e-01
9.792000000000000171e+01 -6.462169633139059899e-01
9.792000000000000171e+01 -6.462169633139059899e-01
9.887999999999999545e+01 -6.462221933404560525e-01
9.887999999999999545e+01 -6.462221933404560525e-01
9.887999999999999545e+01 -6.462221933404560525e-01
9.887999999999999545e+01 -6.462221933404560525e-01
9.887999999999999545e+01 -6.462221933404560525e-01
9.984000000000000341e+01 -6.462456218861919455e-01
9.984000000000000341e+01 -6.462456218861919455e-01
9.984000000000000341e+01 -6.462456218861919455e-01
9.984000000000000341e+01 -6.462456218861919455e-01
9.984000000000000341e+01 -6.462456218861919455e-01
1.007999999999999972e+02 -6.462801059581489982e-01
1.007999999999999972e+02 -6.462801059581489982e-01
1.007999999999999972e+02 -6.462801059581489982e-01
1.007999999999999972e+02 -6.462801059581489982e-01
1.007999999999999972e+02 -6.462801059581489982e-01
1.017600000000000051e+02 -6.463005780768410480e-01
1.017600000000000051e+02 -6.463005780768410480e-01
1.017600000000000051e+02 -6.463005780768410480e-01
1.017600000000000051e+02 -6.463005780768410480e-01
1.017600000000000051e+02 -6.463005780768410480e-01
1.027199999999999989e+02 -6.463066478254460012e-01
1.027199999999999989e+02 -6.463066478254460012e-01
1.027199999999999989e+02 -6.463066478254460012e-01
1.027199999999999989e+02 -6.463066478254460012e-01
1.027199999999999989e+02 -6.463066478254460012e-01
