t phi
9.599999999999999645e-01 -6.464685347785910086e-01
9.599999999999999645e-01 -6.464685347785910086e-01
9.599999999999999645e-01 -6.464685347785910086e-01
9.599999999999999645e-01 -6.464685347785910086e-01
9.599999999999999645e-01 -6.464685347785910086e-01
1.919999999999999929e+00 -6.464700619349249555e-01
1.919999999999999929e+00 -6.464700619349249555e-01
1.919999999999999929e+00 -6.464700619349249555e-01
1.919999999999999929e+00 -6.464700619349249555e-01
1.919999999999999929e+00 -6.464700619349249555e-01
2.879999999999999893e+00 -6.464766863295400290e-01
2.879999999999999893e+00 -6.464766863295400290e-01
2.879999999999999893e+00 -6.464766863295400290e-01
2.879999999999999893e+00 -6.464766863295400290e-01
2.879999999999999893e+00 -6.464766863295400290e-01
3.839999999999999858e+00 -6.464745446301769505e-01
3.839999999999999858e+00 -6.464745446301769505e-01
3.839999999999999858e+00 -6.464745446301769505e-01
3.839999999999999858e+00 -6.464745446301769505e-01
3.839999999999999858e+00 -6.464745446301769505e-01
4.799999999999999822e+00 -6.464677763372269625e-01
4.799999999999999822e+00 -6.464677763372269625e-01
4.799999999999999822e+00 -6.464677763372269625e-01
4.799999999999999822e+00 -6.464677763372269625e-01
4.799999999999999822e+00 -6.464677763372269625e-01
5.759999999999999787e+00 -6.464714497819370465e-01
5.759999999999999787e+00 -6.464714497819370465e-01
5.759999999999999787e+00 -6.464714497819370465e-01
5.759999999999999787e+00 -6.464714497819370465e-01
5.759999999999999787e+00 -6.464714497819370465e-01
6.719999999999999751e+00 -6.464716784664169547e-01
6.719999999999999751e+00 -6.464716784664169547e-01
6.719999999999999751e+00 -6.464716784664169547e-01
6.719999999999999751e+00 -6.464716784664169547e-01
6.719999999999999751e+00 -6.464716784664169547e-01
7.679999999999999716e+00 -6.464682020745029511e-01
7.679999999999999716e+00 -6.464682020745029511e-01
7.679999999999999716e+00 -6.464682020745029511e-01
7.679999999999999716e+00 -6.464682020745029511e-01
7.679999999999999716e+00 -6.464682020745029511e-01
8.640000000000000568e+00 -6.464599440785829820e-01
8.640000000000000568e+00 -6.464599440785829820e-01
8.640000000000000568e+00 -6.464599440785829820e-01
8.640000000000000568e+00 -6.464599440785829820e-01
8.640000000000000568e+00 -6.464599440785829820e-01
9.599999999999999645e+00 -6.464607541986630013e-01
9.599999999999999645e+00 -6.464607541986630013e-01
9.599999999999999645e+00 -6.464607541986630013e-01
9.599999999999999645e+00 -6.464607541986630013e-01
9.599999999999999645e+00 -6.464607541986630013e-01
1.056000000000000050e+01 -6.464581375997859869e-01
1.056000000000000050e+01 -6.464581375997859869e-01
1.056000000000000050e+01 -6.464581375997859869e-01
1.056000000000000050e+01 -6.464581375997859869e-01
1.056000000000000050e+01 -6.464581375997859869e-01
1.151999999999999957e+01 -6.464523952045729827e-01
1.151999999999999957e+01 -6.464523952045729827e-01
1.151999999999999957e+01 -6.464523952045729827e-01
1.151999999999999957e+01 -6.464523952045729827e-01
1.151999999999999957e+01 -6.464523952045729827e-01
1.248000000000000043e+01 -6.464501451429710555e-01
1.248000000000000043e+01 -6.464501451429710555e-01
1.248000000000000043e+01 -6.464501451429710555e-01
1.248000000000000043e+01 -6.464501451429710555e-01
1.248000000000000043e+01 -6.464501451429710555e-01
1.343999999999999950e+01 -6.464493794903960477e-01
1.343999999999999950e+01 -6.464493794903960477e-01
1.343999999999999950e+01 -6.464493794903960477e-01
1.343999999999999950e+01 -6.464493794903960477e-01
1.343999999999999950e+01 -6.464493794903960477e-01
1.440000000000000036e+01 -6.464466528008809831e-01
1.440000000000000036e+01 -6.464466528008809831e-01
1.440000000000000036e+01 -6.464466528008809831e-01
1.440000000000000036e+01 -6.464466528008809831e-01
1.440000000000000036e+01 -6.464466528008809831e-01
1.535999999999999943e+01 -6.464437186100000510e-01
1.535999999999999943e+01 -6.464437186100000510e-01
1.535999999999999943e+01 -6.464437186100000510e-01
1.535999999999999943e+01 -6.464437186100000510e-01
1.535999999999999943e+01 -6.464437186100000510e-01
1.632000000000000028e+01 -6.464407567301110324e-01
1.632000000000000028e+01 -6.464407567301110324e-01
1.632000000000000028e+01 -6.464407567301110324e-01
1.632000000000000028e+01 -6.464407567301110324e-01
1.632000000000000028e+01 -6.464407567301110324e-01
1.728000000000000114e+01 -6.464363210928719683e-01
1.728000000000000114e+01 -6.464363210928719683e-01
1.728000000000000114e+01 -6.464363210928719683e-01
1.728000000000000114e+01 -6.464363210928719683e-01
1.728000000000000114e+01 -6.464363210928719683e-01
1.823999999999999844e+01 -6.464312663663449587e-01
1.823999999999999844e+01 -6.464312663663449587e-01
1.823999999999999844e+01 -6.464312663663449587e-01
1.823999999999999844e+01 -6.464312663663449587e-01
1.823999999999999844e+01 -6.464312663663449587e-01
1.919999999999999929e+01 -6.464245738047740275e-01
1.919999999999999929e+01 -6.464245738047740275e-01
1.919999999999999929e+01 -6.464245738047740275e-01
1.919999999999999929e+01 -6.464245738047740275e-01
1.919999999999999929e+01 -6.464245738047740275e-01
2.016000000000000014e+01 -6.464168979525940495e-01
2.016000000000000014e+01 -6.464168979525940495e-01
2.016000000000000014e+01 -6.464168979525940495e-01
2.016000000000000014e+01 -6.464168979525940495e-01
2.016000000000000014e+01 -6.464168979525940495e-01
2.112000000000000099e+01 -6.464081814863199549e-01
2.112000000000000099e+01 -6.464081814863199549e-01
2.112000000000000099e+01 -6.464081814863199549e-01
2.112000000000000099e+01 -6.464081814863199549e-01
2.112000000000000099e+01 -6.464081814863199549e-01
2.207999999999999829e+01 -6.463985596114329990e-01
2.207999999999999829e+01 -6.463985596114329990e-01
2.207999999999999829e+01 -6.463985596114329990e-01
2.207999999999999829e+01 -6.463985596114329990e-01
2.207999999999999829e+01 -6.463985596114329990e-01
