t phi
5.999999999999999778e-01 -6.464694949592380002e-01
5.999999999999999778e-01 -6.464694949592380002e-01
5.999999999999999778e-01 -6.464694949592380002e-01
5.999999999999999778e-01 -6.464694949592380002e-01
5.999999999999999778e-01 -6.464694949592380002e-01
1.199999999999999956e+00 -6.464708337651490222e-01
1.199999999999999956e+00 -6.464708337651490222e-01
1.199999999999999956e+00 -6.464708337651490222e-01
1.199999999999999956e+00 -6.464708337651490222e-01
1.199999999999999956e+00 -6.464708337651490222e-01
1.800000000000000044e+00 -6.464694006962560247e-01
1.800000000000000044e+00 -6.464694006962560247e-01
1.800000000000000044e+00 -6.464694006962560247e-01
1.800000000000000044e+00 -6.464694006962560247e-01
1.800000000000000044e+00 -6.464694006962560247e-01
2.399999999999999911e+00 -6.464689199759180438e-01
2.399999999999999911e+00 -6.464689199759180438e-01
2.399999999999999911e+00 -6.464689199759180438e-01
2.399999999999999911e+00 -6.464689199759180438e-01
2.399999999999999911e+00 -6.464689199759180438e-01
3.000000000000000000e+00 -6.464718659655009914e-01
3.000000000000000000e+00 -6.464718659655009914e-01
3.000000000000000000e+00 -6.464718659655009914e-01
3.000000000000000000e+00 -6.464718659655009914e-01
3.000000000000000000e+00 -6.464718659655009914e-01
3.600000000000000089e+00 -6.464690248607589673e-01
3.600000000000000089e+00 -6.464690248607589673e-01
3.600000000000000089e+00 -6.464690248607589673e-01
3.600000000000000089e+00 -6.464690248607589673e-01
3.600000000000000089e+00 -6.464690248607589673e-01
4.200000000000000178e+00 -6.464739106596220086e-01
4.200000000000000178e+00 -6.464739106596220086e-01
4.200000000000000178e+00 -6.464739106596220086e-01
4.200000000000000178e+00 -6.464739106596220086e-01
4.200000000000000178e+00 -6.464739106596220086e-01
4.799999999999999822e+00 -6.464688856470479639e-01
4.799999999999999822e+00 -6.464688856470479639e-01
4.799999999999999822e+00 -6.464688856470479639e-01
4.799999999999999822e+00 -6.464688856470479639e-01
4.799999999999999822e+00 -6.464688856470479639e-01
5.400000000000000355e+00 -6.464669420839580516e-01
5.400000000000000355e+00 -6.464669420839580516e-01
5.400000000000000355e+00 -6.464669420839580516e-01
5.400000000000000355e+00 -6.464669420839580516e-01
5.400000000000000355e+00 -6.464669420839580516e-01
6.000000000000000000e+00 -6.464686207323320222e-01
6.000000000000000000e+00 -6.464686207323320222e-01
6.000000000000000000e+00 -6.464686207323320222e-01
6.000000000000000000e+00 -6.464686207323320222e-01
6.000000000000000000e+00 -6.464686207323320222e-01
6.599999999999999645e+00 -6.464724958215529727e-01
6.599999999999999645e+00 -6.464724958215529727e-01
6.599999999999999645e+00 -6.464724958215529727e-01
6.599999999999999645e+00 -6.464724958215529727e-01
6.599999999999999645e+00 -6.464724958215529727e-01
7.200000000000000178e+00 -6.464649022420649871e-01
7.200000000000000178e+00 -6.464649022420649871e-01
7.200000000000000178e+00 -6.464649022420649871e-01
7.200000000000000178e+00 -6.464649022420649871e-01
7.200000000000000178e+00 -6.464649022420649871e-01
7.799999999999999822e+00 -6.464684532273630158e-01
7.799999999999999822e+00 -6.464684532273630158e-01
7.799999999999999822e+00 -6.464684532273630158e-01
7.799999999999999822e+00 -6.464684532273630158e-01
7.799999999999999822e+00 -6.464684532273630158e-01
8.400000000000000355e+00 -6.464634373808140211e-01
8.400000000000000355e+00 -6.464634373808140211e-01
8.400000000000000355e+00 -6.464634373808140211e-01
8.400000000000000355e+00 -6.464634373808140211e-01
8.400000000000000355e+00 -6.464634373808140211e-01
9.000000000000000000e+00 -6.464621343035350520e-01
9.000000000000000000e+00 -6.464621343035350520e-01
9.000000000000000000e+00 -6.464621343035350520e-01
9.000000000000000000e+00 -6.464621343035350520e-01
9.000000000000000000e+00 -6.464621343035350520e-01
9.599999999999999645e+00 -6.464599143945489734e-01
9.599999999999999645e+00 -6.464599143945489734e-01
9.599999999999999645e+00 -6.464599143945489734e-01
9.599999999999999645e+00 -6.464599143945489734e-01
9.599999999999999645e+00 -6.464599143945489734e-01
