t phi
0.000000000000000000e+00 -5.196582195200000198e-01
0.000000000000000000e+00 -5.196582195200000198e-01
0.000000000000000000e+00 -5.196582195200000198e-01
0.000000000000000000e+00 -5.196582195200000198e-01
6.400000000000000133e-01 -5.196592683538440172e-01
6.400000000000000133e-01 -5.196592683538440172e-01
6.400000000000000133e-01 -5.196592683538440172e-01
6.400000000000000133e-01 -5.196592683538440172e-01
1.280000000000000027e+00 -5.196603965665229641e-01
1.280000000000000027e+00 -5.196603965665229641e-01
1.280000000000000027e+00 -5.196603965665229641e-01
1.280000000000000027e+00 -5.196603965665229641e-01
1.919999999999999929e+00 -5.196634725573510138e-01
1.919999999999999929e+00 -5.196634725573510138e-01
1.919999999999999929e+00 -5.196634725573510138e-01
1.919999999999999929e+00 -5.196634725573510138e-01
2.560000000000000053e+00 -5.196666512916230385e-01
2.560000000000000053e+00 -5.196666512916230385e-01
2.560000000000000053e+00 -5.196666512916230385e-01
2.560000000000000053e+00 -5.196666512916230385e-01
3.200000000000000178e+00 -5.196701686129000519e-01
3.200000000000000178e+00 -5.196701686129000519e-01
3.200000000000000178e+00 -5.196701686129000519e-01
3.200000000000000178e+00 -5.196701686129000519e-01
3.839999999999999858e+00 -5.196747313515139854e-01
3.839999999999999858e+00 -5.196747313515139854e-01
3.839999999999999858e+00 -5.196747313515139854e-01
3.839999999999999858e+00 -5.196747313515139854e-01
4.480000000000000426e+00 -5.196798635132410249e-01
4.480000000000000426e+00 -5.196798635132410249e-01
4.480000000000000426e+00 -5.196798635132410249e-01
4.480000000000000426e+00 -5.196798635132410249e-01
5.120000000000000107e+00 -5.196849798747800175e-01
5.120000000000000107e+00 -5.196849798747800175e-01
5.120000000000000107e+00 -5.196849798747800175e-01
5.120000000000000107e+00 -5.196849798747800175e-01
5.759999999999999787e+00 -5.196887525958020504e-01
5.759999999999999787e+00 -5.196887525958020504e-01
5.759999999999999787e+00 -5.196887525958020504e-01
5.759999999999999787e+00 -5.196887525958020504e-01
6.400000000000000355e+00 -5.196918024383040402e-01
6.400000000000000355e+00 -5.196918024383040402e-01
6.400000000000000355e+00 -5.196918024383040402e-01
6.400000000000000355e+00 -5.196918024383040402e-01
7.040000000000000036e+00 -5.196969032223770490e-01
7.040000000000000036e+00 -5.196969032223770490e-01
