t phi
2.399999999999999911e+00 -6.464696655075850007e-01
2.399999999999999911e+00 -6.464696655075850007e-01
2.399999999999999911e+00 -6.464696655075850007e-01
2.399999999999999911e+00 -6.464696655075850007e-01
2.399999999999999911e+00 -6.464696655075850007e-01
4.799999999999999822e+00 -6.464665567382920086e-01
4.799999999999999822e+00 -6.464665567382920086e-01
4.799999999999999822e+00 -6.464665567382920086e-01
4.799999999999999822e+00 -6.464665567382920086e-01
4.799999999999999822e+00 -6.464665567382920086e-01
7.200000000000000178e+00 -6.464630938277999839e-01
7.200000000000000178e+00 -6.464630938277999839e-01
7.200000000000000178e+00 -6.464630938277999839e-01
7.200000000000000178e+00 -6.464630938277999839e-01
7.200000000000000178e+00 -6.464630938277999839e-01
9.599999999999999645e+00 -6.464558970367439983e-01
9.599999999999999645e+00 -6.464558970367439983e-01
9.599999999999999645e+00 -6.464558970367439983e-01
9.599999999999999645e+00 -6.464558970367439983e-01
9.599999999999999645e+00 -6.464558970367439983e-01
1.200000000000000000e+01 -6.464485952788330270e-01
1.200000000000000000e+01 -6.464485952788330270e-01
1.200000000000000000e+01 -6.464485952788330270e-01
1.200000000000000000e+01 -6.464485952788330270e-01
1.200000000000000000e+01 -6.464485952788330270e-01
1.440000000000000036e+01 -6.464431770906879926e-01
1.440000000000000036e+01 -6.464431770906879926e-01
1.440000000000000036e+01 -6.464431770906879926e-01
1.440000000000000036e+01 -6.464431770906879926e-01
1.440000000000000036e+01 -6.464431770906879926e-01
1.680000000000000071e+01 -6.464382735643150468e-01
1.680000000000000071e+01 -6.464382735643150468e-01
1.680000000000000071e+01 -6.464382735643150468e-01
1.680000000000000071e+01 -6.464382735643150468e-01
1.680000000000000071e+01 -6.464382735643150468e-01
1.919999999999999929e+01 -6.464308275746359911e-01
1.919999999999999929e+01 -6.464308275746359911e-01
1.919999999999999929e+01 -6.464308275746359911e-01
1.919999999999999929e+01 -6.464308275746359911e-01
1.919999999999999929e+01 -6.464308275746359911e-01
2.160000000000000142e+01 -6.464216217667839715e-01
2.160000000000000142e+01 -6.464216217667839715e-01
2.160000000000000142e+01 -6.464216217667839715e-01
2.160000000000000142e+01 -6.464216217667839715e-01
2.160000000000000142e+01 -6.464216217667839715e-01
2.400000000000000000e+01 -6.464106819932029513e-01
2.400000000000000000e+01 -6.464106819932029513e-01
2.400000000000000000e+01 -6.464106819932029513e-01
2.400000000000000000e+01 -6.464106819932029513e-01
2.400000000000000000e+01 -6.464106819932029513e-01
2.639999999999999858e+01 -6.463976645573009661e-01
2.639999999999999858e+01 -6.463976645573009661e-01
2.639999999999999858e+01 -6.463976645573009661e-01
2.639999999999999858e+01 -6.463976645573009661e-01
2.639999999999999858e+01 -6.463976645573009661e-01
2.880000000000000071e+01 -6.463824069975110387e-01
2.880000000000000071e+01 -6.463824069975110387e-01
2.880000000000000071e+01 -6.463824069975110387e-01
2.880000000000000071e+01 -6.463824069975110387e-01
2.880000000000000071e+01 -6.463824069975110387e-01
3.119999999999999929e+01 -6.463650972816800122e-01
3.119999999999999929e+01 -6.463650972816800122e-01
3.119999999999999929e+01 -6.463650972816800122e-01
3.119999999999999929e+01 -6.463650972816800122e-01
3.119999999999999929e+01 -6.463650972816800122e-01
3.360000000000000142e+01 -6.463473326500730476e-01
3.360000000000000142e+01 -6.463473326500730476e-01
3.360000000000000142e+01 -6.463473326500730476e-01
3.360000000000000142e+01 -6.463473326500730476e-01
3.360000000000000142e+01 -6.463473326500730476e-01
3.600000000000000000e+01 -6.463330543649500326e-01
3.600000000000000000e+01 -6.463330543649500326e-01
3.600000000000000000e+01 -6.463330543649500326e-01
3.600000000000000000e+01 -6.463330543649500326e-01
3.600000000000000000e+01 -6.463330543649500326e-01
3.839999999999999858e+01 -6.463251446884650253e-01
3.839999999999999858e+01 -6.463251446884650253e-01
3.839999999999999858e+01 -6.463251446884650253e-01
3.839999999999999858e+01 -6.463251446884650253e-01
3.839999999999999858e+01 -6.463251446884650253e-01
4.079999999999999716e+01 -6.463235186345259731e-01
4.079999999999999716e+01 -6.463235186345259731e-01
4.079999999999999716e+01 -6.463235186345259731e-01
4.079999999999999716e+01 -6.463235186345259731e-01
4.079999999999999716e+01 -6.463235186345259731e-01
4.320000000000000284e+01 -6.463229445400020534e-01
4.320000000000000284e+01 -6.463229445400020534e-01
4.320000000000000284e+01 -6.463229445400020534e-01
4.320000000000000284e+01 -6.463229445400020534e-01
4.320000000000000284e+01 -6.463229445400020534e-01
4.560000000000000142e+01 -6.463165295653759967e-01
4.560000000000000142e+01 -6.463165295653759967e-01
4.560000000000000142e+01 -6.463165295653759967e-01
4.560000000000000142e+01 -6.463165295653759967e-01
4.560000000000000142e+01 -6.463165295653759967e-01
4.800000000000000000e+01 -6.463011306377820508e-01
4.800000000000000000e+01 -6.463011306377820508e-01
4.800000000000000000e+01 -6.463011306377820508e-01
4.800000000000000000e+01 -6.463011306377820508e-01
4.800000000000000000e+01 -6.463011306377820508e-01
5.039999999999999858e+01 -6.462814191994119550e-01
5.039999999999999858e+01 -6.462814191994119550e-01
5.039999999999999858e+01 -6.462814191994119550e-01
5.039999999999999858e+01 -6.462814191994119550e-01
5.039999999999999858e+01 -6.462814191994119550e-01
5.279999999999999716e+01 -6.462641238871610350e-01
5.279999999999999716e+01 -6.462641238871610350e-01
5.279999999999999716e+01 -6.462641238871610350e-01
5.279999999999999716e+01 -6.462641238871610350e-01
5.279999999999999716e+01 -6.462641238871610350e-01
5.520000000000000284e+01 -6.462528720621499856e-01
5.520000000000000284e+01 -6.462528720621499856e-01
5.520000000000000284e+01 -6.462528720621499856e-01
5.520000000000000284e+01 -6.462528720621499856e-01
5.520000000000000284e+01 -6.462528720621499856e-01
5.760000000000000142e+01 -6.462451200879080204e-01
5.760000000000000142e+01 -6.462451200879080204e-01
5.760000000000000142e+01 -6.462451200879080204e-01
5.760000000000000142e+01 -6.462451200879080204e-01
5.760000000000000142e+01 -6.462451200879080204e-01
6.000000000000000000e+01 -6.462418210721160294e-01
6.000000000000000000e+01 -6.462418210721160294e-01
6.000000000000000000e+01 -6.462418210721160294e-01
6.000000000000000000e+01 -6.462418210721160294e-01
6.000000000000000000e+01 -6.462418210721160294e-01
6.239999999999999858e+01 -6.462419619463359854e-01
6.239999999999999858e+01 -6.462419619463359854e-01
6.239999999999999858e+01 -6.462419619463359854e-01
6.239999999999999858e+01 -6.462419619463359854e-01
6.239999999999999858e+01 -6.462419619463359854e-01
6.479999999999999716e+01 -6.462316060369579507e-01
6.479999999999999716e+01 -6.462316060369579507e-01
6.479999999999999716e+01 -6.462316060369579507e-01
6.479999999999999716e+01 -6.462316060369579507e-01
6.479999999999999716e+01 -6.462316060369579507e-01
6.720000000000000284e+01 -6.462266988284970370e-01
6.720000000000000284e+01 -6.462266988284970370e-01
6.720000000000000284e+01 -6.462266988284970370e-01
6.720000000000000284e+01 -6.462266988284970370e-01
6.720000000000000284e+01 -6.462266988284970370e-01
6.959999999999999432e+01 -6.462299783386620255e-01
6.959999999999999432e+01 -6.462299783386620255e-01
6.959999999999999432e+01 -6.462299783386620255e-01
6.959999999999999432e+01 -6.462299783386620255e-01
6.959999999999999432e+01 -6.462299783386620255e-01
7.200000000000000000e+01 -6.462279459013059446e-01
7.200000000000000000e+01 -6.462279459013059446e-01
7.200000000000000000e+01 -6.462279459013059446e-01
7.200000000000000000e+01 -6.462279459013059446e-01
7.200000000000000000e+01 -6.462279459013059446e-01
7.440000000000000568e+01 -6.462253404280260405e-01
7.440000000000000568e+01 -6.462253404280260405e-01
7.440000000000000568e+01 -6.462253404280260405e-01
7.440000000000000568e+01 -6.462253404280260405e-01
7.440000000000000568e+01 -6.462253404280260405e-01
7.679999999999999716e+01 -6.462260541260750335e-01
7.679999999999999716e+01 -6.462260541260750335e-01
7.679999999999999716e+01 -6.462260541260750335e-01
7.679999999999999716e+01 -6.462260541260750335e-01
7.679999999999999716e+01 -6.462260541260750335e-01
7.920000000000000284e+01 -6.462308273278060122e-01
7.920000000000000284e+01 -6.462308273278060122e-01
7.920000000000000284e+01 -6.462308273278060122e-01
7.920000000000000284e+01 -6.462308273278060122e-01
7.920000000000000284e+01 -6.462308273278060122e-01
8.159999999999999432e+01 -6.462393415429159571e-01
8.159999999999999432e+01 -6.462393415429159571e-01
8.159999999999999432e+01 -6.462393415429159571e-01
8.159999999999999432e+01 -6.462393415429159571e-01
8.159999999999999432e+01 -6.462393415429159571e-01
8.400000000000000000e+01 -6.462478818685110094e-01
8.400000000000000000e+01 -6.462478818685110094e-01
8.400000000000000000e+01 -6.462478818685110094e-01
8.400000000000000000e+01 -6.462478818685110094e-01
8.400000000000000000e+01 -6.462478818685110094e-01
8.640000000000000568e+01 -6.462477974483300525e-01
8.640000000000000568e+01 -6.462477974483300525e-01
8.640000000000000568e+01 -6.462477974483300525e-01
8.640000000000000568e+01 -6.462477974483300525e-01
8.640000000000000568e+01 -6.462477974483300525e-01
8.879999999999999716e+01 -6.462413386227580103e-01
8.879999999999999716e+01 -6.462413386227580103e-01
8.879999999999999716e+01 -6.462413386227580103e-01
8.879999999999999716e+01 -6.462413386227580103e-01
8.879999999999999716e+01 -6.462413386227580103e-01
9.120000000000000284e+01 -6.462536678507300181e-01
9.120000000000000284e+01 -6.462536678507300181e-01
9.120000000000000284e+01 -6.462536678507300181e-01
9.120000000000000284e+01 -6.462536678507300181e-01
9.120000000000000284e+01 -6.462536678507300181e-01
9.359999999999999432e+01 -6.462759881801579676e-01
9.359999999999999432e+01 -6.462759881801579676e-01
9.359999999999999432e+01 -6.462759881801579676e-01
9.359999999999999432e+01 -6.462759881801579676e-01
9.359999999999999432e+01 -6.462759881801579676e-01
9.600000000000000000e+01 -6.462712870316620339e-01
9.600000000000000000e+01 -6.462712870316620339e-01
9.600000000000000000e+01 -6.462712870316620339e-01
9.600000000000000000e+01 -6.462712870316620339e-01
9.600000000000000000e+01 -6.462712870316620339e-01
9.840000000000000568e+01 -6.462831670217900060e-01
9.840000000000000568e+01 -6.462831670217900060e-01
9.840000000000000568e+01 -6.462831670217900060e-01
9.840000000000000568e+01 -6.462831670217900060e-01
9.840000000000000568e+01 -6.462831670217900060e-01
1.007999999999999972e+02 -6.462993160298839967e-01
1.007999999999999972e+02 -6.462993160298839967e-01
1.007999999999999972e+02 -6.462993160298839967e-01
1.007999999999999972e+02 -6.462993160298839967e-01
1.007999999999999972e+02 -6.462993160298839967e-01
1.032000000000000028e+02 -6.462969491526869836e-01
1.032000000000000028e+02 -6.462969491526869836e-01
1.032000000000000028e+02 -6.462969491526869836e-01
1.032000000000000028e+02 -6.462969491526869836e-01
1.032000000000000028e+02 -6.462969491526869836e-01
1.055999999999999943e+02 -6.463165187177040139e-01
1.055999999999999943e+02 -6.463165187177040139e-01
1.055999999999999943e+02 -6.463165187177040139e-01
1.055999999999999943e+02 -6.463165187177040139e-01
1.055999999999999943e+02 -6.463165187177040139e-01
1.080000000000000000e+02 -6.463123710818989842e-01
1.080000000000000000e+02 -6.463123710818989842e-01
1.080000000000000000e+02 -6.463123710818989842e-01
1.080000000000000000e+02 -6.463123710818989842e-01
1.080000000000000000e+02 -6.463123710818989842e-01
1.104000000000000057e+02 -6.463281985987330280e-01
1.104000000000000057e+02 -6.463281985987330280e-01
1.104000000000000057e+02 -6.463281985987330280e-01
1.104000000000000057e+02 -6.463281985987330280e-01
1.104000000000000057e+02 -6.463281985987330280e-01
1.127999999999999972e+02 -6.463245693050949647e-01
1.127999999999999972e+02 -6.463245693050949647e-01
1.127999999999999972e+02 -6.463245693050949647e-01
1.127999999999999972e+02 -6.463245693050949647e-01
1.127999999999999972e+02 -6.463245693050949647e-01
1.152000000000000028e+02 -6.463365119319249841e-01
1.152000000000000028e+02 -6.463365119319249841e-01
1.152000000000000028e+02 -6.463365119319249841e-01
1.152000000000000028e+02 -6.463365119319249841e-01
1.152000000000000028e+02 -6.463365119319249841e-01
1.175999999999999943e+02 -6.463365647207329756e-01
1.175999999999999943e+02 -6.463365647207329756e-01
1.175999999999999943e+02 -6.463365647207329756e-01
1.175999999999999943e+02 -6.463365647207329756e-01
1.175999999999999943e+02 -6.463365647207329756e-01
1.200000000000000000e+02 -6.463436285858840114e-01
1.200000000000000000e+02 -6.463436285858840114e-01
1.200000000000000000e+02 -6.463436285858840114e-01
