t phi
3.600000000000000089e+00 -6.464657825469549701e-01
3.600000000000000089e+00 -6.464657825469549701e-01
3.600000000000000089e+00 -6.464657825469549701e-01
3.600000000000000089e+00 -6.464657825469549701e-01
3.600000000000000089e+00 -6.464657825469549701e-01
7.200000000000000178e+00 -6.464606252643420037e-01
7.200000000000000178e+00 -6.464606252643420037e-01
7.200000000000000178e+00 -6.464606252643420037e-01
7.200000000000000178e+00 -6.464606252643420037e-01
7.200000000000000178e+00 -6.464606252643420037e-01
1.080000000000000071e+01 -6.464497248219209791e-01
1.080000000000000071e+01 -6.464497248219209791e-01
1.080000000000000071e+01 -6.464497248219209791e-01
1.080000000000000071e+01 -6.464497248219209791e-01
1.080000000000000071e+01 -6.464497248219209791e-01
1.440000000000000036e+01 -6.464322801519759576e-01
1.440000000000000036e+01 -6.464322801519759576e-01
1.440000000000000036e+01 -6.464322801519759576e-01
1.440000000000000036e+01 -6.464322801519759576e-01
1.440000000000000036e+01 -6.464322801519759576e-01
1.800000000000000000e+01 -6.464230795163320442e-01
1.800000000000000000e+01 -6.464230795163320442e-01
1.800000000000000000e+01 -6.464230795163320442e-01
1.800000000000000000e+01 -6.464230795163320442e-01
1.800000000000000000e+01 -6.464230795163320442e-01
2.160000000000000142e+01 -6.464015215587579632e-01
2.160000000000000142e+01 -6.464015215587579632e-01
2.160000000000000142e+01 -6.464015215587579632e-01
2.160000000000000142e+01 -6.464015215587579632e-01
2.160000000000000142e+01 -6.464015215587579632e-01
2.519999999999999929e+01 -6.463722477172380021e-01
2.519999999999999929e+01 -6.463722477172380021e-01
2.519999999999999929e+01 -6.463722477172380021e-01
2.519999999999999929e+01 -6.463722477172380021e-01
2.519999999999999929e+01 -6.463722477172380021e-01
2.880000000000000071e+01 -6.463332564594379548e-01
2.880000000000000071e+01 -6.463332564594379548e-01
2.880000000000000071e+01 -6.463332564594379548e-01
2.880000000000000071e+01 -6.463332564594379548e-01
2.880000000000000071e+01 -6.463332564594379548e-01
3.239999999999999858e+01 -6.462922918754290258e-01
3.239999999999999858e+01 -6.462922918754290258e-01
3.239999999999999858e+01 -6.462922918754290258e-01
3.239999999999999858e+01 -6.462922918754290258e-01
3.239999999999999858e+01 -6.462922918754290258e-01
3.600000000000000000e+01 -6.462707382908290388e-01
3.600000000000000000e+01 -6.462707382908290388e-01
3.600000000000000000e+01 -6.462707382908290388e-01
3.600000000000000000e+01 -6.462707382908290388e-01
3.600000000000000000e+01 -6.462707382908290388e-01
3.960000000000000142e+01 -6.462718839634780110e-01
3.960000000000000142e+01 -6.462718839634780110e-01
3.960000000000000142e+01 -6.462718839634780110e-01
3.960000000000000142e+01 -6.462718839634780110e-01
3.960000000000000142e+01 -6.462718839634780110e-01
4.320000000000000284e+01 -6.462689330213450267e-01
4.320000000000000284e+01 -6.462689330213450267e-01
4.320000000000000284e+01 -6.462689330213450267e-01
4.320000000000000284e+01 -6.462689330213450267e-01
4.320000000000000284e+01 -6.462689330213450267e-01
4.679999999999999716e+01 -6.462373897384829924e-01
4.679999999999999716e+01 -6.462373897384829924e-01
4.679999999999999716e+01 -6.462373897384829924e-01
4.679999999999999716e+01 -6.462373897384829924e-01
4.679999999999999716e+01 -6.462373897384829924e-01
5.039999999999999858e+01 -6.461842940319939554e-01
5.039999999999999858e+01 -6.461842940319939554e-01
5.039999999999999858e+01 -6.461842940319939554e-01
5.039999999999999858e+01 -6.461842940319939554e-01
5.039999999999999858e+01 -6.461842940319939554e-01
5.400000000000000000e+01 -6.461353398388229863e-01
5.400000000000000000e+01 -6.461353398388229863e-01
5.400000000000000000e+01 -6.461353398388229863e-01
5.400000000000000000e+01 -6.461353398388229863e-01
5.400000000000000000e+01 -6.461353398388229863e-01
5.760000000000000142e+01 -6.461049896806649873e-01
5.760000000000000142e+01 -6.461049896806649873e-01
5.760000000000000142e+01 -6.461049896806649873e-01
5.760000000000000142e+01 -6.461049896806649873e-01
5.760000000000000142e+01 -6.461049896806649873e-01
6.120000000000000284e+01 -6.460883451072859662e-01
6.120000000000000284e+01 -6.460883451072859662e-01
6.120000000000000284e+01 -6.460883451072859662e-01
6.120000000000000284e+01 -6.460883451072859662e-01
6.120000000000000284e+01 -6.460883451072859662e-01
6.479999999999999716e+01 -6.460792200004900065e-01
6.479999999999999716e+01 -6.460792200004900065e-01
6.479999999999999716e+01 -6.460792200004900065e-01
6.479999999999999716e+01 -6.460792200004900065e-01
6.479999999999999716e+01 -6.460792200004900065e-01
6.840000000000000568e+01 -6.460675848421080225e-01
6.840000000000000568e+01 -6.460675848421080225e-01
6.840000000000000568e+01 -6.460675848421080225e-01
6.840000000000000568e+01 -6.460675848421080225e-01
6.840000000000000568e+01 -6.460675848421080225e-01
7.200000000000000000e+01 -6.460598288581570481e-01
7.200000000000000000e+01 -6.460598288581570481e-01
7.200000000000000000e+01 -6.460598288581570481e-01
7.200000000000000000e+01 -6.460598288581570481e-01
7.200000000000000000e+01 -6.460598288581570481e-01
7.559999999999999432e+01 -6.460526521857360427e-01
7.559999999999999432e+01 -6.460526521857360427e-01
7.559999999999999432e+01 -6.460526521857360427e-01
7.559999999999999432e+01 -6.460526521857360427e-01
7.559999999999999432e+01 -6.460526521857360427e-01
7.920000000000000284e+01 -6.460572223220559795e-01
7.920000000000000284e+01 -6.460572223220559795e-01
7.920000000000000284e+01 -6.460572223220559795e-01
7.920000000000000284e+01 -6.460572223220559795e-01
