t phi
2.399999999999999911e-01 -4.249903761113359990e-01
2.399999999999999911e-01 -4.249903761113359990e-01
2.399999999999999911e-01 -4.249903761113359990e-01
4.799999999999999822e-01 -4.249906296283170182e-01
4.799999999999999822e-01 -4.249906296283170182e-01
4.799999999999999822e-01 -4.249906296283170182e-01
7.199999999999999734e-01 -4.249896705010779985e-01
7.199999999999999734e-01 -4.249896705010779985e-01
7.199999999999999734e-01 -4.249896705010779985e-01
9.599999999999999645e-01 -4.249894836774140150e-01
9.599999999999999645e-01 -4.249894836774140150e-01
9.599999999999999645e-01 -4.249894836774140150e-01
1.199999999999999956e+00 -4.249910490534610230e-01
1.199999999999999956e+00 -4.249910490534610230e-01
1.199999999999999956e+00 -4.249910490534610230e-01
1.439999999999999947e+00 -4.249924833031459848e-01
1.439999999999999947e+00 -4.249924833031459848e-01
1.439999999999999947e+00 -4.249924833031459848e-01
1.679999999999999938e+00 -4.249920777243180181e-01
1.679999999999999938e+00 -4.249920777243180181e-01
1.679999999999999938e+00 -4.249920777243180181e-01
1.919999999999999929e+00 -4.249903889416900005e-01
1.919999999999999929e+00 -4.249903889416900005e-01
1.919999999999999929e+00 -4.249903889416900005e-01
2.160000000000000142e+00 -4.249894467052109936e-01
2.160000000000000142e+00 -4.249894467052109936e-01
2.160000000000000142e+00 -4.249894467052109936e-01
2.399999999999999911e+00 -4.249904846575640049e-01
2.399999999999999911e+00 -4.249904846575640049e-01
2.399999999999999911e+00 -4.249904846575640049e-01
2.640000000000000124e+00 -4.249924811260279989e-01
2.640000000000000124e+00 -4.249924811260279989e-01
2.640000000000000124e+00 -4.249924811260279989e-01
2.879999999999999893e+00 -4.249935725289030186e-01
2.879999999999999893e+00 -4.249935725289030186e-01
2.879999999999999893e+00 -4.249935725289030186e-01
3.120000000000000107e+00 -4.249931734132499916e-01
3.120000000000000107e+00 -4.249931734132499916e-01
3.120000000000000107e+00 -4.249931734132499916e-01
3.359999999999999876e+00 -4.249919356874740095e-01
3.359999999999999876e+00 -4.249919356874740095e-01
3.359999999999999876e+00 -4.249919356874740095e-01
3.600000000000000089e+00 -4.249906576074289899e-01
3.600000000000000089e+00 -4.249906576074289899e-01
3.600000000000000089e+00 -4.249906576074289899e-01
3.839999999999999858e+00 -4.249899828879230013e-01
3.839999999999999858e+00 -4.249899828879230013e-01
3.839999999999999858e+00 -4.249899828879230013e-01
4.080000000000000071e+00 -4.249902644934510088e-01
4.080000000000000071e+00 -4.249902644934510088e-01
4.080000000000000071e+00 -4.249902644934510088e-01
