t phi
0.000000000000000000e+00 1.000000000000000082e-05
0.000000000000000000e+00 1.000000000000000082e-05
0.000000000000000000e+00 1.000000000000000082e-05
0.000000000000000000e+00 1.000000000000000082e-05
3.200000000000000067e-01 1.000000000000000082e-05
3.200000000000000067e-01 1.000000000000000082e-05
3.200000000000000067e-01 1.000000000000000082e-05
3.200000000000000067e-01 1.000749714984650020e-05
6.400000000000000133e-01 1.000000000000000082e-05
6.400000000000000133e-01 1.000000000000000082e-05
6.400000000000000133e-01 1.000000000000000082e-05
6.400000000000000133e-01 1.001506330563490056e-05
9.599999999999999645e-01 1.000000000000000082e-05
9.599999999999999645e-01 1.000000000000000082e-05
9.599999999999999645e-01 1.000000000000000082e-05
9.599999999999999645e-01 1.001473165606469942e-05
1.280000000000000027e+00 1.000000000000000082e-05
1.280000000000000027e+00 1.000000000000000082e-05
1.280000000000000027e+00 1.000000000000000082e-05
1.280000000000000027e+00 1.001442896401950021e-05
1.600000000000000089e+00 1.000000000000000082e-05
1.600000000000000089e+00 1.000000000000000082e-05
1.600000000000000089e+00 1.000000000000000082e-05
1.600000000000000089e+00 1.001478508685309995e-05
1.919999999999999929e+00 1.000000000000000082e-05
1.919999999999999929e+00 1.000000000000000082e-05
1.919999999999999929e+00 1.000000000000000082e-05
1.919999999999999929e+00 1.001467880442219997e-05
2.240000000000000213e+00 1.000000000000000082e-05
2.240000000000000213e+00 1.000000000000000082e-05
2.240000000000000213e+00 1.000000000000000082e-05
2.240000000000000213e+00 1.001467861595250046e-05
2.560000000000000053e+00 1.000000000000000082e-05
2.560000000000000053e+00 1.000000000000000082e-05
2.560000000000000053e+00 1.000000000000000082e-05
2.560000000000000053e+00 1.001475333421910004e-05
2.879999999999999893e+00 1.000000000000000082e-05
2.879999999999999893e+00 1.000000000000000082e-05
2.879999999999999893e+00 1.000000000000000082e-05
2.879999999999999893e+00 1.001473714251149976e-05
3.200000000000000178e+00 1.000000000000000082e-05
3.200000000000000178e+00 1.000000000000000082e-05
3.200000000000000178e+00 1.000000000000000082e-05
3.200000000000000178e+00 1.001473464234440032e-05
3.520000000000000018e+00 1.000000000000000082e-05
3.520000000000000018e+00 1.000000000000000082e-05
3.520000000000000018e+00 1.000000000000000082e-05
3.520000000000000018e+00 1.001476097404059947e-05
3.839999999999999858e+00 1.000000000000000082e-05
3.839999999999999858e+00 1.000000000000000082e-05
3.839999999999999858e+00 1.000000000000000082e-05
3.839999999999999858e+00 1.001474712621090027e-05
4.160000000000000142e+00 1.000000000000000082e-05
4.160000000000000142e+00 1.000000000000000082e-05
4.160000000000000142e+00 1.000000000000000082e-05
4.160000000000000142e+00 1.001473530192910034e-05
4.480000000000000426e+00 1.000000000000000082e-05
4.480000000000000426e+00 1.000000000000000082e-05
4.480000000000000426e+00 1.000000000000000082e-05
4.480000000000000426e+00 1.001473222949360076e-05
4.799999999999999822e+00 1.000000000000000082e-05
4.799999999999999822e+00 1.000000000000000082e-05
4.799999999999999822e+00 1.000000000000000082e-05
4.799999999999999822e+00 1.001470781981090075e-05
5.120000000000000107e+00 1.000000000000000082e-05
5.120000000000000107e+00 1.000000000000000082e-05
5.120000000000000107e+00 1.000000000000000082e-05
5.120000000000000107e+00 1.001467955223009942e-05
5.440000000000000391e+00 1.000000000000000082e-05
5.440000000000000391e+00 1.000000000000000082e-05
5.440000000000000391e+00 1.000000000000000082e-05
5.440000000000000391e+00 1.001465333440350059e-05
5.759999999999999787e+00 1.000000000000000082e-05
5.759999999999999787e+00 1.000000000000000082e-05
5.759999999999999787e+00 1.000000000000000082e-05
5.759999999999999787e+00 1.001461250651250073e-05
6.080000000000000071e+00 1.000000000000000082e-05
6.080000000000000071e+00 1.000000000000000082e-05
6.080000000000000071e+00 1.000000000000000082e-05
6.080000000000000071e+00 1.001456611850890070e-05
6.400000000000000355e+00 1.000000000000000082e-05
6.400000000000000355e+00 1.000000000000000082e-05
6.400000000000000355e+00 1.000000000000000082e-05
6.400000000000000355e+00 1.001451861282819977e-05
6.719999999999999751e+00 1.000000000000000082e-05
6.719999999999999751e+00 1.000000000000000082e-05
6.719999999999999751e+00 1.000000000000000082e-05
6.719999999999999751e+00 1.001446082827709941e-05
7.040000000000000036e+00 1.000000000000000082e-05
7.040000000000000036e+00 1.000000000000000082e-05
7.040000000000000036e+00 1.000000000000000082e-05
7.040000000000000036e+00 1.001440693423650023e-05
7.360000000000000320e+00 1.000000000000000082e-05
7.360000000000000320e+00 1.000000000000000082e-05
7.360000000000000320e+00 1.000000000000000082e-05
7.360000000000000320e+00 1.001436201359520026e-05
7.679999999999999716e+00 1.000000000000000082e-05
7.679999999999999716e+00 1.000000000000000082e-05
7.679999999999999716e+00 1.000000000000000082e-05
7.679999999999999716e+00 1.001425013155010008e-05
8.000000000000000000e+00 1.000000000000000082e-05
8.000000000000000000e+00 1.000000000000000082e-05
8.000000000000000000e+00 1.000000000000000082e-05
8.000000000000000000e+00 1.001386439857789986e-05
8.320000000000000284e+00 1.000000000000000082e-05
8.320000000000000284e+00 1.000000000000000082e-05
8.320000000000000284e+00 1.000000000000000082e-05
8.320000000000000284e+00 1.001296162622890051e-05
8.640000000000000568e+00 1.000000000000000082e-05
8.640000000000000568e+00 1.000000000000000082e-05
8.640000000000000568e+00 1.000000000000000082e-05
8.640000000000000568e+00 1.001161161940009930e-05
8.960000000000000853e+00 1.000000000000000082e-05
8.960000000000000853e+00 1.000000000000000082e-05
8.960000000000000853e+00 1.000000000000000082e-05
8.960000000000000853e+00 1.001037696304799996e-05
9.279999999999999361e+00 1.000000000000000082e-05
9.279999999999999361e+00 1.000000000000000082e-05
9.279999999999999361e+00 1.000000000000000082e-05
9.279999999999999361e+00 1.000982979799829933e-05
9.599999999999999645e+00 1.000000000000000082e-05
9.599999999999999645e+00 1.000000000000000082e-05
9.599999999999999645e+00 1.000000000000000082e-05
9.599999999999999645e+00 1.000990477959779959e-05
9.919999999999999929e+00 1.000000000000000082e-05
9.919999999999999929e+00 1.000000000000000082e-05
9.919999999999999929e+00 1.000000000000000082e-05
9.919999999999999929e+00 1.001012732839500039e-05
1.024000000000000021e+01 1.000000000000000082e-05
1.024000000000000021e+01 1.000000000000000082e-05
1.024000000000000021e+01 1.000000000000000082e-05
1.024000000000000021e+01 1.001038027677249991e-05
1.056000000000000050e+01 1.000000000000000082e-05
1.056000000000000050e+01 1.000000000000000082e-05
1.056000000000000050e+01 1.000000000000000082e-05
1.056000000000000050e+01 1.001093524099430072e-05
1.088000000000000078e+01 1.000000000000000082e-05
1.088000000000000078e+01 1.000000000000000082e-05
1.088000000000000078e+01 1.000000000000000082e-05
1.088000000000000078e+01 1.001201239886470068e-05
1.119999999999999929e+01 1.000000000000000082e-05
1.119999999999999929e+01 1.000000000000000082e-05
1.119999999999999929e+01 1.000000000000000082e-05
1.119999999999999929e+01 1.001382854809019922e-05
1.151999999999999957e+01 1.000000000000000082e-05
1.151999999999999957e+01 1.000000000000000082e-05
1.151999999999999957e+01 1.000000000000000082e-05
1.151999999999999957e+01 1.001637812033890018e-05
1.183999999999999986e+01 1.000000000000000082e-05
1.183999999999999986e+01 1.000000000000000082e-05
1.183999999999999986e+01 1.000000000000000082e-05
1.183999999999999986e+01 1.001858934128199958e-05
1.216000000000000014e+01 1.000000000000000082e-05
1.216000000000000014e+01 1.000000000000000082e-05
1.216000000000000014e+01 1.000000000000000082e-05
1.216000000000000014e+01 1.001898997444279957e-05
1.248000000000000043e+01 1.000000000000000082e-05
1.248000000000000043e+01 1.000000000000000082e-05
1.248000000000000043e+01 1.000000000000000082e-05
1.248000000000000043e+01 1.001787768572930012e-05
1.280000000000000071e+01 1.000000000000000082e-05
1.280000000000000071e+01 1.000000000000000082e-05
1.280000000000000071e+01 1.000000000000000082e-05
1.280000000000000071e+01 1.001684263117549985e-05
1.311999999999999922e+01 1.000000000000000082e-05
1.311999999999999922e+01 1.000000000000000082e-05
1.311999999999999922e+01 1.000000000000000082e-05
1.311999999999999922e+01 1.001566863051679980e-05
1.343999999999999950e+01 1.000000000000000082e-05
1.343999999999999950e+01 1.000000000000000082e-05
1.343999999999999950e+01 1.000000000000000082e-05
1.343999999999999950e+01 1.001353873095349951e-05
1.375999999999999979e+01 1.000000000000000082e-05
1.375999999999999979e+01 1.000000000000000082e-05
1.375999999999999979e+01 1.000000000000000082e-05
1.375999999999999979e+01 1.001247340185990004e-05
1.408000000000000007e+01 1.000000000000000082e-05
1.408000000000000007e+01 1.000000000000000082e-05
1.408000000000000007e+01 1.000000000000000082e-05
1.408000000000000007e+01 1.001320149785039984e-05
1.440000000000000036e+01 1.000000000000000082e-05
1.440000000000000036e+01 1.000000000000000082e-05
1.440000000000000036e+01 1.000000000000000082e-05
1.440000000000000036e+01 1.001331991510759928e-05
1.472000000000000064e+01 1.000000000000000082e-05
1.472000000000000064e+01 1.000000000000000082e-05
1.472000000000000064e+01 1.000000000000000082e-05
1.472000000000000064e+01 1.001313001607119941e-05
1.503999999999999915e+01 1.000000000000000082e-05
1.503999999999999915e+01 1.000000000000000082e-05
1.503999999999999915e+01 1.000000000000000082e-05
1.503999999999999915e+01 1.001339043654909944e-05
1.535999999999999943e+01 1.000000000000000082e-05
1.535999999999999943e+01 1.000000000000000082e-05
1.535999999999999943e+01 1.000000000000000082e-05
1.535999999999999943e+01 1.001327138627179983e-05
1.567999999999999972e+01 1.000000000000000082e-05
1.567999999999999972e+01 1.000000000000000082e-05
