t phi
2.000000000000000111e-01 -7.885914214522009580e-01
2.000000000000000111e-01 -7.885914214522009580e-01
2.000000000000000111e-01 -7.885914214522009580e-01
4.000000000000000222e-01 -7.885925656592279731e-01
4.000000000000000222e-01 -7.885925656592279731e-01
4.000000000000000222e-01 -7.885925656592279731e-01
5.999999999999999778e-01 -7.885926982798959761e-01
5.999999999999999778e-01 -7.885926982798959761e-01
5.999999999999999778e-01 -7.885926982798959761e-01
8.000000000000000444e-01 -7.885927516882440536e-01
8.000000000000000444e-01 -7.885927516882440536e-01
8.000000000000000444e-01 -7.885927516882440536e-01
1.000000000000000000e+00 -7.885934547074530121e-01
1.000000000000000000e+00 -7.885934547074530121e-01
1.000000000000000000e+00 -7.885934547074530121e-01
1.199999999999999956e+00 -7.885939686451279851e-01
1.199999999999999956e+00 -7.885939686451279851e-01
1.199999999999999956e+00 -7.885939686451279851e-01
1.399999999999999911e+00 -7.885935191513570031e-01
1.399999999999999911e+00 -7.885935191513570031e-01
1.399999999999999911e+00 -7.885935191513570031e-01
1.600000000000000089e+00 -7.885917843144299999e-01
1.600000000000000089e+00 -7.885917843144299999e-01
1.600000000000000089e+00 -7.885917843144299999e-01
1.800000000000000044e+00 -7.885899627282559887e-01
1.800000000000000044e+00 -7.885899627282559887e-01
1.800000000000000044e+00 -7.885899627282559887e-01
2.000000000000000000e+00 -7.885905391448679858e-01
2.000000000000000000e+00 -7.885905391448679858e-01
2.000000000000000000e+00 -7.885905391448679858e-01
2.200000000000000178e+00 -7.885935182353730477e-01
2.200000000000000178e+00 -7.885935182353730477e-01
2.200000000000000178e+00 -7.885935182353730477e-01
2.399999999999999911e+00 -7.885957652611590429e-01
2.399999999999999911e+00 -7.885957652611590429e-01
2.399999999999999911e+00 -7.885957652611590429e-01
2.600000000000000089e+00 -7.885953422908109633e-01
2.600000000000000089e+00 -7.885953422908109633e-01
2.600000000000000089e+00 -7.885953422908109633e-01
2.799999999999999822e+00 -7.885937723759179896e-01
2.799999999999999822e+00 -7.885937723759179896e-01
