t phi
0.000000000000000000e+00 -6.119458777399999772e-01
0.000000000000000000e+00 -6.119458777399999772e-01
0.000000000000000000e+00 -6.119458777399999772e-01
0.000000000000000000e+00 -6.119458777399999772e-01
4.799999999999999822e-01 -6.119462929867000023e-01
4.799999999999999822e-01 -6.119462929867000023e-01
4.799999999999999822e-01 -6.119462929867000023e-01
4.799999999999999822e-01 -6.119462929867000023e-01
9.599999999999999645e-01 -6.119474253591119517e-01
9.599999999999999645e-01 -6.119474253591119517e-01
9.599999999999999645e-01 -6.119474253591119517e-01
9.599999999999999645e-01 -6.119474253591119517e-01
1.439999999999999947e+00 -6.119491639388939808e-01
1.439999999999999947e+00 -6.119491639388939808e-01
1.439999999999999947e+00 -6.119491639388939808e-01
1.439999999999999947e+00 -6.119491639388939808e-01
1.919999999999999929e+00 -6.119516999616579911e-01
1.919999999999999929e+00 -6.119516999616579911e-01
1.919999999999999929e+00 -6.119516999616579911e-01
1.919999999999999929e+00 -6.119516999616579911e-01
2.399999999999999911e+00 -6.119547407014980234e-01
2.399999999999999911e+00 -6.119547407014980234e-01
2.399999999999999911e+00 -6.119547407014980234e-01
2.399999999999999911e+00 -6.119547407014980234e-01
2.879999999999999893e+00 -6.119580215019769787e-01
2.879999999999999893e+00 -6.119580215019769787e-01
2.879999999999999893e+00 -6.119580215019769787e-01
2.879999999999999893e+00 -6.119580215019769787e-01
3.359999999999999876e+00 -6.119618478715780352e-01
3.359999999999999876e+00 -6.119618478715780352e-01
3.359999999999999876e+00 -6.119618478715780352e-01
3.359999999999999876e+00 -6.119618478715780352e-01
3.839999999999999858e+00 -6.119662633649589623e-01
3.839999999999999858e+00 -6.119662633649589623e-01
3.839999999999999858e+00 -6.119662633649589623e-01
3.839999999999999858e+00 -6.119662633649589623e-01
4.320000000000000284e+00 -6.119706982099250014e-01
4.320000000000000284e+00 -6.119706982099250014e-01
4.320000000000000284e+00 -6.119706982099250014e-01
4.320000000000000284e+00 -6.119706982099250014e-01
4.799999999999999822e+00 -6.119747486186259966e-01
4.799999999999999822e+00 -6.119747486186259966e-01
4.799999999999999822e+00 -6.119747486186259966e-01
4.799999999999999822e+00 -6.119747486186259966e-01
5.280000000000000249e+00 -6.119787641218049634e-01
5.280000000000000249e+00 -6.119787641218049634e-01
5.280000000000000249e+00 -6.119787641218049634e-01
5.280000000000000249e+00 -6.119787641218049634e-01
5.759999999999999787e+00 -6.119832590758099711e-01
5.759999999999999787e+00 -6.119832590758099711e-01
5.759999999999999787e+00 -6.119832590758099711e-01
5.759999999999999787e+00 -6.119832590758099711e-01
6.240000000000000213e+00 -6.119880944771659559e-01
6.240000000000000213e+00 -6.119880944771659559e-01
6.240000000000000213e+00 -6.119880944771659559e-01
6.240000000000000213e+00 -6.119880944771659559e-01
6.719999999999999751e+00 -6.119927562890520312e-01
6.719999999999999751e+00 -6.119927562890520312e-01
6.719999999999999751e+00 -6.119927562890520312e-01
6.719999999999999751e+00 -6.119927562890520312e-01
7.200000000000000178e+00 -6.119969049326430266e-01
7.200000000000000178e+00 -6.119969049326430266e-01
7.200000000000000178e+00 -6.119969049326430266e-01
7.200000000000000178e+00 -6.119969049326430266e-01
7.679999999999999716e+00 -6.120001885171669764e-01
7.679999999999999716e+00 -6.120001885171669764e-01
7.679999999999999716e+00 -6.120001885171669764e-01
7.679999999999999716e+00 -6.120001885171669764e-01
8.160000000000000142e+00 -6.120022143879969567e-01
8.160000000000000142e+00 -6.120022143879969567e-01
8.160000000000000142e+00 -6.120022143879969567e-01
8.160000000000000142e+00 -6.120022143879969567e-01
8.640000000000000568e+00 -6.120032744096509658e-01
8.640000000000000568e+00 -6.120032744096509658e-01
8.640000000000000568e+00 -6.120032744096509658e-01
8.640000000000000568e+00 -6.120032744096509658e-01
9.119999999999999218e+00 -6.120044894622229670e-01
9.119999999999999218e+00 -6.120044894622229670e-01
9.119999999999999218e+00 -6.120044894622229670e-01
9.119999999999999218e+00 -6.120044894622229670e-01
9.599999999999999645e+00 -6.120066598118699686e-01
