t phi
0.000000000000000000e+00 -6.852307918600000214e-01
0.000000000000000000e+00 -6.852307918600000214e-01
0.000000000000000000e+00 -6.852307918600000214e-01
0.000000000000000000e+00 -6.852307918600000214e-01
8.000000000000000444e-01 -6.852320413368520047e-01
8.000000000000000444e-01 -6.852320413368520047e-01
8.000000000000000444e-01 -6.852320413368520047e-01
8.000000000000000444e-01 -6.852320413368520047e-01
1.600000000000000089e+00 -6.852354087328319521e-01
1.600000000000000089e+00 -6.852354087328319521e-01
1.600000000000000089e+00 -6.852354087328319521e-01
1.600000000000000089e+00 -6.852354087328319521e-01
2.399999999999999911e+00 -6.852398682614020409e-01
2.399999999999999911e+00 -6.852398682614020409e-01
2.399999999999999911e+00 -6.852398682614020409e-01
2.399999999999999911e+00 -6.852398682614020409e-01
3.200000000000000178e+00 -6.852444647782529596e-01
3.200000000000000178e+00 -6.852444647782529596e-01
3.200000000000000178e+00 -6.852444647782529596e-01
3.200000000000000178e+00 -6.852444647782529596e-01
4.000000000000000000e+00 -6.852512159432110339e-01
4.000000000000000000e+00 -6.852512159432110339e-01
4.000000000000000000e+00 -6.852512159432110339e-01
4.000000000000000000e+00 -6.852512159432110339e-01
4.799999999999999822e+00 -6.852583780520139500e-01
4.799999999999999822e+00 -6.852583780520139500e-01
4.799999999999999822e+00 -6.852583780520139500e-01
4.799999999999999822e+00 -6.852583780520139500e-01
5.599999999999999645e+00 -6.852614133113129613e-01
5.599999999999999645e+00 -6.852614133113129613e-01
5.599999999999999645e+00 -6.852614133113129613e-01
5.599999999999999645e+00 -6.852614133113129613e-01
6.400000000000000355e+00 -6.852641138279470523e-01
6.400000000000000355e+00 -6.852641138279470523e-01
6.400000000000000355e+00 -6.852641138279470523e-01
6.400000000000000355e+00 -6.852641138279470523e-01
7.200000000000000178e+00 -6.852685514211740436e-01
7.200000000000000178e+00 -6.852685514211740436e-01
7.200000000000000178e+00 -6.852685514211740436e-01
7.200000000000000178e+00 -6.852685514211740436e-01
8.000000000000000000e+00 -6.852691203400289588e-01
8.000000000000000000e+00 -6.852691203400289588e-01
8.000000000000000000e+00 -6.852691203400289588e-01
8.000000000000000000e+00 -6.852691203400289588e-01
8.800000000000000711e+00 -6.852654031057520134e-01
8.800000000000000711e+00 -6.852654031057520134e-01
8.800000000000000711e+00 -6.852654031057520134e-01
8.800000000000000711e+00 -6.852654031057520134e-01
9.599999999999999645e+00 -6.852645917948380072e-01
9.599999999999999645e+00 -6.852645917948380072e-01
9.599999999999999645e+00 -6.852645917948380072e-01
9.599999999999999645e+00 -6.852645917948380072e-01
1.040000000000000036e+01 -6.852623026606530221e-01
1.040000000000000036e+01 -6.852623026606530221e-01
1.040000000000000036e+01 -6.852623026606530221e-01
1.040000000000000036e+01 -6.852623026606530221e-01
