t phi
1.919999999999999929e+00 -8.576769153560690473e-01
1.919999999999999929e+00 -8.576769153560690473e-01
1.919999999999999929e+00 -8.576769153560690473e-01
1.919999999999999929e+00 -8.576769153560690473e-01
1.919999999999999929e+00 -8.576769153560690473e-01
3.839999999999999858e+00 -8.576380193880940306e-01
3.839999999999999858e+00 -8.576380193880940306e-01
3.839999999999999858e+00 -8.576380193880940306e-01
3.839999999999999858e+00 -8.576380193880940306e-01
3.839999999999999858e+00 -8.576380193880940306e-01
5.759999999999999787e+00 -8.575778271663919705e-01
5.759999999999999787e+00 -8.575778271663919705e-01
5.759999999999999787e+00 -8.575778271663919705e-01
5.759999999999999787e+00 -8.575778271663919705e-01
5.759999999999999787e+00 -8.575778271663919705e-01
7.679999999999999716e+00 -8.574867669785579682e-01
7.679999999999999716e+00 -8.574867669785579682e-01
7.679999999999999716e+00 -8.574867669785579682e-01
7.679999999999999716e+00 -8.574867669785579682e-01
7.679999999999999716e+00 -8.574867669785579682e-01
9.599999999999999645e+00 -8.573681234355190472e-01
9.599999999999999645e+00 -8.573681234355190472e-01
9.599999999999999645e+00 -8.573681234355190472e-01
9.599999999999999645e+00 -8.573681234355190472e-01
9.599999999999999645e+00 -8.573681234355190472e-01
1.151999999999999957e+01 -8.572251266682839876e-01
1.151999999999999957e+01 -8.572251266682839876e-01
1.151999999999999957e+01 -8.572251266682839876e-01
1.151999999999999957e+01 -8.572251266682839876e-01
1.151999999999999957e+01 -8.572251266682839876e-01
1.343999999999999950e+01 -8.570485868742599989e-01
1.343999999999999950e+01 -8.570485868742599989e-01
1.343999999999999950e+01 -8.570485868742599989e-01
1.343999999999999950e+01 -8.570485868742599989e-01
1.343999999999999950e+01 -8.570485868742599989e-01
1.535999999999999943e+01 -8.568436781800019553e-01
1.535999999999999943e+01 -8.568436781800019553e-01
1.535999999999999943e+01 -8.568436781800019553e-01
1.535999999999999943e+01 -8.568436781800019553e-01
1.535999999999999943e+01 -8.568436781800019553e-01
1.728000000000000114e+01 -8.566179533910009969e-01
1.728000000000000114e+01 -8.566179533910009969e-01
1.728000000000000114e+01 -8.566179533910009969e-01
1.728000000000000114e+01 -8.566179533910009969e-01
1.728000000000000114e+01 -8.566179533910009969e-01
1.919999999999999929e+01 -8.563968418675179661e-01
1.919999999999999929e+01 -8.563968418675179661e-01
1.919999999999999929e+01 -8.563968418675179661e-01
1.919999999999999929e+01 -8.563968418675179661e-01
1.919999999999999929e+01 -8.563968418675179661e-01
2.112000000000000099e+01 -8.561549627089960479e-01
2.112000000000000099e+01 -8.561549627089960479e-01
2.112000000000000099e+01 -8.561549627089960479e-01
2.112000000000000099e+01 -8.561549627089960479e-01
2.112000000000000099e+01 -8.561549627089960479e-01
2.303999999999999915e+01 -8.559101099285020275e-01
2.303999999999999915e+01 -8.559101099285020275e-01
2.303999999999999915e+01 -8.559101099285020275e-01
2.303999999999999915e+01 -8.559101099285020275e-01
2.303999999999999915e+01 -8.559101099285020275e-01
2.496000000000000085e+01 -8.556650080068990416e-01
2.496000000000000085e+01 -8.556650080068990416e-01
2.496000000000000085e+01 -8.556650080068990416e-01
2.496000000000000085e+01 -8.556650080068990416e-01
2.496000000000000085e+01 -8.556650080068990416e-01
2.687999999999999901e+01 -8.554064719985620124e-01
2.687999999999999901e+01 -8.554064719985620124e-01
2.687999999999999901e+01 -8.554064719985620124e-01
2.687999999999999901e+01 -8.554064719985620124e-01
2.687999999999999901e+01 -8.554064719985620124e-01
2.880000000000000071e+01 -8.551062454332060137e-01
2.880000000000000071e+01 -8.551062454332060137e-01
2.880000000000000071e+01 -8.551062454332060137e-01
2.880000000000000071e+01 -8.551062454332060137e-01
2.880000000000000071e+01 -8.551062454332060137e-01
3.071999999999999886e+01 -8.547586743340750415e-01
3.071999999999999886e+01 -8.547586743340750415e-01
3.071999999999999886e+01 -8.547586743340750415e-01
3.071999999999999886e+01 -8.547586743340750415e-01
3.071999999999999886e+01 -8.547586743340750415e-01
3.264000000000000057e+01 -8.544134481805469861e-01
3.264000000000000057e+01 -8.544134481805469861e-01
3.264000000000000057e+01 -8.544134481805469861e-01
3.264000000000000057e+01 -8.544134481805469861e-01
3.264000000000000057e+01 -8.544134481805469861e-01
3.456000000000000227e+01 -8.541041280964160043e-01
3.456000000000000227e+01 -8.541041280964160043e-01
3.456000000000000227e+01 -8.541041280964160043e-01
3.456000000000000227e+01 -8.541041280964160043e-01
3.456000000000000227e+01 -8.541041280964160043e-01
3.647999999999999687e+01 -8.538171471741770047e-01
3.647999999999999687e+01 -8.538171471741770047e-01
3.647999999999999687e+01 -8.538171471741770047e-01
3.647999999999999687e+01 -8.538171471741770047e-01
3.647999999999999687e+01 -8.538171471741770047e-01
3.839999999999999858e+01 -8.535174199181080334e-01
3.839999999999999858e+01 -8.535174199181080334e-01
3.839999999999999858e+01 -8.535174199181080334e-01
3.839999999999999858e+01 -8.535174199181080334e-01
3.839999999999999858e+01 -8.535174199181080334e-01
4.032000000000000028e+01 -8.531754292812609997e-01
4.032000000000000028e+01 -8.531754292812609997e-01
4.032000000000000028e+01 -8.531754292812609997e-01
4.032000000000000028e+01 -8.531754292812609997e-01
4.032000000000000028e+01 -8.531754292812609997e-01
4.224000000000000199e+01 -8.527898757591539924e-01
4.224000000000000199e+01 -8.527898757591539924e-01
4.224000000000000199e+01 -8.527898757591539924e-01
4.224000000000000199e+01 -8.527898757591539924e-01
4.224000000000000199e+01 -8.527898757591539924e-01
4.415999999999999659e+01 -8.523872241230669999e-01
4.415999999999999659e+01 -8.523872241230669999e-01
4.415999999999999659e+01 -8.523872241230669999e-01
4.415999999999999659e+01 -8.523872241230669999e-01
4.415999999999999659e+01 -8.523872241230669999e-01
4.607999999999999829e+01 -8.519894417723500313e-01
4.607999999999999829e+01 -8.519894417723500313e-01
4.607999999999999829e+01 -8.519894417723500313e-01
4.607999999999999829e+01 -8.519894417723500313e-01
4.607999999999999829e+01 -8.519894417723500313e-01
4.800000000000000000e+01 -8.516018155261080302e-01
4.800000000000000000e+01 -8.516018155261080302e-01
4.800000000000000000e+01 -8.516018155261080302e-01
4.800000000000000000e+01 -8.516018155261080302e-01
4.800000000000000000e+01 -8.516018155261080302e-01
4.992000000000000171e+01 -8.512143465744790305e-01
4.992000000000000171e+01 -8.512143465744790305e-01
4.992000000000000171e+01 -8.512143465744790305e-01
4.992000000000000171e+01 -8.512143465744790305e-01
4.992000000000000171e+01 -8.512143465744790305e-01
5.184000000000000341e+01 -8.508126156425910303e-01
5.184000000000000341e+01 -8.508126156425910303e-01
5.184000000000000341e+01 -8.508126156425910303e-01
5.184000000000000341e+01 -8.508126156425910303e-01
5.184000000000000341e+01 -8.508126156425910303e-01
5.375999999999999801e+01 -8.503894110232249615e-01
5.375999999999999801e+01 -8.503894110232249615e-01
5.375999999999999801e+01 -8.503894110232249615e-01
5.375999999999999801e+01 -8.503894110232249615e-01
5.375999999999999801e+01 -8.503894110232249615e-01
5.567999999999999972e+01 -8.499430777808809623e-01
5.567999999999999972e+01 -8.499430777808809623e-01
5.567999999999999972e+01 -8.499430777808809623e-01
5.567999999999999972e+01 -8.499430777808809623e-01
5.567999999999999972e+01 -8.499430777808809623e-01
5.760000000000000142e+01 -8.494788325560730380e-01
5.760000000000000142e+01 -8.494788325560730380e-01
5.760000000000000142e+01 -8.494788325560730380e-01
5.760000000000000142e+01 -8.494788325560730380e-01
5.760000000000000142e+01 -8.494788325560730380e-01
5.952000000000000313e+01 -8.490052168647309605e-01
5.952000000000000313e+01 -8.490052168647309605e-01
5.952000000000000313e+01 -8.490052168647309605e-01
5.952000000000000313e+01 -8.490052168647309605e-01
5.952000000000000313e+01 -8.490052168647309605e-01
6.143999999999999773e+01 -8.485365976920139497e-01
6.143999999999999773e+01 -8.485365976920139497e-01
6.143999999999999773e+01 -8.485365976920139497e-01
6.143999999999999773e+01 -8.485365976920139497e-01
6.143999999999999773e+01 -8.485365976920139497e-01
6.335999999999999943e+01 -8.480677196856180045e-01
6.335999999999999943e+01 -8.480677196856180045e-01
6.335999999999999943e+01 -8.480677196856180045e-01
6.335999999999999943e+01 -8.480677196856180045e-01
6.335999999999999943e+01 -8.480677196856180045e-01
6.528000000000000114e+01 -8.475943645041730257e-01
6.528000000000000114e+01 -8.475943645041730257e-01
6.528000000000000114e+01 -8.475943645041730257e-01
6.528000000000000114e+01 -8.475943645041730257e-01
6.528000000000000114e+01 -8.475943645041730257e-01
6.720000000000000284e+01 -8.471436054680400174e-01
6.720000000000000284e+01 -8.471436054680400174e-01
6.720000000000000284e+01 -8.471436054680400174e-01
6.720000000000000284e+01 -8.471436054680400174e-01
6.720000000000000284e+01 -8.471436054680400174e-01
6.912000000000000455e+01 -8.466972423862549890e-01
6.912000000000000455e+01 -8.466972423862549890e-01
6.912000000000000455e+01 -8.466972423862549890e-01
6.912000000000000455e+01 -8.466972423862549890e-01
6.912000000000000455e+01 -8.466972423862549890e-01
7.104000000000000625e+01 -8.462503928808770004e-01
7.104000000000000625e+01 -8.462503928808770004e-01
7.104000000000000625e+01 -8.462503928808770004e-01
7.104000000000000625e+01 -8.462503928808770004e-01
7.104000000000000625e+01 -8.462503928808770004e-01
7.295999999999999375e+01 -8.458095291591030129e-01
7.295999999999999375e+01 -8.458095291591030129e-01
7.295999999999999375e+01 -8.458095291591030129e-01
7.295999999999999375e+01 -8.458095291591030129e-01
7.295999999999999375e+01 -8.458095291591030129e-01
7.487999999999999545e+01 -8.453780323315619460e-01
7.487999999999999545e+01 -8.453780323315619460e-01
7.487999999999999545e+01 -8.453780323315619460e-01
7.487999999999999545e+01 -8.453780323315619460e-01
7.487999999999999545e+01 -8.453780323315619460e-01
7.679999999999999716e+01 -8.449534641510010324e-01
7.679999999999999716e+01 -8.449534641510010324e-01
7.679999999999999716e+01 -8.449534641510010324e-01
7.679999999999999716e+01 -8.449534641510010324e-01
7.679999999999999716e+01 -8.449534641510010324e-01
7.871999999999999886e+01 -8.445305017788270474e-01
7.871999999999999886e+01 -8.445305017788270474e-01
7.871999999999999886e+01 -8.445305017788270474e-01
7.871999999999999886e+01 -8.445305017788270474e-01
7.871999999999999886e+01 -8.445305017788270474e-01
8.064000000000000057e+01 -8.441373005796150020e-01
8.064000000000000057e+01 -8.441373005796150020e-01
