t phi
0.000000000000000000e+00 1.000000000000000048e-04
0.000000000000000000e+00 1.000000000000000048e-04
0.000000000000000000e+00 1.000000000000000048e-04
0.000000000000000000e+00 1.000000000000000048e-04
3.200000000000000067e-01 1.000000000000000048e-04
3.200000000000000067e-01 1.000000000000000048e-04
3.200000000000000067e-01 1.000000000000000048e-04
3.200000000000000067e-01 1.000178824323430049e-04
6.400000000000000133e-01 1.000000000000000048e-04
6.400000000000000133e-01 1.000000000000000048e-04
6.400000000000000133e-01 1.000000000000000048e-04
6.400000000000000133e-01 1.000171128265150050e-04
9.599999999999999645e-01 1.000000000000000048e-04
9.599999999999999645e-01 1.000000000000000048e-04
9.599999999999999645e-01 1.000000000000000048e-04
9.599999999999999645e-01 1.000170502079440049e-04
1.280000000000000027e+00 1.000000000000000048e-04
1.280000000000000027e+00 1.000000000000000048e-04
1.280000000000000027e+00 1.000000000000000048e-04
1.280000000000000027e+00 1.000171476498099959e-04
1.600000000000000089e+00 1.000000000000000048e-04
1.600000000000000089e+00 1.000000000000000048e-04
1.600000000000000089e+00 1.000000000000000048e-04
1.600000000000000089e+00 1.000172656753849998e-04
1.919999999999999929e+00 1.000000000000000048e-04
1.919999999999999929e+00 1.000000000000000048e-04
1.919999999999999929e+00 1.000000000000000048e-04
1.919999999999999929e+00 1.000173557851069978e-04
2.240000000000000213e+00 1.000000000000000048e-04
2.240000000000000213e+00 1.000000000000000048e-04
2.240000000000000213e+00 1.000000000000000048e-04
2.240000000000000213e+00 1.000174159437819957e-04
2.560000000000000053e+00 1.000000000000000048e-04
2.560000000000000053e+00 1.000000000000000048e-04
2.560000000000000053e+00 1.000000000000000048e-04
2.560000000000000053e+00 1.000174580814060065e-04
2.879999999999999893e+00 1.000000000000000048e-04
2.879999999999999893e+00 1.000000000000000048e-04
2.879999999999999893e+00 1.000000000000000048e-04
2.879999999999999893e+00 1.000174879059099976e-04
3.200000000000000178e+00 1.000000000000000048e-04
3.200000000000000178e+00 1.000000000000000048e-04
3.200000000000000178e+00 1.000000000000000048e-04
3.200000000000000178e+00 1.000175068001639975e-04
3.520000000000000018e+00 1.000000000000000048e-04
3.520000000000000018e+00 1.000000000000000048e-04
3.520000000000000018e+00 1.000000000000000048e-04
3.520000000000000018e+00 1.000174742304330006e-04
3.839999999999999858e+00 1.000000000000000048e-04
3.839999999999999858e+00 1.000000000000000048e-04
3.839999999999999858e+00 1.000000000000000048e-04
3.839999999999999858e+00 1.000166714987729943e-04
4.160000000000000142e+00 1.000000000000000048e-04
4.160000000000000142e+00 1.000000000000000048e-04
4.160000000000000142e+00 1.000000000000000048e-04
4.160000000000000142e+00 1.000151974015720007e-04
4.480000000000000426e+00 1.000000000000000048e-04
4.480000000000000426e+00 1.000000000000000048e-04
4.480000000000000426e+00 1.000000000000000048e-04
4.480000000000000426e+00 1.000133900743739986e-04
4.799999999999999822e+00 1.000000000000000048e-04
4.799999999999999822e+00 1.000000000000000048e-04
4.799999999999999822e+00 1.000000000000000048e-04
4.799999999999999822e+00 1.000127890475740008e-04
5.120000000000000107e+00 1.000000000000000048e-04
5.120000000000000107e+00 1.000000000000000048e-04
5.120000000000000107e+00 1.000000000000000048e-04
5.120000000000000107e+00 1.000130368417900009e-04
5.440000000000000391e+00 1.000000000000000048e-04
5.440000000000000391e+00 1.000000000000000048e-04
5.440000000000000391e+00 1.000000000000000048e-04
5.440000000000000391e+00 1.000133608413330025e-04
5.759999999999999787e+00 1.000000000000000048e-04
5.759999999999999787e+00 1.000000000000000048e-04
5.759999999999999787e+00 1.000000000000000048e-04
5.759999999999999787e+00 1.000167040658619938e-04
6.080000000000000071e+00 1.000000000000000048e-04
6.080000000000000071e+00 1.000000000000000048e-04
6.080000000000000071e+00 1.000000000000000048e-04
6.080000000000000071e+00 1.000194364761120003e-04
6.400000000000000355e+00 1.000000000000000048e-04
6.400000000000000355e+00 1.000000000000000048e-04
6.400000000000000355e+00 1.000000000000000048e-04
6.400000000000000355e+00 1.000198471631609981e-04
6.719999999999999751e+00 1.000000000000000048e-04
6.719999999999999751e+00 1.000000000000000048e-04
6.719999999999999751e+00 1.000000000000000048e-04
