t rho
0.000000000000000000e+00 1.279999999994890043e-03
0.000000000000000000e+00 1.279999999994890043e-03
0.000000000000000000e+00 1.279999999994890043e-03
3.200000000000000067e-01 1.279638636964049907e-03
3.200000000000000067e-01 1.279638636964049907e-03
3.200000000000000067e-01 1.279638636964049907e-03
6.400000000000000133e-01 1.279326107914100083e-03
6.400000000000000133e-01 1.279326107914100083e-03
6.400000000000000133e-01 1.279326107914100083e-03
9.599999999999999645e-01 1.279123205452409925e-03
9.599999999999999645e-01 1.279123205452409925e-03
9.599999999999999645e-01 1.279123205452409925e-03
1.280000000000000027e+00 1.279045866292520062e-03
1.280000000000000027e+00 1.279045866292520062e-03
1.280000000000000027e+00 1.279045866292520062e-03
1.600000000000000089e+00 1.279070033322419900e-03
1.600000000000000089e+00 1.279070033322419900e-03
1.600000000000000089e+00 1.279070033322419900e-03
1.919999999999999929e+00 1.279160241209650016e-03
1.919999999999999929e+00 1.279160241209650016e-03
1.919999999999999929e+00 1.279160241209650016e-03
2.240000000000000213e+00 1.279267260908140092e-03
2.240000000000000213e+00 1.279267260908140092e-03
2.240000000000000213e+00 1.279267260908140092e-03
2.560000000000000053e+00 1.279366330791509949e-03
2.560000000000000053e+00 1.279366330791509949e-03
2.560000000000000053e+00 1.279366330791509949e-03
2.879999999999999893e+00 1.279429360213730051e-03
2.879999999999999893e+00 1.279429360213730051e-03
2.879999999999999893e+00 1.279429360213730051e-03
3.200000000000000178e+00 1.279459864786980025e-03
3.200000000000000178e+00 1.279459864786980025e-03
3.200000000000000178e+00 1.279459864786980025e-03
3.520000000000000018e+00 1.279463847135150004e-03
3.520000000000000018e+00 1.279463847135150004e-03
3.520000000000000018e+00 1.279463847135150004e-03
3.839999999999999858e+00 1.279447400712539935e-03
3.839999999999999858e+00 1.279447400712539935e-03
3.839999999999999858e+00 1.279447400712539935e-03
4.160000000000000142e+00 1.279426746205180069e-03
4.160000000000000142e+00 1.279426746205180069e-03
4.160000000000000142e+00 1.279426746205180069e-03
4.480000000000000426e+00 1.279411873529690035e-03
4.480000000000000426e+00 1.279411873529690035e-03
4.480000000000000426e+00 1.279411873529690035e-03
4.799999999999999822e+00 1.279405036195889987e-03
4.799999999999999822e+00 1.279405036195889987e-03
4.799999999999999822e+00 1.279405036195889987e-03
5.120000000000000107e+00 1.279409824146249958e-03
5.120000000000000107e+00 1.279409824146249958e-03
5.120000000000000107e+00 1.279409824146249958e-03
5.440000000000000391e+00 1.279424435423340105e-03
5.440000000000000391e+00 1.279424435423340105e-03
5.440000000000000391e+00 1.279424435423340105e-03
5.759999999999999787e+00 1.279443867052799900e-03
5.759999999999999787e+00 1.279443867052799900e-03
5.759999999999999787e+00 1.279443867052799900e-03
6.080000000000000071e+00 1.279467209450439909e-03
6.080000000000000071e+00 1.279467209450439909e-03
6.080000000000000071e+00 1.279467209450439909e-03
6.400000000000000355e+00 1.279487997343969940e-03
6.400000000000000355e+00 1.279487997343969940e-03
6.400000000000000355e+00 1.279487997343969940e-03
6.719999999999999751e+00 1.279507781971679940e-03
6.719999999999999751e+00 1.279507781971679940e-03
6.719999999999999751e+00 1.279507781971679940e-03
7.040000000000000036e+00 1.279524080540650087e-03
7.040000000000000036e+00 1.279524080540650087e-03
7.040000000000000036e+00 1.279524080540650087e-03
7.360000000000000320e+00 1.279538141786869991e-03
7.360000000000000320e+00 1.279538141786869991e-03
7.360000000000000320e+00 1.279538141786869991e-03
7.679999999999999716e+00 1.279551987560990098e-03
7.679999999999999716e+00 1.279551987560990098e-03
7.679999999999999716e+00 1.279551987560990098e-03
8.000000000000000000e+00 1.279568153930450009e-03
8.000000000000000000e+00 1.279568153930450009e-03
8.000000000000000000e+00 1.279568153930450009e-03
8.320000000000000284e+00 1.279583205259950032e-03
8.320000000000000284e+00 1.279583205259950032e-03
8.320000000000000284e+00 1.279583205259950032e-03
8.640000000000000568e+00 1.279599284918050061e-03
8.640000000000000568e+00 1.279599284918050061e-03
8.640000000000000568e+00 1.279599284918050061e-03
8.960000000000000853e+00 1.279613159484769983e-03
8.960000000000000853e+00 1.279613159484769983e-03
8.960000000000000853e+00 1.279613159484769983e-03
9.279999999999999361e+00 1.279626356019030083e-03
9.279999999999999361e+00 1.279626356019030083e-03
9.279999999999999361e+00 1.279626356019030083e-03
9.599999999999999645e+00 1.279637706763389919e-03
9.599999999999999645e+00 1.279637706763389919e-03
9.599999999999999645e+00 1.279637706763389919e-03
9.919999999999999929e+00 1.279651038765670067e-03
9.919999999999999929e+00 1.279651038765670067e-03
9.919999999999999929e+00 1.279651038765670067e-03
1.024000000000000021e+01 1.279661417955970043e-03
1.024000000000000021e+01 1.279661417955970043e-03
1.024000000000000021e+01 1.279661417955970043e-03
1.056000000000000050e+01 1.279674145628069892e-03
1.056000000000000050e+01 1.279674145628069892e-03
1.056000000000000050e+01 1.279674145628069892e-03
1.088000000000000078e+01 1.279685679699830081e-03
1.088000000000000078e+01 1.279685679699830081e-03
1.088000000000000078e+01 1.279685679699830081e-03
1.119999999999999929e+01 1.279697410526550033e-03
1.119999999999999929e+01 1.279697410526550033e-03
1.119999999999999929e+01 1.279697410526550033e-03
1.151999999999999957e+01 1.279709537479420097e-03
1.151999999999999957e+01 1.279709537479420097e-03
1.151999999999999957e+01 1.279709537479420097e-03
1.183999999999999986e+01 1.279720818726979908e-03
1.183999999999999986e+01 1.279720818726979908e-03
1.183999999999999986e+01 1.279720818726979908e-03
1.216000000000000014e+01 1.279732024204730022e-03
1.216000000000000014e+01 1.279732024204730022e-03
1.216000000000000014e+01 1.279732024204730022e-03
1.248000000000000043e+01 1.279742821802739954e-03
1.248000000000000043e+01 1.279742821802739954e-03
1.248000000000000043e+01 1.279742821802739954e-03
1.280000000000000071e+01 1.279753350906969941e-03
1.280000000000000071e+01 1.279753350906969941e-03
1.280000000000000071e+01 1.279753350906969941e-03
1.311999999999999922e+01 1.279762737520380098e-03
1.311999999999999922e+01 1.279762737520380098e-03
1.311999999999999922e+01 1.279762737520380098e-03
1.343999999999999950e+01 1.279772491857810108e-03
1.343999999999999950e+01 1.279772491857810108e-03
1.343999999999999950e+01 1.279772491857810108e-03
1.375999999999999979e+01 1.279780803162249925e-03
1.375999999999999979e+01 1.279780803162249925e-03
1.375999999999999979e+01 1.279780803162249925e-03
1.408000000000000007e+01 1.279789370033479912e-03
1.408000000000000007e+01 1.279789370033479912e-03
1.408000000000000007e+01 1.279789370033479912e-03
1.440000000000000036e+01 1.279796604751710009e-03
1.440000000000000036e+01 1.279796604751710009e-03
1.440000000000000036e+01 1.279796604751710009e-03
1.472000000000000064e+01 1.279803922329279938e-03
1.472000000000000064e+01 1.279803922329279938e-03
1.472000000000000064e+01 1.279803922329279938e-03
1.503999999999999915e+01 1.279809865040470052e-03
1.503999999999999915e+01 1.279809865040470052e-03
1.503999999999999915e+01 1.279809865040470052e-03
1.535999999999999943e+01 1.279815802664850070e-03
1.535999999999999943e+01 1.279815802664850070e-03
1.535999999999999943e+01 1.279815802664850070e-03
1.567999999999999972e+01 1.279820965987730000e-03
1.567999999999999972e+01 1.279820965987730000e-03
1.567999999999999972e+01 1.279820965987730000e-03
1.600000000000000000e+01 1.279825240834140017e-03
1.600000000000000000e+01 1.279825240834140017e-03
1.600000000000000000e+01 1.279825240834140017e-03
1.632000000000000028e+01 1.279829366111620093e-03
1.632000000000000028e+01 1.279829366111620093e-03
1.632000000000000028e+01 1.279829366111620093e-03
1.664000000000000057e+01 1.279832600156930074e-03
1.664000000000000057e+01 1.279832600156930074e-03
1.664000000000000057e+01 1.279832600156930074e-03
1.696000000000000085e+01 1.279835568551659962e-03
1.696000000000000085e+01 1.279835568551659962e-03
1.696000000000000085e+01 1.279835568551659962e-03
1.728000000000000114e+01 1.279837739533369904e-03
1.728000000000000114e+01 1.279837739533369904e-03
1.728000000000000114e+01 1.279837739533369904e-03
1.760000000000000142e+01 1.279839757294249942e-03
1.760000000000000142e+01 1.279839757294249942e-03
1.760000000000000142e+01 1.279839757294249942e-03
1.792000000000000171e+01 1.279840843960970091e-03
1.792000000000000171e+01 1.279840843960970091e-03
1.792000000000000171e+01 1.279840843960970091e-03
1.823999999999999844e+01 1.279841884804339917e-03
1.823999999999999844e+01 1.279841884804339917e-03
1.823999999999999844e+01 1.279841884804339917e-03
1.855999999999999872e+01 1.279842147845970061e-03
1.855999999999999872e+01 1.279842147845970061e-03
1.855999999999999872e+01 1.279842147845970061e-03
1.887999999999999901e+01 1.279842238273760100e-03
1.887999999999999901e+01 1.279842238273760100e-03
1.887999999999999901e+01 1.279842238273760100e-03
1.919999999999999929e+01 1.279841761318569913e-03
1.919999999999999929e+01 1.279841761318569913e-03
1.919999999999999929e+01 1.279841761318569913e-03
1.951999999999999957e+01 1.279840908188500069e-03
1.951999999999999957e+01 1.279840908188500069e-03
1.951999999999999957e+01 1.279840908188500069e-03
1.983999999999999986e+01 1.279839371466589973e-03
1.983999999999999986e+01 1.279839371466589973e-03
1.983999999999999986e+01 1.279839371466589973e-03
2.016000000000000014e+01 1.279837429839759955e-03
2.016000000000000014e+01 1.279837429839759955e-03
2.016000000000000014e+01 1.279837429839759955e-03
2.048000000000000043e+01 1.279835193831829927e-03
2.048000000000000043e+01 1.279835193831829927e-03
2.048000000000000043e+01 1.279835193831829927e-03
2.080000000000000071e+01 1.279832496683970056e-03
2.080000000000000071e+01 1.279832496683970056e-03
2.080000000000000071e+01 1.279832496683970056e-03
2.112000000000000099e+01 1.279829403080700017e-03
2.112000000000000099e+01 1.279829403080700017e-03
2.112000000000000099e+01 1.279829403080700017e-03
2.144000000000000128e+01 1.279825884250579936e-03
2.144000000000000128e+01 1.279825884250579936e-03
2.144000000000000128e+01 1.279825884250579936e-03
2.176000000000000156e+01 1.279822061533509962e-03
2.176000000000000156e+01 1.279822061533509962e-03
2.176000000000000156e+01 1.279822061533509962e-03
2.207999999999999829e+01 1.279817751912850059e-03
2.207999999999999829e+01 1.279817751912850059e-03
2.207999999999999829e+01 1.279817751912850059e-03
2.239999999999999858e+01 1.279813290365190096e-03
2.239999999999999858e+01 1.279813290365190096e-03
2.239999999999999858e+01 1.279813290365190096e-03
2.271999999999999886e+01 1.279808215396590005e-03
2.271999999999999886e+01 1.279808215396590005e-03
2.271999999999999886e+01 1.279808215396590005e-03
2.303999999999999915e+01 1.279803171199029926e-03
2.303999999999999915e+01 1.279803171199029926e-03
2.303999999999999915e+01 1.279803171199029926e-03
2.335999999999999943e+01 1.279797415045099904e-03
2.335999999999999943e+01 1.279797415045099904e-03
2.335999999999999943e+01 1.279797415045099904e-03
2.367999999999999972e+01 1.279791907245889917e-03
2.367999999999999972e+01 1.279791907245889917e-03
2.367999999999999972e+01 1.279791907245889917e-03
2.400000000000000000e+01 1.279785635034049948e-03
2.400000000000000000e+01 1.279785635034049948e-03
2.400000000000000000e+01 1.279785635034049948e-03
2.432000000000000028e+01 1.279779604778750069e-03
2.432000000000000028e+01 1.279779604778750069e-03
2.432000000000000028e+01 1.279779604778750069e-03
2.464000000000000057e+01 1.279772924164800010e-03
2.464000000000000057e+01 1.279772924164800010e-03
2.464000000000000057e+01 1.279772924164800010e-03
2.496000000000000085e+01 1.279766398318320057e-03
2.496000000000000085e+01 1.279766398318320057e-03
2.496000000000000085e+01 1.279766398318320057e-03
2.528000000000000114e+01 1.279759547183449914e-03
2.528000000000000114e+01 1.279759547183449914e-03
2.528000000000000114e+01 1.279759547183449914e-03
2.560000000000000142e+01 1.279752576925129951e-03
2.560000000000000142e+01 1.279752576925129951e-03
2.560000000000000142e+01 1.279752576925129951e-03
2.592000000000000171e+01 1.279745502718939928e-03
2.592000000000000171e+01 1.279745502718939928e-03
2.592000000000000171e+01 1.279745502718939928e-03
2.623999999999999844e+01 1.279738191982209960e-03
2.623999999999999844e+01 1.279738191982209960e-03
2.623999999999999844e+01 1.279738191982209960e-03
2.655999999999999872e+01 1.279730881851140045e-03
2.655999999999999872e+01 1.279730881851140045e-03
2.655999999999999872e+01 1.279730881851140045e-03
2.687999999999999901e+01 1.279723208930109947e-03
2.687999999999999901e+01 1.279723208930109947e-03
2.687999999999999901e+01 1.279723208930109947e-03
2.719999999999999929e+01 1.279715704803000096e-03
2.719999999999999929e+01 1.279715704803000096e-03
2.719999999999999929e+01 1.279715704803000096e-03
2.751999999999999957e+01 1.279707588915649907e-03
2.751999999999999957e+01 1.279707588915649907e-03
2.751999999999999957e+01 1.279707588915649907e-03
2.783999999999999986e+01 1.279699462086139996e-03
2.783999999999999986e+01 1.279699462086139996e-03
2.783999999999999986e+01 1.279699462086139996e-03
2.816000000000000014e+01 1.279690960699069987e-03
2.816000000000000014e+01 1.279690960699069987e-03
2.816000000000000014e+01 1.279690960699069987e-03
2.848000000000000043e+01 1.279682266110230074e-03
2.848000000000000043e+01 1.279682266110230074e-03
2.848000000000000043e+01 1.279682266110230074e-03
2.880000000000000071e+01 1.279673211800249916e-03
2.880000000000000071e+01 1.279673211800249916e-03
2.880000000000000071e+01 1.279673211800249916e-03
2.912000000000000099e+01 1.279664275162890105e-03
2.912000000000000099e+01 1.279664275162890105e-03
2.912000000000000099e+01 1.279664275162890105e-03
2.944000000000000128e+01 1.279655115418209914e-03
2.944000000000000128e+01 1.279655115418209914e-03
2.944000000000000128e+01 1.279655115418209914e-03
2.976000000000000156e+01 1.279646070498269934e-03
2.976000000000000156e+01 1.279646070498269934e-03
2.976000000000000156e+01 1.279646070498269934e-03
3.007999999999999829e+01 1.279637146028660003e-03
3.007999999999999829e+01 1.279637146028660003e-03
3.007999999999999829e+01 1.279637146028660003e-03
3.039999999999999858e+01 1.279628002144820014e-03
3.039999999999999858e+01 1.279628002144820014e-03
3.039999999999999858e+01 1.279628002144820014e-03
3.071999999999999886e+01 1.279618912445880082e-03
3.071999999999999886e+01 1.279618912445880082e-03
3.071999999999999886e+01 1.279618912445880082e-03
3.103999999999999915e+01 1.279609656883290078e-03
3.103999999999999915e+01 1.279609656883290078e-03
3.103999999999999915e+01 1.279609656883290078e-03
3.135999999999999943e+01 1.279600371595399945e-03
3.135999999999999943e+01 1.279600371595399945e-03
3.135999999999999943e+01 1.279600371595399945e-03
