t rho
0.000000000000000000e+00 1.279999999994890043e-03
0.000000000000000000e+00 1.279999999994890043e-03
0.000000000000000000e+00 1.279999999994890043e-03
2.000000000000000111e-01 1.279868070489469925e-03
2.000000000000000111e-01 1.279868070489469925e-03
2.000000000000000111e-01 1.279868070489469925e-03
4.000000000000000222e-01 1.279750239968529928e-03
4.000000000000000222e-01 1.279750239968529928e-03
4.000000000000000222e-01 1.279750239968529928e-03
5.999999999999999778e-01 1.279665195038300106e-03
5.999999999999999778e-01 1.279665195038300106e-03
5.999999999999999778e-01 1.279665195038300106e-03
8.000000000000000444e-01 1.279621435374759999e-03
8.000000000000000444e-01 1.279621435374759999e-03
8.000000000000000444e-01 1.279621435374759999e-03
1.000000000000000000e+00 1.279614375415969894e-03
1.000000000000000000e+00 1.279614375415969894e-03
1.000000000000000000e+00 1.279614375415969894e-03
1.199999999999999956e+00 1.279636923042559932e-03
1.199999999999999956e+00 1.279636923042559932e-03
1.199999999999999956e+00 1.279636923042559932e-03
1.399999999999999911e+00 1.279671287182810105e-03
1.399999999999999911e+00 1.279671287182810105e-03
1.399999999999999911e+00 1.279671287182810105e-03
1.600000000000000089e+00 1.279711723569700033e-03
1.600000000000000089e+00 1.279711723569700033e-03
1.600000000000000089e+00 1.279711723569700033e-03
1.800000000000000044e+00 1.279743990427539965e-03
1.800000000000000044e+00 1.279743990427539965e-03
1.800000000000000044e+00 1.279743990427539965e-03
2.000000000000000000e+00 1.279765762955849956e-03
2.000000000000000000e+00 1.279765762955849956e-03
2.000000000000000000e+00 1.279765762955849956e-03
2.200000000000000178e+00 1.279778534897090024e-03
2.200000000000000178e+00 1.279778534897090024e-03
2.200000000000000178e+00 1.279778534897090024e-03
2.399999999999999911e+00 1.279776519034199998e-03
2.399999999999999911e+00 1.279776519034199998e-03
2.399999999999999911e+00 1.279776519034199998e-03
2.600000000000000089e+00 1.279771635288510026e-03
2.600000000000000089e+00 1.279771635288510026e-03
2.600000000000000089e+00 1.279771635288510026e-03
2.799999999999999822e+00 1.279763053775049902e-03
2.799999999999999822e+00 1.279763053775049902e-03
2.799999999999999822e+00 1.279763053775049902e-03
3.000000000000000000e+00 1.279754149492049950e-03
3.000000000000000000e+00 1.279754149492049950e-03
3.000000000000000000e+00 1.279754149492049950e-03
3.200000000000000178e+00 1.279750564120229984e-03
3.200000000000000178e+00 1.279750564120229984e-03
3.200000000000000178e+00 1.279750564120229984e-03
3.399999999999999911e+00 1.279747891227030025e-03
3.399999999999999911e+00 1.279747891227030025e-03
3.399999999999999911e+00 1.279747891227030025e-03
3.600000000000000089e+00 1.279749651539650087e-03
3.600000000000000089e+00 1.279749651539650087e-03
3.600000000000000089e+00 1.279749651539650087e-03
3.799999999999999822e+00 1.279752809118329948e-03
3.799999999999999822e+00 1.279752809118329948e-03
3.799999999999999822e+00 1.279752809118329948e-03
4.000000000000000000e+00 1.279757576602509953e-03
4.000000000000000000e+00 1.279757576602509953e-03
4.000000000000000000e+00 1.279757576602509953e-03
4.200000000000000178e+00 1.279765871867129907e-03
4.200000000000000178e+00 1.279765871867129907e-03
4.200000000000000178e+00 1.279765871867129907e-03
4.400000000000000355e+00 1.279769796118489971e-03
4.400000000000000355e+00 1.279769796118489971e-03
4.400000000000000355e+00 1.279769796118489971e-03
4.599999999999999645e+00 1.279778454301470003e-03
4.599999999999999645e+00 1.279778454301470003e-03
4.599999999999999645e+00 1.279778454301470003e-03
4.799999999999999822e+00 1.279782161810310084e-03
4.799999999999999822e+00 1.279782161810310084e-03
4.799999999999999822e+00 1.279782161810310084e-03
5.000000000000000000e+00 1.279787636342549946e-03
5.000000000000000000e+00 1.279787636342549946e-03
5.000000000000000000e+00 1.279787636342549946e-03
5.200000000000000178e+00 1.279791120898200046e-03
5.200000000000000178e+00 1.279791120898200046e-03
5.200000000000000178e+00 1.279791120898200046e-03
5.400000000000000355e+00 1.279794887839030056e-03
5.400000000000000355e+00 1.279794887839030056e-03
5.400000000000000355e+00 1.279794887839030056e-03
5.599999999999999645e+00 1.279797673477100096e-03
5.599999999999999645e+00 1.279797673477100096e-03
5.599999999999999645e+00 1.279797673477100096e-03
5.799999999999999822e+00 1.279801317302989988e-03
5.799999999999999822e+00 1.279801317302989988e-03
5.799999999999999822e+00 1.279801317302989988e-03
6.000000000000000000e+00 1.279804609484199926e-03
6.000000000000000000e+00 1.279804609484199926e-03
6.000000000000000000e+00 1.279804609484199926e-03
6.200000000000000178e+00 1.279807873357719904e-03
6.200000000000000178e+00 1.279807873357719904e-03
6.200000000000000178e+00 1.279807873357719904e-03
6.400000000000000355e+00 1.279811589409609934e-03
6.400000000000000355e+00 1.279811589409609934e-03
6.400000000000000355e+00 1.279811589409609934e-03
6.599999999999999645e+00 1.279814911717919905e-03
6.599999999999999645e+00 1.279814911717919905e-03
6.599999999999999645e+00 1.279814911717919905e-03
6.799999999999999822e+00 1.279820783305529903e-03
6.799999999999999822e+00 1.279820783305529903e-03
6.799999999999999822e+00 1.279820783305529903e-03
7.000000000000000000e+00 1.279823271184660043e-03
7.000000000000000000e+00 1.279823271184660043e-03
7.000000000000000000e+00 1.279823271184660043e-03
7.200000000000000178e+00 1.279828271282319957e-03
7.200000000000000178e+00 1.279828271282319957e-03
7.200000000000000178e+00 1.279828271282319957e-03
7.400000000000000355e+00 1.279832289522689955e-03
7.400000000000000355e+00 1.279832289522689955e-03
7.400000000000000355e+00 1.279832289522689955e-03
7.599999999999999645e+00 1.279837005722929974e-03
7.599999999999999645e+00 1.279837005722929974e-03
7.599999999999999645e+00 1.279837005722929974e-03
7.799999999999999822e+00 1.279841038906850059e-03
7.799999999999999822e+00 1.279841038906850059e-03
7.799999999999999822e+00 1.279841038906850059e-03
8.000000000000000000e+00 1.279845843564430055e-03
8.000000000000000000e+00 1.279845843564430055e-03
8.000000000000000000e+00 1.279845843564430055e-03
8.199999999999999289e+00 1.279850043562070095e-03
8.199999999999999289e+00 1.279850043562070095e-03
8.199999999999999289e+00 1.279850043562070095e-03
8.400000000000000355e+00 1.279854826094359993e-03
8.400000000000000355e+00 1.279854826094359993e-03
8.400000000000000355e+00 1.279854826094359993e-03
8.599999999999999645e+00 1.279859969721919895e-03
8.599999999999999645e+00 1.279859969721919895e-03
8.599999999999999645e+00 1.279859969721919895e-03
8.800000000000000711e+00 1.279864274501500004e-03
8.800000000000000711e+00 1.279864274501500004e-03
8.800000000000000711e+00 1.279864274501500004e-03
9.000000000000000000e+00 1.279869958131980108e-03
9.000000000000000000e+00 1.279869958131980108e-03
9.000000000000000000e+00 1.279869958131980108e-03
9.199999999999999289e+00 1.279875045104189894e-03
9.199999999999999289e+00 1.279875045104189894e-03
9.199999999999999289e+00 1.279875045104189894e-03
9.400000000000000355e+00 1.279880712854939958e-03
9.400000000000000355e+00 1.279880712854939958e-03
9.400000000000000355e+00 1.279880712854939958e-03
9.599999999999999645e+00 1.279886071821079944e-03
9.599999999999999645e+00 1.279886071821079944e-03
9.599999999999999645e+00 1.279886071821079944e-03
9.800000000000000711e+00 1.279891605885869919e-03
9.800000000000000711e+00 1.279891605885869919e-03
9.800000000000000711e+00 1.279891605885869919e-03
1.000000000000000000e+01 1.279897377938000015e-03
1.000000000000000000e+01 1.279897377938000015e-03
1.000000000000000000e+01 1.279897377938000015e-03
1.019999999999999929e+01 1.279902700321029979e-03
1.019999999999999929e+01 1.279902700321029979e-03
1.019999999999999929e+01 1.279902700321029979e-03
1.040000000000000036e+01 1.279908280731670072e-03
1.040000000000000036e+01 1.279908280731670072e-03
1.040000000000000036e+01 1.279908280731670072e-03
1.059999999999999964e+01 1.279913191966809997e-03
1.059999999999999964e+01 1.279913191966809997e-03
1.059999999999999964e+01 1.279913191966809997e-03
1.080000000000000071e+01 1.279918546211599936e-03
1.080000000000000071e+01 1.279918546211599936e-03
1.080000000000000071e+01 1.279918546211599936e-03
1.100000000000000000e+01 1.279923060123939983e-03
1.100000000000000000e+01 1.279923060123939983e-03
1.100000000000000000e+01 1.279923060123939983e-03
1.119999999999999929e+01 1.279927940771790045e-03
1.119999999999999929e+01 1.279927940771790045e-03
1.119999999999999929e+01 1.279927940771790045e-03
1.140000000000000036e+01 1.279932234986730063e-03
1.140000000000000036e+01 1.279932234986730063e-03
1.140000000000000036e+01 1.279932234986730063e-03
1.159999999999999964e+01 1.279936785546380079e-03
1.159999999999999964e+01 1.279936785546380079e-03
1.159999999999999964e+01 1.279936785546380079e-03
1.180000000000000071e+01 1.279940822587940065e-03
1.180000000000000071e+01 1.279940822587940065e-03
1.180000000000000071e+01 1.279940822587940065e-03
1.200000000000000000e+01 1.279945019537989930e-03
1.200000000000000000e+01 1.279945019537989930e-03
1.200000000000000000e+01 1.279945019537989930e-03
1.219999999999999929e+01 1.279948891050590020e-03
1.219999999999999929e+01 1.279948891050590020e-03
1.219999999999999929e+01 1.279948891050590020e-03
1.240000000000000036e+01 1.279952731359100017e-03
1.240000000000000036e+01 1.279952731359100017e-03
1.240000000000000036e+01 1.279952731359100017e-03
1.259999999999999964e+01 1.279956457662130044e-03
1.259999999999999964e+01 1.279956457662130044e-03
1.259999999999999964e+01 1.279956457662130044e-03
1.280000000000000071e+01 1.279960142312599981e-03
1.280000000000000071e+01 1.279960142312599981e-03
1.280000000000000071e+01 1.279960142312599981e-03
1.300000000000000000e+01 1.279963930071020047e-03
1.300000000000000000e+01 1.279963930071020047e-03
1.300000000000000000e+01 1.279963930071020047e-03
1.319999999999999929e+01 1.279967557175170061e-03
1.319999999999999929e+01 1.279967557175170061e-03
1.319999999999999929e+01 1.279967557175170061e-03
1.340000000000000036e+01 1.279971518375279957e-03
1.340000000000000036e+01 1.279971518375279957e-03
1.340000000000000036e+01 1.279971518375279957e-03
1.359999999999999964e+01 1.279975104152979897e-03
1.359999999999999964e+01 1.279975104152979897e-03
1.359999999999999964e+01 1.279975104152979897e-03
1.380000000000000071e+01 1.279979299504520026e-03
1.380000000000000071e+01 1.279979299504520026e-03
1.380000000000000071e+01 1.279979299504520026e-03
1.400000000000000000e+01 1.279982944476449995e-03
1.400000000000000000e+01 1.279982944476449995e-03
1.400000000000000000e+01 1.279982944476449995e-03
1.419999999999999929e+01 1.279987174735669952e-03
1.419999999999999929e+01 1.279987174735669952e-03
1.419999999999999929e+01 1.279987174735669952e-03
1.440000000000000036e+01 1.279990864386940010e-03
1.440000000000000036e+01 1.279990864386940010e-03
1.440000000000000036e+01 1.279990864386940010e-03
1.459999999999999964e+01 1.279995060027730100e-03
1.459999999999999964e+01 1.279995060027730100e-03
1.459999999999999964e+01 1.279995060027730100e-03
1.480000000000000071e+01 1.279998680472779976e-03
1.480000000000000071e+01 1.279998680472779976e-03
1.480000000000000071e+01 1.279998680472779976e-03
1.500000000000000000e+01 1.280002820092809987e-03
1.500000000000000000e+01 1.280002820092809987e-03
1.500000000000000000e+01 1.280002820092809987e-03
1.519999999999999929e+01 1.280006202952779998e-03
1.519999999999999929e+01 1.280006202952779998e-03
1.519999999999999929e+01 1.280006202952779998e-03
1.540000000000000036e+01 1.280010151524529948e-03
1.540000000000000036e+01 1.280010151524529948e-03
1.540000000000000036e+01 1.280010151524529948e-03
1.559999999999999964e+01 1.280013387397960049e-03
1.559999999999999964e+01 1.280013387397960049e-03
1.559999999999999964e+01 1.280013387397960049e-03
1.580000000000000071e+01 1.280017058445969899e-03
1.580000000000000071e+01 1.280017058445969899e-03
1.580000000000000071e+01 1.280017058445969899e-03
1.600000000000000000e+01 1.280020105742310076e-03
1.600000000000000000e+01 1.280020105742310076e-03
1.600000000000000000e+01 1.280020105742310076e-03
1.619999999999999929e+01 1.280023421628080030e-03
1.619999999999999929e+01 1.280023421628080030e-03
1.619999999999999929e+01 1.280023421628080030e-03
1.639999999999999858e+01 1.280026231230540004e-03
1.639999999999999858e+01 1.280026231230540004e-03
1.639999999999999858e+01 1.280026231230540004e-03
1.660000000000000142e+01 1.280029219636980064e-03
1.660000000000000142e+01 1.280029219636980064e-03
1.660000000000000142e+01 1.280029219636980064e-03
1.680000000000000071e+01 1.280031806668099990e-03
1.680000000000000071e+01 1.280031806668099990e-03
1.680000000000000071e+01 1.280031806668099990e-03
1.700000000000000000e+01 1.280034432708160091e-03
1.700000000000000000e+01 1.280034432708160091e-03
1.700000000000000000e+01 1.280034432708160091e-03
1.719999999999999929e+01 1.280036863327820061e-03
1.719999999999999929e+01 1.280036863327820061e-03
1.719999999999999929e+01 1.280036863327820061e-03
1.739999999999999858e+01 1.280039111357689956e-03
1.739999999999999858e+01 1.280039111357689956e-03
1.739999999999999858e+01 1.280039111357689956e-03
1.760000000000000142e+01 1.280041407291949941e-03
1.760000000000000142e+01 1.280041407291949941e-03
1.760000000000000142e+01 1.280041407291949941e-03
1.780000000000000071e+01 1.280043351572440020e-03
1.780000000000000071e+01 1.280043351572440020e-03
1.780000000000000071e+01 1.280043351572440020e-03
1.800000000000000000e+01 1.280045488461439970e-03
1.800000000000000000e+01 1.280045488461439970e-03
1.800000000000000000e+01 1.280045488461439970e-03
1.819999999999999929e+01 1.280047160863620036e-03
1.819999999999999929e+01 1.280047160863620036e-03
1.819999999999999929e+01 1.280047160863620036e-03
1.839999999999999858e+01 1.280049102563419897e-03
1.839999999999999858e+01 1.280049102563419897e-03
1.839999999999999858e+01 1.280049102563419897e-03
1.860000000000000142e+01 1.280050567105890050e-03
1.860000000000000142e+01 1.280050567105890050e-03
1.860000000000000142e+01 1.280050567105890050e-03
1.880000000000000071e+01 1.280052366809710050e-03
1.880000000000000071e+01 1.280052366809710050e-03
1.880000000000000071e+01 1.280052366809710050e-03
1.900000000000000000e+01 1.280053689720240086e-03
1.900000000000000000e+01 1.280053689720240086e-03
1.900000000000000000e+01 1.280053689720240086e-03
1.919999999999999929e+01 1.280055397809370075e-03
1.919999999999999929e+01 1.280055397809370075e-03
1.919999999999999929e+01 1.280055397809370075e-03
1.939999999999999858e+01 1.280056767757910101e-03
1.939999999999999858e+01 1.280056767757910101e-03
1.939999999999999858e+01 1.280056767757910101e-03
1.960000000000000142e+01 1.280058427811860090e-03
1.960000000000000142e+01 1.280058427811860090e-03
1.960000000000000142e+01 1.280058427811860090e-03
