t rho
0.000000000000000000e+00 1.279999999994890043e-03
0.000000000000000000e+00 1.279999999994890043e-03
0.000000000000000000e+00 1.279999999994890043e-03
1.000000000000000056e-01 1.279956556956520029e-03
1.000000000000000056e-01 1.279956556956520029e-03
1.000000000000000056e-01 1.279956556956520029e-03
2.000000000000000111e-01 1.279915428515139997e-03
2.000000000000000111e-01 1.279915428515139997e-03
2.000000000000000111e-01 1.279915428515139997e-03
2.999999999999999889e-01 1.279879743341190076e-03
2.999999999999999889e-01 1.279879743341190076e-03
2.999999999999999889e-01 1.279879743341190076e-03
4.000000000000000222e-01 1.279850377020410029e-03
4.000000000000000222e-01 1.279850377020410029e-03
4.000000000000000222e-01 1.279850377020410029e-03
5.000000000000000000e-01 1.279830528735180018e-03
5.000000000000000000e-01 1.279830528735180018e-03
5.000000000000000000e-01 1.279830528735180018e-03
5.999999999999999778e-01 1.279820859765359907e-03
5.999999999999999778e-01 1.279820859765359907e-03
5.999999999999999778e-01 1.279820859765359907e-03
6.999999999999999556e-01 1.279820852502049945e-03
6.999999999999999556e-01 1.279820852502049945e-03
6.999999999999999556e-01 1.279820852502049945e-03
8.000000000000000444e-01 1.279826193771729965e-03
8.000000000000000444e-01 1.279826193771729965e-03
8.000000000000000444e-01 1.279826193771729965e-03
9.000000000000000222e-01 1.279834633522239969e-03
9.000000000000000222e-01 1.279834633522239969e-03
9.000000000000000222e-01 1.279834633522239969e-03
1.000000000000000000e+00 1.279846692589579936e-03
1.000000000000000000e+00 1.279846692589579936e-03
1.000000000000000000e+00 1.279846692589579936e-03
1.100000000000000089e+00 1.279860819990639911e-03
1.100000000000000089e+00 1.279860819990639911e-03
1.100000000000000089e+00 1.279860819990639911e-03
1.199999999999999956e+00 1.279870935467819970e-03
1.199999999999999956e+00 1.279870935467819970e-03
1.199999999999999956e+00 1.279870935467819970e-03
1.300000000000000044e+00 1.279881971815649945e-03
1.300000000000000044e+00 1.279881971815649945e-03
1.300000000000000044e+00 1.279881971815649945e-03
1.399999999999999911e+00 1.279891565318620056e-03
1.399999999999999911e+00 1.279891565318620056e-03
1.399999999999999911e+00 1.279891565318620056e-03
1.500000000000000000e+00 1.279895911966419993e-03
1.500000000000000000e+00 1.279895911966419993e-03
1.500000000000000000e+00 1.279895911966419993e-03
1.600000000000000089e+00 1.279896670156390002e-03
1.600000000000000089e+00 1.279896670156390002e-03
1.600000000000000089e+00 1.279896670156390002e-03
1.699999999999999956e+00 1.279895083089939954e-03
1.699999999999999956e+00 1.279895083089939954e-03
1.699999999999999956e+00 1.279895083089939954e-03
1.800000000000000044e+00 1.279892139357029961e-03
1.800000000000000044e+00 1.279892139357029961e-03
1.800000000000000044e+00 1.279892139357029961e-03
1.899999999999999911e+00 1.279890323223339911e-03
1.899999999999999911e+00 1.279890323223339911e-03
1.899999999999999911e+00 1.279890323223339911e-03
2.000000000000000000e+00 1.279883312140589957e-03
2.000000000000000000e+00 1.279883312140589957e-03
2.000000000000000000e+00 1.279883312140589957e-03
2.100000000000000089e+00 1.279880573114510010e-03
2.100000000000000089e+00 1.279880573114510010e-03
2.100000000000000089e+00 1.279880573114510010e-03
2.200000000000000178e+00 1.279879821058209962e-03
2.200000000000000178e+00 1.279879821058209962e-03
2.200000000000000178e+00 1.279879821058209962e-03
2.299999999999999822e+00 1.279874273414510072e-03
2.299999999999999822e+00 1.279874273414510072e-03
2.299999999999999822e+00 1.279874273414510072e-03
2.399999999999999911e+00 1.279870740551600087e-03
2.399999999999999911e+00 1.279870740551600087e-03
2.399999999999999911e+00 1.279870740551600087e-03
2.500000000000000000e+00 1.279872349043649927e-03
2.500000000000000000e+00 1.279872349043649927e-03
2.500000000000000000e+00 1.279872349043649927e-03
2.600000000000000089e+00 1.279874887909999938e-03
2.600000000000000089e+00 1.279874887909999938e-03
2.600000000000000089e+00 1.279874887909999938e-03
2.700000000000000178e+00 1.279875000211170037e-03
2.700000000000000178e+00 1.279875000211170037e-03
2.700000000000000178e+00 1.279875000211170037e-03
2.799999999999999822e+00 1.279878803895320022e-03
2.799999999999999822e+00 1.279878803895320022e-03
2.799999999999999822e+00 1.279878803895320022e-03
2.899999999999999911e+00 1.279879019815419964e-03
2.899999999999999911e+00 1.279879019815419964e-03
2.899999999999999911e+00 1.279879019815419964e-03
3.000000000000000000e+00 1.279882454216049953e-03
3.000000000000000000e+00 1.279882454216049953e-03
3.000000000000000000e+00 1.279882454216049953e-03
3.100000000000000089e+00 1.279882726720640027e-03
3.100000000000000089e+00 1.279882726720640027e-03
3.100000000000000089e+00 1.279882726720640027e-03
3.200000000000000178e+00 1.279882696538369932e-03
3.200000000000000178e+00 1.279882696538369932e-03
3.200000000000000178e+00 1.279882696538369932e-03
3.299999999999999822e+00 1.279884366346410035e-03
3.299999999999999822e+00 1.279884366346410035e-03
3.299999999999999822e+00 1.279884366346410035e-03
3.399999999999999911e+00 1.279884155612749912e-03
3.399999999999999911e+00 1.279884155612749912e-03
3.399999999999999911e+00 1.279884155612749912e-03
3.500000000000000000e+00 1.279887615613429976e-03
3.500000000000000000e+00 1.279887615613429976e-03
3.500000000000000000e+00 1.279887615613429976e-03
3.600000000000000089e+00 1.279886626842170012e-03
3.600000000000000089e+00 1.279886626842170012e-03
3.600000000000000089e+00 1.279886626842170012e-03
3.700000000000000178e+00 1.279886629145459949e-03
3.700000000000000178e+00 1.279886629145459949e-03
3.700000000000000178e+00 1.279886629145459949e-03
3.799999999999999822e+00 1.279888886013170026e-03
3.799999999999999822e+00 1.279888886013170026e-03
3.799999999999999822e+00 1.279888886013170026e-03
3.899999999999999911e+00 1.279889986319179959e-03
3.899999999999999911e+00 1.279889986319179959e-03
3.899999999999999911e+00 1.279889986319179959e-03
4.000000000000000000e+00 1.279886869283869974e-03
4.000000000000000000e+00 1.279886869283869974e-03
4.000000000000000000e+00 1.279886869283869974e-03
4.099999999999999645e+00 1.279888934146660058e-03
4.099999999999999645e+00 1.279888934146660058e-03
4.099999999999999645e+00 1.279888934146660058e-03
4.200000000000000178e+00 1.279891028990430080e-03
4.200000000000000178e+00 1.279891028990430080e-03
4.200000000000000178e+00 1.279891028990430080e-03
4.299999999999999822e+00 1.279890262612159990e-03
4.299999999999999822e+00 1.279890262612159990e-03
4.299999999999999822e+00 1.279890262612159990e-03
4.400000000000000355e+00 1.279891287971089914e-03
4.400000000000000355e+00 1.279891287971089914e-03
4.400000000000000355e+00 1.279891287971089914e-03
4.500000000000000000e+00 1.279888528737220098e-03
4.500000000000000000e+00 1.279888528737220098e-03
4.500000000000000000e+00 1.279888528737220098e-03
4.599999999999999645e+00 1.279886768246170066e-03
4.599999999999999645e+00 1.279886768246170066e-03
4.599999999999999645e+00 1.279886768246170066e-03
4.700000000000000178e+00 1.279887501885129978e-03
4.700000000000000178e+00 1.279887501885129978e-03
4.700000000000000178e+00 1.279887501885129978e-03
4.799999999999999822e+00 1.279888431218199896e-03
4.799999999999999822e+00 1.279888431218199896e-03
4.799999999999999822e+00 1.279888431218199896e-03
4.900000000000000355e+00 1.279887492585049958e-03
4.900000000000000355e+00 1.279887492585049958e-03
4.900000000000000355e+00 1.279887492585049958e-03
5.000000000000000000e+00 1.279889280408160000e-03
5.000000000000000000e+00 1.279889280408160000e-03
5.000000000000000000e+00 1.279889280408160000e-03
5.099999999999999645e+00 1.279890662571999977e-03
5.099999999999999645e+00 1.279890662571999977e-03
5.099999999999999645e+00 1.279890662571999977e-03
5.200000000000000178e+00 1.279891284093639904e-03
5.200000000000000178e+00 1.279891284093639904e-03
5.200000000000000178e+00 1.279891284093639904e-03
5.299999999999999822e+00 1.279892399990160056e-03
5.299999999999999822e+00 1.279892399990160056e-03
5.299999999999999822e+00 1.279892399990160056e-03
5.400000000000000355e+00 1.279893440101040076e-03
5.400000000000000355e+00 1.279893440101040076e-03
5.400000000000000355e+00 1.279893440101040076e-03
5.500000000000000000e+00 1.279894162564089964e-03
5.500000000000000000e+00 1.279894162564089964e-03
5.500000000000000000e+00 1.279894162564089964e-03
5.599999999999999645e+00 1.279896832205330024e-03
5.599999999999999645e+00 1.279896832205330024e-03
5.599999999999999645e+00 1.279896832205330024e-03
5.700000000000000178e+00 1.279897265800779933e-03
5.700000000000000178e+00 1.279897265800779933e-03
5.700000000000000178e+00 1.279897265800779933e-03
5.799999999999999822e+00 1.279898593502529908e-03
5.799999999999999822e+00 1.279898593502529908e-03
5.799999999999999822e+00 1.279898593502529908e-03
5.900000000000000355e+00 1.279899856768000003e-03
5.900000000000000355e+00 1.279899856768000003e-03
5.900000000000000355e+00 1.279899856768000003e-03
6.000000000000000000e+00 1.279901347488290051e-03
6.000000000000000000e+00 1.279901347488290051e-03
6.000000000000000000e+00 1.279901347488290051e-03
6.099999999999999645e+00 1.279901595249439972e-03
6.099999999999999645e+00 1.279901595249439972e-03
6.099999999999999645e+00 1.279901595249439972e-03
6.200000000000000178e+00 1.279905109067789974e-03
6.200000000000000178e+00 1.279905109067789974e-03
6.200000000000000178e+00 1.279905109067789974e-03
6.299999999999999822e+00 1.279907716368040025e-03
6.299999999999999822e+00 1.279907716368040025e-03
6.299999999999999822e+00 1.279907716368040025e-03
6.400000000000000355e+00 1.279906547603199907e-03
6.400000000000000355e+00 1.279906547603199907e-03
6.400000000000000355e+00 1.279906547603199907e-03
6.500000000000000000e+00 1.279908346254309904e-03
6.500000000000000000e+00 1.279908346254309904e-03
6.500000000000000000e+00 1.279908346254309904e-03
6.599999999999999645e+00 1.279908446984399971e-03
6.599999999999999645e+00 1.279908446984399971e-03
6.599999999999999645e+00 1.279908446984399971e-03
6.700000000000000178e+00 1.279909799493749931e-03
6.700000000000000178e+00 1.279909799493749931e-03
6.700000000000000178e+00 1.279909799493749931e-03
6.799999999999999822e+00 1.279913577092760008e-03
6.799999999999999822e+00 1.279913577092760008e-03
6.799999999999999822e+00 1.279913577092760008e-03
6.900000000000000355e+00 1.279912182482779992e-03
6.900000000000000355e+00 1.279912182482779992e-03
6.900000000000000355e+00 1.279912182482779992e-03
7.000000000000000000e+00 1.279913192579410029e-03
7.000000000000000000e+00 1.279913192579410029e-03
7.000000000000000000e+00 1.279913192579410029e-03
7.099999999999999645e+00 1.279917803805210100e-03
7.099999999999999645e+00 1.279917803805210100e-03
7.099999999999999645e+00 1.279917803805210100e-03
7.200000000000000178e+00 1.279917456009839905e-03
7.200000000000000178e+00 1.279917456009839905e-03
7.200000000000000178e+00 1.279917456009839905e-03
7.299999999999999822e+00 1.279916679274269945e-03
7.299999999999999822e+00 1.279916679274269945e-03
7.299999999999999822e+00 1.279916679274269945e-03
7.400000000000000355e+00 1.279917435032119910e-03
7.400000000000000355e+00 1.279917435032119910e-03
7.400000000000000355e+00 1.279917435032119910e-03
7.500000000000000000e+00 1.279918540730300060e-03
7.500000000000000000e+00 1.279918540730300060e-03
7.500000000000000000e+00 1.279918540730300060e-03
7.599999999999999645e+00 1.279914541542340103e-03
7.599999999999999645e+00 1.279914541542340103e-03
7.599999999999999645e+00 1.279914541542340103e-03
7.700000000000000178e+00 1.279917142370430106e-03
7.700000000000000178e+00 1.279917142370430106e-03
7.700000000000000178e+00 1.279917142370430106e-03
7.799999999999999822e+00 1.279919032849600015e-03
7.799999999999999822e+00 1.279919032849600015e-03
7.799999999999999822e+00 1.279919032849600015e-03
7.900000000000000355e+00 1.279917675054129990e-03
7.900000000000000355e+00 1.279917675054129990e-03
7.900000000000000355e+00 1.279917675054129990e-03
8.000000000000000000e+00 1.279921502211190006e-03
8.000000000000000000e+00 1.279921502211190006e-03
8.000000000000000000e+00 1.279921502211190006e-03
8.099999999999999645e+00 1.279921640976709914e-03
8.099999999999999645e+00 1.279921640976709914e-03
8.099999999999999645e+00 1.279921640976709914e-03
8.199999999999999289e+00 1.279922434730629928e-03
8.199999999999999289e+00 1.279922434730629928e-03
8.199999999999999289e+00 1.279922434730629928e-03
8.300000000000000711e+00 1.279921760522770031e-03
8.300000000000000711e+00 1.279921760522770031e-03
8.300000000000000711e+00 1.279921760522770031e-03
8.400000000000000355e+00 1.279924367376639952e-03
8.400000000000000355e+00 1.279924367376639952e-03
8.400000000000000355e+00 1.279924367376639952e-03
8.500000000000000000e+00 1.279923995666709972e-03
8.500000000000000000e+00 1.279923995666709972e-03
8.500000000000000000e+00 1.279923995666709972e-03
8.599999999999999645e+00 1.279925559978690053e-03
8.599999999999999645e+00 1.279925559978690053e-03
8.599999999999999645e+00 1.279925559978690053e-03
8.699999999999999289e+00 1.279928266776490060e-03
8.699999999999999289e+00 1.279928266776490060e-03
8.699999999999999289e+00 1.279928266776490060e-03
8.800000000000000711e+00 1.279927902388720102e-03
8.800000000000000711e+00 1.279927902388720102e-03
8.800000000000000711e+00 1.279927902388720102e-03
8.900000000000000355e+00 1.279929840785900066e-03
8.900000000000000355e+00 1.279929840785900066e-03
8.900000000000000355e+00 1.279929840785900066e-03
9.000000000000000000e+00 1.279930889782800044e-03
9.000000000000000000e+00 1.279930889782800044e-03
9.000000000000000000e+00 1.279930889782800044e-03
9.099999999999999645e+00 1.279931449736060019e-03
9.099999999999999645e+00 1.279931449736060019e-03
9.099999999999999645e+00 1.279931449736060019e-03
9.199999999999999289e+00 1.279932109822489979e-03
9.199999999999999289e+00 1.279932109822489979e-03
9.199999999999999289e+00 1.279932109822489979e-03
9.300000000000000711e+00 1.279934153870279949e-03
9.300000000000000711e+00 1.279934153870279949e-03
9.300000000000000711e+00 1.279934153870279949e-03
9.400000000000000355e+00 1.279934267791479896e-03
9.400000000000000355e+00 1.279934267791479896e-03
9.400000000000000355e+00 1.279934267791479896e-03
9.500000000000000000e+00 1.279935168069429958e-03
9.500000000000000000e+00 1.279935168069429958e-03
9.500000000000000000e+00 1.279935168069429958e-03
9.599999999999999645e+00 1.279936331610829906e-03
9.599999999999999645e+00 1.279936331610829906e-03
9.599999999999999645e+00 1.279936331610829906e-03
9.699999999999999289e+00 1.279937382399020090e-03
9.699999999999999289e+00 1.279937382399020090e-03
9.699999999999999289e+00 1.279937382399020090e-03
9.800000000000000711e+00 1.279937367807930035e-03
9.800000000000000711e+00 1.279937367807930035e-03
9.800000000000000711e+00 1.279937367807930035e-03
