t rho
0.000000000000000000e+00 1.279999999994890043e-03
0.000000000000000000e+00 1.279999999994890043e-03
0.000000000000000000e+00 1.279999999994890043e-03
1.600000000000000033e-01 1.279924749646130103e-03
1.600000000000000033e-01 1.279924749646130103e-03
1.600000000000000033e-01 1.279924749646130103e-03
3.200000000000000067e-01 1.279863041987230107e-03
3.200000000000000067e-01 1.279863041987230107e-03
3.200000000000000067e-01 1.279863041987230107e-03
4.799999999999999822e-01 1.279825112803069896e-03
4.799999999999999822e-01 1.279825112803069896e-03
4.799999999999999822e-01 1.279825112803069896e-03
6.400000000000000133e-01 1.279817609043900099e-03
6.400000000000000133e-01 1.279817609043900099e-03
6.400000000000000133e-01 1.279817609043900099e-03
8.000000000000000444e-01 1.279829061128290053e-03
8.000000000000000444e-01 1.279829061128290053e-03
8.000000000000000444e-01 1.279829061128290053e-03
9.599999999999999645e-01 1.279849017713589930e-03
9.599999999999999645e-01 1.279849017713589930e-03
9.599999999999999645e-01 1.279849017713589930e-03
1.120000000000000107e+00 1.279872025131990063e-03
1.120000000000000107e+00 1.279872025131990063e-03
1.120000000000000107e+00 1.279872025131990063e-03
1.280000000000000027e+00 1.279885514214559959e-03
1.280000000000000027e+00 1.279885514214559959e-03
1.280000000000000027e+00 1.279885514214559959e-03
1.439999999999999947e+00 1.279889928985619967e-03
1.439999999999999947e+00 1.279889928985619967e-03
1.439999999999999947e+00 1.279889928985619967e-03
1.600000000000000089e+00 1.279890986333750025e-03
1.600000000000000089e+00 1.279890986333750025e-03
1.600000000000000089e+00 1.279890986333750025e-03
1.760000000000000009e+00 1.279879315104320067e-03
1.760000000000000009e+00 1.279879315104320067e-03
1.760000000000000009e+00 1.279879315104320067e-03
1.919999999999999929e+00 1.279875858005960097e-03
1.919999999999999929e+00 1.279875858005960097e-03
1.919999999999999929e+00 1.279875858005960097e-03
2.080000000000000071e+00 1.279869576382970100e-03
2.080000000000000071e+00 1.279869576382970100e-03
2.080000000000000071e+00 1.279869576382970100e-03
2.240000000000000213e+00 1.279864647470989932e-03
2.240000000000000213e+00 1.279864647470989932e-03
2.240000000000000213e+00 1.279864647470989932e-03
2.399999999999999911e+00 1.279871041497070020e-03
2.399999999999999911e+00 1.279871041497070020e-03
2.399999999999999911e+00 1.279871041497070020e-03
2.560000000000000053e+00 1.279869621364469962e-03
2.560000000000000053e+00 1.279869621364469962e-03
2.560000000000000053e+00 1.279869621364469962e-03
2.720000000000000195e+00 1.279869867271120039e-03
2.720000000000000195e+00 1.279869867271120039e-03
2.720000000000000195e+00 1.279869867271120039e-03
2.879999999999999893e+00 1.279879554613809998e-03
2.879999999999999893e+00 1.279879554613809998e-03
2.879999999999999893e+00 1.279879554613809998e-03
3.040000000000000036e+00 1.279874886732859955e-03
3.040000000000000036e+00 1.279874886732859955e-03
3.040000000000000036e+00 1.279874886732859955e-03
3.200000000000000178e+00 1.279879429886290020e-03
3.200000000000000178e+00 1.279879429886290020e-03
3.200000000000000178e+00 1.279879429886290020e-03
3.359999999999999876e+00 1.279878071114439993e-03
3.359999999999999876e+00 1.279878071114439993e-03
3.359999999999999876e+00 1.279878071114439993e-03
3.520000000000000018e+00 1.279879811902530059e-03
3.520000000000000018e+00 1.279879811902530059e-03
3.520000000000000018e+00 1.279879811902530059e-03
3.680000000000000160e+00 1.279881331931730006e-03
3.680000000000000160e+00 1.279881331931730006e-03
3.680000000000000160e+00 1.279881331931730006e-03
3.839999999999999858e+00 1.279883894751720087e-03
3.839999999999999858e+00 1.279883894751720087e-03
3.839999999999999858e+00 1.279883894751720087e-03
4.000000000000000000e+00 1.279879355260450007e-03
4.000000000000000000e+00 1.279879355260450007e-03
4.000000000000000000e+00 1.279879355260450007e-03
4.160000000000000142e+00 1.279880503260379934e-03
4.160000000000000142e+00 1.279880503260379934e-03
4.160000000000000142e+00 1.279880503260379934e-03
4.320000000000000284e+00 1.279883089535609935e-03
4.320000000000000284e+00 1.279883089535609935e-03
4.320000000000000284e+00 1.279883089535609935e-03
4.480000000000000426e+00 1.279879557052180034e-03
4.480000000000000426e+00 1.279879557052180034e-03
4.480000000000000426e+00 1.279879557052180034e-03
4.639999999999999680e+00 1.279885985405360095e-03
4.639999999999999680e+00 1.279885985405360095e-03
4.639999999999999680e+00 1.279885985405360095e-03
4.799999999999999822e+00 1.279884461498310066e-03
4.799999999999999822e+00 1.279884461498310066e-03
4.799999999999999822e+00 1.279884461498310066e-03
4.959999999999999964e+00 1.279882897358390051e-03
4.959999999999999964e+00 1.279882897358390051e-03
4.959999999999999964e+00 1.279882897358390051e-03
5.120000000000000107e+00 1.279886290471349925e-03
5.120000000000000107e+00 1.279886290471349925e-03
5.120000000000000107e+00 1.279886290471349925e-03
5.280000000000000249e+00 1.279886684480629989e-03
5.280000000000000249e+00 1.279886684480629989e-03
5.280000000000000249e+00 1.279886684480629989e-03
5.440000000000000391e+00 1.279887155565610042e-03
5.440000000000000391e+00 1.279887155565610042e-03
5.440000000000000391e+00 1.279887155565610042e-03
5.599999999999999645e+00 1.279888426265509945e-03
5.599999999999999645e+00 1.279888426265509945e-03
5.599999999999999645e+00 1.279888426265509945e-03
5.759999999999999787e+00 1.279891896216469975e-03
5.759999999999999787e+00 1.279891896216469975e-03
5.759999999999999787e+00 1.279891896216469975e-03
5.919999999999999929e+00 1.279890607895430065e-03
5.919999999999999929e+00 1.279890607895430065e-03
5.919999999999999929e+00 1.279890607895430065e-03
6.080000000000000071e+00 1.279891776766369990e-03
6.080000000000000071e+00 1.279891776766369990e-03
6.080000000000000071e+00 1.279891776766369990e-03
6.240000000000000213e+00 1.279893651579250020e-03
6.240000000000000213e+00 1.279893651579250020e-03
6.240000000000000213e+00 1.279893651579250020e-03
6.400000000000000355e+00 1.279895613409350085e-03
6.400000000000000355e+00 1.279895613409350085e-03
6.400000000000000355e+00 1.279895613409350085e-03
6.559999999999999609e+00 1.279894016082340057e-03
6.559999999999999609e+00 1.279894016082340057e-03
6.559999999999999609e+00 1.279894016082340057e-03
6.719999999999999751e+00 1.279897087145950071e-03
6.719999999999999751e+00 1.279897087145950071e-03
6.719999999999999751e+00 1.279897087145950071e-03
6.879999999999999893e+00 1.279897763937509932e-03
6.879999999999999893e+00 1.279897763937509932e-03
6.879999999999999893e+00 1.279897763937509932e-03
7.040000000000000036e+00 1.279898855608770048e-03
7.040000000000000036e+00 1.279898855608770048e-03
7.040000000000000036e+00 1.279898855608770048e-03
7.200000000000000178e+00 1.279899867925649894e-03
7.200000000000000178e+00 1.279899867925649894e-03
7.200000000000000178e+00 1.279899867925649894e-03
7.360000000000000320e+00 1.279900085443859935e-03
7.360000000000000320e+00 1.279900085443859935e-03
7.360000000000000320e+00 1.279900085443859935e-03
7.519999999999999574e+00 1.279904492219680057e-03
7.519999999999999574e+00 1.279904492219680057e-03
7.519999999999999574e+00 1.279904492219680057e-03
7.679999999999999716e+00 1.279906497337700028e-03
7.679999999999999716e+00 1.279906497337700028e-03
7.679999999999999716e+00 1.279906497337700028e-03
7.839999999999999858e+00 1.279905014374170058e-03
7.839999999999999858e+00 1.279905014374170058e-03
7.839999999999999858e+00 1.279905014374170058e-03
8.000000000000000000e+00 1.279904913222909947e-03
8.000000000000000000e+00 1.279904913222909947e-03
8.000000000000000000e+00 1.279904913222909947e-03
8.160000000000000142e+00 1.279906257406749921e-03
8.160000000000000142e+00 1.279906257406749921e-03
8.160000000000000142e+00 1.279906257406749921e-03
8.320000000000000284e+00 1.279909680385480026e-03
8.320000000000000284e+00 1.279909680385480026e-03
8.320000000000000284e+00 1.279909680385480026e-03
8.480000000000000426e+00 1.279909897239300083e-03
8.480000000000000426e+00 1.279909897239300083e-03
8.480000000000000426e+00 1.279909897239300083e-03
8.640000000000000568e+00 1.279910832502250068e-03
8.640000000000000568e+00 1.279910832502250068e-03
8.640000000000000568e+00 1.279910832502250068e-03
8.800000000000000711e+00 1.279909902296900038e-03
8.800000000000000711e+00 1.279909902296900038e-03
8.800000000000000711e+00 1.279909902296900038e-03
8.960000000000000853e+00 1.279913121295439982e-03
8.960000000000000853e+00 1.279913121295439982e-03
8.960000000000000853e+00 1.279913121295439982e-03
9.119999999999999218e+00 1.279914773360369936e-03
9.119999999999999218e+00 1.279914773360369936e-03
9.119999999999999218e+00 1.279914773360369936e-03
9.279999999999999361e+00 1.279914607966170081e-03
9.279999999999999361e+00 1.279914607966170081e-03
9.279999999999999361e+00 1.279914607966170081e-03
9.439999999999999503e+00 1.279916193398239997e-03
9.439999999999999503e+00 1.279916193398239997e-03
9.439999999999999503e+00 1.279916193398239997e-03
9.599999999999999645e+00 1.279916391150840100e-03
9.599999999999999645e+00 1.279916391150840100e-03
9.599999999999999645e+00 1.279916391150840100e-03
9.759999999999999787e+00 1.279916974575760020e-03
9.759999999999999787e+00 1.279916974575760020e-03
9.759999999999999787e+00 1.279916974575760020e-03
9.919999999999999929e+00 1.279918202244170094e-03
9.919999999999999929e+00 1.279918202244170094e-03
9.919999999999999929e+00 1.279918202244170094e-03
1.008000000000000007e+01 1.279920312829520030e-03
1.008000000000000007e+01 1.279920312829520030e-03
1.008000000000000007e+01 1.279920312829520030e-03
1.024000000000000021e+01 1.279921618400389977e-03
1.024000000000000021e+01 1.279921618400389977e-03
1.024000000000000021e+01 1.279921618400389977e-03
1.040000000000000036e+01 1.279922510830379910e-03
1.040000000000000036e+01 1.279922510830379910e-03
1.040000000000000036e+01 1.279922510830379910e-03
1.056000000000000050e+01 1.279921840474999980e-03
1.056000000000000050e+01 1.279921840474999980e-03
1.056000000000000050e+01 1.279921840474999980e-03
1.072000000000000064e+01 1.279922075524160020e-03
1.072000000000000064e+01 1.279922075524160020e-03
1.072000000000000064e+01 1.279922075524160020e-03
1.088000000000000078e+01 1.279923727604489981e-03
1.088000000000000078e+01 1.279923727604489981e-03
1.088000000000000078e+01 1.279923727604489981e-03
1.103999999999999915e+01 1.279925733115559912e-03
1.103999999999999915e+01 1.279925733115559912e-03
1.103999999999999915e+01 1.279925733115559912e-03
1.119999999999999929e+01 1.279926649929949943e-03
1.119999999999999929e+01 1.279926649929949943e-03
1.119999999999999929e+01 1.279926649929949943e-03
1.135999999999999943e+01 1.279925922236480008e-03
1.135999999999999943e+01 1.279925922236480008e-03
1.135999999999999943e+01 1.279925922236480008e-03
1.151999999999999957e+01 1.279926868709439910e-03
1.151999999999999957e+01 1.279926868709439910e-03
1.151999999999999957e+01 1.279926868709439910e-03
1.167999999999999972e+01 1.279927389866880030e-03
1.167999999999999972e+01 1.279927389866880030e-03
1.167999999999999972e+01 1.279927389866880030e-03
1.183999999999999986e+01 1.279928035423010067e-03
1.183999999999999986e+01 1.279928035423010067e-03
1.183999999999999986e+01 1.279928035423010067e-03
1.200000000000000000e+01 1.279928712657860080e-03
1.200000000000000000e+01 1.279928712657860080e-03
1.200000000000000000e+01 1.279928712657860080e-03
1.216000000000000014e+01 1.279929831936200014e-03
1.216000000000000014e+01 1.279929831936200014e-03
1.216000000000000014e+01 1.279929831936200014e-03
1.232000000000000028e+01 1.279930244907310014e-03
1.232000000000000028e+01 1.279930244907310014e-03
1.232000000000000028e+01 1.279930244907310014e-03
1.248000000000000043e+01 1.279931330875229986e-03
1.248000000000000043e+01 1.279931330875229986e-03
1.248000000000000043e+01 1.279931330875229986e-03
1.264000000000000057e+01 1.279931162706370073e-03
1.264000000000000057e+01 1.279931162706370073e-03
1.264000000000000057e+01 1.279931162706370073e-03
1.280000000000000071e+01 1.279932000428789934e-03
1.280000000000000071e+01 1.279932000428789934e-03
1.280000000000000071e+01 1.279932000428789934e-03
1.296000000000000085e+01 1.279933108973810036e-03
1.296000000000000085e+01 1.279933108973810036e-03
1.296000000000000085e+01 1.279933108973810036e-03
1.311999999999999922e+01 1.279932853270640027e-03
1.311999999999999922e+01 1.279932853270640027e-03
1.311999999999999922e+01 1.279932853270640027e-03
1.327999999999999936e+01 1.279934172080769922e-03
1.327999999999999936e+01 1.279934172080769922e-03
1.327999999999999936e+01 1.279934172080769922e-03
1.343999999999999950e+01 1.279934301277590048e-03
1.343999999999999950e+01 1.279934301277590048e-03
1.343999999999999950e+01 1.279934301277590048e-03
1.359999999999999964e+01 1.279934749813039932e-03
1.359999999999999964e+01 1.279934749813039932e-03
1.359999999999999964e+01 1.279934749813039932e-03
1.375999999999999979e+01 1.279935581523599947e-03
1.375999999999999979e+01 1.279935581523599947e-03
1.375999999999999979e+01 1.279935581523599947e-03
1.391999999999999993e+01 1.279936108872280079e-03
1.391999999999999993e+01 1.279936108872280079e-03
1.391999999999999993e+01 1.279936108872280079e-03
1.408000000000000007e+01 1.279937644401139959e-03
1.408000000000000007e+01 1.279937644401139959e-03
1.408000000000000007e+01 1.279937644401139959e-03
1.424000000000000021e+01 1.279939345148540077e-03
1.424000000000000021e+01 1.279939345148540077e-03
1.424000000000000021e+01 1.279939345148540077e-03
1.440000000000000036e+01 1.279940856440149946e-03
1.440000000000000036e+01 1.279940856440149946e-03
1.440000000000000036e+01 1.279940856440149946e-03
1.456000000000000050e+01 1.279942086002110006e-03
1.456000000000000050e+01 1.279942086002110006e-03
1.456000000000000050e+01 1.279942086002110006e-03
1.472000000000000064e+01 1.279942117066740041e-03
1.472000000000000064e+01 1.279942117066740041e-03
1.472000000000000064e+01 1.279942117066740041e-03
1.488000000000000078e+01 1.279942303140669960e-03
1.488000000000000078e+01 1.279942303140669960e-03
1.488000000000000078e+01 1.279942303140669960e-03
1.503999999999999915e+01 1.279942424509729944e-03
1.503999999999999915e+01 1.279942424509729944e-03
1.503999999999999915e+01 1.279942424509729944e-03
1.519999999999999929e+01 1.279943125022600095e-03
1.519999999999999929e+01 1.279943125022600095e-03
1.519999999999999929e+01 1.279943125022600095e-03
1.535999999999999943e+01 1.279943723351390037e-03
1.535999999999999943e+01 1.279943723351390037e-03
1.535999999999999943e+01 1.279943723351390037e-03
1.551999999999999957e+01 1.279944321797249962e-03
1.551999999999999957e+01 1.279944321797249962e-03
1.551999999999999957e+01 1.279944321797249962e-03
1.567999999999999972e+01 1.279944833735120096e-03
1.567999999999999972e+01 1.279944833735120096e-03
1.567999999999999972e+01 1.279944833735120096e-03
