t rho
6.400000000000000133e-01 3.803702832399760182e-03
6.400000000000000133e-01 3.803702832399760182e-03
6.400000000000000133e-01 3.803702832399760182e-03
6.400000000000000133e-01 3.803702832399760182e-03
6.400000000000000133e-01 3.803702832399760182e-03
1.280000000000000027e+00 3.804563137040780155e-03
1.280000000000000027e+00 3.804563137040780155e-03
1.280000000000000027e+00 3.804563137040780155e-03
1.280000000000000027e+00 3.804563137040780155e-03
1.280000000000000027e+00 3.804563137040780155e-03
1.919999999999999929e+00 3.805922613046490086e-03
1.919999999999999929e+00 3.805922613046490086e-03
1.919999999999999929e+00 3.805922613046490086e-03
1.919999999999999929e+00 3.805922613046490086e-03
1.919999999999999929e+00 3.805922613046490086e-03
2.560000000000000053e+00 3.807730045492689966e-03
2.560000000000000053e+00 3.807730045492689966e-03
2.560000000000000053e+00 3.807730045492689966e-03
2.560000000000000053e+00 3.807730045492689966e-03
2.560000000000000053e+00 3.807730045492689966e-03
3.200000000000000178e+00 3.809932107035189988e-03
3.200000000000000178e+00 3.809932107035189988e-03
3.200000000000000178e+00 3.809932107035189988e-03
3.200000000000000178e+00 3.809932107035189988e-03
3.200000000000000178e+00 3.809932107035189988e-03
3.839999999999999858e+00 3.812493126580810202e-03
3.839999999999999858e+00 3.812493126580810202e-03
3.839999999999999858e+00 3.812493126580810202e-03
3.839999999999999858e+00 3.812493126580810202e-03
3.839999999999999858e+00 3.812493126580810202e-03
4.480000000000000426e+00 3.815420580504859816e-03
4.480000000000000426e+00 3.815420580504859816e-03
4.480000000000000426e+00 3.815420580504859816e-03
4.480000000000000426e+00 3.815420580504859816e-03
4.480000000000000426e+00 3.815420580504859816e-03
5.120000000000000107e+00 3.818698892885450183e-03
5.120000000000000107e+00 3.818698892885450183e-03
5.120000000000000107e+00 3.818698892885450183e-03
5.120000000000000107e+00 3.818698892885450183e-03
5.120000000000000107e+00 3.818698892885450183e-03
5.759999999999999787e+00 3.822271073663209996e-03
5.759999999999999787e+00 3.822271073663209996e-03
5.759999999999999787e+00 3.822271073663209996e-03
5.759999999999999787e+00 3.822271073663209996e-03
5.759999999999999787e+00 3.822271073663209996e-03
6.400000000000000355e+00 3.826060793116909872e-03
6.400000000000000355e+00 3.826060793116909872e-03
6.400000000000000355e+00 3.826060793116909872e-03
6.400000000000000355e+00 3.826060793116909872e-03
6.400000000000000355e+00 3.826060793116909872e-03
7.040000000000000036e+00 3.829949086044939863e-03
7.040000000000000036e+00 3.829949086044939863e-03
7.040000000000000036e+00 3.829949086044939863e-03
7.040000000000000036e+00 3.829949086044939863e-03
7.040000000000000036e+00 3.829949086044939863e-03
7.679999999999999716e+00 3.833849898501460150e-03
7.679999999999999716e+00 3.833849898501460150e-03
7.679999999999999716e+00 3.833849898501460150e-03
7.679999999999999716e+00 3.833849898501460150e-03
7.679999999999999716e+00 3.833849898501460150e-03
8.320000000000000284e+00 3.837763453125950068e-03
8.320000000000000284e+00 3.837763453125950068e-03
8.320000000000000284e+00 3.837763453125950068e-03
8.320000000000000284e+00 3.837763453125950068e-03
8.320000000000000284e+00 3.837763453125950068e-03
8.960000000000000853e+00 3.841695996684269844e-03
8.960000000000000853e+00 3.841695996684269844e-03
8.960000000000000853e+00 3.841695996684269844e-03
8.960000000000000853e+00 3.841695996684269844e-03
8.960000000000000853e+00 3.841695996684269844e-03
9.599999999999999645e+00 3.845620442546140039e-03
9.599999999999999645e+00 3.845620442546140039e-03
9.599999999999999645e+00 3.845620442546140039e-03
9.599999999999999645e+00 3.845620442546140039e-03
9.599999999999999645e+00 3.845620442546140039e-03
1.024000000000000021e+01 3.849512612336319917e-03
1.024000000000000021e+01 3.849512612336319917e-03
1.024000000000000021e+01 3.849512612336319917e-03
1.024000000000000021e+01 3.849512612336319917e-03
1.024000000000000021e+01 3.849512612336319917e-03
1.088000000000000078e+01 3.853361247211239786e-03
1.088000000000000078e+01 3.853361247211239786e-03
1.088000000000000078e+01 3.853361247211239786e-03
1.088000000000000078e+01 3.853361247211239786e-03
1.088000000000000078e+01 3.853361247211239786e-03
1.151999999999999957e+01 3.857154283900980207e-03
1.151999999999999957e+01 3.857154283900980207e-03
1.151999999999999957e+01 3.857154283900980207e-03
1.151999999999999957e+01 3.857154283900980207e-03
1.151999999999999957e+01 3.857154283900980207e-03
1.216000000000000014e+01 3.860879824484369886e-03
1.216000000000000014e+01 3.860879824484369886e-03
1.216000000000000014e+01 3.860879824484369886e-03
1.216000000000000014e+01 3.860879824484369886e-03
1.216000000000000014e+01 3.860879824484369886e-03
1.280000000000000071e+01 3.864552935723999851e-03
1.280000000000000071e+01 3.864552935723999851e-03
1.280000000000000071e+01 3.864552935723999851e-03
1.280000000000000071e+01 3.864552935723999851e-03
1.280000000000000071e+01 3.864552935723999851e-03
1.343999999999999950e+01 3.868231728474160087e-03
1.343999999999999950e+01 3.868231728474160087e-03
1.343999999999999950e+01 3.868231728474160087e-03
1.343999999999999950e+01 3.868231728474160087e-03
1.343999999999999950e+01 3.868231728474160087e-03
1.408000000000000007e+01 3.871993432178159802e-03
1.408000000000000007e+01 3.871993432178159802e-03
1.408000000000000007e+01 3.871993432178159802e-03
1.408000000000000007e+01 3.871993432178159802e-03
1.408000000000000007e+01 3.871993432178159802e-03
1.472000000000000064e+01 3.875895300511470170e-03
1.472000000000000064e+01 3.875895300511470170e-03
1.472000000000000064e+01 3.875895300511470170e-03
1.472000000000000064e+01 3.875895300511470170e-03
1.472000000000000064e+01 3.875895300511470170e-03
1.535999999999999943e+01 3.879955500440080036e-03
1.535999999999999943e+01 3.879955500440080036e-03
1.535999999999999943e+01 3.879955500440080036e-03
1.535999999999999943e+01 3.879955500440080036e-03
1.535999999999999943e+01 3.879955500440080036e-03
1.600000000000000000e+01 3.884165544007849805e-03
1.600000000000000000e+01 3.884165544007849805e-03
1.600000000000000000e+01 3.884165544007849805e-03
1.600000000000000000e+01 3.884165544007849805e-03
1.600000000000000000e+01 3.884165544007849805e-03
1.664000000000000057e+01 3.888525906789799813e-03
1.664000000000000057e+01 3.888525906789799813e-03
1.664000000000000057e+01 3.888525906789799813e-03
1.664000000000000057e+01 3.888525906789799813e-03
1.664000000000000057e+01 3.888525906789799813e-03
1.728000000000000114e+01 3.893080082326980020e-03
1.728000000000000114e+01 3.893080082326980020e-03
1.728000000000000114e+01 3.893080082326980020e-03
1.728000000000000114e+01 3.893080082326980020e-03
1.728000000000000114e+01 3.893080082326980020e-03
1.792000000000000171e+01 3.897904739590540065e-03
1.792000000000000171e+01 3.897904739590540065e-03
1.792000000000000171e+01 3.897904739590540065e-03
1.792000000000000171e+01 3.897904739590540065e-03
1.792000000000000171e+01 3.897904739590540065e-03
1.855999999999999872e+01 3.903047502287169956e-03
1.855999999999999872e+01 3.903047502287169956e-03
1.855999999999999872e+01 3.903047502287169956e-03
1.855999999999999872e+01 3.903047502287169956e-03
1.855999999999999872e+01 3.903047502287169956e-03
1.919999999999999929e+01 3.908474239220009576e-03
1.919999999999999929e+01 3.908474239220009576e-03
1.919999999999999929e+01 3.908474239220009576e-03
1.919999999999999929e+01 3.908474239220009576e-03
1.919999999999999929e+01 3.908474239220009576e-03
1.983999999999999986e+01 3.914078877511510159e-03
1.983999999999999986e+01 3.914078877511510159e-03
1.983999999999999986e+01 3.914078877511510159e-03
1.983999999999999986e+01 3.914078877511510159e-03
1.983999999999999986e+01 3.914078877511510159e-03
2.048000000000000043e+01 3.919747426334760365e-03
2.048000000000000043e+01 3.919747426334760365e-03
2.048000000000000043e+01 3.919747426334760365e-03
2.048000000000000043e+01 3.919747426334760365e-03
2.048000000000000043e+01 3.919747426334760365e-03
2.112000000000000099e+01 3.925432452680070045e-03
2.112000000000000099e+01 3.925432452680070045e-03
2.112000000000000099e+01 3.925432452680070045e-03
2.112000000000000099e+01 3.925432452680070045e-03
2.112000000000000099e+01 3.925432452680070045e-03
2.176000000000000156e+01 3.931169218134250229e-03
2.176000000000000156e+01 3.931169218134250229e-03
2.176000000000000156e+01 3.931169218134250229e-03
2.176000000000000156e+01 3.931169218134250229e-03
2.176000000000000156e+01 3.931169218134250229e-03
2.239999999999999858e+01 3.937017922879929716e-03
2.239999999999999858e+01 3.937017922879929716e-03
2.239999999999999858e+01 3.937017922879929716e-03
2.239999999999999858e+01 3.937017922879929716e-03
2.239999999999999858e+01 3.937017922879929716e-03
2.303999999999999915e+01 3.942988726998710065e-03
2.303999999999999915e+01 3.942988726998710065e-03
2.303999999999999915e+01 3.942988726998710065e-03
2.303999999999999915e+01 3.942988726998710065e-03
2.303999999999999915e+01 3.942988726998710065e-03
2.367999999999999972e+01 3.949027100581379950e-03
2.367999999999999972e+01 3.949027100581379950e-03
2.367999999999999972e+01 3.949027100581379950e-03
2.367999999999999972e+01 3.949027100581379950e-03
2.367999999999999972e+01 3.949027100581379950e-03
2.432000000000000028e+01 3.955052467380549761e-03
2.432000000000000028e+01 3.955052467380549761e-03
2.432000000000000028e+01 3.955052467380549761e-03
2.432000000000000028e+01 3.955052467380549761e-03
2.432000000000000028e+01 3.955052467380549761e-03
2.496000000000000085e+01 3.961019483610200148e-03
2.496000000000000085e+01 3.961019483610200148e-03
2.496000000000000085e+01 3.961019483610200148e-03
2.496000000000000085e+01 3.961019483610200148e-03
2.496000000000000085e+01 3.961019483610200148e-03
2.560000000000000142e+01 3.966923225728660393e-03
2.560000000000000142e+01 3.966923225728660393e-03
2.560000000000000142e+01 3.966923225728660393e-03
2.560000000000000142e+01 3.966923225728660393e-03
2.560000000000000142e+01 3.966923225728660393e-03
2.623999999999999844e+01 3.972779289525230247e-03
2.623999999999999844e+01 3.972779289525230247e-03
2.623999999999999844e+01 3.972779289525230247e-03
2.623999999999999844e+01 3.972779289525230247e-03
2.623999999999999844e+01 3.972779289525230247e-03
2.687999999999999901e+01 3.978599830911180336e-03
2.687999999999999901e+01 3.978599830911180336e-03
2.687999999999999901e+01 3.978599830911180336e-03
2.687999999999999901e+01 3.978599830911180336e-03
2.687999999999999901e+01 3.978599830911180336e-03
2.751999999999999957e+01 3.984383151831599572e-03
2.751999999999999957e+01 3.984383151831599572e-03
2.751999999999999957e+01 3.984383151831599572e-03
2.751999999999999957e+01 3.984383151831599572e-03
2.751999999999999957e+01 3.984383151831599572e-03
2.816000000000000014e+01 3.990115133522379592e-03
2.816000000000000014e+01 3.990115133522379592e-03
2.816000000000000014e+01 3.990115133522379592e-03
