t rho
6.400000000000000133e-01 4.747579911078380309e-03
6.400000000000000133e-01 4.747579911078380309e-03
6.400000000000000133e-01 4.747579911078380309e-03
6.400000000000000133e-01 4.747579911078380309e-03
6.400000000000000133e-01 4.747579911078380309e-03
1.280000000000000027e+00 4.749873265319029710e-03
1.280000000000000027e+00 4.749873265319029710e-03
1.280000000000000027e+00 4.749873265319029710e-03
1.280000000000000027e+00 4.749873265319029710e-03
1.280000000000000027e+00 4.749873265319029710e-03
1.919999999999999929e+00 4.753557081541819572e-03
1.919999999999999929e+00 4.753557081541819572e-03
1.919999999999999929e+00 4.753557081541819572e-03
1.919999999999999929e+00 4.753557081541819572e-03
1.919999999999999929e+00 4.753557081541819572e-03
2.560000000000000053e+00 4.758481335209210385e-03
2.560000000000000053e+00 4.758481335209210385e-03
2.560000000000000053e+00 4.758481335209210385e-03
2.560000000000000053e+00 4.758481335209210385e-03
2.560000000000000053e+00 4.758481335209210385e-03
3.200000000000000178e+00 4.764492366042710411e-03
3.200000000000000178e+00 4.764492366042710411e-03
3.200000000000000178e+00 4.764492366042710411e-03
3.200000000000000178e+00 4.764492366042710411e-03
3.200000000000000178e+00 4.764492366042710411e-03
3.839999999999999858e+00 4.771429515421079723e-03
3.839999999999999858e+00 4.771429515421079723e-03
3.839999999999999858e+00 4.771429515421079723e-03
3.839999999999999858e+00 4.771429515421079723e-03
3.839999999999999858e+00 4.771429515421079723e-03
4.480000000000000426e+00 4.779126588562850227e-03
4.480000000000000426e+00 4.779126588562850227e-03
4.480000000000000426e+00 4.779126588562850227e-03
4.480000000000000426e+00 4.779126588562850227e-03
4.480000000000000426e+00 4.779126588562850227e-03
5.120000000000000107e+00 4.787422433204960130e-03
5.120000000000000107e+00 4.787422433204960130e-03
5.120000000000000107e+00 4.787422433204960130e-03
5.120000000000000107e+00 4.787422433204960130e-03
5.120000000000000107e+00 4.787422433204960130e-03
5.759999999999999787e+00 4.796135436028580411e-03
5.759999999999999787e+00 4.796135436028580411e-03
5.759999999999999787e+00 4.796135436028580411e-03
5.759999999999999787e+00 4.796135436028580411e-03
