t rho
0.000000000000000000e+00 2.211102550919089808e-03
0.000000000000000000e+00 2.211102550919089808e-03
0.000000000000000000e+00 2.211102550919089808e-03
4.000000000000000222e-01 2.211105992168779961e-03
4.000000000000000222e-01 2.211105992168779961e-03
4.000000000000000222e-01 2.211105992168779961e-03
8.000000000000000444e-01 2.211121755833859830e-03
8.000000000000000444e-01 2.211121755833859830e-03
8.000000000000000444e-01 2.211121755833859830e-03
1.199999999999999956e+00 2.211132365815769805e-03
1.199999999999999956e+00 2.211132365815769805e-03
1.199999999999999956e+00 2.211132365815769805e-03
1.600000000000000089e+00 2.211136307784410202e-03
1.600000000000000089e+00 2.211136307784410202e-03
1.600000000000000089e+00 2.211136307784410202e-03
2.000000000000000000e+00 2.211147321763409865e-03
2.000000000000000000e+00 2.211147321763409865e-03
2.000000000000000000e+00 2.211147321763409865e-03
2.399999999999999911e+00 2.211165772445259844e-03
2.399999999999999911e+00 2.211165772445259844e-03
2.399999999999999911e+00 2.211165772445259844e-03
2.799999999999999822e+00 2.211169470217160156e-03
2.799999999999999822e+00 2.211169470217160156e-03
2.799999999999999822e+00 2.211169470217160156e-03
3.200000000000000178e+00 2.211179343331350078e-03
3.200000000000000178e+00 2.211179343331350078e-03
3.200000000000000178e+00 2.211179343331350078e-03
3.600000000000000089e+00 2.211192355925309903e-03
3.600000000000000089e+00 2.211192355925309903e-03
3.600000000000000089e+00 2.211192355925309903e-03
4.000000000000000000e+00 2.211180910090729864e-03
4.000000000000000000e+00 2.211180910090729864e-03
4.000000000000000000e+00 2.211180910090729864e-03
4.400000000000000355e+00 2.211175307523959976e-03
4.400000000000000355e+00 2.211175307523959976e-03
4.400000000000000355e+00 2.211175307523959976e-03
4.799999999999999822e+00 2.211207670388470187e-03
4.799999999999999822e+00 2.211207670388470187e-03
4.799999999999999822e+00 2.211207670388470187e-03
5.200000000000000178e+00 2.211235031629300071e-03
5.200000000000000178e+00 2.211235031629300071e-03
5.200000000000000178e+00 2.211235031629300071e-03
5.599999999999999645e+00 2.211241223940400152e-03
5.599999999999999645e+00 2.211241223940400152e-03
5.599999999999999645e+00 2.211241223940400152e-03
6.000000000000000000e+00 2.211253917294939923e-03
6.000000000000000000e+00 2.211253917294939923e-03
6.000000000000000000e+00 2.211253917294939923e-03
6.400000000000000355e+00 2.211262230160430074e-03
6.400000000000000355e+00 2.211262230160430074e-03
6.400000000000000355e+00 2.211262230160430074e-03
6.799999999999999822e+00 2.211256924090880191e-03
6.799999999999999822e+00 2.211256924090880191e-03
6.799999999999999822e+00 2.211256924090880191e-03
7.200000000000000178e+00 2.211259083194490067e-03
7.200000000000000178e+00 2.211259083194490067e-03
7.200000000000000178e+00 2.211259083194490067e-03
7.599999999999999645e+00 2.211266376191700113e-03
7.599999999999999645e+00 2.211266376191700113e-03
7.599999999999999645e+00 2.211266376191700113e-03
8.000000000000000000e+00 2.211271617306909913e-03
8.000000000000000000e+00 2.211271617306909913e-03
8.000000000000000000e+00 2.211271617306909913e-03
8.400000000000000355e+00 2.211257003690950216e-03
8.400000000000000355e+00 2.211257003690950216e-03
8.400000000000000355e+00 2.211257003690950216e-03
8.800000000000000711e+00 2.211249581856530172e-03
8.800000000000000711e+00 2.211249581856530172e-03
8.800000000000000711e+00 2.211249581856530172e-03
9.199999999999999289e+00 2.211269649739810213e-03
9.199999999999999289e+00 2.211269649739810213e-03
9.199999999999999289e+00 2.211269649739810213e-03
9.599999999999999645e+00 2.211298385621699933e-03
9.599999999999999645e+00 2.211298385621699933e-03
9.599999999999999645e+00 2.211298385621699933e-03
1.000000000000000000e+01 2.211324691110200073e-03
1.000000000000000000e+01 2.211324691110200073e-03
1.000000000000000000e+01 2.211324691110200073e-03
1.040000000000000036e+01 2.211331742662089785e-03
1.040000000000000036e+01 2.211331742662089785e-03
1.040000000000000036e+01 2.211331742662089785e-03
1.080000000000000071e+01 2.211329456854890015e-03
1.080000000000000071e+01 2.211329456854890015e-03
1.080000000000000071e+01 2.211329456854890015e-03
1.119999999999999929e+01 2.211321723015270083e-03
1.119999999999999929e+01 2.211321723015270083e-03
1.119999999999999929e+01 2.211321723015270083e-03
1.159999999999999964e+01 2.211327399884399809e-03
1.159999999999999964e+01 2.211327399884399809e-03
1.159999999999999964e+01 2.211327399884399809e-03
1.200000000000000000e+01 2.211338061643060206e-03
1.200000000000000000e+01 2.211338061643060206e-03
1.200000000000000000e+01 2.211338061643060206e-03
1.240000000000000036e+01 2.211347135925050087e-03
1.240000000000000036e+01 2.211347135925050087e-03
1.240000000000000036e+01 2.211347135925050087e-03
1.280000000000000071e+01 2.211356768882510003e-03
1.280000000000000071e+01 2.211356768882510003e-03
1.280000000000000071e+01 2.211356768882510003e-03
1.319999999999999929e+01 2.211361649747849937e-03
1.319999999999999929e+01 2.211361649747849937e-03
1.319999999999999929e+01 2.211361649747849937e-03
1.359999999999999964e+01 2.211375624313790134e-03
1.359999999999999964e+01 2.211375624313790134e-03
1.359999999999999964e+01 2.211375624313790134e-03
1.400000000000000000e+01 2.211387144195949873e-03
1.400000000000000000e+01 2.211387144195949873e-03
1.400000000000000000e+01 2.211387144195949873e-03
1.440000000000000036e+01 2.211401607466070059e-03
1.440000000000000036e+01 2.211401607466070059e-03
1.440000000000000036e+01 2.211401607466070059e-03
1.480000000000000071e+01 2.211418024234839980e-03
1.480000000000000071e+01 2.211418024234839980e-03
1.480000000000000071e+01 2.211418024234839980e-03
1.519999999999999929e+01 2.211435659502230047e-03
1.519999999999999929e+01 2.211435659502230047e-03
1.519999999999999929e+01 2.211435659502230047e-03
1.559999999999999964e+01 2.211458643516049823e-03
