t rho
0.000000000000000000e+00 2.211102550919089808e-03
0.000000000000000000e+00 2.211102550919089808e-03
0.000000000000000000e+00 2.211102550919089808e-03
2.500000000000000000e-01 2.210649866289640143e-03
2.500000000000000000e-01 2.210649866289640143e-03
2.500000000000000000e-01 2.210649866289640143e-03
5.000000000000000000e-01 2.210302896324890104e-03
5.000000000000000000e-01 2.210302896324890104e-03
5.000000000000000000e-01 2.210302896324890104e-03
7.500000000000000000e-01 2.210148638618480033e-03
7.500000000000000000e-01 2.210148638618480033e-03
7.500000000000000000e-01 2.210148638618480033e-03
1.000000000000000000e+00 2.210162052163650026e-03
1.000000000000000000e+00 2.210162052163650026e-03
1.000000000000000000e+00 2.210162052163650026e-03
1.250000000000000000e+00 2.210273926665879893e-03
1.250000000000000000e+00 2.210273926665879893e-03
1.250000000000000000e+00 2.210273926665879893e-03
1.500000000000000000e+00 2.210390665332310090e-03
1.500000000000000000e+00 2.210390665332310090e-03
1.500000000000000000e+00 2.210390665332310090e-03
1.750000000000000000e+00 2.210483105367970057e-03
1.750000000000000000e+00 2.210483105367970057e-03
1.750000000000000000e+00 2.210483105367970057e-03
2.000000000000000000e+00 2.210512337676169992e-03
2.000000000000000000e+00 2.210512337676169992e-03
2.000000000000000000e+00 2.210512337676169992e-03
2.250000000000000000e+00 2.210491780166609892e-03
2.250000000000000000e+00 2.210491780166609892e-03
2.250000000000000000e+00 2.210491780166609892e-03
2.500000000000000000e+00 2.210464425464739920e-03
2.500000000000000000e+00 2.210464425464739920e-03
2.500000000000000000e+00 2.210464425464739920e-03
2.750000000000000000e+00 2.210443396343389835e-03
2.750000000000000000e+00 2.210443396343389835e-03
2.750000000000000000e+00 2.210443396343389835e-03
3.000000000000000000e+00 2.210411977870970195e-03
3.000000000000000000e+00 2.210411977870970195e-03
3.000000000000000000e+00 2.210411977870970195e-03
3.250000000000000000e+00 2.210394024276919958e-03
3.250000000000000000e+00 2.210394024276919958e-03
3.250000000000000000e+00 2.210394024276919958e-03
3.500000000000000000e+00 2.210404457287990041e-03
3.500000000000000000e+00 2.210404457287990041e-03
3.500000000000000000e+00 2.210404457287990041e-03
3.750000000000000000e+00 2.210427858389670160e-03
3.750000000000000000e+00 2.210427858389670160e-03
3.750000000000000000e+00 2.210427858389670160e-03
4.000000000000000000e+00 2.210438525529879929e-03
4.000000000000000000e+00 2.210438525529879929e-03
4.000000000000000000e+00 2.210438525529879929e-03
4.250000000000000000e+00 2.210459894362549853e-03
4.250000000000000000e+00 2.210459894362549853e-03
4.250000000000000000e+00 2.210459894362549853e-03
4.500000000000000000e+00 2.210466358270970089e-03
4.500000000000000000e+00 2.210466358270970089e-03
4.500000000000000000e+00 2.210466358270970089e-03
4.750000000000000000e+00 2.210467150853840084e-03
4.750000000000000000e+00 2.210467150853840084e-03
4.750000000000000000e+00 2.210467150853840084e-03
5.000000000000000000e+00 2.210465488879669819e-03
5.000000000000000000e+00 2.210465488879669819e-03
5.000000000000000000e+00 2.210465488879669819e-03
5.250000000000000000e+00 2.210473603496580092e-03
5.250000000000000000e+00 2.210473603496580092e-03
5.250000000000000000e+00 2.210473603496580092e-03
5.500000000000000000e+00 2.210479824193529834e-03
5.500000000000000000e+00 2.210479824193529834e-03
5.500000000000000000e+00 2.210479824193529834e-03
5.750000000000000000e+00 2.210490824219200120e-03
5.750000000000000000e+00 2.210490824219200120e-03
5.750000000000000000e+00 2.210490824219200120e-03
6.000000000000000000e+00 2.210486886649429879e-03
6.000000000000000000e+00 2.210486886649429879e-03
6.000000000000000000e+00 2.210486886649429879e-03
6.250000000000000000e+00 2.210483678929430103e-03
6.250000000000000000e+00 2.210483678929430103e-03
6.250000000000000000e+00 2.210483678929430103e-03
6.500000000000000000e+00 2.210485042987650212e-03
6.500000000000000000e+00 2.210485042987650212e-03
6.500000000000000000e+00 2.210485042987650212e-03
6.750000000000000000e+00 2.210485725823160136e-03
6.750000000000000000e+00 2.210485725823160136e-03
6.750000000000000000e+00 2.210485725823160136e-03
7.000000000000000000e+00 2.210495038131960084e-03
7.000000000000000000e+00 2.210495038131960084e-03
7.000000000000000000e+00 2.210495038131960084e-03
7.250000000000000000e+00 2.210505029820529922e-03
7.250000000000000000e+00 2.210505029820529922e-03
7.250000000000000000e+00 2.210505029820529922e-03
7.500000000000000000e+00 2.210514938343489943e-03
7.500000000000000000e+00 2.210514938343489943e-03
7.500000000000000000e+00 2.210514938343489943e-03
7.750000000000000000e+00 2.210513395174550089e-03
7.750000000000000000e+00 2.210513395174550089e-03
7.750000000000000000e+00 2.210513395174550089e-03
8.000000000000000000e+00 2.210510625373919916e-03
8.000000000000000000e+00 2.210510625373919916e-03
8.000000000000000000e+00 2.210510625373919916e-03
8.250000000000000000e+00 2.210520050907969786e-03
8.250000000000000000e+00 2.210520050907969786e-03
8.250000000000000000e+00 2.210520050907969786e-03
8.500000000000000000e+00 2.210531534912170068e-03
8.500000000000000000e+00 2.210531534912170068e-03
8.500000000000000000e+00 2.210531534912170068e-03
8.750000000000000000e+00 2.210537877019959959e-03
8.750000000000000000e+00 2.210537877019959959e-03
8.750000000000000000e+00 2.210537877019959959e-03
9.000000000000000000e+00 2.210532678513059835e-03
9.000000000000000000e+00 2.210532678513059835e-03
9.000000000000000000e+00 2.210532678513059835e-03
9.250000000000000000e+00 2.210532932936970160e-03
9.250000000000000000e+00 2.210532932936970160e-03
9.250000000000000000e+00 2.210532932936970160e-03
9.500000000000000000e+00 2.210540298252050215e-03
9.500000000000000000e+00 2.210540298252050215e-03
9.500000000000000000e+00 2.210540298252050215e-03
9.750000000000000000e+00 2.210555508923569851e-03
