t rho
0.000000000000000000e+00 2.211102550919089808e-03
0.000000000000000000e+00 2.211102550919089808e-03
0.000000000000000000e+00 2.211102550919089808e-03
4.000000000000000222e-01 2.209935308176820112e-03
4.000000000000000222e-01 2.209935308176820112e-03
4.000000000000000222e-01 2.209935308176820112e-03
8.000000000000000444e-01 2.209038291072240069e-03
8.000000000000000444e-01 2.209038291072240069e-03
8.000000000000000444e-01 2.209038291072240069e-03
1.199999999999999956e+00 2.208630739603090198e-03
1.199999999999999956e+00 2.208630739603090198e-03
1.199999999999999956e+00 2.208630739603090198e-03
1.600000000000000089e+00 2.208664220890730126e-03
1.600000000000000089e+00 2.208664220890730126e-03
1.600000000000000089e+00 2.208664220890730126e-03
2.000000000000000000e+00 2.208945409353200127e-03
2.000000000000000000e+00 2.208945409353200127e-03
2.000000000000000000e+00 2.208945409353200127e-03
2.399999999999999911e+00 2.209275839640069839e-03
2.399999999999999911e+00 2.209275839640069839e-03
2.399999999999999911e+00 2.209275839640069839e-03
2.799999999999999822e+00 2.209503635048799819e-03
2.799999999999999822e+00 2.209503635048799819e-03
2.799999999999999822e+00 2.209503635048799819e-03
3.200000000000000178e+00 2.209601551702630035e-03
3.200000000000000178e+00 2.209601551702630035e-03
3.200000000000000178e+00 2.209601551702630035e-03
3.600000000000000089e+00 2.209575470502359810e-03
3.600000000000000089e+00 2.209575470502359810e-03
3.600000000000000089e+00 2.209575470502359810e-03
4.000000000000000000e+00 2.209502936884820065e-03
4.000000000000000000e+00 2.209502936884820065e-03
4.000000000000000000e+00 2.209502936884820065e-03
4.400000000000000355e+00 2.209424857348360038e-03
4.400000000000000355e+00 2.209424857348360038e-03
4.400000000000000355e+00 2.209424857348360038e-03
4.799999999999999822e+00 2.209393815820830196e-03
4.799999999999999822e+00 2.209393815820830196e-03
4.799999999999999822e+00 2.209393815820830196e-03
5.200000000000000178e+00 2.209386377505170168e-03
5.200000000000000178e+00 2.209386377505170168e-03
5.200000000000000178e+00 2.209386377505170168e-03
5.599999999999999645e+00 2.209406956905890160e-03
5.599999999999999645e+00 2.209406956905890160e-03
5.599999999999999645e+00 2.209406956905890160e-03
6.000000000000000000e+00 2.209440302650269878e-03
6.000000000000000000e+00 2.209440302650269878e-03
6.000000000000000000e+00 2.209440302650269878e-03
6.400000000000000355e+00 2.209476069398059930e-03
6.400000000000000355e+00 2.209476069398059930e-03
6.400000000000000355e+00 2.209476069398059930e-03
6.799999999999999822e+00 2.209513433245260169e-03
6.799999999999999822e+00 2.209513433245260169e-03
6.799999999999999822e+00 2.209513433245260169e-03
7.200000000000000178e+00 2.209542763361310030e-03
7.200000000000000178e+00 2.209542763361310030e-03
7.200000000000000178e+00 2.209542763361310030e-03
7.599999999999999645e+00 2.209579771646339851e-03
7.599999999999999645e+00 2.209579771646339851e-03
7.599999999999999645e+00 2.209579771646339851e-03
8.000000000000000000e+00 2.209604400795500082e-03
8.000000000000000000e+00 2.209604400795500082e-03
8.000000000000000000e+00 2.209604400795500082e-03
8.400000000000000355e+00 2.209613410383710116e-03
8.400000000000000355e+00 2.209613410383710116e-03
8.400000000000000355e+00 2.209613410383710116e-03
8.800000000000000711e+00 2.209618214848899954e-03
8.800000000000000711e+00 2.209618214848899954e-03
8.800000000000000711e+00 2.209618214848899954e-03
9.199999999999999289e+00 2.209628945071609885e-03
9.199999999999999289e+00 2.209628945071609885e-03
9.199999999999999289e+00 2.209628945071609885e-03
9.599999999999999645e+00 2.209642213216039819e-03
9.599999999999999645e+00 2.209642213216039819e-03
9.599999999999999645e+00 2.209642213216039819e-03
1.000000000000000000e+01 2.209650055652120134e-03
1.000000000000000000e+01 2.209650055652120134e-03
1.000000000000000000e+01 2.209650055652120134e-03
1.040000000000000036e+01 2.209669320406159980e-03
1.040000000000000036e+01 2.209669320406159980e-03
1.040000000000000036e+01 2.209669320406159980e-03
1.080000000000000071e+01 2.209680620876400096e-03
1.080000000000000071e+01 2.209680620876400096e-03
1.080000000000000071e+01 2.209680620876400096e-03
1.119999999999999929e+01 2.209691596626099826e-03
1.119999999999999929e+01 2.209691596626099826e-03
1.119999999999999929e+01 2.209691596626099826e-03
1.159999999999999964e+01 2.209709787233729832e-03
1.159999999999999964e+01 2.209709787233729832e-03
1.159999999999999964e+01 2.209709787233729832e-03
1.200000000000000000e+01 2.209720060323520138e-03
1.200000000000000000e+01 2.209720060323520138e-03
1.200000000000000000e+01 2.209720060323520138e-03
1.240000000000000036e+01 2.209737934011169868e-03
1.240000000000000036e+01 2.209737934011169868e-03
1.240000000000000036e+01 2.209737934011169868e-03
1.280000000000000071e+01 2.209746810651789899e-03
1.280000000000000071e+01 2.209746810651789899e-03
1.280000000000000071e+01 2.209746810651789899e-03
1.319999999999999929e+01 2.209755193817429866e-03
1.319999999999999929e+01 2.209755193817429866e-03
1.319999999999999929e+01 2.209755193817429866e-03
1.359999999999999964e+01 2.209766170167699970e-03
1.359999999999999964e+01 2.209766170167699970e-03
1.359999999999999964e+01 2.209766170167699970e-03
1.400000000000000000e+01 2.209773627335029789e-03
1.400000000000000000e+01 2.209773627335029789e-03
1.400000000000000000e+01 2.209773627335029789e-03
1.440000000000000036e+01 2.209782647940700204e-03
1.440000000000000036e+01 2.209782647940700204e-03
1.440000000000000036e+01 2.209782647940700204e-03
1.480000000000000071e+01 2.209783127455919836e-03
1.480000000000000071e+01 2.209783127455919836e-03
1.480000000000000071e+01 2.209783127455919836e-03
1.519999999999999929e+01 2.209787540805510132e-03
1.519999999999999929e+01 2.209787540805510132e-03
1.519999999999999929e+01 2.209787540805510132e-03
1.559999999999999964e+01 2.209790874145699940e-03
