t rho
1.600000000000000033e-01 3.245391945157659851e-03
1.600000000000000033e-01 3.245391945157659851e-03
1.600000000000000033e-01 3.245391945157659851e-03
3.200000000000000067e-01 3.244579080278800140e-03
3.200000000000000067e-01 3.244579080278800140e-03
3.200000000000000067e-01 3.244579080278800140e-03
4.799999999999999822e-01 3.243819445913570174e-03
4.799999999999999822e-01 3.243819445913570174e-03
4.799999999999999822e-01 3.243819445913570174e-03
6.400000000000000133e-01 3.243170281711150148e-03
6.400000000000000133e-01 3.243170281711150148e-03
6.400000000000000133e-01 3.243170281711150148e-03
8.000000000000000444e-01 3.242661504019140207e-03
8.000000000000000444e-01 3.242661504019140207e-03
8.000000000000000444e-01 3.242661504019140207e-03
9.599999999999999645e-01 3.242295315218629917e-03
9.599999999999999645e-01 3.242295315218629917e-03
9.599999999999999645e-01 3.242295315218629917e-03
1.120000000000000107e+00 3.242081034912999964e-03
1.120000000000000107e+00 3.242081034912999964e-03
1.120000000000000107e+00 3.242081034912999964e-03
1.280000000000000027e+00 3.242012975657009889e-03
1.280000000000000027e+00 3.242012975657009889e-03
1.280000000000000027e+00 3.242012975657009889e-03
1.439999999999999947e+00 3.242070954167270043e-03
1.439999999999999947e+00 3.242070954167270043e-03
1.439999999999999947e+00 3.242070954167270043e-03
1.600000000000000089e+00 3.242234353998189791e-03
1.600000000000000089e+00 3.242234353998189791e-03
1.600000000000000089e+00 3.242234353998189791e-03
1.760000000000000009e+00 3.242483188042179915e-03
1.760000000000000009e+00 3.242483188042179915e-03
1.760000000000000009e+00 3.242483188042179915e-03
1.919999999999999929e+00 3.242798002704059927e-03
1.919999999999999929e+00 3.242798002704059927e-03
1.919999999999999929e+00 3.242798002704059927e-03
2.080000000000000071e+00 3.243159388925739937e-03
2.080000000000000071e+00 3.243159388925739937e-03
2.080000000000000071e+00 3.243159388925739937e-03
2.240000000000000213e+00 3.243547596776199908e-03
2.240000000000000213e+00 3.243547596776199908e-03
2.240000000000000213e+00 3.243547596776199908e-03
2.399999999999999911e+00 3.243946951637270010e-03
2.399999999999999911e+00 3.243946951637270010e-03
2.399999999999999911e+00 3.243946951637270010e-03
2.560000000000000053e+00 3.244344337772619904e-03
2.560000000000000053e+00 3.244344337772619904e-03
2.560000000000000053e+00 3.244344337772619904e-03
2.720000000000000195e+00 3.244721712854160139e-03
2.720000000000000195e+00 3.244721712854160139e-03
2.720000000000000195e+00 3.244721712854160139e-03
2.879999999999999893e+00 3.245078634753849941e-03
2.879999999999999893e+00 3.245078634753849941e-03
2.879999999999999893e+00 3.245078634753849941e-03
3.040000000000000036e+00 3.245422399214240201e-03
3.040000000000000036e+00 3.245422399214240201e-03
3.040000000000000036e+00 3.245422399214240201e-03
3.200000000000000178e+00 3.245743002781160003e-03
3.200000000000000178e+00 3.245743002781160003e-03
3.200000000000000178e+00 3.245743002781160003e-03
