t rho
6.400000000000000133e-01 2.280124608907460170e-03
6.400000000000000133e-01 2.280124608907460170e-03
6.400000000000000133e-01 2.280124608907460170e-03
6.400000000000000133e-01 2.280124608907460170e-03
1.280000000000000027e+00 2.280171025811380051e-03
1.280000000000000027e+00 2.280171025811380051e-03
1.280000000000000027e+00 2.280171025811380051e-03
1.280000000000000027e+00 2.280171025811380051e-03
1.919999999999999929e+00 2.280251159190590030e-03
1.919999999999999929e+00 2.280251159190590030e-03
1.919999999999999929e+00 2.280251159190590030e-03
1.919999999999999929e+00 2.280251159190590030e-03
2.560000000000000053e+00 2.280352644809750112e-03
2.560000000000000053e+00 2.280352644809750112e-03
2.560000000000000053e+00 2.280352644809750112e-03
2.560000000000000053e+00 2.280352644809750112e-03
3.200000000000000178e+00 2.280467305519600068e-03
3.200000000000000178e+00 2.280467305519600068e-03
3.200000000000000178e+00 2.280467305519600068e-03
3.200000000000000178e+00 2.280467305519600068e-03
3.839999999999999858e+00 2.280596382200860122e-03
3.839999999999999858e+00 2.280596382200860122e-03
3.839999999999999858e+00 2.280596382200860122e-03
3.839999999999999858e+00 2.280596382200860122e-03
4.480000000000000426e+00 2.280741577772010115e-03
4.480000000000000426e+00 2.280741577772010115e-03
4.480000000000000426e+00 2.280741577772010115e-03
4.480000000000000426e+00 2.280741577772010115e-03
5.120000000000000107e+00 2.280903393298940214e-03
5.120000000000000107e+00 2.280903393298940214e-03
5.120000000000000107e+00 2.280903393298940214e-03
5.120000000000000107e+00 2.280903393298940214e-03
5.759999999999999787e+00 2.281077234952069797e-03
5.759999999999999787e+00 2.281077234952069797e-03
5.759999999999999787e+00 2.281077234952069797e-03
5.759999999999999787e+00 2.281077234952069797e-03
6.400000000000000355e+00 2.281256495849170052e-03
6.400000000000000355e+00 2.281256495849170052e-03
6.400000000000000355e+00 2.281256495849170052e-03
6.400000000000000355e+00 2.281256495849170052e-03
7.040000000000000036e+00 2.281429044929329970e-03
7.040000000000000036e+00 2.281429044929329970e-03
7.040000000000000036e+00 2.281429044929329970e-03
7.040000000000000036e+00 2.281429044929329970e-03
7.679999999999999716e+00 2.281594959199730131e-03
7.679999999999999716e+00 2.281594959199730131e-03
7.679999999999999716e+00 2.281594959199730131e-03
7.679999999999999716e+00 2.281594959199730131e-03
8.320000000000000284e+00 2.281757934597619924e-03
8.320000000000000284e+00 2.281757934597619924e-03
8.320000000000000284e+00 2.281757934597619924e-03
8.320000000000000284e+00 2.281757934597619924e-03
8.960000000000000853e+00 2.281916981882460040e-03
8.960000000000000853e+00 2.281916981882460040e-03
8.960000000000000853e+00 2.281916981882460040e-03
8.960000000000000853e+00 2.281916981882460040e-03
9.599999999999999645e+00 2.282065107642550043e-03
9.599999999999999645e+00 2.282065107642550043e-03
9.599999999999999645e+00 2.282065107642550043e-03
9.599999999999999645e+00 2.282065107642550043e-03
1.024000000000000021e+01 2.282199227417850123e-03
1.024000000000000021e+01 2.282199227417850123e-03
1.024000000000000021e+01 2.282199227417850123e-03
1.024000000000000021e+01 2.282199227417850123e-03
1.088000000000000078e+01 2.282317409824929921e-03
1.088000000000000078e+01 2.282317409824929921e-03
1.088000000000000078e+01 2.282317409824929921e-03
1.088000000000000078e+01 2.282317409824929921e-03
1.151999999999999957e+01 2.282416160178059837e-03
1.151999999999999957e+01 2.282416160178059837e-03
1.151999999999999957e+01 2.282416160178059837e-03
1.151999999999999957e+01 2.282416160178059837e-03
1.216000000000000014e+01 2.282496738182619809e-03
1.216000000000000014e+01 2.282496738182619809e-03
1.216000000000000014e+01 2.282496738182619809e-03
1.216000000000000014e+01 2.282496738182619809e-03
1.280000000000000071e+01 2.282563197219230136e-03
1.280000000000000071e+01 2.282563197219230136e-03
1.280000000000000071e+01 2.282563197219230136e-03
1.280000000000000071e+01 2.282563197219230136e-03
1.343999999999999950e+01 2.282616922379669937e-03
1.343999999999999950e+01 2.282616922379669937e-03
1.343999999999999950e+01 2.282616922379669937e-03
1.343999999999999950e+01 2.282616922379669937e-03
1.408000000000000007e+01 2.282659081601939866e-03
1.408000000000000007e+01 2.282659081601939866e-03
1.408000000000000007e+01 2.282659081601939866e-03
1.408000000000000007e+01 2.282659081601939866e-03
1.472000000000000064e+01 2.282693340670550065e-03
1.472000000000000064e+01 2.282693340670550065e-03
1.472000000000000064e+01 2.282693340670550065e-03
1.472000000000000064e+01 2.282693340670550065e-03
1.535999999999999943e+01 2.282723992037230098e-03
1.535999999999999943e+01 2.282723992037230098e-03
1.535999999999999943e+01 2.282723992037230098e-03
1.535999999999999943e+01 2.282723992037230098e-03
1.600000000000000000e+01 2.282750430508219842e-03
1.600000000000000000e+01 2.282750430508219842e-03
1.600000000000000000e+01 2.282750430508219842e-03
1.600000000000000000e+01 2.282750430508219842e-03
1.664000000000000057e+01 2.282767625453110093e-03
1.664000000000000057e+01 2.282767625453110093e-03
1.664000000000000057e+01 2.282767625453110093e-03
1.664000000000000057e+01 2.282767625453110093e-03
1.728000000000000114e+01 2.282762818778579905e-03
1.728000000000000114e+01 2.282762818778579905e-03
1.728000000000000114e+01 2.282762818778579905e-03
1.728000000000000114e+01 2.282762818778579905e-03
1.792000000000000171e+01 2.282741781032430160e-03
1.792000000000000171e+01 2.282741781032430160e-03
1.792000000000000171e+01 2.282741781032430160e-03
1.792000000000000171e+01 2.282741781032430160e-03
1.855999999999999872e+01 2.282710658335929902e-03
1.855999999999999872e+01 2.282710658335929902e-03
1.855999999999999872e+01 2.282710658335929902e-03
1.855999999999999872e+01 2.282710658335929902e-03
1.919999999999999929e+01 2.282678035960120089e-03
1.919999999999999929e+01 2.282678035960120089e-03
1.919999999999999929e+01 2.282678035960120089e-03
1.919999999999999929e+01 2.282678035960120089e-03
1.983999999999999986e+01 2.282652774697829789e-03
1.983999999999999986e+01 2.282652774697829789e-03
1.983999999999999986e+01 2.282652774697829789e-03
1.983999999999999986e+01 2.282652774697829789e-03
2.048000000000000043e+01 2.282637232644789838e-03
2.048000000000000043e+01 2.282637232644789838e-03
2.048000000000000043e+01 2.282637232644789838e-03
2.048000000000000043e+01 2.282637232644789838e-03
2.112000000000000099e+01 2.282624393429780098e-03
2.112000000000000099e+01 2.282624393429780098e-03
2.112000000000000099e+01 2.282624393429780098e-03
2.112000000000000099e+01 2.282624393429780098e-03
2.176000000000000156e+01 2.282603899332060014e-03
2.176000000000000156e+01 2.282603899332060014e-03
2.176000000000000156e+01 2.282603899332060014e-03
2.176000000000000156e+01 2.282603899332060014e-03
2.239999999999999858e+01 2.282569310426990020e-03
2.239999999999999858e+01 2.282569310426990020e-03
2.239999999999999858e+01 2.282569310426990020e-03
2.239999999999999858e+01 2.282569310426990020e-03
2.303999999999999915e+01 2.282519858520729982e-03
2.303999999999999915e+01 2.282519858520729982e-03
2.303999999999999915e+01 2.282519858520729982e-03
2.303999999999999915e+01 2.282519858520729982e-03
2.367999999999999972e+01 2.282460959278509970e-03
2.367999999999999972e+01 2.282460959278509970e-03
2.367999999999999972e+01 2.282460959278509970e-03
2.367999999999999972e+01 2.282460959278509970e-03
2.432000000000000028e+01 2.282401061425410205e-03
2.432000000000000028e+01 2.282401061425410205e-03
2.432000000000000028e+01 2.282401061425410205e-03
2.432000000000000028e+01 2.282401061425410205e-03
2.496000000000000085e+01 2.282347885006919853e-03
2.496000000000000085e+01 2.282347885006919853e-03
2.496000000000000085e+01 2.282347885006919853e-03
2.496000000000000085e+01 2.282347885006919853e-03
2.560000000000000142e+01 2.282303136056010057e-03
2.560000000000000142e+01 2.282303136056010057e-03
2.560000000000000142e+01 2.282303136056010057e-03
2.560000000000000142e+01 2.282303136056010057e-03
2.623999999999999844e+01 2.282263624057099920e-03
2.623999999999999844e+01 2.282263624057099920e-03
2.623999999999999844e+01 2.282263624057099920e-03
2.623999999999999844e+01 2.282263624057099920e-03
2.687999999999999901e+01 2.282222918299870156e-03
2.687999999999999901e+01 2.282222918299870156e-03
2.687999999999999901e+01 2.282222918299870156e-03
2.687999999999999901e+01 2.282222918299870156e-03
2.751999999999999957e+01 2.282176026308409787e-03
2.751999999999999957e+01 2.282176026308409787e-03
2.751999999999999957e+01 2.282176026308409787e-03
2.751999999999999957e+01 2.282176026308409787e-03
2.816000000000000014e+01 2.282120614601299870e-03
