t rho
9.599999999999999645e-01 1.280010926040910015e-03
9.599999999999999645e-01 1.280010926040910015e-03
9.599999999999999645e-01 1.280010926040910015e-03
9.599999999999999645e-01 1.280010926040910015e-03
9.599999999999999645e-01 1.280010926040910015e-03
1.919999999999999929e+00 1.280016446060219934e-03
1.919999999999999929e+00 1.280016446060219934e-03
1.919999999999999929e+00 1.280016446060219934e-03
1.919999999999999929e+00 1.280016446060219934e-03
1.919999999999999929e+00 1.280016446060219934e-03
2.879999999999999893e+00 1.280036245430790079e-03
2.879999999999999893e+00 1.280036245430790079e-03
2.879999999999999893e+00 1.280036245430790079e-03
2.879999999999999893e+00 1.280036245430790079e-03
2.879999999999999893e+00 1.280036245430790079e-03
3.839999999999999858e+00 1.280055708569540060e-03
3.839999999999999858e+00 1.280055708569540060e-03
3.839999999999999858e+00 1.280055708569540060e-03
3.839999999999999858e+00 1.280055708569540060e-03
3.839999999999999858e+00 1.280055708569540060e-03
4.799999999999999822e+00 1.280086949777840084e-03
4.799999999999999822e+00 1.280086949777840084e-03
4.799999999999999822e+00 1.280086949777840084e-03
4.799999999999999822e+00 1.280086949777840084e-03
4.799999999999999822e+00 1.280086949777840084e-03
5.759999999999999787e+00 1.280100779367980036e-03
5.759999999999999787e+00 1.280100779367980036e-03
5.759999999999999787e+00 1.280100779367980036e-03
5.759999999999999787e+00 1.280100779367980036e-03
5.759999999999999787e+00 1.280100779367980036e-03
6.719999999999999751e+00 1.280138743542859987e-03
6.719999999999999751e+00 1.280138743542859987e-03
6.719999999999999751e+00 1.280138743542859987e-03
6.719999999999999751e+00 1.280138743542859987e-03
6.719999999999999751e+00 1.280138743542859987e-03
7.679999999999999716e+00 1.280164068826229956e-03
7.679999999999999716e+00 1.280164068826229956e-03
7.679999999999999716e+00 1.280164068826229956e-03
7.679999999999999716e+00 1.280164068826229956e-03
7.679999999999999716e+00 1.280164068826229956e-03
8.640000000000000568e+00 1.280172072097099985e-03
8.640000000000000568e+00 1.280172072097099985e-03
8.640000000000000568e+00 1.280172072097099985e-03
8.640000000000000568e+00 1.280172072097099985e-03
8.640000000000000568e+00 1.280172072097099985e-03
9.599999999999999645e+00 1.280242092706009981e-03
9.599999999999999645e+00 1.280242092706009981e-03
9.599999999999999645e+00 1.280242092706009981e-03
9.599999999999999645e+00 1.280242092706009981e-03
9.599999999999999645e+00 1.280242092706009981e-03
1.056000000000000050e+01 1.280256108181859970e-03
1.056000000000000050e+01 1.280256108181859970e-03
1.056000000000000050e+01 1.280256108181859970e-03
1.056000000000000050e+01 1.280256108181859970e-03
1.056000000000000050e+01 1.280256108181859970e-03
1.151999999999999957e+01 1.280264149788299961e-03
1.151999999999999957e+01 1.280264149788299961e-03
1.151999999999999957e+01 1.280264149788299961e-03
1.151999999999999957e+01 1.280264149788299961e-03
1.151999999999999957e+01 1.280264149788299961e-03
1.248000000000000043e+01 1.280293514158399940e-03
1.248000000000000043e+01 1.280293514158399940e-03
1.248000000000000043e+01 1.280293514158399940e-03
1.248000000000000043e+01 1.280293514158399940e-03
1.248000000000000043e+01 1.280293514158399940e-03
1.343999999999999950e+01 1.280311544317940019e-03
1.343999999999999950e+01 1.280311544317940019e-03
1.343999999999999950e+01 1.280311544317940019e-03
1.343999999999999950e+01 1.280311544317940019e-03
1.343999999999999950e+01 1.280311544317940019e-03
1.440000000000000036e+01 1.280334211842459966e-03
1.440000000000000036e+01 1.280334211842459966e-03
1.440000000000000036e+01 1.280334211842459966e-03
1.440000000000000036e+01 1.280334211842459966e-03
1.440000000000000036e+01 1.280334211842459966e-03
1.535999999999999943e+01 1.280347661880909928e-03
1.535999999999999943e+01 1.280347661880909928e-03
1.535999999999999943e+01 1.280347661880909928e-03
1.535999999999999943e+01 1.280347661880909928e-03
1.535999999999999943e+01 1.280347661880909928e-03
1.632000000000000028e+01 1.280366280765430015e-03
1.632000000000000028e+01 1.280366280765430015e-03
1.632000000000000028e+01 1.280366280765430015e-03
1.632000000000000028e+01 1.280366280765430015e-03
1.632000000000000028e+01 1.280366280765430015e-03
