t rho
2.399999999999999911e+00 2.069844299701530024e-03
2.399999999999999911e+00 2.069844299701530024e-03
2.399999999999999911e+00 2.069844299701530024e-03
2.399999999999999911e+00 2.069844299701530024e-03
2.399999999999999911e+00 2.069844299701530024e-03
4.799999999999999822e+00 2.069524950250369814e-03
4.799999999999999822e+00 2.069524950250369814e-03
4.799999999999999822e+00 2.069524950250369814e-03
4.799999999999999822e+00 2.069524950250369814e-03
4.799999999999999822e+00 2.069524950250369814e-03
7.200000000000000178e+00 2.069498117378359980e-03
7.200000000000000178e+00 2.069498117378359980e-03
7.200000000000000178e+00 2.069498117378359980e-03
7.200000000000000178e+00 2.069498117378359980e-03
7.200000000000000178e+00 2.069498117378359980e-03
9.599999999999999645e+00 2.069452584119739827e-03
9.599999999999999645e+00 2.069452584119739827e-03
9.599999999999999645e+00 2.069452584119739827e-03
9.599999999999999645e+00 2.069452584119739827e-03
9.599999999999999645e+00 2.069452584119739827e-03
1.200000000000000000e+01 2.069435407374360051e-03
1.200000000000000000e+01 2.069435407374360051e-03
1.200000000000000000e+01 2.069435407374360051e-03
1.200000000000000000e+01 2.069435407374360051e-03
1.200000000000000000e+01 2.069435407374360051e-03
1.440000000000000036e+01 2.069450018033630167e-03
1.440000000000000036e+01 2.069450018033630167e-03
1.440000000000000036e+01 2.069450018033630167e-03
1.440000000000000036e+01 2.069450018033630167e-03
1.440000000000000036e+01 2.069450018033630167e-03
1.680000000000000071e+01 2.069468382410650110e-03
1.680000000000000071e+01 2.069468382410650110e-03
1.680000000000000071e+01 2.069468382410650110e-03
1.680000000000000071e+01 2.069468382410650110e-03
1.680000000000000071e+01 2.069468382410650110e-03
1.919999999999999929e+01 2.069469062765319847e-03
1.919999999999999929e+01 2.069469062765319847e-03
1.919999999999999929e+01 2.069469062765319847e-03
1.919999999999999929e+01 2.069469062765319847e-03
1.919999999999999929e+01 2.069469062765319847e-03
2.160000000000000142e+01 2.069452048681879978e-03
2.160000000000000142e+01 2.069452048681879978e-03
2.160000000000000142e+01 2.069452048681879978e-03
2.160000000000000142e+01 2.069452048681879978e-03
2.160000000000000142e+01 2.069452048681879978e-03
2.400000000000000000e+01 2.069418889892319941e-03
2.400000000000000000e+01 2.069418889892319941e-03
2.400000000000000000e+01 2.069418889892319941e-03
2.400000000000000000e+01 2.069418889892319941e-03
2.400000000000000000e+01 2.069418889892319941e-03
2.639999999999999858e+01 2.069372745702650115e-03
