t rho
0.000000000000000000e+00 1.668303091538130044e-03
0.000000000000000000e+00 1.668303091538130044e-03
0.000000000000000000e+00 1.668303091538130044e-03
0.000000000000000000e+00 1.668303091538130044e-03
2.999999999999999889e-01 1.668304746026000101e-03
2.999999999999999889e-01 1.668304746026000101e-03
2.999999999999999889e-01 1.668304746026000101e-03
2.999999999999999889e-01 1.668304746026000101e-03
5.999999999999999778e-01 1.668308669570570070e-03
5.999999999999999778e-01 1.668308669570570070e-03
5.999999999999999778e-01 1.668308669570570070e-03
5.999999999999999778e-01 1.668308669570570070e-03
9.000000000000000222e-01 1.668312932499019978e-03
9.000000000000000222e-01 1.668312932499019978e-03
9.000000000000000222e-01 1.668312932499019978e-03
9.000000000000000222e-01 1.668312932499019978e-03
1.199999999999999956e+00 1.668317328382579916e-03
1.199999999999999956e+00 1.668317328382579916e-03
1.199999999999999956e+00 1.668317328382579916e-03
1.199999999999999956e+00 1.668317328382579916e-03
1.500000000000000000e+00 1.668322010000699998e-03
1.500000000000000000e+00 1.668322010000699998e-03
1.500000000000000000e+00 1.668322010000699998e-03
1.500000000000000000e+00 1.668322010000699998e-03
1.800000000000000044e+00 1.668327296308909965e-03
1.800000000000000044e+00 1.668327296308909965e-03
1.800000000000000044e+00 1.668327296308909965e-03
1.800000000000000044e+00 1.668327296308909965e-03
2.100000000000000089e+00 1.668333923109009947e-03
2.100000000000000089e+00 1.668333923109009947e-03
2.100000000000000089e+00 1.668333923109009947e-03
2.100000000000000089e+00 1.668333923109009947e-03
2.399999999999999911e+00 1.668342496310670038e-03
2.399999999999999911e+00 1.668342496310670038e-03
2.399999999999999911e+00 1.668342496310670038e-03
2.399999999999999911e+00 1.668342496310670038e-03
2.700000000000000178e+00 1.668351488843100106e-03
2.700000000000000178e+00 1.668351488843100106e-03
2.700000000000000178e+00 1.668351488843100106e-03
2.700000000000000178e+00 1.668351488843100106e-03
3.000000000000000000e+00 1.668363422955130085e-03
3.000000000000000000e+00 1.668363422955130085e-03
3.000000000000000000e+00 1.668363422955130085e-03
3.000000000000000000e+00 1.668363422955130085e-03
3.299999999999999822e+00 1.668376183663039915e-03
3.299999999999999822e+00 1.668376183663039915e-03
3.299999999999999822e+00 1.668376183663039915e-03
3.299999999999999822e+00 1.668376183663039915e-03
3.600000000000000089e+00 1.668390248127990007e-03
3.600000000000000089e+00 1.668390248127990007e-03
3.600000000000000089e+00 1.668390248127990007e-03
3.600000000000000089e+00 1.668390248127990007e-03
3.899999999999999911e+00 1.668405171631759994e-03
3.899999999999999911e+00 1.668405171631759994e-03
3.899999999999999911e+00 1.668405171631759994e-03
3.899999999999999911e+00 1.668405171631759994e-03
4.200000000000000178e+00 1.668420515251580003e-03
4.200000000000000178e+00 1.668420515251580003e-03
4.200000000000000178e+00 1.668420515251580003e-03
4.200000000000000178e+00 1.668420515251580003e-03
4.500000000000000000e+00 1.668436011280839898e-03
4.500000000000000000e+00 1.668436011280839898e-03
4.500000000000000000e+00 1.668436011280839898e-03
4.500000000000000000e+00 1.668436011280839898e-03
4.799999999999999822e+00 1.668451316655539945e-03
4.799999999999999822e+00 1.668451316655539945e-03
4.799999999999999822e+00 1.668451316655539945e-03
4.799999999999999822e+00 1.668451316655539945e-03
5.099999999999999645e+00 1.668467148772430006e-03
5.099999999999999645e+00 1.668467148772430006e-03
5.099999999999999645e+00 1.668467148772430006e-03
5.099999999999999645e+00 1.668467148772430006e-03
5.400000000000000355e+00 1.668482710777570042e-03
5.400000000000000355e+00 1.668482710777570042e-03
5.400000000000000355e+00 1.668482710777570042e-03
5.400000000000000355e+00 1.668482710777570042e-03
5.700000000000000178e+00 1.668494493346680098e-03
5.700000000000000178e+00 1.668494493346680098e-03
5.700000000000000178e+00 1.668494493346680098e-03
5.700000000000000178e+00 1.668494493346680098e-03
6.000000000000000000e+00 1.668498992674479972e-03
6.000000000000000000e+00 1.668498992674479972e-03
6.000000000000000000e+00 1.668498992674479972e-03
6.000000000000000000e+00 1.668498992674479972e-03
6.299999999999999822e+00 1.668493984727080102e-03
6.299999999999999822e+00 1.668493984727080102e-03
6.299999999999999822e+00 1.668493984727080102e-03
6.299999999999999822e+00 1.668493984727080102e-03
6.599999999999999645e+00 1.668476757560049964e-03
6.599999999999999645e+00 1.668476757560049964e-03
6.599999999999999645e+00 1.668476757560049964e-03
6.599999999999999645e+00 1.668476757560049964e-03
6.900000000000000355e+00 1.668446117418610070e-03
6.900000000000000355e+00 1.668446117418610070e-03
6.900000000000000355e+00 1.668446117418610070e-03
6.900000000000000355e+00 1.668446117418610070e-03
7.200000000000000178e+00 1.668404039879169912e-03
7.200000000000000178e+00 1.668404039879169912e-03
7.200000000000000178e+00 1.668404039879169912e-03
7.200000000000000178e+00 1.668404039879169912e-03
7.500000000000000000e+00 1.668357622165660007e-03
7.500000000000000000e+00 1.668357622165660007e-03
7.500000000000000000e+00 1.668357622165660007e-03
7.500000000000000000e+00 1.668357622165660007e-03
7.799999999999999822e+00 1.668312634451919957e-03
7.799999999999999822e+00 1.668312634451919957e-03
7.799999999999999822e+00 1.668312634451919957e-03
7.799999999999999822e+00 1.668312634451919957e-03
8.099999999999999645e+00 1.668272072159379974e-03
8.099999999999999645e+00 1.668272072159379974e-03
8.099999999999999645e+00 1.668272072159379974e-03
8.099999999999999645e+00 1.668272072159379974e-03
8.400000000000000355e+00 1.668239446677739898e-03
8.400000000000000355e+00 1.668239446677739898e-03
8.400000000000000355e+00 1.668239446677739898e-03
8.400000000000000355e+00 1.668239446677739898e-03
8.699999999999999289e+00 1.668213771076820003e-03
8.699999999999999289e+00 1.668213771076820003e-03
8.699999999999999289e+00 1.668213771076820003e-03
8.699999999999999289e+00 1.668213771076820003e-03
9.000000000000000000e+00 1.668210764347129909e-03
9.000000000000000000e+00 1.668210764347129909e-03
9.000000000000000000e+00 1.668210764347129909e-03
9.000000000000000000e+00 1.668210764347129909e-03
9.300000000000000711e+00 1.668228921831409932e-03
9.300000000000000711e+00 1.668228921831409932e-03
9.300000000000000711e+00 1.668228921831409932e-03
