t rho
3.200000000000000067e-01 2.280002964438289804e-03
3.200000000000000067e-01 2.280002964438289804e-03
3.200000000000000067e-01 2.280002964438289804e-03
3.200000000000000067e-01 2.280002964438289804e-03
6.400000000000000133e-01 2.280012443885039933e-03
6.400000000000000133e-01 2.280012443885039933e-03
6.400000000000000133e-01 2.280012443885039933e-03
6.400000000000000133e-01 2.280012443885039933e-03
9.599999999999999645e-01 2.280024949537279820e-03
9.599999999999999645e-01 2.280024949537279820e-03
9.599999999999999645e-01 2.280024949537279820e-03
9.599999999999999645e-01 2.280024949537279820e-03
1.280000000000000027e+00 2.280045876050899867e-03
1.280000000000000027e+00 2.280045876050899867e-03
1.280000000000000027e+00 2.280045876050899867e-03
1.280000000000000027e+00 2.280045876050899867e-03
1.600000000000000089e+00 2.280067159535800140e-03
1.600000000000000089e+00 2.280067159535800140e-03
1.600000000000000089e+00 2.280067159535800140e-03
1.600000000000000089e+00 2.280067159535800140e-03
1.919999999999999929e+00 2.280077776701130206e-03
1.919999999999999929e+00 2.280077776701130206e-03
1.919999999999999929e+00 2.280077776701130206e-03
1.919999999999999929e+00 2.280077776701130206e-03
2.240000000000000213e+00 2.280081503459990052e-03
2.240000000000000213e+00 2.280081503459990052e-03
2.240000000000000213e+00 2.280081503459990052e-03
2.240000000000000213e+00 2.280081503459990052e-03
2.560000000000000053e+00 2.280089586726830216e-03
2.560000000000000053e+00 2.280089586726830216e-03
2.560000000000000053e+00 2.280089586726830216e-03
2.560000000000000053e+00 2.280089586726830216e-03
2.879999999999999893e+00 2.280111725809220048e-03
2.879999999999999893e+00 2.280111725809220048e-03
2.879999999999999893e+00 2.280111725809220048e-03
2.879999999999999893e+00 2.280111725809220048e-03
3.200000000000000178e+00 2.280145862314000068e-03
3.200000000000000178e+00 2.280145862314000068e-03
3.200000000000000178e+00 2.280145862314000068e-03
3.200000000000000178e+00 2.280145862314000068e-03
3.520000000000000018e+00 2.280181231811759940e-03
3.520000000000000018e+00 2.280181231811759940e-03
3.520000000000000018e+00 2.280181231811759940e-03
3.520000000000000018e+00 2.280181231811759940e-03
3.839999999999999858e+00 2.280202574244060126e-03
3.839999999999999858e+00 2.280202574244060126e-03
3.839999999999999858e+00 2.280202574244060126e-03
3.839999999999999858e+00 2.280202574244060126e-03
4.160000000000000142e+00 2.280210197594769936e-03
4.160000000000000142e+00 2.280210197594769936e-03
4.160000000000000142e+00 2.280210197594769936e-03
4.160000000000000142e+00 2.280210197594769936e-03
4.480000000000000426e+00 2.280214445640580019e-03
4.480000000000000426e+00 2.280214445640580019e-03
4.480000000000000426e+00 2.280214445640580019e-03
4.480000000000000426e+00 2.280214445640580019e-03
4.799999999999999822e+00 2.280223587223189838e-03
4.799999999999999822e+00 2.280223587223189838e-03
4.799999999999999822e+00 2.280223587223189838e-03
4.799999999999999822e+00 2.280223587223189838e-03
5.120000000000000107e+00 2.280245845869219908e-03
5.120000000000000107e+00 2.280245845869219908e-03
5.120000000000000107e+00 2.280245845869219908e-03
5.120000000000000107e+00 2.280245845869219908e-03
5.440000000000000391e+00 2.280283262392690177e-03
5.440000000000000391e+00 2.280283262392690177e-03
5.440000000000000391e+00 2.280283262392690177e-03
5.440000000000000391e+00 2.280283262392690177e-03
5.759999999999999787e+00 2.280324116395250015e-03
5.759999999999999787e+00 2.280324116395250015e-03
5.759999999999999787e+00 2.280324116395250015e-03
5.759999999999999787e+00 2.280324116395250015e-03
6.080000000000000071e+00 2.280358551221990052e-03
6.080000000000000071e+00 2.280358551221990052e-03
6.080000000000000071e+00 2.280358551221990052e-03
6.080000000000000071e+00 2.280358551221990052e-03
6.400000000000000355e+00 2.280387147859720166e-03
6.400000000000000355e+00 2.280387147859720166e-03
6.400000000000000355e+00 2.280387147859720166e-03
6.400000000000000355e+00 2.280387147859720166e-03
6.719999999999999751e+00 2.280411857971750052e-03
6.719999999999999751e+00 2.280411857971750052e-03
6.719999999999999751e+00 2.280411857971750052e-03
6.719999999999999751e+00 2.280411857971750052e-03
7.040000000000000036e+00 2.280437594374139926e-03
7.040000000000000036e+00 2.280437594374139926e-03
7.040000000000000036e+00 2.280437594374139926e-03
7.040000000000000036e+00 2.280437594374139926e-03
7.360000000000000320e+00 2.280468044973549963e-03
7.360000000000000320e+00 2.280468044973549963e-03
7.360000000000000320e+00 2.280468044973549963e-03
7.360000000000000320e+00 2.280468044973549963e-03
7.679999999999999716e+00 2.280497743074060002e-03
7.679999999999999716e+00 2.280497743074060002e-03
7.679999999999999716e+00 2.280497743074060002e-03
7.679999999999999716e+00 2.280497743074060002e-03
8.000000000000000000e+00 2.280525396669419794e-03
8.000000000000000000e+00 2.280525396669419794e-03
8.000000000000000000e+00 2.280525396669419794e-03
8.000000000000000000e+00 2.280525396669419794e-03
8.320000000000000284e+00 2.280557034994200143e-03
8.320000000000000284e+00 2.280557034994200143e-03
8.320000000000000284e+00 2.280557034994200143e-03
8.320000000000000284e+00 2.280557034994200143e-03
8.640000000000000568e+00 2.280590278630270206e-03
8.640000000000000568e+00 2.280590278630270206e-03
8.640000000000000568e+00 2.280590278630270206e-03
8.640000000000000568e+00 2.280590278630270206e-03
8.960000000000000853e+00 2.280617617324170055e-03
8.960000000000000853e+00 2.280617617324170055e-03
8.960000000000000853e+00 2.280617617324170055e-03
8.960000000000000853e+00 2.280617617324170055e-03
9.279999999999999361e+00 2.280638765280850171e-03
9.279999999999999361e+00 2.280638765280850171e-03
9.279999999999999361e+00 2.280638765280850171e-03
9.279999999999999361e+00 2.280638765280850171e-03
9.599999999999999645e+00 2.280657497724839812e-03
9.599999999999999645e+00 2.280657497724839812e-03
9.599999999999999645e+00 2.280657497724839812e-03
9.599999999999999645e+00 2.280657497724839812e-03
9.919999999999999929e+00 2.280676443055159978e-03
9.919999999999999929e+00 2.280676443055159978e-03
9.919999999999999929e+00 2.280676443055159978e-03
9.919999999999999929e+00 2.280676443055159978e-03
1.024000000000000021e+01 2.280698352939070171e-03
1.024000000000000021e+01 2.280698352939070171e-03
1.024000000000000021e+01 2.280698352939070171e-03
1.024000000000000021e+01 2.280698352939070171e-03
1.056000000000000050e+01 2.280726285143010179e-03
1.056000000000000050e+01 2.280726285143010179e-03
1.056000000000000050e+01 2.280726285143010179e-03
1.056000000000000050e+01 2.280726285143010179e-03
1.088000000000000078e+01 2.280758635557240000e-03
1.088000000000000078e+01 2.280758635557240000e-03
1.088000000000000078e+01 2.280758635557240000e-03
1.088000000000000078e+01 2.280758635557240000e-03
1.119999999999999929e+01 2.280788837491359855e-03
1.119999999999999929e+01 2.280788837491359855e-03
1.119999999999999929e+01 2.280788837491359855e-03
1.119999999999999929e+01 2.280788837491359855e-03
1.151999999999999957e+01 2.280812228833709911e-03
1.151999999999999957e+01 2.280812228833709911e-03
1.151999999999999957e+01 2.280812228833709911e-03
1.151999999999999957e+01 2.280812228833709911e-03
1.183999999999999986e+01 2.280831069772839940e-03
1.183999999999999986e+01 2.280831069772839940e-03
1.183999999999999986e+01 2.280831069772839940e-03
1.183999999999999986e+01 2.280831069772839940e-03
1.216000000000000014e+01 2.280848546605129899e-03
1.216000000000000014e+01 2.280848546605129899e-03
1.216000000000000014e+01 2.280848546605129899e-03
1.216000000000000014e+01 2.280848546605129899e-03
1.248000000000000043e+01 2.280865345826700152e-03
1.248000000000000043e+01 2.280865345826700152e-03
1.248000000000000043e+01 2.280865345826700152e-03
1.248000000000000043e+01 2.280865345826700152e-03
1.280000000000000071e+01 2.280880891846700110e-03
1.280000000000000071e+01 2.280880891846700110e-03
1.280000000000000071e+01 2.280880891846700110e-03
1.280000000000000071e+01 2.280880891846700110e-03
1.311999999999999922e+01 2.280893954867599903e-03
1.311999999999999922e+01 2.280893954867599903e-03
1.311999999999999922e+01 2.280893954867599903e-03
1.311999999999999922e+01 2.280893954867599903e-03
1.343999999999999950e+01 2.280905065574399815e-03
1.343999999999999950e+01 2.280905065574399815e-03
1.343999999999999950e+01 2.280905065574399815e-03
1.343999999999999950e+01 2.280905065574399815e-03
1.375999999999999979e+01 2.280917926853470203e-03
1.375999999999999979e+01 2.280917926853470203e-03
1.375999999999999979e+01 2.280917926853470203e-03
1.375999999999999979e+01 2.280917926853470203e-03
1.408000000000000007e+01 2.280936160963279932e-03
1.408000000000000007e+01 2.280936160963279932e-03
1.408000000000000007e+01 2.280936160963279932e-03
1.408000000000000007e+01 2.280936160963279932e-03
1.440000000000000036e+01 2.280958253544160090e-03
1.440000000000000036e+01 2.280958253544160090e-03
1.440000000000000036e+01 2.280958253544160090e-03
1.440000000000000036e+01 2.280958253544160090e-03
1.472000000000000064e+01 2.280976396966629804e-03
1.472000000000000064e+01 2.280976396966629804e-03
1.472000000000000064e+01 2.280976396966629804e-03
1.472000000000000064e+01 2.280976396966629804e-03
1.503999999999999915e+01 2.280985687015589947e-03
1.503999999999999915e+01 2.280985687015589947e-03
1.503999999999999915e+01 2.280985687015589947e-03
1.503999999999999915e+01 2.280985687015589947e-03
1.535999999999999943e+01 2.280991307774420107e-03
1.535999999999999943e+01 2.280991307774420107e-03
1.535999999999999943e+01 2.280991307774420107e-03
1.535999999999999943e+01 2.280991307774420107e-03
1.567999999999999972e+01 2.280997695674490122e-03
1.567999999999999972e+01 2.280997695674490122e-03
1.567999999999999972e+01 2.280997695674490122e-03
1.567999999999999972e+01 2.280997695674490122e-03
1.600000000000000000e+01 2.281011204623529815e-03
1.600000000000000000e+01 2.281011204623529815e-03
1.600000000000000000e+01 2.281011204623529815e-03
1.600000000000000000e+01 2.281011204623529815e-03
1.632000000000000028e+01 2.281033303958440034e-03
1.632000000000000028e+01 2.281033303958440034e-03
1.632000000000000028e+01 2.281033303958440034e-03
1.632000000000000028e+01 2.281033303958440034e-03
1.664000000000000057e+01 2.281053113320719895e-03
1.664000000000000057e+01 2.281053113320719895e-03
1.664000000000000057e+01 2.281053113320719895e-03
1.664000000000000057e+01 2.281053113320719895e-03
1.696000000000000085e+01 2.281060587023799914e-03
1.696000000000000085e+01 2.281060587023799914e-03
1.696000000000000085e+01 2.281060587023799914e-03
1.696000000000000085e+01 2.281060587023799914e-03
1.728000000000000114e+01 2.281058799087019948e-03
1.728000000000000114e+01 2.281058799087019948e-03
1.728000000000000114e+01 2.281058799087019948e-03
1.728000000000000114e+01 2.281058799087019948e-03
1.760000000000000142e+01 2.281053559538579866e-03
1.760000000000000142e+01 2.281053559538579866e-03
1.760000000000000142e+01 2.281053559538579866e-03
1.760000000000000142e+01 2.281053559538579866e-03
1.792000000000000171e+01 2.281054509554810046e-03
1.792000000000000171e+01 2.281054509554810046e-03
1.792000000000000171e+01 2.281054509554810046e-03
1.792000000000000171e+01 2.281054509554810046e-03
1.823999999999999844e+01 2.281063024089579998e-03
1.823999999999999844e+01 2.281063024089579998e-03
1.823999999999999844e+01 2.281063024089579998e-03
1.823999999999999844e+01 2.281063024089579998e-03
1.855999999999999872e+01 2.281080291184399943e-03
1.855999999999999872e+01 2.281080291184399943e-03
1.855999999999999872e+01 2.281080291184399943e-03
1.855999999999999872e+01 2.281080291184399943e-03
1.887999999999999901e+01 2.281100337394240032e-03
1.887999999999999901e+01 2.281100337394240032e-03
1.887999999999999901e+01 2.281100337394240032e-03
1.887999999999999901e+01 2.281100337394240032e-03
1.919999999999999929e+01 2.281111410036909971e-03
