t rho
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
8.000000000000000167e-02 1.280106427930350049e-03
8.000000000000000167e-02 1.280106427930350049e-03
8.000000000000000167e-02 1.280106427930350049e-03
8.000000000000000167e-02 1.280106427930350049e-03
1.600000000000000033e-01 1.280088783334969995e-03
1.600000000000000033e-01 1.280088783334969995e-03
1.600000000000000033e-01 1.280088783334969995e-03
1.600000000000000033e-01 1.280088783334969995e-03
2.399999999999999911e-01 1.280078165649470084e-03
2.399999999999999911e-01 1.280078165649470084e-03
2.399999999999999911e-01 1.280078165649470084e-03
2.399999999999999911e-01 1.280078165649470084e-03
3.200000000000000067e-01 1.280073576573970053e-03
3.200000000000000067e-01 1.280073576573970053e-03
3.200000000000000067e-01 1.280073576573970053e-03
3.200000000000000067e-01 1.280073576573970053e-03
4.000000000000000222e-01 1.280075029376289905e-03
4.000000000000000222e-01 1.280075029376289905e-03
4.000000000000000222e-01 1.280075029376289905e-03
4.000000000000000222e-01 1.280075029376289905e-03
4.799999999999999822e-01 1.280079733989220037e-03
4.799999999999999822e-01 1.280079733989220037e-03
4.799999999999999822e-01 1.280079733989220037e-03
4.799999999999999822e-01 1.280079733989220037e-03
5.600000000000000533e-01 1.280084754621849943e-03
5.600000000000000533e-01 1.280084754621849943e-03
5.600000000000000533e-01 1.280084754621849943e-03
5.600000000000000533e-01 1.280084754621849943e-03
6.400000000000000133e-01 1.280090191948430028e-03
6.400000000000000133e-01 1.280090191948430028e-03
6.400000000000000133e-01 1.280090191948430028e-03
6.400000000000000133e-01 1.280090191948430028e-03
7.199999999999999734e-01 1.280093582962019963e-03
7.199999999999999734e-01 1.280093582962019963e-03
7.199999999999999734e-01 1.280093582962019963e-03
7.199999999999999734e-01 1.280093582962019963e-03
8.000000000000000444e-01 1.280094354402920055e-03
8.000000000000000444e-01 1.280094354402920055e-03
8.000000000000000444e-01 1.280094354402920055e-03
8.000000000000000444e-01 1.280094354402920055e-03
8.800000000000000044e-01 1.280094162545209998e-03
8.800000000000000044e-01 1.280094162545209998e-03
8.800000000000000044e-01 1.280094162545209998e-03
8.800000000000000044e-01 1.280094162545209998e-03
9.599999999999999645e-01 1.280093523957460044e-03
9.599999999999999645e-01 1.280093523957460044e-03
9.599999999999999645e-01 1.280093523957460044e-03
9.599999999999999645e-01 1.280093523957460044e-03
1.040000000000000036e+00 1.280092405019069967e-03
1.040000000000000036e+00 1.280092405019069967e-03
1.040000000000000036e+00 1.280092405019069967e-03
1.040000000000000036e+00 1.280092405019069967e-03
1.120000000000000107e+00 1.280090989834730027e-03
