t rho
0.000000 0.001280
0.000000 0.001280
0.000000 0.001280
0.000000 0.001280
0.040000 0.001280
0.040000 0.001280
0.040000 0.001280
0.080000 0.001280
0.080000 0.001280
0.080000 0.001280
0.080000 0.001280
0.120000 0.001280
0.120000 0.001280
0.120000 0.001280
0.160000 0.001280
0.160000 0.001280
0.160000 0.001280
0.160000 0.001280
0.200000 0.001280
0.200000 0.001280
0.200000 0.001280
0.240000 0.001280
0.240000 0.001280
0.240000 0.001280
0.240000 0.001280
0.280000 0.001280
0.280000 0.001280
0.280000 0.001280
0.320000 0.001280
0.320000 0.001280
0.320000 0.001280
0.320000 0.001280
0.360000 0.001280
0.360000 0.001280
0.360000 0.001280
0.400000 0.001280
0.400000 0.001280
0.400000 0.001280
0.400000 0.001280
0.440000 0.001280
0.440000 0.001280
0.440000 0.001280
0.480000 0.001280
0.480000 0.001280
0.480000 0.001280
0.480000 0.001280
0.520000 0.001280
0.520000 0.001280
0.520000 0.001280
0.560000 0.001280
0.560000 0.001280
0.560000 0.001280
0.560000 0.001280
0.600000 0.001280
0.600000 0.001280
0.600000 0.001280
0.640000 0.001280
0.640000 0.001280
0.640000 0.001280
0.640000 0.001280
0.680000 0.001280
0.680000 0.001280
0.680000 0.001280
0.720000 0.001280
0.720000 0.001280
0.720000 0.001280
0.720000 0.001280
0.760000 0.001280
0.760000 0.001280
0.760000 0.001280
0.800000 0.001280
0.800000 0.001280
0.800000 0.001280
0.800000 0.001280
0.840000 0.001280
0.840000 0.001280
0.840000 0.001280
0.880000 0.001280
0.880000 0.001280
0.880000 0.001280
0.880000 0.001280
0.920000 0.001280
0.920000 0.001280
0.920000 0.001280
0.960000 0.001280
0.960000 0.001280
0.960000 0.001280
0.960000 0.001280
1.000000 0.001280
1.000000 0.001280
1.000000 0.001280
1.040000 0.001280
1.040000 0.001280
1.040000 0.001280
1.040000 0.001280
1.080000 0.001280
1.080000 0.001280
1.080000 0.001280
1.120000 0.001280
1.120000 0.001280
1.120000 0.001280
1.120000 0.001280
1.160000 0.001280
1.160000 0.001280
1.160000 0.001280
1.200000 0.001280
1.200000 0.001280
1.200000 0.001280
1.200000 0.001280
1.240000 0.001280
1.240000 0.001280
1.240000 0.001280
1.280000 0.001280
1.280000 0.001280
1.280000 0.001280
1.280000 0.001280
1.320000 0.001280
1.320000 0.001280
1.320000 0.001280
1.360000 0.001280
1.360000 0.001280
1.360000 0.001280
1.360000 0.001280
1.400000 0.001280
1.400000 0.001280
1.400000 0.001280
1.440000 0.001280
1.440000 0.001280
1.440000 0.001280
1.440000 0.001280
1.480000 0.001280
1.480000 0.001280
1.480000 0.001280
1.520000 0.001280
1.520000 0.001280
1.520000 0.001280
1.520000 0.001280
1.560000 0.001280
1.560000 0.001280
1.560000 0.001280
1.600000 0.001280
1.600000 0.001280
1.600000 0.001280
1.600000 0.001280
1.640000 0.001280
1.640000 0.001280
1.640000 0.001280
1.680000 0.001280
1.680000 0.001280
1.680000 0.001280
1.680000 0.001280
1.720000 0.001280
1.720000 0.001280
1.720000 0.001280
1.760000 0.001280
1.760000 0.001280
1.760000 0.001280
1.760000 0.001280
1.800000 0.001280
1.800000 0.001280
1.800000 0.001280
1.840000 0.001280
1.840000 0.001280
1.840000 0.001280
1.840000 0.001280
1.880000 0.001280
1.880000 0.001280
1.880000 0.001280
1.920000 0.001280
1.920000 0.001280
1.920000 0.001280
1.920000 0.001280
1.960000 0.001280
1.960000 0.001280
1.960000 0.001280
2.000000 0.001280
2.000000 0.001280
2.000000 0.001280
2.000000 0.001280
2.040000 0.001280
2.040000 0.001280
2.040000 0.001280
2.080000 0.001280
2.080000 0.001280
2.080000 0.001280
2.080000 0.001280
2.120000 0.001280
2.120000 0.001280
2.120000 0.001280
2.160000 0.001280
2.160000 0.001280
2.160000 0.001280
2.160000 0.001280
2.200000 0.001280
2.200000 0.001280
2.200000 0.001280
2.240000 0.001280
2.240000 0.001280
2.240000 0.001280
2.240000 0.001280
2.280000 0.001280
2.280000 0.001280
2.280000 0.001280
2.320000 0.001280
2.320000 0.001280
2.320000 0.001280
2.320000 0.001280
2.360000 0.001280
2.360000 0.001280
2.360000 0.001280
2.400000 0.001280
2.400000 0.001280
2.400000 0.001280
2.400000 0.001280
2.440000 0.001280
2.440000 0.001280
2.440000 0.001280
2.480000 0.001280
2.480000 0.001280
2.480000 0.001280
2.480000 0.001280
2.520000 0.001280
2.520000 0.001280
2.520000 0.001280
2.560000 0.001280
2.560000 0.001280
2.560000 0.001280
2.560000 0.001280
2.600000 0.001280
2.600000 0.001280
2.600000 0.001280
2.640000 0.001280
2.640000 0.001280
2.640000 0.001280
2.640000 0.001280
2.680000 0.001280
2.680000 0.001280
2.680000 0.001280
2.720000 0.001280
2.720000 0.001280
2.720000 0.001280
2.720000 0.001280
2.760000 0.001280
2.760000 0.001280
2.760000 0.001280
2.800000 0.001280
2.800000 0.001280
2.800000 0.001280
2.800000 0.001280
2.840000 0.001280
2.840000 0.001280
2.840000 0.001280
2.880000 0.001280
2.880000 0.001280
2.880000 0.001280
2.880000 0.001280
2.920000 0.001280
2.920000 0.001280
2.920000 0.001280
2.960000 0.001280
2.960000 0.001280
2.960000 0.001280
2.960000 0.001280
3.000000 0.001280
3.000000 0.001280
3.000000 0.001280
3.040000 0.001280
3.040000 0.001280
3.040000 0.001280
3.040000 0.001280
3.080000 0.001280
3.080000 0.001280
3.080000 0.001280
3.120000 0.001280
3.120000 0.001280
3.120000 0.001280
3.120000 0.001280
3.160000 0.001280
3.160000 0.001280
3.160000 0.001280
3.200000 0.001280
3.200000 0.001280
3.200000 0.001280
3.200000 0.001280
3.240000 0.001280
3.240000 0.001280
3.240000 0.001280
3.280000 0.001280
3.280000 0.001280
3.280000 0.001280
3.280000 0.001280
3.320000 0.001280
3.320000 0.001280
3.320000 0.001280
3.360000 0.001280
3.360000 0.001280
3.360000 0.001280
3.360000 0.001280
3.400000 0.001280
3.400000 0.001280
3.400000 0.001280
3.440000 0.001280
3.440000 0.001280
3.440000 0.001280
3.440000 0.001280
3.480000 0.001280
3.480000 0.001280
3.480000 0.001280
3.520000 0.001280
3.520000 0.001280
3.520000 0.001280
3.520000 0.001280
3.560000 0.001280
3.560000 0.001280
3.560000 0.001280
3.600000 0.001280
3.600000 0.001280
3.600000 0.001280
3.600000 0.001280
3.640000 0.001280
3.640000 0.001280
3.640000 0.001280
3.680000 0.001280
3.680000 0.001280
3.680000 0.001280
3.680000 0.001280
3.720000 0.001280
3.720000 0.001280
3.720000 0.001280
3.760000 0.001280
3.760000 0.001280
3.760000 0.001280
3.760000 0.001280
3.800000 0.001280
3.800000 0.001280
3.800000 0.001280
3.840000 0.001280
3.840000 0.001280
3.840000 0.001280
3.840000 0.001280
3.880000 0.001280
3.880000 0.001280
3.880000 0.001280
3.920000 0.001280
3.920000 0.001280
3.920000 0.001280
3.920000 0.001280
3.960000 0.001280
3.960000 0.001280
3.960000 0.001280
4.000000 0.001280
