t rho
0.000000 0.001280
0.000000 0.001280
0.000000 0.001280
0.000000 0.001280
0.080000 0.001280
0.080000 0.001280
0.080000 0.001280
0.160000 0.001280
0.160000 0.001280
0.160000 0.001280
0.160000 0.001280
0.240000 0.001280
0.240000 0.001280
0.240000 0.001280
0.320000 0.001280
0.320000 0.001280
0.320000 0.001280
0.320000 0.001280
0.400000 0.001280
0.400000 0.001280
0.400000 0.001280
0.480000 0.001280
0.480000 0.001280
0.480000 0.001280
0.480000 0.001280
0.560000 0.001280
0.560000 0.001280
0.560000 0.001280
0.640000 0.001280
0.640000 0.001280
0.640000 0.001280
0.640000 0.001280
0.720000 0.001280
0.720000 0.001280
0.720000 0.001280
0.800000 0.001280
0.800000 0.001280
0.800000 0.001280
0.800000 0.001280
0.880000 0.001280
0.880000 0.001280
0.880000 0.001280
0.960000 0.001280
0.960000 0.001280
0.960000 0.001280
0.960000 0.001280
1.040000 0.001280
1.040000 0.001280
1.040000 0.001280
1.120000 0.001280
1.120000 0.001280
1.120000 0.001280
1.120000 0.001280
1.200000 0.001280
1.200000 0.001280
1.200000 0.001280
1.280000 0.001280
1.280000 0.001280
1.280000 0.001280
1.280000 0.001280
1.360000 0.001280
1.360000 0.001280
1.360000 0.001280
1.440000 0.001280
1.440000 0.001280
1.440000 0.001280
1.440000 0.001280
1.520000 0.001280
1.520000 0.001280
1.520000 0.001280
1.600000 0.001280
1.600000 0.001280
1.600000 0.001280
1.600000 0.001280
1.680000 0.001280
1.680000 0.001280
1.680000 0.001280
1.760000 0.001280
1.760000 0.001280
1.760000 0.001280
1.760000 0.001280
1.840000 0.001280
1.840000 0.001280
1.840000 0.001280
1.920000 0.001280
1.920000 0.001280
1.920000 0.001280
1.920000 0.001280
2.000000 0.001280
2.000000 0.001280
2.000000 0.001280
2.080000 0.001280
2.080000 0.001280
2.080000 0.001280
2.080000 0.001280
2.160000 0.001280
2.160000 0.001280
2.160000 0.001280
2.240000 0.001280
2.240000 0.001280
2.240000 0.001280
2.240000 0.001280
2.320000 0.001280
2.320000 0.001280
2.320000 0.001280
2.400000 0.001280
2.400000 0.001280
2.400000 0.001280
2.400000 0.001280
2.480000 0.001280
2.480000 0.001280
2.480000 0.001280
2.560000 0.001280
2.560000 0.001280
2.560000 0.001280
2.560000 0.001280
2.640000 0.001280
2.640000 0.001280
2.640000 0.001280
2.720000 0.001280
2.720000 0.001280
2.720000 0.001280
2.720000 0.001280
2.800000 0.001280
2.800000 0.001280
2.800000 0.001280
2.880000 0.001280
2.880000 0.001280
2.880000 0.001280
2.880000 0.001280
2.960000 0.001280
2.960000 0.001280
2.960000 0.001280
3.040000 0.001280
3.040000 0.001280
3.040000 0.001280
3.040000 0.001280
3.120000 0.001280
3.120000 0.001280
3.120000 0.001280
3.200000 0.001280
3.200000 0.001280
3.200000 0.001280
3.200000 0.001280
3.280000 0.001280
3.280000 0.001280
3.280000 0.001280
3.360000 0.001280
3.360000 0.001280
3.360000 0.001280
3.360000 0.001280
3.440000 0.001280
3.440000 0.001280
3.440000 0.001280
3.520000 0.001280
3.520000 0.001280
3.520000 0.001280
3.520000 0.001280
3.600000 0.001280
3.600000 0.001280
3.600000 0.001280
3.680000 0.001280
3.680000 0.001280
3.680000 0.001280
3.680000 0.001280
3.760000 0.001280
3.760000 0.001280
3.760000 0.001280
3.840000 0.001280
3.840000 0.001280
3.840000 0.001280
3.840000 0.001280
3.920000 0.001280
3.920000 0.001280
3.920000 0.001280
4.000000 0.001280
4.000000 0.001280
4.000000 0.001280
4.000000 0.001280
4.080000 0.001280
4.080000 0.001280
4.080000 0.001280
4.160000 0.001280
4.160000 0.001280
4.160000 0.001280
4.160000 0.001280
4.240000 0.001280
4.240000 0.001280
4.240000 0.001280
4.320000 0.001280
4.320000 0.001280
4.320000 0.001280
4.320000 0.001280
4.400000 0.001280
4.400000 0.001280
4.400000 0.001280
4.480000 0.001280
4.480000 0.001280
4.480000 0.001280
4.480000 0.001280
4.560000 0.001280
4.560000 0.001280
4.560000 0.001280
4.640000 0.001280
4.640000 0.001280
4.640000 0.001280
4.640000 0.001280
4.720000 0.001280
4.720000 0.001280
4.720000 0.001280
4.800000 0.001280
4.800000 0.001280
4.800000 0.001280
4.800000 0.001280
4.880000 0.001280
4.880000 0.001280
4.880000 0.001280
4.960000 0.001280
4.960000 0.001280
4.960000 0.001280
4.960000 0.001280
5.040000 0.001280
5.040000 0.001280
5.040000 0.001280
5.120000 0.001280
5.120000 0.001280
5.120000 0.001280
5.120000 0.001280
5.200000 0.001280
5.200000 0.001280
5.200000 0.001280
5.280000 0.001280
5.280000 0.001280
5.280000 0.001280
5.280000 0.001280
5.360000 0.001280
5.360000 0.001280
5.360000 0.001280
5.440000 0.001280
5.440000 0.001280
5.440000 0.001280
5.440000 0.001280
5.520000 0.001280
5.520000 0.001280
5.520000 0.001280
5.600000 0.001280
5.600000 0.001280
5.600000 0.001280
5.600000 0.001280
5.680000 0.001280
5.680000 0.001280
5.680000 0.001280
5.760000 0.001280
5.760000 0.001280
5.760000 0.001280
5.760000 0.001280
5.840000 0.001280
5.840000 0.001280
5.840000 0.001280
5.920000 0.001280
5.920000 0.001280
5.920000 0.001280
5.920000 0.001280
6.000000 0.001280
6.000000 0.001280
6.000000 0.001280
6.080000 0.001280
6.080000 0.001280
6.080000 0.001280
6.080000 0.001280
6.160000 0.001280
6.160000 0.001280
6.160000 0.001280
6.240000 0.001280
6.240000 0.001280
6.240000 0.001280
6.240000 0.001280
6.320000 0.001280
6.320000 0.001280
6.320000 0.001280
6.400000 0.001280
6.400000 0.001280
6.400000 0.001280
6.400000 0.001280
6.480000 0.001280
6.480000 0.001280
6.480000 0.001280
6.560000 0.001280
6.560000 0.001280
6.560000 0.001280
6.560000 0.001280
6.640000 0.001280
6.640000 0.001280
6.640000 0.001280
6.720000 0.001280
6.720000 0.001280
6.720000 0.001280
6.720000 0.001280
6.800000 0.001280
6.800000 0.001280
6.800000 0.001280
6.880000 0.001280
6.880000 0.001280
6.880000 0.001280
6.880000 0.001280
6.960000 0.001280
6.960000 0.001280
6.960000 0.001280
7.040000 0.001280
7.040000 0.001280
7.040000 0.001280
7.040000 0.001280
7.120000 0.001280
7.120000 0.001280
7.120000 0.001280
7.200000 0.001280
7.200000 0.001280
7.200000 0.001280
7.200000 0.001280
7.280000 0.001280
7.280000 0.001280
7.280000 0.001280
7.360000 0.001280
7.360000 0.001280
7.360000 0.001280
7.360000 0.001280
7.440000 0.001280
7.440000 0.001280
7.440000 0.001280
7.520000 0.001280
7.520000 0.001280
7.520000 0.001280
7.520000 0.001280
7.600000 0.001280
7.600000 0.001280
7.600000 0.001280
7.680000 0.001280
7.680000 0.001280
7.680000 0.001280
7.680000 0.001280
7.760000 0.001280
7.760000 0.001280
7.760000 0.001280
7.840000 0.001280
7.840000 0.001280
7.840000 0.001280
7.840000 0.001280
7.920000 0.001280
7.920000 0.001280
7.920000 0.001280
8.000000 0.001280
