t rho
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
8.000000000000000167e-02 1.280106399575739939e-03
8.000000000000000167e-02 1.280106399575739939e-03
8.000000000000000167e-02 1.280106399575739939e-03
1.600000000000000033e-01 1.280088698745939987e-03
1.600000000000000033e-01 1.280088698745939987e-03
1.600000000000000033e-01 1.280088698745939987e-03
1.600000000000000033e-01 1.280088698745939987e-03
2.399999999999999911e-01 1.280078072278580071e-03
2.399999999999999911e-01 1.280078072278580071e-03
2.399999999999999911e-01 1.280078072278580071e-03
3.200000000000000067e-01 1.280073524021799972e-03
3.200000000000000067e-01 1.280073524021799972e-03
3.200000000000000067e-01 1.280073524021799972e-03
3.200000000000000067e-01 1.280073524021799972e-03
4.000000000000000222e-01 1.280074988735209994e-03
4.000000000000000222e-01 1.280074988735209994e-03
4.000000000000000222e-01 1.280074988735209994e-03
4.799999999999999822e-01 1.280079742749080061e-03
4.799999999999999822e-01 1.280079742749080061e-03
4.799999999999999822e-01 1.280079742749080061e-03
4.799999999999999822e-01 1.280079742749080061e-03
5.600000000000000533e-01 1.280084837450280039e-03
5.600000000000000533e-01 1.280084837450280039e-03
5.600000000000000533e-01 1.280084837450280039e-03
6.400000000000000133e-01 1.280090319675449961e-03
6.400000000000000133e-01 1.280090319675449961e-03
6.400000000000000133e-01 1.280090319675449961e-03
6.400000000000000133e-01 1.280090319675449961e-03
7.199999999999999734e-01 1.280093754569419911e-03
7.199999999999999734e-01 1.280093754569419911e-03
7.199999999999999734e-01 1.280093754569419911e-03
8.000000000000000444e-01 1.280094547437149932e-03
8.000000000000000444e-01 1.280094547437149932e-03
8.000000000000000444e-01 1.280094547437149932e-03
8.000000000000000444e-01 1.280094547437149932e-03
8.800000000000000044e-01 1.280094374585029945e-03
8.800000000000000044e-01 1.280094374585029945e-03
8.800000000000000044e-01 1.280094374585029945e-03
9.599999999999999645e-01 1.280093760264949896e-03
9.599999999999999645e-01 1.280093760264949896e-03
9.599999999999999645e-01 1.280093760264949896e-03
9.599999999999999645e-01 1.280093760264949896e-03
1.040000000000000036e+00 1.280092687891129944e-03
1.040000000000000036e+00 1.280092687891129944e-03
1.040000000000000036e+00 1.280092687891129944e-03
1.120000000000000107e+00 1.280091327122369902e-03
1.120000000000000107e+00 1.280091327122369902e-03
1.120000000000000107e+00 1.280091327122369902e-03
1.120000000000000107e+00 1.280091327122369902e-03
1.199999999999999956e+00 1.280090277315910040e-03
1.199999999999999956e+00 1.280090277315910040e-03
1.199999999999999956e+00 1.280090277315910040e-03
1.280000000000000027e+00 1.280090149741660048e-03
