t rho
0.000000000000000000e+00 1.280127387249430050e-03
0.000000000000000000e+00 1.280127387249430050e-03
0.000000000000000000e+00 1.280127387249430050e-03
8.000000000000000167e-02 1.280077812478509942e-03
8.000000000000000167e-02 1.280077812478509942e-03
1.600000000000000033e-01 1.280031105017229989e-03
1.600000000000000033e-01 1.280031105017229989e-03
1.600000000000000033e-01 1.280031105017229989e-03
2.399999999999999911e-01 1.279990260757370071e-03
2.399999999999999911e-01 1.279990260757370071e-03
3.200000000000000067e-01 1.279956189308690097e-03
3.200000000000000067e-01 1.279956189308690097e-03
3.200000000000000067e-01 1.279956189308690097e-03
4.000000000000000222e-01 1.279928356462550071e-03
4.000000000000000222e-01 1.279928356462550071e-03
4.799999999999999822e-01 1.279907177075540045e-03
4.799999999999999822e-01 1.279907177075540045e-03
4.799999999999999822e-01 1.279907177075540045e-03
5.600000000000000533e-01 1.279891848565359921e-03
5.600000000000000533e-01 1.279891848565359921e-03
6.400000000000000133e-01 1.279881775158399999e-03
6.400000000000000133e-01 1.279881775158399999e-03
6.400000000000000133e-01 1.279881775158399999e-03
7.199999999999999734e-01 1.279876720228069996e-03
7.199999999999999734e-01 1.279876720228069996e-03
8.000000000000000444e-01 1.279875464472169906e-03
8.000000000000000444e-01 1.279875464472169906e-03
8.000000000000000444e-01 1.279875464472169906e-03
8.800000000000000044e-01 1.279876958935850101e-03
8.800000000000000044e-01 1.279876958935850101e-03
9.599999999999999645e-01 1.279880969629170091e-03
9.599999999999999645e-01 1.279880969629170091e-03
9.599999999999999645e-01 1.279880969629170091e-03
1.040000000000000036e+00 1.279886652055030024e-03
1.040000000000000036e+00 1.279886652055030024e-03
1.120000000000000107e+00 1.279893005896690084e-03
1.120000000000000107e+00 1.279893005896690084e-03
1.120000000000000107e+00 1.279893005896690084e-03
1.199999999999999956e+00 1.279899639333469986e-03
1.199999999999999956e+00 1.279899639333469986e-03
1.280000000000000027e+00 1.279905930034550042e-03
1.280000000000000027e+00 1.279905930034550042e-03
1.280000000000000027e+00 1.279905930034550042e-03
1.360000000000000098e+00 1.279911398520170102e-03
1.360000000000000098e+00 1.279911398520170102e-03
1.439999999999999947e+00 1.279916276472470001e-03
1.439999999999999947e+00 1.279916276472470001e-03
1.439999999999999947e+00 1.279916276472470001e-03
1.520000000000000018e+00 1.279920557538899960e-03
1.520000000000000018e+00 1.279920557538899960e-03
1.600000000000000089e+00 1.279923877493199932e-03
1.600000000000000089e+00 1.279923877493199932e-03
1.600000000000000089e+00 1.279923877493199932e-03
1.679999999999999938e+00 1.279926241846199991e-03
