t rho
0.000000000000000000e+00 1.280127387249430050e-03
0.000000000000000000e+00 1.280127387249430050e-03
0.000000000000000000e+00 1.280127387249430050e-03
8.000000000000000167e-02 1.280077809372980003e-03
8.000000000000000167e-02 1.280077809372980003e-03
1.600000000000000033e-01 1.280031091052509984e-03
1.600000000000000033e-01 1.280031091052509984e-03
1.600000000000000033e-01 1.280031091052509984e-03
2.399999999999999911e-01 1.279990229064689906e-03
2.399999999999999911e-01 1.279990229064689906e-03
3.200000000000000067e-01 1.279956139226980051e-03
3.200000000000000067e-01 1.279956139226980051e-03
3.200000000000000067e-01 1.279956139226980051e-03
4.000000000000000222e-01 1.279928289803039911e-03
4.000000000000000222e-01 1.279928289803039911e-03
4.799999999999999822e-01 1.279907085785410075e-03
4.799999999999999822e-01 1.279907085785410075e-03
4.799999999999999822e-01 1.279907085785410075e-03
5.600000000000000533e-01 1.279891727178409950e-03
5.600000000000000533e-01 1.279891727178409950e-03
6.400000000000000133e-01 1.279881618018399985e-03
6.400000000000000133e-01 1.279881618018399985e-03
6.400000000000000133e-01 1.279881618018399985e-03
7.199999999999999734e-01 1.279876521431999896e-03
7.199999999999999734e-01 1.279876521431999896e-03
8.000000000000000444e-01 1.279875216856099897e-03
8.000000000000000444e-01 1.279875216856099897e-03
8.000000000000000444e-01 1.279875216856099897e-03
8.800000000000000044e-01 1.279876652989949976e-03
8.800000000000000044e-01 1.279876652989949976e-03
9.599999999999999645e-01 1.279880598702090025e-03
9.599999999999999645e-01 1.279880598702090025e-03
9.599999999999999645e-01 1.279880598702090025e-03
1.040000000000000036e+00 1.279886209820650048e-03
1.040000000000000036e+00 1.279886209820650048e-03
1.120000000000000107e+00 1.279892486427759973e-03
1.120000000000000107e+00 1.279892486427759973e-03
1.120000000000000107e+00 1.279892486427759973e-03
1.199999999999999956e+00 1.279899037107780097e-03
1.199999999999999956e+00 1.279899037107780097e-03
1.280000000000000027e+00 1.279905239767849907e-03
1.280000000000000027e+00 1.279905239767849907e-03
1.280000000000000027e+00 1.279905239767849907e-03
1.360000000000000098e+00 1.279910615135099964e-03
1.360000000000000098e+00 1.279910615135099964e-03
1.439999999999999947e+00 1.279915395060839903e-03
1.439999999999999947e+00 1.279915395060839903e-03
1.439999999999999947e+00 1.279915395060839903e-03
1.520000000000000018e+00 1.279919573163450100e-03
1.520000000000000018e+00 1.279919573163450100e-03
1.600000000000000089e+00 1.279922785131339894e-03
1.600000000000000089e+00 1.279922785131339894e-03
1.600000000000000089e+00 1.279922785131339894e-03
1.679999999999999938e+00 1.279925036426579968e-03
