t rho
0.000000000000000000e+00 1.280000000000000105e-03
0.000000000000000000e+00 1.280000000000000105e-03
0.000000000000000000e+00 1.280000000000000105e-03
1.600000000000000033e-01 1.279909967530099956e-03
1.600000000000000033e-01 1.279909967530099956e-03
1.600000000000000033e-01 1.279909967530099956e-03
3.200000000000000067e-01 1.279827246729349933e-03
3.200000000000000067e-01 1.279827246729349933e-03
3.200000000000000067e-01 1.279827246729349933e-03
4.799999999999999822e-01 1.279766044050420102e-03
4.799999999999999822e-01 1.279766044050420102e-03
4.799999999999999822e-01 1.279766044050420102e-03
6.400000000000000133e-01 1.279732457035059976e-03
6.400000000000000133e-01 1.279732457035059976e-03
6.400000000000000133e-01 1.279732457035059976e-03
8.000000000000000444e-01 1.279723372354109974e-03
8.000000000000000444e-01 1.279723372354109974e-03
8.000000000000000444e-01 1.279723372354109974e-03
9.599999999999999645e-01 1.279724452732580037e-03
9.599999999999999645e-01 1.279724452732580037e-03
9.599999999999999645e-01 1.279724452732580037e-03
1.120000000000000107e+00 1.279729411138799938e-03
1.120000000000000107e+00 1.279729411138799938e-03
1.120000000000000107e+00 1.279729411138799938e-03
1.280000000000000027e+00 1.279725910459739938e-03
1.280000000000000027e+00 1.279725910459739938e-03
1.280000000000000027e+00 1.279725910459739938e-03
1.439999999999999947e+00 1.279708285117769949e-03
1.439999999999999947e+00 1.279708285117769949e-03
1.439999999999999947e+00 1.279708285117769949e-03
1.600000000000000089e+00 1.279680131827759916e-03
1.600000000000000089e+00 1.279680131827759916e-03
1.600000000000000089e+00 1.279680131827759916e-03
1.760000000000000009e+00 1.279640475720269892e-03
1.760000000000000009e+00 1.279640475720269892e-03
1.760000000000000009e+00 1.279640475720269892e-03
1.919999999999999929e+00 1.279591044504749990e-03
1.919999999999999929e+00 1.279591044504749990e-03
1.919999999999999929e+00 1.279591044504749990e-03
2.080000000000000071e+00 1.279539306672380092e-03
2.080000000000000071e+00 1.279539306672380092e-03
2.080000000000000071e+00 1.279539306672380092e-03
2.240000000000000213e+00 1.279483023266890030e-03
2.240000000000000213e+00 1.279483023266890030e-03
2.240000000000000213e+00 1.279483023266890030e-03
2.399999999999999911e+00 1.279428624565490027e-03
2.399999999999999911e+00 1.279428624565490027e-03
2.399999999999999911e+00 1.279428624565490027e-03
2.560000000000000053e+00 1.279370927506839938e-03
2.560000000000000053e+00 1.279370927506839938e-03
2.560000000000000053e+00 1.279370927506839938e-03
2.720000000000000195e+00 1.279313152935769972e-03
2.720000000000000195e+00 1.279313152935769972e-03
2.720000000000000195e+00 1.279313152935769972e-03
2.879999999999999893e+00 1.279250952908870089e-03
2.879999999999999893e+00 1.279250952908870089e-03
2.879999999999999893e+00 1.279250952908870089e-03
3.040000000000000036e+00 1.279188364425430050e-03
3.040000000000000036e+00 1.279188364425430050e-03
3.040000000000000036e+00 1.279188364425430050e-03
3.200000000000000178e+00 1.279121087098880009e-03
3.200000000000000178e+00 1.279121087098880009e-03
3.200000000000000178e+00 1.279121087098880009e-03
3.359999999999999876e+00 1.279048879063189939e-03
3.359999999999999876e+00 1.279048879063189939e-03
3.359999999999999876e+00 1.279048879063189939e-03
3.520000000000000018e+00 1.278976023268050058e-03
3.520000000000000018e+00 1.278976023268050058e-03
3.520000000000000018e+00 1.278976023268050058e-03
3.680000000000000160e+00 1.278892915024470046e-03
3.680000000000000160e+00 1.278892915024470046e-03
3.680000000000000160e+00 1.278892915024470046e-03
3.839999999999999858e+00 1.278811755394559978e-03
3.839999999999999858e+00 1.278811755394559978e-03
3.839999999999999858e+00 1.278811755394559978e-03
4.000000000000000000e+00 1.278722853381890042e-03
4.000000000000000000e+00 1.278722853381890042e-03
4.000000000000000000e+00 1.278722853381890042e-03
4.160000000000000142e+00 1.278630265877040003e-03
4.160000000000000142e+00 1.278630265877040003e-03
4.160000000000000142e+00 1.278630265877040003e-03
4.320000000000000284e+00 1.278533932908579914e-03
4.320000000000000284e+00 1.278533932908579914e-03
4.320000000000000284e+00 1.278533932908579914e-03
4.480000000000000426e+00 1.278435516324720033e-03
4.480000000000000426e+00 1.278435516324720033e-03
4.480000000000000426e+00 1.278435516324720033e-03
4.639999999999999680e+00 1.278330941877170055e-03
4.639999999999999680e+00 1.278330941877170055e-03
4.639999999999999680e+00 1.278330941877170055e-03
4.799999999999999822e+00 1.278226445664390086e-03
4.799999999999999822e+00 1.278226445664390086e-03
4.799999999999999822e+00 1.278226445664390086e-03
4.959999999999999964e+00 1.278116519285569987e-03
4.959999999999999964e+00 1.278116519285569987e-03
4.959999999999999964e+00 1.278116519285569987e-03
5.120000000000000107e+00 1.278003612559649917e-03
5.120000000000000107e+00 1.278003612559649917e-03
5.120000000000000107e+00 1.278003612559649917e-03
5.280000000000000249e+00 1.277888098698929916e-03
5.280000000000000249e+00 1.277888098698929916e-03
5.280000000000000249e+00 1.277888098698929916e-03
5.440000000000000391e+00 1.277769845836230047e-03
5.440000000000000391e+00 1.277769845836230047e-03
5.440000000000000391e+00 1.277769845836230047e-03
5.599999999999999645e+00 1.277648653303220050e-03
5.599999999999999645e+00 1.277648653303220050e-03
5.599999999999999645e+00 1.277648653303220050e-03
5.759999999999999787e+00 1.277528814165429950e-03
5.759999999999999787e+00 1.277528814165429950e-03
5.759999999999999787e+00 1.277528814165429950e-03
5.919999999999999929e+00 1.277406770641109982e-03
5.919999999999999929e+00 1.277406770641109982e-03
5.919999999999999929e+00 1.277406770641109982e-03
6.080000000000000071e+00 1.277286432538630003e-03
6.080000000000000071e+00 1.277286432538630003e-03
6.080000000000000071e+00 1.277286432538630003e-03
6.240000000000000213e+00 1.277161813212139953e-03
6.240000000000000213e+00 1.277161813212139953e-03
6.240000000000000213e+00 1.277161813212139953e-03
6.400000000000000355e+00 1.277037779619519947e-03
6.400000000000000355e+00 1.277037779619519947e-03
6.400000000000000355e+00 1.277037779619519947e-03
6.559999999999999609e+00 1.276909416697009914e-03
6.559999999999999609e+00 1.276909416697009914e-03
6.559999999999999609e+00 1.276909416697009914e-03
6.719999999999999751e+00 1.276782329175390031e-03
6.719999999999999751e+00 1.276782329175390031e-03
6.719999999999999751e+00 1.276782329175390031e-03
6.879999999999999893e+00 1.276648361705939958e-03
6.879999999999999893e+00 1.276648361705939958e-03
6.879999999999999893e+00 1.276648361705939958e-03
7.040000000000000036e+00 1.276514053767530002e-03
7.040000000000000036e+00 1.276514053767530002e-03
7.040000000000000036e+00 1.276514053767530002e-03
7.200000000000000178e+00 1.276372804298890086e-03
7.200000000000000178e+00 1.276372804298890086e-03
7.200000000000000178e+00 1.276372804298890086e-03
7.360000000000000320e+00 1.276230026909519911e-03
7.360000000000000320e+00 1.276230026909519911e-03
7.360000000000000320e+00 1.276230026909519911e-03
7.519999999999999574e+00 1.276080570480410056e-03
7.519999999999999574e+00 1.276080570480410056e-03
7.519999999999999574e+00 1.276080570480410056e-03
7.679999999999999716e+00 1.275926242068610092e-03
7.679999999999999716e+00 1.275926242068610092e-03
7.679999999999999716e+00 1.275926242068610092e-03
7.839999999999999858e+00 1.275762518436480107e-03
7.839999999999999858e+00 1.275762518436480107e-03
7.839999999999999858e+00 1.275762518436480107e-03
8.000000000000000000e+00 1.275592467835930024e-03
8.000000000000000000e+00 1.275592467835930024e-03
8.000000000000000000e+00 1.275592467835930024e-03
8.160000000000000142e+00 1.275415441766510104e-03
8.160000000000000142e+00 1.275415441766510104e-03
8.160000000000000142e+00 1.275415441766510104e-03
8.320000000000000284e+00 1.275234452656480097e-03
8.320000000000000284e+00 1.275234452656480097e-03
8.320000000000000284e+00 1.275234452656480097e-03
8.480000000000000426e+00 1.275049044920599896e-03
8.480000000000000426e+00 1.275049044920599896e-03
8.480000000000000426e+00 1.275049044920599896e-03
8.640000000000000568e+00 1.274863328061099981e-03
8.640000000000000568e+00 1.274863328061099981e-03
8.640000000000000568e+00 1.274863328061099981e-03
8.800000000000000711e+00 1.274674662175440077e-03
8.800000000000000711e+00 1.274674662175440077e-03
8.800000000000000711e+00 1.274674662175440077e-03
8.960000000000000853e+00 1.274486216515300068e-03
8.960000000000000853e+00 1.274486216515300068e-03
8.960000000000000853e+00 1.274486216515300068e-03
9.119999999999999218e+00 1.274296240555449974e-03
9.119999999999999218e+00 1.274296240555449974e-03
9.119999999999999218e+00 1.274296240555449974e-03
9.279999999999999361e+00 1.274105575736540026e-03
9.279999999999999361e+00 1.274105575736540026e-03
9.279999999999999361e+00 1.274105575736540026e-03
9.439999999999999503e+00 1.273911913059579950e-03
9.439999999999999503e+00 1.273911913059579950e-03
9.439999999999999503e+00 1.273911913059579950e-03
9.599999999999999645e+00 1.273715956941739958e-03
9.599999999999999645e+00 1.273715956941739958e-03
9.599999999999999645e+00 1.273715956941739958e-03
9.759999999999999787e+00 1.273516721219019980e-03
9.759999999999999787e+00 1.273516721219019980e-03
9.759999999999999787e+00 1.273516721219019980e-03
9.919999999999999929e+00 1.273314249734560071e-03
9.919999999999999929e+00 1.273314249734560071e-03
9.919999999999999929e+00 1.273314249734560071e-03
1.008000000000000007e+01 1.273108716126440058e-03
1.008000000000000007e+01 1.273108716126440058e-03
1.008000000000000007e+01 1.273108716126440058e-03
1.024000000000000021e+01 1.272900333818749972e-03
1.024000000000000021e+01 1.272900333818749972e-03
1.024000000000000021e+01 1.272900333818749972e-03
1.040000000000000036e+01 1.272689478351620058e-03
1.040000000000000036e+01 1.272689478351620058e-03
1.040000000000000036e+01 1.272689478351620058e-03
1.056000000000000050e+01 1.272476335646069998e-03
1.056000000000000050e+01 1.272476335646069998e-03
1.056000000000000050e+01 1.272476335646069998e-03
1.072000000000000064e+01 1.272261186879509922e-03
1.072000000000000064e+01 1.272261186879509922e-03
1.072000000000000064e+01 1.272261186879509922e-03
1.088000000000000078e+01 1.272044239188479956e-03
1.088000000000000078e+01 1.272044239188479956e-03
1.088000000000000078e+01 1.272044239188479956e-03
1.103999999999999915e+01 1.271825102181110010e-03
1.103999999999999915e+01 1.271825102181110010e-03
1.103999999999999915e+01 1.271825102181110010e-03
1.119999999999999929e+01 1.271603463664760071e-03
1.119999999999999929e+01 1.271603463664760071e-03
1.119999999999999929e+01 1.271603463664760071e-03
1.135999999999999943e+01 1.271379777173930027e-03
1.135999999999999943e+01 1.271379777173930027e-03
1.135999999999999943e+01 1.271379777173930027e-03
1.151999999999999957e+01 1.271152331112590040e-03
1.151999999999999957e+01 1.271152331112590040e-03
1.151999999999999957e+01 1.271152331112590040e-03
