t rho
4.000000000000000222e-01 2.210949442576450128e-03
4.000000000000000222e-01 2.210949442576450128e-03
4.000000000000000222e-01 2.210949442576450128e-03
4.000000000000000222e-01 2.210949442576450128e-03
8.000000000000000444e-01 2.210480930621159905e-03
8.000000000000000444e-01 2.210480930621159905e-03
8.000000000000000444e-01 2.210480930621159905e-03
8.000000000000000444e-01 2.210480930621159905e-03
1.199999999999999956e+00 2.209688212591980061e-03
1.199999999999999956e+00 2.209688212591980061e-03
1.199999999999999956e+00 2.209688212591980061e-03
1.199999999999999956e+00 2.209688212591980061e-03
1.600000000000000089e+00 2.208556918934630187e-03
1.600000000000000089e+00 2.208556918934630187e-03
1.600000000000000089e+00 2.208556918934630187e-03
1.600000000000000089e+00 2.208556918934630187e-03
2.000000000000000000e+00 2.207080196203489806e-03
2.000000000000000000e+00 2.207080196203489806e-03
2.000000000000000000e+00 2.207080196203489806e-03
2.000000000000000000e+00 2.207080196203489806e-03
2.399999999999999911e+00 2.205236270763489929e-03
2.399999999999999911e+00 2.205236270763489929e-03
2.399999999999999911e+00 2.205236270763489929e-03
2.399999999999999911e+00 2.205236270763489929e-03
2.799999999999999822e+00 2.202997254222069986e-03
2.799999999999999822e+00 2.202997254222069986e-03
2.799999999999999822e+00 2.202997254222069986e-03
2.799999999999999822e+00 2.202997254222069986e-03
3.200000000000000178e+00 2.200335585125399833e-03
3.200000000000000178e+00 2.200335585125399833e-03
3.200000000000000178e+00 2.200335585125399833e-03
3.200000000000000178e+00 2.200335585125399833e-03
3.600000000000000089e+00 2.197219678341810062e-03
3.600000000000000089e+00 2.197219678341810062e-03
3.600000000000000089e+00 2.197219678341810062e-03
3.600000000000000089e+00 2.197219678341810062e-03
4.000000000000000000e+00 2.193618682085929882e-03
4.000000000000000000e+00 2.193618682085929882e-03
4.000000000000000000e+00 2.193618682085929882e-03
4.000000000000000000e+00 2.193618682085929882e-03
4.400000000000000355e+00 2.189503400660609920e-03
4.400000000000000355e+00 2.189503400660609920e-03
4.400000000000000355e+00 2.189503400660609920e-03
4.400000000000000355e+00 2.189503400660609920e-03
4.799999999999999822e+00 2.184831000836470142e-03
4.799999999999999822e+00 2.184831000836470142e-03
4.799999999999999822e+00 2.184831000836470142e-03
4.799999999999999822e+00 2.184831000836470142e-03
5.200000000000000178e+00 2.179556341006280099e-03
5.200000000000000178e+00 2.179556341006280099e-03
5.200000000000000178e+00 2.179556341006280099e-03
5.200000000000000178e+00 2.179556341006280099e-03
5.599999999999999645e+00 2.173633807916840101e-03
5.599999999999999645e+00 2.173633807916840101e-03
5.599999999999999645e+00 2.173633807916840101e-03
5.599999999999999645e+00 2.173633807916840101e-03
6.000000000000000000e+00 2.167030653592060159e-03
6.000000000000000000e+00 2.167030653592060159e-03
6.000000000000000000e+00 2.167030653592060159e-03
6.000000000000000000e+00 2.167030653592060159e-03
6.400000000000000355e+00 2.159727663887900124e-03
6.400000000000000355e+00 2.159727663887900124e-03
6.400000000000000355e+00 2.159727663887900124e-03
6.400000000000000355e+00 2.159727663887900124e-03
6.799999999999999822e+00 2.151703838425369966e-03
6.799999999999999822e+00 2.151703838425369966e-03
6.799999999999999822e+00 2.151703838425369966e-03
6.799999999999999822e+00 2.151703838425369966e-03
7.200000000000000178e+00 2.142925896777319889e-03
7.200000000000000178e+00 2.142925896777319889e-03
7.200000000000000178e+00 2.142925896777319889e-03
7.200000000000000178e+00 2.142925896777319889e-03
7.599999999999999645e+00 2.133365115669009875e-03
7.599999999999999645e+00 2.133365115669009875e-03
7.599999999999999645e+00 2.133365115669009875e-03
7.599999999999999645e+00 2.133365115669009875e-03
8.000000000000000000e+00 2.123029178012290040e-03
8.000000000000000000e+00 2.123029178012290040e-03
8.000000000000000000e+00 2.123029178012290040e-03
8.000000000000000000e+00 2.123029178012290040e-03
8.400000000000000355e+00 2.111931165866410068e-03
8.400000000000000355e+00 2.111931165866410068e-03
8.400000000000000355e+00 2.111931165866410068e-03
