t rho
6.400000000000000133e-01 2.250013182191530018e-03
6.400000000000000133e-01 2.250013182191530018e-03
6.400000000000000133e-01 2.250013182191530018e-03
1.280000000000000027e+00 2.250052005755850005e-03
1.280000000000000027e+00 2.250052005755850005e-03
1.280000000000000027e+00 2.250052005755850005e-03
1.919999999999999929e+00 2.250114823400390079e-03
1.919999999999999929e+00 2.250114823400390079e-03
1.919999999999999929e+00 2.250114823400390079e-03
2.560000000000000053e+00 2.250199556960169860e-03
2.560000000000000053e+00 2.250199556960169860e-03
2.560000000000000053e+00 2.250199556960169860e-03
3.200000000000000178e+00 2.250303518263160191e-03
3.200000000000000178e+00 2.250303518263160191e-03
3.200000000000000178e+00 2.250303518263160191e-03
3.839999999999999858e+00 2.250422960691630166e-03
3.839999999999999858e+00 2.250422960691630166e-03
3.839999999999999858e+00 2.250422960691630166e-03
4.480000000000000426e+00 2.250553355805339807e-03
4.480000000000000426e+00 2.250553355805339807e-03
4.480000000000000426e+00 2.250553355805339807e-03
5.120000000000000107e+00 2.250690019388359910e-03
5.120000000000000107e+00 2.250690019388359910e-03
5.120000000000000107e+00 2.250690019388359910e-03
5.759999999999999787e+00 2.250829115553619822e-03
5.759999999999999787e+00 2.250829115553619822e-03
5.759999999999999787e+00 2.250829115553619822e-03
6.400000000000000355e+00 2.250967139859390113e-03
6.400000000000000355e+00 2.250967139859390113e-03
6.400000000000000355e+00 2.250967139859390113e-03
7.040000000000000036e+00 2.251100392212259868e-03
7.040000000000000036e+00 2.251100392212259868e-03
7.040000000000000036e+00 2.251100392212259868e-03
7.679999999999999716e+00 2.251224999203040207e-03
7.679999999999999716e+00 2.251224999203040207e-03
7.679999999999999716e+00 2.251224999203040207e-03
8.320000000000000284e+00 2.251337200461020135e-03
8.320000000000000284e+00 2.251337200461020135e-03
8.320000000000000284e+00 2.251337200461020135e-03
8.960000000000000853e+00 2.251433990647009904e-03
8.960000000000000853e+00 2.251433990647009904e-03
8.960000000000000853e+00 2.251433990647009904e-03
9.599999999999999645e+00 2.251513706343169843e-03
9.599999999999999645e+00 2.251513706343169843e-03
9.599999999999999645e+00 2.251513706343169843e-03
1.024000000000000021e+01 2.251575795661700172e-03
1.024000000000000021e+01 2.251575795661700172e-03
1.024000000000000021e+01 2.251575795661700172e-03
1.088000000000000078e+01 2.251620114564470074e-03
1.088000000000000078e+01 2.251620114564470074e-03
1.088000000000000078e+01 2.251620114564470074e-03
1.151999999999999957e+01 2.251646644011179831e-03
1.151999999999999957e+01 2.251646644011179831e-03
1.151999999999999957e+01 2.251646644011179831e-03
1.216000000000000014e+01 2.251655958831179794e-03
1.216000000000000014e+01 2.251655958831179794e-03
1.216000000000000014e+01 2.251655958831179794e-03
1.280000000000000071e+01 2.251649897263360064e-03
1.280000000000000071e+01 2.251649897263360064e-03
1.280000000000000071e+01 2.251649897263360064e-03
1.343999999999999950e+01 2.251630173584249963e-03
1.343999999999999950e+01 2.251630173584249963e-03
1.343999999999999950e+01 2.251630173584249963e-03
1.408000000000000007e+01 2.251598640208320005e-03
1.408000000000000007e+01 2.251598640208320005e-03
1.408000000000000007e+01 2.251598640208320005e-03
1.472000000000000064e+01 2.251557535738750188e-03
1.472000000000000064e+01 2.251557535738750188e-03
1.472000000000000064e+01 2.251557535738750188e-03
1.535999999999999943e+01 2.251509260300029857e-03
1.535999999999999943e+01 2.251509260300029857e-03
1.535999999999999943e+01 2.251509260300029857e-03
1.600000000000000000e+01 2.251455652953909987e-03
1.600000000000000000e+01 2.251455652953909987e-03
1.600000000000000000e+01 2.251455652953909987e-03
1.664000000000000057e+01 2.251397707676250099e-03
1.664000000000000057e+01 2.251397707676250099e-03
1.664000000000000057e+01 2.251397707676250099e-03
1.728000000000000114e+01 2.251336218845869860e-03
1.728000000000000114e+01 2.251336218845869860e-03
1.728000000000000114e+01 2.251336218845869860e-03
1.792000000000000171e+01 2.251272418577860215e-03
1.792000000000000171e+01 2.251272418577860215e-03
1.792000000000000171e+01 2.251272418577860215e-03
1.855999999999999872e+01 2.251207730229470069e-03
1.855999999999999872e+01 2.251207730229470069e-03
1.855999999999999872e+01 2.251207730229470069e-03
1.919999999999999929e+01 2.251142689563349810e-03
1.919999999999999929e+01 2.251142689563349810e-03
1.919999999999999929e+01 2.251142689563349810e-03
1.983999999999999986e+01 2.251078160685500169e-03
1.983999999999999986e+01 2.251078160685500169e-03
1.983999999999999986e+01 2.251078160685500169e-03
2.048000000000000043e+01 2.251017392411949845e-03
2.048000000000000043e+01 2.251017392411949845e-03
2.048000000000000043e+01 2.251017392411949845e-03
2.112000000000000099e+01 2.250962839483439809e-03
2.112000000000000099e+01 2.250962839483439809e-03
2.112000000000000099e+01 2.250962839483439809e-03
2.176000000000000156e+01 2.250913670359489926e-03
2.176000000000000156e+01 2.250913670359489926e-03
2.176000000000000156e+01 2.250913670359489926e-03
2.239999999999999858e+01 2.250865890932179925e-03
2.239999999999999858e+01 2.250865890932179925e-03
2.239999999999999858e+01 2.250865890932179925e-03
2.303999999999999915e+01 2.250816669339670163e-03
2.303999999999999915e+01 2.250816669339670163e-03
2.303999999999999915e+01 2.250816669339670163e-03
2.367999999999999972e+01 2.250766658630430107e-03
2.367999999999999972e+01 2.250766658630430107e-03
2.367999999999999972e+01 2.250766658630430107e-03
2.432000000000000028e+01 2.250720883143120157e-03
2.432000000000000028e+01 2.250720883143120157e-03
2.432000000000000028e+01 2.250720883143120157e-03
2.496000000000000085e+01 2.250684810515199853e-03
2.496000000000000085e+01 2.250684810515199853e-03
2.496000000000000085e+01 2.250684810515199853e-03
2.560000000000000142e+01 2.250659320613320087e-03
2.560000000000000142e+01 2.250659320613320087e-03
2.560000000000000142e+01 2.250659320613320087e-03
2.623999999999999844e+01 2.250638734157970212e-03
2.623999999999999844e+01 2.250638734157970212e-03
2.623999999999999844e+01 2.250638734157970212e-03
2.687999999999999901e+01 2.250615472938089813e-03
2.687999999999999901e+01 2.250615472938089813e-03
2.687999999999999901e+01 2.250615472938089813e-03
2.751999999999999957e+01 2.250586026445719912e-03
2.751999999999999957e+01 2.250586026445719912e-03
2.751999999999999957e+01 2.250586026445719912e-03
2.816000000000000014e+01 2.250553565470919844e-03
2.816000000000000014e+01 2.250553565470919844e-03
2.816000000000000014e+01 2.250553565470919844e-03
2.880000000000000071e+01 2.250525335467969991e-03
2.880000000000000071e+01 2.250525335467969991e-03
2.880000000000000071e+01 2.250525335467969991e-03
2.944000000000000128e+01 2.250506710735200068e-03
2.944000000000000128e+01 2.250506710735200068e-03
2.944000000000000128e+01 2.250506710735200068e-03
3.007999999999999829e+01 2.250495803472700191e-03
3.007999999999999829e+01 2.250495803472700191e-03
3.007999999999999829e+01 2.250495803472700191e-03
3.071999999999999886e+01 2.250484385260779954e-03
3.071999999999999886e+01 2.250484385260779954e-03
3.071999999999999886e+01 2.250484385260779954e-03
3.135999999999999943e+01 2.250468947373769971e-03
3.135999999999999943e+01 2.250468947373769971e-03
3.135999999999999943e+01 2.250468947373769971e-03
3.200000000000000000e+01 2.250451419871949809e-03
3.200000000000000000e+01 2.250451419871949809e-03
3.200000000000000000e+01 2.250451419871949809e-03
3.264000000000000057e+01 2.250436998990040186e-03
3.264000000000000057e+01 2.250436998990040186e-03
3.264000000000000057e+01 2.250436998990040186e-03
3.328000000000000114e+01 2.250431343798760080e-03
3.328000000000000114e+01 2.250431343798760080e-03
3.328000000000000114e+01 2.250431343798760080e-03
3.392000000000000171e+01 2.250431863166999901e-03
3.392000000000000171e+01 2.250431863166999901e-03
