t rho
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
3.200000000000000067e-01 1.279960673612489915e-03
3.200000000000000067e-01 1.279960673612489915e-03
3.200000000000000067e-01 1.279960673612489915e-03
3.200000000000000067e-01 1.279960673612489915e-03
6.400000000000000133e-01 1.279886532738770026e-03
6.400000000000000133e-01 1.279886532738770026e-03
6.400000000000000133e-01 1.279886532738770026e-03
6.400000000000000133e-01 1.279886532738770026e-03
9.599999999999999645e-01 1.279913530810530007e-03
9.599999999999999645e-01 1.279913530810530007e-03
9.599999999999999645e-01 1.279913530810530007e-03
9.599999999999999645e-01 1.279913530810530007e-03
1.280000000000000027e+00 1.279965642480360025e-03
1.280000000000000027e+00 1.279965642480360025e-03
1.280000000000000027e+00 1.279965642480360025e-03
1.280000000000000027e+00 1.279965642480360025e-03
1.600000000000000089e+00 1.279985624688190042e-03
1.600000000000000089e+00 1.279985624688190042e-03
1.600000000000000089e+00 1.279985624688190042e-03
1.600000000000000089e+00 1.279985624688190042e-03
1.919999999999999929e+00 1.279976841539090093e-03
1.919999999999999929e+00 1.279976841539090093e-03
1.919999999999999929e+00 1.279976841539090093e-03
1.919999999999999929e+00 1.279976841539090093e-03
2.240000000000000213e+00 1.279962806181230003e-03
2.240000000000000213e+00 1.279962806181230003e-03
2.240000000000000213e+00 1.279962806181230003e-03
2.240000000000000213e+00 1.279962806181230003e-03
2.560000000000000053e+00 1.279959054560619912e-03
2.560000000000000053e+00 1.279959054560619912e-03
2.560000000000000053e+00 1.279959054560619912e-03
2.560000000000000053e+00 1.279959054560619912e-03
2.879999999999999893e+00 1.279963151729970015e-03
2.879999999999999893e+00 1.279963151729970015e-03
2.879999999999999893e+00 1.279963151729970015e-03
2.879999999999999893e+00 1.279963151729970015e-03
3.200000000000000178e+00 1.279970718436169996e-03
3.200000000000000178e+00 1.279970718436169996e-03
3.200000000000000178e+00 1.279970718436169996e-03
3.200000000000000178e+00 1.279970718436169996e-03
3.520000000000000018e+00 1.279977178710779966e-03
3.520000000000000018e+00 1.279977178710779966e-03
3.520000000000000018e+00 1.279977178710779966e-03
3.520000000000000018e+00 1.279977178710779966e-03
3.839999999999999858e+00 1.279980151579760035e-03
3.839999999999999858e+00 1.279980151579760035e-03
3.839999999999999858e+00 1.279980151579760035e-03
3.839999999999999858e+00 1.279980151579760035e-03
4.160000000000000142e+00 1.279983059362160098e-03
4.160000000000000142e+00 1.279983059362160098e-03
4.160000000000000142e+00 1.279983059362160098e-03
4.160000000000000142e+00 1.279983059362160098e-03
4.480000000000000426e+00 1.279985840281650010e-03
