t rho
3.200000000000000067e-01 2.000004974862989917e-03
3.200000000000000067e-01 2.000004974862989917e-03
3.200000000000000067e-01 2.000004974862989917e-03
6.400000000000000133e-01 2.000020173058079942e-03
6.400000000000000133e-01 2.000020173058079942e-03
6.400000000000000133e-01 2.000020173058079942e-03
9.599999999999999645e-01 2.000035811556070010e-03
9.599999999999999645e-01 2.000035811556070010e-03
9.599999999999999645e-01 2.000035811556070010e-03
1.280000000000000027e+00 2.000046707667309850e-03
1.280000000000000027e+00 2.000046707667309850e-03
1.280000000000000027e+00 2.000046707667309850e-03
1.600000000000000089e+00 2.000064379403729969e-03
1.600000000000000089e+00 2.000064379403729969e-03
1.600000000000000089e+00 2.000064379403729969e-03
1.919999999999999929e+00 2.000083077445720132e-03
1.919999999999999929e+00 2.000083077445720132e-03
1.919999999999999929e+00 2.000083077445720132e-03
2.240000000000000213e+00 2.000100976130959798e-03
2.240000000000000213e+00 2.000100976130959798e-03
2.240000000000000213e+00 2.000100976130959798e-03
2.560000000000000053e+00 2.000119151036130073e-03
2.560000000000000053e+00 2.000119151036130073e-03
2.560000000000000053e+00 2.000119151036130073e-03
2.879999999999999893e+00 2.000143530551480153e-03
2.879999999999999893e+00 2.000143530551480153e-03
2.879999999999999893e+00 2.000143530551480153e-03
3.200000000000000178e+00 2.000164209811190145e-03
3.200000000000000178e+00 2.000164209811190145e-03
3.200000000000000178e+00 2.000164209811190145e-03
3.520000000000000018e+00 2.000194115399239921e-03
3.520000000000000018e+00 2.000194115399239921e-03
3.520000000000000018e+00 2.000194115399239921e-03
3.839999999999999858e+00 2.000232488102100196e-03
3.839999999999999858e+00 2.000232488102100196e-03
3.839999999999999858e+00 2.000232488102100196e-03
4.160000000000000142e+00 2.000273717703860213e-03
4.160000000000000142e+00 2.000273717703860213e-03
4.160000000000000142e+00 2.000273717703860213e-03
4.480000000000000426e+00 2.000313363259080025e-03
4.480000000000000426e+00 2.000313363259080025e-03
4.480000000000000426e+00 2.000313363259080025e-03
4.799999999999999822e+00 2.000354548763190032e-03
4.799999999999999822e+00 2.000354548763190032e-03
4.799999999999999822e+00 2.000354548763190032e-03
5.120000000000000107e+00 2.000391369227460039e-03
5.120000000000000107e+00 2.000391369227460039e-03
5.120000000000000107e+00 2.000391369227460039e-03
5.440000000000000391e+00 2.000433929010540183e-03
5.440000000000000391e+00 2.000433929010540183e-03
5.440000000000000391e+00 2.000433929010540183e-03
5.759999999999999787e+00 2.000483191393760164e-03
5.759999999999999787e+00 2.000483191393760164e-03
5.759999999999999787e+00 2.000483191393760164e-03
6.080000000000000071e+00 2.000540333660429885e-03
6.080000000000000071e+00 2.000540333660429885e-03
6.080000000000000071e+00 2.000540333660429885e-03
6.400000000000000355e+00 2.000596230239759868e-03
6.400000000000000355e+00 2.000596230239759868e-03
6.400000000000000355e+00 2.000596230239759868e-03
6.719999999999999751e+00 2.000653398671370028e-03
6.719999999999999751e+00 2.000653398671370028e-03
6.719999999999999751e+00 2.000653398671370028e-03
7.040000000000000036e+00 2.000719319571739926e-03
7.040000000000000036e+00 2.000719319571739926e-03
7.040000000000000036e+00 2.000719319571739926e-03
7.360000000000000320e+00 2.000779615200939943e-03
7.360000000000000320e+00 2.000779615200939943e-03
7.360000000000000320e+00 2.000779615200939943e-03
7.679999999999999716e+00 2.000853517535310100e-03
7.679999999999999716e+00 2.000853517535310100e-03
7.679999999999999716e+00 2.000853517535310100e-03
8.000000000000000000e+00 2.000927059388870125e-03
8.000000000000000000e+00 2.000927059388870125e-03
8.000000000000000000e+00 2.000927059388870125e-03
8.320000000000000284e+00 2.001000197542859849e-03
8.320000000000000284e+00 2.001000197542859849e-03
8.320000000000000284e+00 2.001000197542859849e-03
8.640000000000000568e+00 2.001082009301840062e-03
8.640000000000000568e+00 2.001082009301840062e-03
8.640000000000000568e+00 2.001082009301840062e-03
8.960000000000000853e+00 2.001152665071039873e-03
8.960000000000000853e+00 2.001152665071039873e-03
8.960000000000000853e+00 2.001152665071039873e-03
9.279999999999999361e+00 2.001232174592419873e-03
9.279999999999999361e+00 2.001232174592419873e-03
9.279999999999999361e+00 2.001232174592419873e-03
9.599999999999999645e+00 2.001301656915979981e-03
9.599999999999999645e+00 2.001301656915979981e-03
9.599999999999999645e+00 2.001301656915979981e-03
9.919999999999999929e+00 2.001378952840159910e-03
9.919999999999999929e+00 2.001378952840159910e-03
9.919999999999999929e+00 2.001378952840159910e-03
1.024000000000000021e+01 2.001447616965499905e-03
1.024000000000000021e+01 2.001447616965499905e-03
1.024000000000000021e+01 2.001447616965499905e-03
1.056000000000000050e+01 2.001529761938100008e-03
1.056000000000000050e+01 2.001529761938100008e-03
1.056000000000000050e+01 2.001529761938100008e-03
1.088000000000000078e+01 2.001603894455499921e-03
1.088000000000000078e+01 2.001603894455499921e-03
1.088000000000000078e+01 2.001603894455499921e-03
1.119999999999999929e+01 2.001688347201250120e-03
1.119999999999999929e+01 2.001688347201250120e-03
1.119999999999999929e+01 2.001688347201250120e-03
1.151999999999999957e+01 2.001765422300630197e-03
1.151999999999999957e+01 2.001765422300630197e-03
1.151999999999999957e+01 2.001765422300630197e-03
1.183999999999999986e+01 2.001850205965720070e-03
1.183999999999999986e+01 2.001850205965720070e-03
1.183999999999999986e+01 2.001850205965720070e-03
1.216000000000000014e+01 2.001929144087059940e-03
1.216000000000000014e+01 2.001929144087059940e-03
1.216000000000000014e+01 2.001929144087059940e-03
1.248000000000000043e+01 2.002013820202650125e-03
1.248000000000000043e+01 2.002013820202650125e-03
1.248000000000000043e+01 2.002013820202650125e-03
1.280000000000000071e+01 2.002089750449880055e-03
1.280000000000000071e+01 2.002089750449880055e-03
1.280000000000000071e+01 2.002089750449880055e-03
1.311999999999999922e+01 2.002161282838350095e-03
1.311999999999999922e+01 2.002161282838350095e-03
1.311999999999999922e+01 2.002161282838350095e-03
1.343999999999999950e+01 2.002227590814649894e-03
1.343999999999999950e+01 2.002227590814649894e-03
1.343999999999999950e+01 2.002227590814649894e-03
1.375999999999999979e+01 2.002283811690680048e-03
1.375999999999999979e+01 2.002283811690680048e-03
1.375999999999999979e+01 2.002283811690680048e-03
1.408000000000000007e+01 2.002336707815660210e-03
1.408000000000000007e+01 2.002336707815660210e-03
1.408000000000000007e+01 2.002336707815660210e-03
1.440000000000000036e+01 2.002380613042510204e-03
1.440000000000000036e+01 2.002380613042510204e-03
1.440000000000000036e+01 2.002380613042510204e-03
1.472000000000000064e+01 2.002422114668320208e-03
1.472000000000000064e+01 2.002422114668320208e-03
1.472000000000000064e+01 2.002422114668320208e-03
1.503999999999999915e+01 2.002460915704819874e-03
1.503999999999999915e+01 2.002460915704819874e-03
1.503999999999999915e+01 2.002460915704819874e-03
1.535999999999999943e+01 2.002503966973680043e-03
1.535999999999999943e+01 2.002503966973680043e-03
1.535999999999999943e+01 2.002503966973680043e-03
1.567999999999999972e+01 2.002546586142859956e-03
1.567999999999999972e+01 2.002546586142859956e-03
1.567999999999999972e+01 2.002546586142859956e-03
1.600000000000000000e+01 2.002593414361859923e-03
1.600000000000000000e+01 2.002593414361859923e-03
1.600000000000000000e+01 2.002593414361859923e-03
1.632000000000000028e+01 2.002638159089660010e-03
1.632000000000000028e+01 2.002638159089660010e-03
1.632000000000000028e+01 2.002638159089660010e-03
1.664000000000000057e+01 2.002684059537969841e-03
1.664000000000000057e+01 2.002684059537969841e-03
1.664000000000000057e+01 2.002684059537969841e-03
1.696000000000000085e+01 2.002729423923640083e-03
1.696000000000000085e+01 2.002729423923640083e-03
1.696000000000000085e+01 2.002729423923640083e-03
1.728000000000000114e+01 2.002774218651309866e-03
1.728000000000000114e+01 2.002774218651309866e-03
1.728000000000000114e+01 2.002774218651309866e-03
1.760000000000000142e+01 2.002820057575269846e-03
1.760000000000000142e+01 2.002820057575269846e-03
1.760000000000000142e+01 2.002820057575269846e-03
1.792000000000000171e+01 2.002864139152979971e-03
1.792000000000000171e+01 2.002864139152979971e-03
1.792000000000000171e+01 2.002864139152979971e-03
1.823999999999999844e+01 2.002909680628479992e-03
1.823999999999999844e+01 2.002909680628479992e-03
1.823999999999999844e+01 2.002909680628479992e-03
1.855999999999999872e+01 2.002953210927529808e-03
1.855999999999999872e+01 2.002953210927529808e-03
1.855999999999999872e+01 2.002953210927529808e-03
1.887999999999999901e+01 2.002998793112100058e-03
1.887999999999999901e+01 2.002998793112100058e-03
1.887999999999999901e+01 2.002998793112100058e-03
1.919999999999999929e+01 2.003041994687339983e-03
1.919999999999999929e+01 2.003041994687339983e-03
1.919999999999999929e+01 2.003041994687339983e-03
1.951999999999999957e+01 2.003087753960449812e-03
1.951999999999999957e+01 2.003087753960449812e-03
1.951999999999999957e+01 2.003087753960449812e-03
1.983999999999999986e+01 2.003130780263490205e-03
1.983999999999999986e+01 2.003130780263490205e-03
1.983999999999999986e+01 2.003130780263490205e-03
2.016000000000000014e+01 2.003175929622450033e-03
2.016000000000000014e+01 2.003175929622450033e-03
2.016000000000000014e+01 2.003175929622450033e-03
2.048000000000000043e+01 2.003218791279450135e-03
2.048000000000000043e+01 2.003218791279450135e-03
2.048000000000000043e+01 2.003218791279450135e-03
2.080000000000000071e+01 2.003263163687150124e-03
2.080000000000000071e+01 2.003263163687150124e-03
2.080000000000000071e+01 2.003263163687150124e-03
2.112000000000000099e+01 2.003305526039419852e-03
