t rho
0.000000000000000000e+00 1.280000000000000105e-03
0.000000000000000000e+00 1.280000000000000105e-03
0.000000000000000000e+00 1.280000000000000105e-03
1.600000000000000033e-01 1.279911308278359984e-03
1.600000000000000033e-01 1.279911308278359984e-03
1.600000000000000033e-01 1.279911308278359984e-03
3.200000000000000067e-01 1.279833473117550097e-03
3.200000000000000067e-01 1.279833473117550097e-03
3.200000000000000067e-01 1.279833473117550097e-03
4.799999999999999822e-01 1.279780656039990021e-03
4.799999999999999822e-01 1.279780656039990021e-03
4.799999999999999822e-01 1.279780656039990021e-03
6.400000000000000133e-01 1.279759213291310066e-03
6.400000000000000133e-01 1.279759213291310066e-03
6.400000000000000133e-01 1.279759213291310066e-03
8.000000000000000444e-01 1.279765627047729911e-03
8.000000000000000444e-01 1.279765627047729911e-03
8.000000000000000444e-01 1.279765627047729911e-03
9.599999999999999645e-01 1.279786093608930057e-03
9.599999999999999645e-01 1.279786093608930057e-03
9.599999999999999645e-01 1.279786093608930057e-03
1.120000000000000107e+00 1.279814692094159972e-03
1.120000000000000107e+00 1.279814692094159972e-03
1.120000000000000107e+00 1.279814692094159972e-03
1.280000000000000027e+00 1.279838261927029918e-03
1.280000000000000027e+00 1.279838261927029918e-03
1.280000000000000027e+00 1.279838261927029918e-03
1.439999999999999947e+00 1.279851966707510084e-03
1.439999999999999947e+00 1.279851966707510084e-03
1.439999999999999947e+00 1.279851966707510084e-03
1.600000000000000089e+00 1.279858130797740081e-03
1.600000000000000089e+00 1.279858130797740081e-03
1.600000000000000089e+00 1.279858130797740081e-03
1.760000000000000009e+00 1.279856414710399924e-03
1.760000000000000009e+00 1.279856414710399924e-03
1.760000000000000009e+00 1.279856414710399924e-03
1.919999999999999929e+00 1.279849115041449895e-03
1.919999999999999929e+00 1.279849115041449895e-03
1.919999999999999929e+00 1.279849115041449895e-03
2.080000000000000071e+00 1.279842399666230018e-03
2.080000000000000071e+00 1.279842399666230018e-03
2.080000000000000071e+00 1.279842399666230018e-03
2.240000000000000213e+00 1.279835082567769896e-03
2.240000000000000213e+00 1.279835082567769896e-03
2.240000000000000213e+00 1.279835082567769896e-03
2.399999999999999911e+00 1.279832244700059973e-03
2.399999999999999911e+00 1.279832244700059973e-03
2.399999999999999911e+00 1.279832244700059973e-03
2.560000000000000053e+00 1.279831247729770012e-03
2.560000000000000053e+00 1.279831247729770012e-03
2.560000000000000053e+00 1.279831247729770012e-03
2.720000000000000195e+00 1.279832898300029909e-03
2.720000000000000195e+00 1.279832898300029909e-03
2.720000000000000195e+00 1.279832898300029909e-03
2.879999999999999893e+00 1.279835031167290103e-03
2.879999999999999893e+00 1.279835031167290103e-03
2.879999999999999893e+00 1.279835031167290103e-03
3.040000000000000036e+00 1.279839166306500102e-03
3.040000000000000036e+00 1.279839166306500102e-03
3.040000000000000036e+00 1.279839166306500102e-03
3.200000000000000178e+00 1.279842509171440039e-03
3.200000000000000178e+00 1.279842509171440039e-03
3.200000000000000178e+00 1.279842509171440039e-03
3.359999999999999876e+00 1.279844563302560013e-03
3.359999999999999876e+00 1.279844563302560013e-03
3.359999999999999876e+00 1.279844563302560013e-03
3.520000000000000018e+00 1.279849473624260041e-03
3.520000000000000018e+00 1.279849473624260041e-03
3.520000000000000018e+00 1.279849473624260041e-03
3.680000000000000160e+00 1.279847775115560034e-03
3.680000000000000160e+00 1.279847775115560034e-03
3.680000000000000160e+00 1.279847775115560034e-03
3.839999999999999858e+00 1.279852015998329991e-03
3.839999999999999858e+00 1.279852015998329991e-03
3.839999999999999858e+00 1.279852015998329991e-03
4.000000000000000000e+00 1.279852936028350041e-03
4.000000000000000000e+00 1.279852936028350041e-03
4.000000000000000000e+00 1.279852936028350041e-03
4.160000000000000142e+00 1.279854274226650043e-03
4.160000000000000142e+00 1.279854274226650043e-03
4.160000000000000142e+00 1.279854274226650043e-03
4.320000000000000284e+00 1.279855033657670066e-03
4.320000000000000284e+00 1.279855033657670066e-03
4.320000000000000284e+00 1.279855033657670066e-03
4.480000000000000426e+00 1.279857368773169900e-03
4.480000000000000426e+00 1.279857368773169900e-03
4.480000000000000426e+00 1.279857368773169900e-03
4.639999999999999680e+00 1.279856701802820074e-03
4.639999999999999680e+00 1.279856701802820074e-03
4.639999999999999680e+00 1.279856701802820074e-03
4.799999999999999822e+00 1.279859969933740040e-03
4.799999999999999822e+00 1.279859969933740040e-03
4.799999999999999822e+00 1.279859969933740040e-03
4.959999999999999964e+00 1.279859866366519919e-03
4.959999999999999964e+00 1.279859866366519919e-03
4.959999999999999964e+00 1.279859866366519919e-03
5.120000000000000107e+00 1.279861915508309980e-03
5.120000000000000107e+00 1.279861915508309980e-03
5.120000000000000107e+00 1.279861915508309980e-03
5.280000000000000249e+00 1.279864336701090101e-03
5.280000000000000249e+00 1.279864336701090101e-03
5.280000000000000249e+00 1.279864336701090101e-03
5.440000000000000391e+00 1.279866195436519995e-03
5.440000000000000391e+00 1.279866195436519995e-03
5.440000000000000391e+00 1.279866195436519995e-03
5.599999999999999645e+00 1.279867206811180014e-03
5.599999999999999645e+00 1.279867206811180014e-03
5.599999999999999645e+00 1.279867206811180014e-03
5.759999999999999787e+00 1.279871065579819920e-03
5.759999999999999787e+00 1.279871065579819920e-03
5.759999999999999787e+00 1.279871065579819920e-03
5.919999999999999929e+00 1.279871214339310106e-03
5.919999999999999929e+00 1.279871214339310106e-03
5.919999999999999929e+00 1.279871214339310106e-03
6.080000000000000071e+00 1.279875372100499915e-03
6.080000000000000071e+00 1.279875372100499915e-03
6.080000000000000071e+00 1.279875372100499915e-03
6.240000000000000213e+00 1.279876283100200070e-03
6.240000000000000213e+00 1.279876283100200070e-03
6.240000000000000213e+00 1.279876283100200070e-03
6.400000000000000355e+00 1.279879917176659967e-03
6.400000000000000355e+00 1.279879917176659967e-03
6.400000000000000355e+00 1.279879917176659967e-03
6.559999999999999609e+00 1.279881355326670071e-03
6.559999999999999609e+00 1.279881355326670071e-03
6.559999999999999609e+00 1.279881355326670071e-03
6.719999999999999751e+00 1.279883885857879995e-03
6.719999999999999751e+00 1.279883885857879995e-03
6.719999999999999751e+00 1.279883885857879995e-03
6.879999999999999893e+00 1.279885261701060048e-03
6.879999999999999893e+00 1.279885261701060048e-03
6.879999999999999893e+00 1.279885261701060048e-03
7.040000000000000036e+00 1.279887953637420068e-03
7.040000000000000036e+00 1.279887953637420068e-03
7.040000000000000036e+00 1.279887953637420068e-03
7.200000000000000178e+00 1.279889018305020026e-03
7.200000000000000178e+00 1.279889018305020026e-03
7.200000000000000178e+00 1.279889018305020026e-03
7.360000000000000320e+00 1.279890767733819984e-03
7.360000000000000320e+00 1.279890767733819984e-03
7.360000000000000320e+00 1.279890767733819984e-03
7.519999999999999574e+00 1.279892075015779968e-03
7.519999999999999574e+00 1.279892075015779968e-03
7.519999999999999574e+00 1.279892075015779968e-03
7.679999999999999716e+00 1.279893280682619988e-03
7.679999999999999716e+00 1.279893280682619988e-03
7.679999999999999716e+00 1.279893280682619988e-03
7.839999999999999858e+00 1.279894740818850012e-03
7.839999999999999858e+00 1.279894740818850012e-03
7.839999999999999858e+00 1.279894740818850012e-03
8.000000000000000000e+00 1.279896480859529914e-03
8.000000000000000000e+00 1.279896480859529914e-03
8.000000000000000000e+00 1.279896480859529914e-03
8.160000000000000142e+00 1.279898430141450036e-03
8.160000000000000142e+00 1.279898430141450036e-03
8.160000000000000142e+00 1.279898430141450036e-03
8.320000000000000284e+00 1.279900912466529900e-03
8.320000000000000284e+00 1.279900912466529900e-03
8.320000000000000284e+00 1.279900912466529900e-03
8.480000000000000426e+00 1.279902902764550043e-03
8.480000000000000426e+00 1.279902902764550043e-03
8.480000000000000426e+00 1.279902902764550043e-03
8.640000000000000568e+00 1.279905629166079931e-03
8.640000000000000568e+00 1.279905629166079931e-03
8.640000000000000568e+00 1.279905629166079931e-03
8.800000000000000711e+00 1.279907247825409983e-03
8.800000000000000711e+00 1.279907247825409983e-03
8.800000000000000711e+00 1.279907247825409983e-03
8.960000000000000853e+00 1.279909351505989978e-03
8.960000000000000853e+00 1.279909351505989978e-03
8.960000000000000853e+00 1.279909351505989978e-03
9.119999999999999218e+00 1.279910582447390003e-03
9.119999999999999218e+00 1.279910582447390003e-03
9.119999999999999218e+00 1.279910582447390003e-03
9.279999999999999361e+00 1.279912574472480023e-03
9.279999999999999361e+00 1.279912574472480023e-03
9.279999999999999361e+00 1.279912574472480023e-03
9.439999999999999503e+00 1.279913787187230041e-03
9.439999999999999503e+00 1.279913787187230041e-03
9.439999999999999503e+00 1.279913787187230041e-03
9.599999999999999645e+00 1.279915266854060076e-03
9.599999999999999645e+00 1.279915266854060076e-03
9.599999999999999645e+00 1.279915266854060076e-03
9.759999999999999787e+00 1.279916500196069977e-03
9.759999999999999787e+00 1.279916500196069977e-03
9.759999999999999787e+00 1.279916500196069977e-03
9.919999999999999929e+00 1.279917971032160052e-03
9.919999999999999929e+00 1.279917971032160052e-03
9.919999999999999929e+00 1.279917971032160052e-03
1.008000000000000007e+01 1.279919164189000091e-03
1.008000000000000007e+01 1.279919164189000091e-03
1.008000000000000007e+01 1.279919164189000091e-03
1.024000000000000021e+01 1.279920779475759909e-03
1.024000000000000021e+01 1.279920779475759909e-03
1.024000000000000021e+01 1.279920779475759909e-03
1.040000000000000036e+01 1.279921981012709922e-03
1.040000000000000036e+01 1.279921981012709922e-03
1.040000000000000036e+01 1.279921981012709922e-03
1.056000000000000050e+01 1.279923584399539913e-03
1.056000000000000050e+01 1.279923584399539913e-03
1.056000000000000050e+01 1.279923584399539913e-03
1.072000000000000064e+01 1.279924912903069971e-03
1.072000000000000064e+01 1.279924912903069971e-03
1.072000000000000064e+01 1.279924912903069971e-03
1.088000000000000078e+01 1.279926750016029992e-03
1.088000000000000078e+01 1.279926750016029992e-03
1.088000000000000078e+01 1.279926750016029992e-03
1.103999999999999915e+01 1.279928163319329903e-03
1.103999999999999915e+01 1.279928163319329903e-03
1.103999999999999915e+01 1.279928163319329903e-03
1.119999999999999929e+01 1.279930439960419962e-03
1.119999999999999929e+01 1.279930439960419962e-03
1.119999999999999929e+01 1.279930439960419962e-03
1.135999999999999943e+01 1.279932358539000040e-03
1.135999999999999943e+01 1.279932358539000040e-03
1.135999999999999943e+01 1.279932358539000040e-03
1.151999999999999957e+01 1.279934915108390039e-03
1.151999999999999957e+01 1.279934915108390039e-03
1.151999999999999957e+01 1.279934915108390039e-03
