t rho
0.000000000000000000e+00 1.240000000000000000e-03
0.000000000000000000e+00 1.240000000000000000e-03
0.000000000000000000e+00 1.240000000000000000e-03
1.600000000000000033e-01 1.239930365786379900e-03
1.600000000000000033e-01 1.239930365786379900e-03
1.600000000000000033e-01 1.239930365786379900e-03
3.200000000000000067e-01 1.239899252021840065e-03
3.200000000000000067e-01 1.239899252021840065e-03
3.200000000000000067e-01 1.239899252021840065e-03
4.799999999999999822e-01 1.239919832333070005e-03
4.799999999999999822e-01 1.239919832333070005e-03
4.799999999999999822e-01 1.239919832333070005e-03
6.400000000000000133e-01 1.239998420243899977e-03
6.400000000000000133e-01 1.239998420243899977e-03
6.400000000000000133e-01 1.239998420243899977e-03
8.000000000000000444e-01 1.240133222004960022e-03
8.000000000000000444e-01 1.240133222004960022e-03
8.000000000000000444e-01 1.240133222004960022e-03
9.599999999999999645e-01 1.240310134286890095e-03
9.599999999999999645e-01 1.240310134286890095e-03
9.599999999999999645e-01 1.240310134286890095e-03
1.120000000000000107e+00 1.240521140511789992e-03
1.120000000000000107e+00 1.240521140511789992e-03
1.120000000000000107e+00 1.240521140511789992e-03
1.280000000000000027e+00 1.240757579928490097e-03
1.280000000000000027e+00 1.240757579928490097e-03
1.280000000000000027e+00 1.240757579928490097e-03
1.439999999999999947e+00 1.241014323152739946e-03
1.439999999999999947e+00 1.241014323152739946e-03
1.439999999999999947e+00 1.241014323152739946e-03
1.600000000000000089e+00 1.241292783545870073e-03
1.600000000000000089e+00 1.241292783545870073e-03
1.600000000000000089e+00 1.241292783545870073e-03
1.760000000000000009e+00 1.241594480429300019e-03
1.760000000000000009e+00 1.241594480429300019e-03
1.760000000000000009e+00 1.241594480429300019e-03
1.919999999999999929e+00 1.241919653300160029e-03
1.919999999999999929e+00 1.241919653300160029e-03
1.919999999999999929e+00 1.241919653300160029e-03
2.080000000000000071e+00 1.242274740493539992e-03
2.080000000000000071e+00 1.242274740493539992e-03
2.080000000000000071e+00 1.242274740493539992e-03
2.240000000000000213e+00 1.242659483893000013e-03
2.240000000000000213e+00 1.242659483893000013e-03
2.240000000000000213e+00 1.242659483893000013e-03
2.399999999999999911e+00 1.243075245601820084e-03
2.399999999999999911e+00 1.243075245601820084e-03
2.399999999999999911e+00 1.243075245601820084e-03
2.560000000000000053e+00 1.243514412868359977e-03
2.560000000000000053e+00 1.243514412868359977e-03
2.560000000000000053e+00 1.243514412868359977e-03
2.720000000000000195e+00 1.243971259634070068e-03
2.720000000000000195e+00 1.243971259634070068e-03
2.720000000000000195e+00 1.243971259634070068e-03
2.879999999999999893e+00 1.244454248935170093e-03
2.879999999999999893e+00 1.244454248935170093e-03
2.879999999999999893e+00 1.244454248935170093e-03
3.040000000000000036e+00 1.244967653367880017e-03
3.040000000000000036e+00 1.244967653367880017e-03
3.040000000000000036e+00 1.244967653367880017e-03
3.200000000000000178e+00 1.245518475573580012e-03
3.200000000000000178e+00 1.245518475573580012e-03
3.200000000000000178e+00 1.245518475573580012e-03
3.359999999999999876e+00 1.246108144765570086e-03
