t rho
3.200000000000000067e-01 2.000005401177379957e-03
3.200000000000000067e-01 2.000005401177379957e-03
3.200000000000000067e-01 2.000005401177379957e-03
6.400000000000000133e-01 2.000012153629110098e-03
6.400000000000000133e-01 2.000012153629110098e-03
6.400000000000000133e-01 2.000012153629110098e-03
9.599999999999999645e-01 2.000029607971669926e-03
9.599999999999999645e-01 2.000029607971669926e-03
9.599999999999999645e-01 2.000029607971669926e-03
1.280000000000000027e+00 2.000049508580079797e-03
1.280000000000000027e+00 2.000049508580079797e-03
1.280000000000000027e+00 2.000049508580079797e-03
1.600000000000000089e+00 2.000078237753510207e-03
1.600000000000000089e+00 2.000078237753510207e-03
1.600000000000000089e+00 2.000078237753510207e-03
1.919999999999999929e+00 2.000113555664389912e-03
1.919999999999999929e+00 2.000113555664389912e-03
1.919999999999999929e+00 2.000113555664389912e-03
2.240000000000000213e+00 2.000150696041739888e-03
2.240000000000000213e+00 2.000150696041739888e-03
2.240000000000000213e+00 2.000150696041739888e-03
2.560000000000000053e+00 2.000196050794769958e-03
2.560000000000000053e+00 2.000196050794769958e-03
2.560000000000000053e+00 2.000196050794769958e-03
2.879999999999999893e+00 2.000241016954010069e-03
2.879999999999999893e+00 2.000241016954010069e-03
2.879999999999999893e+00 2.000241016954010069e-03
3.200000000000000178e+00 2.000289122310389828e-03
3.200000000000000178e+00 2.000289122310389828e-03
3.200000000000000178e+00 2.000289122310389828e-03
3.520000000000000018e+00 2.000342364338930125e-03
3.520000000000000018e+00 2.000342364338930125e-03
3.520000000000000018e+00 2.000342364338930125e-03
3.839999999999999858e+00 2.000394873323849826e-03
3.839999999999999858e+00 2.000394873323849826e-03
3.839999999999999858e+00 2.000394873323849826e-03
4.160000000000000142e+00 2.000454127981189916e-03
4.160000000000000142e+00 2.000454127981189916e-03
4.160000000000000142e+00 2.000454127981189916e-03
4.480000000000000426e+00 2.000513488503280132e-03
4.480000000000000426e+00 2.000513488503280132e-03
4.480000000000000426e+00 2.000513488503280132e-03
4.799999999999999822e+00 2.000579940937349897e-03
4.799999999999999822e+00 2.000579940937349897e-03
4.799999999999999822e+00 2.000579940937349897e-03
5.120000000000000107e+00 2.000648136446210069e-03
5.120000000000000107e+00 2.000648136446210069e-03
5.120000000000000107e+00 2.000648136446210069e-03
5.440000000000000391e+00 2.000723515164230110e-03
5.440000000000000391e+00 2.000723515164230110e-03
5.440000000000000391e+00 2.000723515164230110e-03
5.759999999999999787e+00 2.000799875285490075e-03
5.759999999999999787e+00 2.000799875285490075e-03
5.759999999999999787e+00 2.000799875285490075e-03
6.080000000000000071e+00 2.000882121573710135e-03
6.080000000000000071e+00 2.000882121573710135e-03
6.080000000000000071e+00 2.000882121573710135e-03
6.400000000000000355e+00 2.000965100235640049e-03
6.400000000000000355e+00 2.000965100235640049e-03
6.400000000000000355e+00 2.000965100235640049e-03
6.719999999999999751e+00 2.001051335721699791e-03
6.719999999999999751e+00 2.001051335721699791e-03
6.719999999999999751e+00 2.001051335721699791e-03
7.040000000000000036e+00 2.001135731022969828e-03
7.040000000000000036e+00 2.001135731022969828e-03
7.040000000000000036e+00 2.001135731022969828e-03
7.360000000000000320e+00 2.001224668242020110e-03
7.360000000000000320e+00 2.001224668242020110e-03
7.360000000000000320e+00 2.001224668242020110e-03
7.679999999999999716e+00 2.001308056485990184e-03
7.679999999999999716e+00 2.001308056485990184e-03
7.679999999999999716e+00 2.001308056485990184e-03
8.000000000000000000e+00 2.001396653975470036e-03
8.000000000000000000e+00 2.001396653975470036e-03
8.000000000000000000e+00 2.001396653975470036e-03
8.320000000000000284e+00 2.001480973975120099e-03
8.320000000000000284e+00 2.001480973975120099e-03
8.320000000000000284e+00 2.001480973975120099e-03
8.640000000000000568e+00 2.001569828011499994e-03
8.640000000000000568e+00 2.001569828011499994e-03
8.640000000000000568e+00 2.001569828011499994e-03
8.960000000000000853e+00 2.001657585425190098e-03
8.960000000000000853e+00 2.001657585425190098e-03
8.960000000000000853e+00 2.001657585425190098e-03
9.279999999999999361e+00 2.001749163280159942e-03
9.279999999999999361e+00 2.001749163280159942e-03
9.279999999999999361e+00 2.001749163280159942e-03
9.599999999999999645e+00 2.001841147392990038e-03
9.599999999999999645e+00 2.001841147392990038e-03
9.599999999999999645e+00 2.001841147392990038e-03
9.919999999999999929e+00 2.001936081790509862e-03
9.919999999999999929e+00 2.001936081790509862e-03
9.919999999999999929e+00 2.001936081790509862e-03
1.024000000000000021e+01 2.002032401149099992e-03
1.024000000000000021e+01 2.002032401149099992e-03
1.024000000000000021e+01 2.002032401149099992e-03
1.056000000000000050e+01 2.002128537160250028e-03
1.056000000000000050e+01 2.002128537160250028e-03
1.056000000000000050e+01 2.002128537160250028e-03
1.088000000000000078e+01 2.002225873416620117e-03
1.088000000000000078e+01 2.002225873416620117e-03
1.088000000000000078e+01 2.002225873416620117e-03
1.119999999999999929e+01 2.002320572609230138e-03
1.119999999999999929e+01 2.002320572609230138e-03
1.119999999999999929e+01 2.002320572609230138e-03
