t rho
9.599999999999999645e-01 2.071081810757320011e-03
9.599999999999999645e-01 2.071081810757320011e-03
9.599999999999999645e-01 2.071081810757320011e-03
9.599999999999999645e-01 2.071081810757320011e-03
9.599999999999999645e-01 2.071081810757320011e-03
1.919999999999999929e+00 2.071086346558100120e-03
1.919999999999999929e+00 2.071086346558100120e-03
1.919999999999999929e+00 2.071086346558100120e-03
1.919999999999999929e+00 2.071086346558100120e-03
1.919999999999999929e+00 2.071086346558100120e-03
2.879999999999999893e+00 2.071090892254160137e-03
2.879999999999999893e+00 2.071090892254160137e-03
2.879999999999999893e+00 2.071090892254160137e-03
2.879999999999999893e+00 2.071090892254160137e-03
2.879999999999999893e+00 2.071090892254160137e-03
3.839999999999999858e+00 2.071078051661190151e-03
3.839999999999999858e+00 2.071078051661190151e-03
3.839999999999999858e+00 2.071078051661190151e-03
3.839999999999999858e+00 2.071078051661190151e-03
3.839999999999999858e+00 2.071078051661190151e-03
4.799999999999999822e+00 2.071071987089940017e-03
4.799999999999999822e+00 2.071071987089940017e-03
4.799999999999999822e+00 2.071071987089940017e-03
4.799999999999999822e+00 2.071071987089940017e-03
4.799999999999999822e+00 2.071071987089940017e-03
5.759999999999999787e+00 2.071054099106460142e-03
5.759999999999999787e+00 2.071054099106460142e-03
5.759999999999999787e+00 2.071054099106460142e-03
5.759999999999999787e+00 2.071054099106460142e-03
5.759999999999999787e+00 2.071054099106460142e-03
6.719999999999999751e+00 2.071039445740289944e-03
6.719999999999999751e+00 2.071039445740289944e-03
6.719999999999999751e+00 2.071039445740289944e-03
6.719999999999999751e+00 2.071039445740289944e-03
6.719999999999999751e+00 2.071039445740289944e-03
7.679999999999999716e+00 2.071053618097069837e-03
7.679999999999999716e+00 2.071053618097069837e-03
7.679999999999999716e+00 2.071053618097069837e-03
7.679999999999999716e+00 2.071053618097069837e-03
7.679999999999999716e+00 2.071053618097069837e-03
8.640000000000000568e+00 2.071023751796709916e-03
8.640000000000000568e+00 2.071023751796709916e-03
8.640000000000000568e+00 2.071023751796709916e-03
8.640000000000000568e+00 2.071023751796709916e-03
8.640000000000000568e+00 2.071023751796709916e-03
9.599999999999999645e+00 2.071015102898060133e-03
9.599999999999999645e+00 2.071015102898060133e-03
9.599999999999999645e+00 2.071015102898060133e-03
9.599999999999999645e+00 2.071015102898060133e-03
9.599999999999999645e+00 2.071015102898060133e-03
1.056000000000000050e+01 2.071021236692960083e-03
1.056000000000000050e+01 2.071021236692960083e-03
1.056000000000000050e+01 2.071021236692960083e-03
1.056000000000000050e+01 2.071021236692960083e-03
