t rho
5.999999999999999778e-01 2.071076809221290057e-03
5.999999999999999778e-01 2.071076809221290057e-03
5.999999999999999778e-01 2.071076809221290057e-03
5.999999999999999778e-01 2.071076809221290057e-03
5.999999999999999778e-01 2.071076809221290057e-03
1.199999999999999956e+00 2.071087314661480133e-03
1.199999999999999956e+00 2.071087314661480133e-03
1.199999999999999956e+00 2.071087314661480133e-03
1.199999999999999956e+00 2.071087314661480133e-03
1.199999999999999956e+00 2.071087314661480133e-03
1.800000000000000044e+00 2.071088570836549913e-03
1.800000000000000044e+00 2.071088570836549913e-03
1.800000000000000044e+00 2.071088570836549913e-03
1.800000000000000044e+00 2.071088570836549913e-03
1.800000000000000044e+00 2.071088570836549913e-03
2.399999999999999911e+00 2.071079950359669842e-03
2.399999999999999911e+00 2.071079950359669842e-03
2.399999999999999911e+00 2.071079950359669842e-03
2.399999999999999911e+00 2.071079950359669842e-03
2.399999999999999911e+00 2.071079950359669842e-03
3.000000000000000000e+00 2.071080182897920216e-03
3.000000000000000000e+00 2.071080182897920216e-03
3.000000000000000000e+00 2.071080182897920216e-03
3.000000000000000000e+00 2.071080182897920216e-03
3.000000000000000000e+00 2.071080182897920216e-03
3.600000000000000089e+00 2.071062549888150021e-03
3.600000000000000089e+00 2.071062549888150021e-03
3.600000000000000089e+00 2.071062549888150021e-03
3.600000000000000089e+00 2.071062549888150021e-03
3.600000000000000089e+00 2.071062549888150021e-03
4.200000000000000178e+00 2.071076433596470180e-03
4.200000000000000178e+00 2.071076433596470180e-03
4.200000000000000178e+00 2.071076433596470180e-03
4.200000000000000178e+00 2.071076433596470180e-03
4.200000000000000178e+00 2.071076433596470180e-03
4.799999999999999822e+00 2.071072192658519971e-03
4.799999999999999822e+00 2.071072192658519971e-03
4.799999999999999822e+00 2.071072192658519971e-03
4.799999999999999822e+00 2.071072192658519971e-03
4.799999999999999822e+00 2.071072192658519971e-03
5.400000000000000355e+00 2.071057516108630071e-03
5.400000000000000355e+00 2.071057516108630071e-03
5.400000000000000355e+00 2.071057516108630071e-03
5.400000000000000355e+00 2.071057516108630071e-03
5.400000000000000355e+00 2.071057516108630071e-03
6.000000000000000000e+00 2.071034603271969948e-03
6.000000000000000000e+00 2.071034603271969948e-03
6.000000000000000000e+00 2.071034603271969948e-03
6.000000000000000000e+00 2.071034603271969948e-03
6.000000000000000000e+00 2.071034603271969948e-03
6.599999999999999645e+00 2.071038686509069950e-03
6.599999999999999645e+00 2.071038686509069950e-03
6.599999999999999645e+00 2.071038686509069950e-03
6.599999999999999645e+00 2.071038686509069950e-03
6.599999999999999645e+00 2.071038686509069950e-03
7.200000000000000178e+00 2.071035764373140020e-03
7.200000000000000178e+00 2.071035764373140020e-03
7.200000000000000178e+00 2.071035764373140020e-03
7.200000000000000178e+00 2.071035764373140020e-03
7.200000000000000178e+00 2.071035764373140020e-03
7.799999999999999822e+00 2.071054607886640021e-03
7.799999999999999822e+00 2.071054607886640021e-03
7.799999999999999822e+00 2.071054607886640021e-03
7.799999999999999822e+00 2.071054607886640021e-03
7.799999999999999822e+00 2.071054607886640021e-03
8.400000000000000355e+00 2.071037068112199873e-03
8.400000000000000355e+00 2.071037068112199873e-03
8.400000000000000355e+00 2.071037068112199873e-03
8.400000000000000355e+00 2.071037068112199873e-03
8.400000000000000355e+00 2.071037068112199873e-03
9.000000000000000000e+00 2.071021021446020020e-03
9.000000000000000000e+00 2.071021021446020020e-03
9.000000000000000000e+00 2.071021021446020020e-03
9.000000000000000000e+00 2.071021021446020020e-03
9.000000000000000000e+00 2.071021021446020020e-03
9.599999999999999645e+00 2.071014390780319923e-03
9.599999999999999645e+00 2.071014390780319923e-03
9.599999999999999645e+00 2.071014390780319923e-03
9.599999999999999645e+00 2.071014390780319923e-03
9.599999999999999645e+00 2.071014390780319923e-03
1.019999999999999929e+01 2.071013697478189808e-03
1.019999999999999929e+01 2.071013697478189808e-03
1.019999999999999929e+01 2.071013697478189808e-03
1.019999999999999929e+01 2.071013697478189808e-03
1.019999999999999929e+01 2.071013697478189808e-03
1.080000000000000071e+01 2.071022095948749867e-03
1.080000000000000071e+01 2.071022095948749867e-03
1.080000000000000071e+01 2.071022095948749867e-03
1.080000000000000071e+01 2.071022095948749867e-03
1.080000000000000071e+01 2.071022095948749867e-03
1.140000000000000036e+01 2.071027451242960123e-03
1.140000000000000036e+01 2.071027451242960123e-03
1.140000000000000036e+01 2.071027451242960123e-03
1.140000000000000036e+01 2.071027451242960123e-03
1.140000000000000036e+01 2.071027451242960123e-03
1.200000000000000000e+01 2.071035383855719929e-03
1.200000000000000000e+01 2.071035383855719929e-03
1.200000000000000000e+01 2.071035383855719929e-03
1.200000000000000000e+01 2.071035383855719929e-03
1.200000000000000000e+01 2.071035383855719929e-03
1.259999999999999964e+01 2.071041981779119835e-03
1.259999999999999964e+01 2.071041981779119835e-03
1.259999999999999964e+01 2.071041981779119835e-03
1.259999999999999964e+01 2.071041981779119835e-03
1.259999999999999964e+01 2.071041981779119835e-03
1.319999999999999929e+01 2.071052471230839815e-03
1.319999999999999929e+01 2.071052471230839815e-03
1.319999999999999929e+01 2.071052471230839815e-03
1.319999999999999929e+01 2.071052471230839815e-03
1.319999999999999929e+01 2.071052471230839815e-03
1.380000000000000071e+01 2.071054615543930187e-03
1.380000000000000071e+01 2.071054615543930187e-03
1.380000000000000071e+01 2.071054615543930187e-03
1.380000000000000071e+01 2.071054615543930187e-03
1.380000000000000071e+01 2.071054615543930187e-03
1.440000000000000036e+01 2.071055918303759888e-03
1.440000000000000036e+01 2.071055918303759888e-03
1.440000000000000036e+01 2.071055918303759888e-03
1.440000000000000036e+01 2.071055918303759888e-03
1.440000000000000036e+01 2.071055918303759888e-03
1.500000000000000000e+01 2.071065435794090023e-03
1.500000000000000000e+01 2.071065435794090023e-03
1.500000000000000000e+01 2.071065435794090023e-03
1.500000000000000000e+01 2.071065435794090023e-03
1.500000000000000000e+01 2.071065435794090023e-03
1.559999999999999964e+01 2.071074877544779903e-03
