t rho
9.599999999999999645e-01 2.071081717703000119e-03
9.599999999999999645e-01 2.071081717703000119e-03
9.599999999999999645e-01 2.071081717703000119e-03
9.599999999999999645e-01 2.071081717703000119e-03
9.599999999999999645e-01 2.071081717703000119e-03
1.919999999999999929e+00 2.071085135273480204e-03
1.919999999999999929e+00 2.071085135273480204e-03
1.919999999999999929e+00 2.071085135273480204e-03
1.919999999999999929e+00 2.071085135273480204e-03
1.919999999999999929e+00 2.071085135273480204e-03
2.879999999999999893e+00 2.071088215344229870e-03
2.879999999999999893e+00 2.071088215344229870e-03
2.879999999999999893e+00 2.071088215344229870e-03
2.879999999999999893e+00 2.071088215344229870e-03
2.879999999999999893e+00 2.071088215344229870e-03
3.839999999999999858e+00 2.071075523955430171e-03
3.839999999999999858e+00 2.071075523955430171e-03
3.839999999999999858e+00 2.071075523955430171e-03
3.839999999999999858e+00 2.071075523955430171e-03
3.839999999999999858e+00 2.071075523955430171e-03
4.799999999999999822e+00 2.071070804953039930e-03
4.799999999999999822e+00 2.071070804953039930e-03
4.799999999999999822e+00 2.071070804953039930e-03
4.799999999999999822e+00 2.071070804953039930e-03
4.799999999999999822e+00 2.071070804953039930e-03
5.759999999999999787e+00 2.071050730957070107e-03
5.759999999999999787e+00 2.071050730957070107e-03
5.759999999999999787e+00 2.071050730957070107e-03
5.759999999999999787e+00 2.071050730957070107e-03
5.759999999999999787e+00 2.071050730957070107e-03
6.719999999999999751e+00 2.071036168796900126e-03
6.719999999999999751e+00 2.071036168796900126e-03
6.719999999999999751e+00 2.071036168796900126e-03
6.719999999999999751e+00 2.071036168796900126e-03
6.719999999999999751e+00 2.071036168796900126e-03
7.679999999999999716e+00 2.071053449407870076e-03
7.679999999999999716e+00 2.071053449407870076e-03
7.679999999999999716e+00 2.071053449407870076e-03
7.679999999999999716e+00 2.071053449407870076e-03
7.679999999999999716e+00 2.071053449407870076e-03
8.640000000000000568e+00 2.071027348632450190e-03
8.640000000000000568e+00 2.071027348632450190e-03
8.640000000000000568e+00 2.071027348632450190e-03
8.640000000000000568e+00 2.071027348632450190e-03
8.640000000000000568e+00 2.071027348632450190e-03
9.599999999999999645e+00 2.071014410157750139e-03
9.599999999999999645e+00 2.071014410157750139e-03
9.599999999999999645e+00 2.071014410157750139e-03
9.599999999999999645e+00 2.071014410157750139e-03
9.599999999999999645e+00 2.071014410157750139e-03
1.056000000000000050e+01 2.071019950480419963e-03
1.056000000000000050e+01 2.071019950480419963e-03
1.056000000000000050e+01 2.071019950480419963e-03
1.056000000000000050e+01 2.071019950480419963e-03
1.056000000000000050e+01 2.071019950480419963e-03
1.151999999999999957e+01 2.071027616010059826e-03
1.151999999999999957e+01 2.071027616010059826e-03
1.151999999999999957e+01 2.071027616010059826e-03
1.151999999999999957e+01 2.071027616010059826e-03
1.151999999999999957e+01 2.071027616010059826e-03
1.248000000000000043e+01 2.071041258206519995e-03
1.248000000000000043e+01 2.071041258206519995e-03
1.248000000000000043e+01 2.071041258206519995e-03
1.248000000000000043e+01 2.071041258206519995e-03
1.248000000000000043e+01 2.071041258206519995e-03
1.343999999999999950e+01 2.071055373907340017e-03
1.343999999999999950e+01 2.071055373907340017e-03
1.343999999999999950e+01 2.071055373907340017e-03
1.343999999999999950e+01 2.071055373907340017e-03
1.343999999999999950e+01 2.071055373907340017e-03
1.440000000000000036e+01 2.071055318724659977e-03
1.440000000000000036e+01 2.071055318724659977e-03
1.440000000000000036e+01 2.071055318724659977e-03
1.440000000000000036e+01 2.071055318724659977e-03
1.440000000000000036e+01 2.071055318724659977e-03
1.535999999999999943e+01 2.071070855360870183e-03
1.535999999999999943e+01 2.071070855360870183e-03
1.535999999999999943e+01 2.071070855360870183e-03
1.535999999999999943e+01 2.071070855360870183e-03
1.535999999999999943e+01 2.071070855360870183e-03
1.632000000000000028e+01 2.071079196152079797e-03
1.632000000000000028e+01 2.071079196152079797e-03
1.632000000000000028e+01 2.071079196152079797e-03
1.632000000000000028e+01 2.071079196152079797e-03
1.632000000000000028e+01 2.071079196152079797e-03
1.728000000000000114e+01 2.071065226290449892e-03
1.728000000000000114e+01 2.071065226290449892e-03
1.728000000000000114e+01 2.071065226290449892e-03
1.728000000000000114e+01 2.071065226290449892e-03
1.728000000000000114e+01 2.071065226290449892e-03
1.823999999999999844e+01 2.071052741662509928e-03
1.823999999999999844e+01 2.071052741662509928e-03
1.823999999999999844e+01 2.071052741662509928e-03
1.823999999999999844e+01 2.071052741662509928e-03
1.823999999999999844e+01 2.071052741662509928e-03
1.919999999999999929e+01 2.071032154699380037e-03
1.919999999999999929e+01 2.071032154699380037e-03
1.919999999999999929e+01 2.071032154699380037e-03
1.919999999999999929e+01 2.071032154699380037e-03
1.919999999999999929e+01 2.071032154699380037e-03
2.016000000000000014e+01 2.071011461136109972e-03
2.016000000000000014e+01 2.071011461136109972e-03
2.016000000000000014e+01 2.071011461136109972e-03
2.016000000000000014e+01 2.071011461136109972e-03
2.016000000000000014e+01 2.071011461136109972e-03
2.112000000000000099e+01 2.070972973377670050e-03
2.112000000000000099e+01 2.070972973377670050e-03
2.112000000000000099e+01 2.070972973377670050e-03
2.112000000000000099e+01 2.070972973377670050e-03
2.112000000000000099e+01 2.070972973377670050e-03
2.207999999999999829e+01 2.070933291771339790e-03
2.207999999999999829e+01 2.070933291771339790e-03
2.207999999999999829e+01 2.070933291771339790e-03
2.207999999999999829e+01 2.070933291771339790e-03
2.207999999999999829e+01 2.070933291771339790e-03
2.303999999999999915e+01 2.070897219739640041e-03
2.303999999999999915e+01 2.070897219739640041e-03
2.303999999999999915e+01 2.070897219739640041e-03
2.303999999999999915e+01 2.070897219739640041e-03
2.303999999999999915e+01 2.070897219739640041e-03
2.400000000000000000e+01 2.070846125618590067e-03
2.400000000000000000e+01 2.070846125618590067e-03
2.400000000000000000e+01 2.070846125618590067e-03
2.400000000000000000e+01 2.070846125618590067e-03
2.400000000000000000e+01 2.070846125618590067e-03
2.496000000000000085e+01 2.070794413069869909e-03
2.496000000000000085e+01 2.070794413069869909e-03
2.496000000000000085e+01 2.070794413069869909e-03
2.496000000000000085e+01 2.070794413069869909e-03
2.496000000000000085e+01 2.070794413069869909e-03
2.592000000000000171e+01 2.070738272072950026e-03
2.592000000000000171e+01 2.070738272072950026e-03
