t rho
9.599999999999999645e-01 2.071081810757329986e-03
9.599999999999999645e-01 2.071081810757329986e-03
9.599999999999999645e-01 2.071081810757329986e-03
9.599999999999999645e-01 2.071081810757329986e-03
9.599999999999999645e-01 2.071081810757329986e-03
1.919999999999999929e+00 2.071086346558100120e-03
1.919999999999999929e+00 2.071086346558100120e-03
1.919999999999999929e+00 2.071086346558100120e-03
1.919999999999999929e+00 2.071086346558100120e-03
1.919999999999999929e+00 2.071086346558100120e-03
2.879999999999999893e+00 2.071090892254170111e-03
2.879999999999999893e+00 2.071090892254170111e-03
2.879999999999999893e+00 2.071090892254170111e-03
2.879999999999999893e+00 2.071090892254170111e-03
2.879999999999999893e+00 2.071090892254170111e-03
3.839999999999999858e+00 2.071078051661210100e-03
3.839999999999999858e+00 2.071078051661210100e-03
3.839999999999999858e+00 2.071078051661210100e-03
3.839999999999999858e+00 2.071078051661210100e-03
3.839999999999999858e+00 2.071078051661210100e-03
4.799999999999999822e+00 2.071071987089940017e-03
4.799999999999999822e+00 2.071071987089940017e-03
4.799999999999999822e+00 2.071071987089940017e-03
4.799999999999999822e+00 2.071071987089940017e-03
4.799999999999999822e+00 2.071071987089940017e-03
5.759999999999999787e+00 2.071054099106589812e-03
5.759999999999999787e+00 2.071054099106589812e-03
5.759999999999999787e+00 2.071054099106589812e-03
5.759999999999999787e+00 2.071054099106589812e-03
5.759999999999999787e+00 2.071054099106589812e-03
6.719999999999999751e+00 2.071039445973530020e-03
6.719999999999999751e+00 2.071039445973530020e-03
6.719999999999999751e+00 2.071039445973530020e-03
6.719999999999999751e+00 2.071039445973530020e-03
6.719999999999999751e+00 2.071039445973530020e-03
7.679999999999999716e+00 2.071053632450749974e-03
7.679999999999999716e+00 2.071053632450749974e-03
7.679999999999999716e+00 2.071053632450749974e-03
7.679999999999999716e+00 2.071053632450749974e-03
7.679999999999999716e+00 2.071053632450749974e-03
8.640000000000000568e+00 2.071023685406210048e-03
8.640000000000000568e+00 2.071023685406210048e-03
8.640000000000000568e+00 2.071023685406210048e-03
8.640000000000000568e+00 2.071023685406210048e-03
8.640000000000000568e+00 2.071023685406210048e-03
9.599999999999999645e+00 2.071015106348769903e-03
9.599999999999999645e+00 2.071015106348769903e-03
9.599999999999999645e+00 2.071015106348769903e-03
9.599999999999999645e+00 2.071015106348769903e-03
9.599999999999999645e+00 2.071015106348769903e-03
1.056000000000000050e+01 2.071021243276639865e-03
1.056000000000000050e+01 2.071021243276639865e-03
1.056000000000000050e+01 2.071021243276639865e-03
1.056000000000000050e+01 2.071021243276639865e-03
1.056000000000000050e+01 2.071021243276639865e-03
1.151999999999999957e+01 2.071028442990069905e-03
1.151999999999999957e+01 2.071028442990069905e-03
1.151999999999999957e+01 2.071028442990069905e-03
1.151999999999999957e+01 2.071028442990069905e-03
1.151999999999999957e+01 2.071028442990069905e-03
1.248000000000000043e+01 2.071040316562220134e-03
1.248000000000000043e+01 2.071040316562220134e-03
1.248000000000000043e+01 2.071040316562220134e-03
1.248000000000000043e+01 2.071040316562220134e-03
1.248000000000000043e+01 2.071040316562220134e-03
1.343999999999999950e+01 2.071054364090229877e-03
1.343999999999999950e+01 2.071054364090229877e-03
1.343999999999999950e+01 2.071054364090229877e-03
1.343999999999999950e+01 2.071054364090229877e-03
1.343999999999999950e+01 2.071054364090229877e-03
