t rho
2.399999999999999911e+00 2.069842754419579881e-03
2.399999999999999911e+00 2.069842754419579881e-03
2.399999999999999911e+00 2.069842754419579881e-03
2.399999999999999911e+00 2.069842754419579881e-03
2.399999999999999911e+00 2.069842754419579881e-03
4.799999999999999822e+00 2.069526624935399788e-03
4.799999999999999822e+00 2.069526624935399788e-03
4.799999999999999822e+00 2.069526624935399788e-03
4.799999999999999822e+00 2.069526624935399788e-03
4.799999999999999822e+00 2.069526624935399788e-03
7.200000000000000178e+00 2.069501136014650130e-03
7.200000000000000178e+00 2.069501136014650130e-03
7.200000000000000178e+00 2.069501136014650130e-03
7.200000000000000178e+00 2.069501136014650130e-03
7.200000000000000178e+00 2.069501136014650130e-03
9.599999999999999645e+00 2.069448843719109976e-03
9.599999999999999645e+00 2.069448843719109976e-03
9.599999999999999645e+00 2.069448843719109976e-03
9.599999999999999645e+00 2.069448843719109976e-03
9.599999999999999645e+00 2.069448843719109976e-03
1.200000000000000000e+01 2.069438876860479892e-03
1.200000000000000000e+01 2.069438876860479892e-03
1.200000000000000000e+01 2.069438876860479892e-03
1.200000000000000000e+01 2.069438876860479892e-03
1.200000000000000000e+01 2.069438876860479892e-03
1.440000000000000036e+01 2.069449408500569857e-03
1.440000000000000036e+01 2.069449408500569857e-03
1.440000000000000036e+01 2.069449408500569857e-03
1.440000000000000036e+01 2.069449408500569857e-03
1.440000000000000036e+01 2.069449408500569857e-03
1.680000000000000071e+01 2.069469637824580040e-03
1.680000000000000071e+01 2.069469637824580040e-03
1.680000000000000071e+01 2.069469637824580040e-03
1.680000000000000071e+01 2.069469637824580040e-03
1.680000000000000071e+01 2.069469637824580040e-03
1.919999999999999929e+01 2.069470792046560186e-03
1.919999999999999929e+01 2.069470792046560186e-03
1.919999999999999929e+01 2.069470792046560186e-03
1.919999999999999929e+01 2.069470792046560186e-03
1.919999999999999929e+01 2.069470792046560186e-03
2.160000000000000142e+01 2.069453877039750030e-03
2.160000000000000142e+01 2.069453877039750030e-03
2.160000000000000142e+01 2.069453877039750030e-03
2.160000000000000142e+01 2.069453877039750030e-03
2.160000000000000142e+01 2.069453877039750030e-03
2.400000000000000000e+01 2.069420801020759905e-03
2.400000000000000000e+01 2.069420801020759905e-03
2.400000000000000000e+01 2.069420801020759905e-03
2.400000000000000000e+01 2.069420801020759905e-03
2.400000000000000000e+01 2.069420801020759905e-03
2.639999999999999858e+01 2.069376822127739959e-03
2.639999999999999858e+01 2.069376822127739959e-03
2.639999999999999858e+01 2.069376822127739959e-03
2.639999999999999858e+01 2.069376822127739959e-03
2.639999999999999858e+01 2.069376822127739959e-03
2.880000000000000071e+01 2.069325077047520171e-03
2.880000000000000071e+01 2.069325077047520171e-03
2.880000000000000071e+01 2.069325077047520171e-03
2.880000000000000071e+01 2.069325077047520171e-03
2.880000000000000071e+01 2.069325077047520171e-03
3.119999999999999929e+01 2.069250141248700145e-03
3.119999999999999929e+01 2.069250141248700145e-03
3.119999999999999929e+01 2.069250141248700145e-03
3.119999999999999929e+01 2.069250141248700145e-03
3.119999999999999929e+01 2.069250141248700145e-03
3.360000000000000142e+01 2.069046253292630092e-03
3.360000000000000142e+01 2.069046253292630092e-03
3.360000000000000142e+01 2.069046253292630092e-03
3.360000000000000142e+01 2.069046253292630092e-03
3.360000000000000142e+01 2.069046253292630092e-03
3.600000000000000000e+01 2.068514862067370209e-03
3.600000000000000000e+01 2.068514862067370209e-03
3.600000000000000000e+01 2.068514862067370209e-03
3.600000000000000000e+01 2.068514862067370209e-03
3.600000000000000000e+01 2.068514862067370209e-03
3.839999999999999858e+01 2.067929386488660121e-03
3.839999999999999858e+01 2.067929386488660121e-03
3.839999999999999858e+01 2.067929386488660121e-03
3.839999999999999858e+01 2.067929386488660121e-03
3.839999999999999858e+01 2.067929386488660121e-03
4.079999999999999716e+01 2.068071502356600214e-03
4.079999999999999716e+01 2.068071502356600214e-03
4.079999999999999716e+01 2.068071502356600214e-03
4.079999999999999716e+01 2.068071502356600214e-03
4.079999999999999716e+01 2.068071502356600214e-03
4.320000000000000284e+01 2.069160462735980185e-03
4.320000000000000284e+01 2.069160462735980185e-03
4.320000000000000284e+01 2.069160462735980185e-03
4.320000000000000284e+01 2.069160462735980185e-03
4.320000000000000284e+01 2.069160462735980185e-03
4.560000000000000142e+01 2.070177983634010049e-03
4.560000000000000142e+01 2.070177983634010049e-03
4.560000000000000142e+01 2.070177983634010049e-03
4.560000000000000142e+01 2.070177983634010049e-03
4.560000000000000142e+01 2.070177983634010049e-03
4.800000000000000000e+01 2.070108345625759974e-03
4.800000000000000000e+01 2.070108345625759974e-03
4.800000000000000000e+01 2.070108345625759974e-03
4.800000000000000000e+01 2.070108345625759974e-03
4.800000000000000000e+01 2.070108345625759974e-03
5.039999999999999858e+01 2.069260597590940123e-03
5.039999999999999858e+01 2.069260597590940123e-03
5.039999999999999858e+01 2.069260597590940123e-03
5.039999999999999858e+01 2.069260597590940123e-03
5.039999999999999858e+01 2.069260597590940123e-03
5.279999999999999716e+01 2.068350284791289993e-03
5.279999999999999716e+01 2.068350284791289993e-03
5.279999999999999716e+01 2.068350284791289993e-03
5.279999999999999716e+01 2.068350284791289993e-03
5.279999999999999716e+01 2.068350284791289993e-03
5.520000000000000284e+01 2.067948496592769952e-03
5.520000000000000284e+01 2.067948496592769952e-03
5.520000000000000284e+01 2.067948496592769952e-03
5.520000000000000284e+01 2.067948496592769952e-03
5.520000000000000284e+01 2.067948496592769952e-03
5.760000000000000142e+01 2.068055156693200149e-03
5.760000000000000142e+01 2.068055156693200149e-03
5.760000000000000142e+01 2.068055156693200149e-03
5.760000000000000142e+01 2.068055156693200149e-03
5.760000000000000142e+01 2.068055156693200149e-03
6.000000000000000000e+01 2.068359320487649956e-03
6.000000000000000000e+01 2.068359320487649956e-03
6.000000000000000000e+01 2.068359320487649956e-03
6.000000000000000000e+01 2.068359320487649956e-03
6.000000000000000000e+01 2.068359320487649956e-03
6.239999999999999858e+01 2.068620546486199790e-03
6.239999999999999858e+01 2.068620546486199790e-03
6.239999999999999858e+01 2.068620546486199790e-03
6.239999999999999858e+01 2.068620546486199790e-03
6.239999999999999858e+01 2.068620546486199790e-03
6.479999999999999716e+01 2.068797639385310146e-03
6.479999999999999716e+01 2.068797639385310146e-03
6.479999999999999716e+01 2.068797639385310146e-03
6.479999999999999716e+01 2.068797639385310146e-03
6.479999999999999716e+01 2.068797639385310146e-03
6.720000000000000284e+01 2.068800067404620059e-03
6.720000000000000284e+01 2.068800067404620059e-03
6.720000000000000284e+01 2.068800067404620059e-03
6.720000000000000284e+01 2.068800067404620059e-03
6.720000000000000284e+01 2.068800067404620059e-03
6.959999999999999432e+01 2.068730753969229893e-03
6.959999999999999432e+01 2.068730753969229893e-03
6.959999999999999432e+01 2.068730753969229893e-03
6.959999999999999432e+01 2.068730753969229893e-03
6.959999999999999432e+01 2.068730753969229893e-03
7.200000000000000000e+01 2.068649022786890092e-03
7.200000000000000000e+01 2.068649022786890092e-03
7.200000000000000000e+01 2.068649022786890092e-03
7.200000000000000000e+01 2.068649022786890092e-03
7.200000000000000000e+01 2.068649022786890092e-03
7.440000000000000568e+01 2.068607892769420108e-03
7.440000000000000568e+01 2.068607892769420108e-03
7.440000000000000568e+01 2.068607892769420108e-03
7.440000000000000568e+01 2.068607892769420108e-03
7.440000000000000568e+01 2.068607892769420108e-03
7.679999999999999716e+01 2.068622052687890071e-03
7.679999999999999716e+01 2.068622052687890071e-03
7.679999999999999716e+01 2.068622052687890071e-03
7.679999999999999716e+01 2.068622052687890071e-03
7.679999999999999716e+01 2.068622052687890071e-03
7.920000000000000284e+01 2.068680288873820088e-03
7.920000000000000284e+01 2.068680288873820088e-03
7.920000000000000284e+01 2.068680288873820088e-03
7.920000000000000284e+01 2.068680288873820088e-03
7.920000000000000284e+01 2.068680288873820088e-03
8.159999999999999432e+01 2.068756060313349954e-03
8.159999999999999432e+01 2.068756060313349954e-03
8.159999999999999432e+01 2.068756060313349954e-03
8.159999999999999432e+01 2.068756060313349954e-03
8.159999999999999432e+01 2.068756060313349954e-03
8.400000000000000000e+01 2.068809882049770042e-03
8.400000000000000000e+01 2.068809882049770042e-03
8.400000000000000000e+01 2.068809882049770042e-03
8.400000000000000000e+01 2.068809882049770042e-03
8.400000000000000000e+01 2.068809882049770042e-03
