t rho
2.399999999999999911e+00 2.069843207139260201e-03
2.399999999999999911e+00 2.069843207139260201e-03
2.399999999999999911e+00 2.069843207139260201e-03
2.399999999999999911e+00 2.069843207139260201e-03
2.399999999999999911e+00 2.069843207139260201e-03
4.799999999999999822e+00 2.069525906360510092e-03
4.799999999999999822e+00 2.069525906360510092e-03
4.799999999999999822e+00 2.069525906360510092e-03
4.799999999999999822e+00 2.069525906360510092e-03
4.799999999999999822e+00 2.069525906360510092e-03
7.200000000000000178e+00 2.069500027054200185e-03
7.200000000000000178e+00 2.069500027054200185e-03
7.200000000000000178e+00 2.069500027054200185e-03
7.200000000000000178e+00 2.069500027054200185e-03
7.200000000000000178e+00 2.069500027054200185e-03
9.599999999999999645e+00 2.069449705287430136e-03
9.599999999999999645e+00 2.069449705287430136e-03
9.599999999999999645e+00 2.069449705287430136e-03
9.599999999999999645e+00 2.069449705287430136e-03
9.599999999999999645e+00 2.069449705287430136e-03
1.200000000000000000e+01 2.069437807393450200e-03
1.200000000000000000e+01 2.069437807393450200e-03
1.200000000000000000e+01 2.069437807393450200e-03
1.200000000000000000e+01 2.069437807393450200e-03
1.200000000000000000e+01 2.069437807393450200e-03
1.440000000000000036e+01 2.069449152285070086e-03
1.440000000000000036e+01 2.069449152285070086e-03
1.440000000000000036e+01 2.069449152285070086e-03
1.440000000000000036e+01 2.069449152285070086e-03
1.440000000000000036e+01 2.069449152285070086e-03
1.680000000000000071e+01 2.069468838760019861e-03
1.680000000000000071e+01 2.069468838760019861e-03
1.680000000000000071e+01 2.069468838760019861e-03
1.680000000000000071e+01 2.069468838760019861e-03
1.680000000000000071e+01 2.069468838760019861e-03
1.919999999999999929e+01 2.069470120802910113e-03
1.919999999999999929e+01 2.069470120802910113e-03
1.919999999999999929e+01 2.069470120802910113e-03
1.919999999999999929e+01 2.069470120802910113e-03
1.919999999999999929e+01 2.069470120802910113e-03
2.160000000000000142e+01 2.069453164105890079e-03
2.160000000000000142e+01 2.069453164105890079e-03
2.160000000000000142e+01 2.069453164105890079e-03
2.160000000000000142e+01 2.069453164105890079e-03
2.160000000000000142e+01 2.069453164105890079e-03
2.400000000000000000e+01 2.069419877063390090e-03
2.400000000000000000e+01 2.069419877063390090e-03
2.400000000000000000e+01 2.069419877063390090e-03
2.400000000000000000e+01 2.069419877063390090e-03
2.400000000000000000e+01 2.069419877063390090e-03
2.639999999999999858e+01 2.069375655371259899e-03
2.639999999999999858e+01 2.069375655371259899e-03
2.639999999999999858e+01 2.069375655371259899e-03
2.639999999999999858e+01 2.069375655371259899e-03
2.639999999999999858e+01 2.069375655371259899e-03
2.880000000000000071e+01 2.069324061123349861e-03
2.880000000000000071e+01 2.069324061123349861e-03
2.880000000000000071e+01 2.069324061123349861e-03
2.880000000000000071e+01 2.069324061123349861e-03
2.880000000000000071e+01 2.069324061123349861e-03
3.119999999999999929e+01 2.069249371532079843e-03
3.119999999999999929e+01 2.069249371532079843e-03
3.119999999999999929e+01 2.069249371532079843e-03
3.119999999999999929e+01 2.069249371532079843e-03
3.119999999999999929e+01 2.069249371532079843e-03
3.360000000000000142e+01 2.069045299158699808e-03
3.360000000000000142e+01 2.069045299158699808e-03
3.360000000000000142e+01 2.069045299158699808e-03
3.360000000000000142e+01 2.069045299158699808e-03
3.360000000000000142e+01 2.069045299158699808e-03
3.600000000000000000e+01 2.068517323369230016e-03
3.600000000000000000e+01 2.068517323369230016e-03
3.600000000000000000e+01 2.068517323369230016e-03
3.600000000000000000e+01 2.068517323369230016e-03
3.600000000000000000e+01 2.068517323369230016e-03
3.839999999999999858e+01 2.067940537224300084e-03
3.839999999999999858e+01 2.067940537224300084e-03
3.839999999999999858e+01 2.067940537224300084e-03
3.839999999999999858e+01 2.067940537224300084e-03
3.839999999999999858e+01 2.067940537224300084e-03
4.079999999999999716e+01 2.068082368070300100e-03
4.079999999999999716e+01 2.068082368070300100e-03
4.079999999999999716e+01 2.068082368070300100e-03
4.079999999999999716e+01 2.068082368070300100e-03
4.079999999999999716e+01 2.068082368070300100e-03
4.320000000000000284e+01 2.069137829600669817e-03
4.320000000000000284e+01 2.069137829600669817e-03
4.320000000000000284e+01 2.069137829600669817e-03
4.320000000000000284e+01 2.069137829600669817e-03
4.320000000000000284e+01 2.069137829600669817e-03
4.560000000000000142e+01 2.070113713416810164e-03
4.560000000000000142e+01 2.070113713416810164e-03
4.560000000000000142e+01 2.070113713416810164e-03
4.560000000000000142e+01 2.070113713416810164e-03
4.560000000000000142e+01 2.070113713416810164e-03
4.800000000000000000e+01 2.070054562556889952e-03
4.800000000000000000e+01 2.070054562556889952e-03
4.800000000000000000e+01 2.070054562556889952e-03
4.800000000000000000e+01 2.070054562556889952e-03
4.800000000000000000e+01 2.070054562556889952e-03
5.039999999999999858e+01 2.069268386900420097e-03
5.039999999999999858e+01 2.069268386900420097e-03
5.039999999999999858e+01 2.069268386900420097e-03
5.039999999999999858e+01 2.069268386900420097e-03
