t rho
2.399999999999999911e+00 2.069845159953230193e-03
2.399999999999999911e+00 2.069845159953230193e-03
2.399999999999999911e+00 2.069845159953230193e-03
2.399999999999999911e+00 2.069845159953230193e-03
2.399999999999999911e+00 2.069845159953230193e-03
4.799999999999999822e+00 2.069529809522009829e-03
4.799999999999999822e+00 2.069529809522009829e-03
4.799999999999999822e+00 2.069529809522009829e-03
4.799999999999999822e+00 2.069529809522009829e-03
4.799999999999999822e+00 2.069529809522009829e-03
7.200000000000000178e+00 2.069507451467820103e-03
7.200000000000000178e+00 2.069507451467820103e-03
7.200000000000000178e+00 2.069507451467820103e-03
7.200000000000000178e+00 2.069507451467820103e-03
7.200000000000000178e+00 2.069507451467820103e-03
9.599999999999999645e+00 2.069458853946419801e-03
9.599999999999999645e+00 2.069458853946419801e-03
9.599999999999999645e+00 2.069458853946419801e-03
9.599999999999999645e+00 2.069458853946419801e-03
9.599999999999999645e+00 2.069458853946419801e-03
1.200000000000000000e+01 2.069443111776170154e-03
1.200000000000000000e+01 2.069443111776170154e-03
1.200000000000000000e+01 2.069443111776170154e-03
1.200000000000000000e+01 2.069443111776170154e-03
1.200000000000000000e+01 2.069443111776170154e-03
1.440000000000000036e+01 2.069452015488359997e-03
1.440000000000000036e+01 2.069452015488359997e-03
1.440000000000000036e+01 2.069452015488359997e-03
1.440000000000000036e+01 2.069452015488359997e-03
1.440000000000000036e+01 2.069452015488359997e-03
1.680000000000000071e+01 2.069466249395660214e-03
1.680000000000000071e+01 2.069466249395660214e-03
1.680000000000000071e+01 2.069466249395660214e-03
1.680000000000000071e+01 2.069466249395660214e-03
1.680000000000000071e+01 2.069466249395660214e-03
1.919999999999999929e+01 2.069460914257359885e-03
1.919999999999999929e+01 2.069460914257359885e-03
1.919999999999999929e+01 2.069460914257359885e-03
1.919999999999999929e+01 2.069460914257359885e-03
1.919999999999999929e+01 2.069460914257359885e-03
2.160000000000000142e+01 2.069437625352510152e-03
2.160000000000000142e+01 2.069437625352510152e-03
2.160000000000000142e+01 2.069437625352510152e-03
2.160000000000000142e+01 2.069437625352510152e-03
2.160000000000000142e+01 2.069437625352510152e-03
2.400000000000000000e+01 2.069399192246499947e-03
2.400000000000000000e+01 2.069399192246499947e-03
2.400000000000000000e+01 2.069399192246499947e-03
2.400000000000000000e+01 2.069399192246499947e-03
2.400000000000000000e+01 2.069399192246499947e-03
2.639999999999999858e+01 2.069346502719560110e-03
2.639999999999999858e+01 2.069346502719560110e-03
2.639999999999999858e+01 2.069346502719560110e-03
2.639999999999999858e+01 2.069346502719560110e-03
2.639999999999999858e+01 2.069346502719560110e-03
2.880000000000000071e+01 2.069285816179179931e-03
2.880000000000000071e+01 2.069285816179179931e-03
2.880000000000000071e+01 2.069285816179179931e-03
2.880000000000000071e+01 2.069285816179179931e-03
2.880000000000000071e+01 2.069285816179179931e-03
3.119999999999999929e+01 2.069194287686740210e-03
3.119999999999999929e+01 2.069194287686740210e-03
3.119999999999999929e+01 2.069194287686740210e-03
3.119999999999999929e+01 2.069194287686740210e-03
3.119999999999999929e+01 2.069194287686740210e-03
3.360000000000000142e+01 2.068977909971259858e-03
3.360000000000000142e+01 2.068977909971259858e-03
3.360000000000000142e+01 2.068977909971259858e-03
3.360000000000000142e+01 2.068977909971259858e-03
3.360000000000000142e+01 2.068977909971259858e-03
3.600000000000000000e+01 2.068515613890450130e-03
3.600000000000000000e+01 2.068515613890450130e-03
3.600000000000000000e+01 2.068515613890450130e-03
3.600000000000000000e+01 2.068515613890450130e-03
3.600000000000000000e+01 2.068515613890450130e-03
3.839999999999999858e+01 2.068062953173110171e-03
3.839999999999999858e+01 2.068062953173110171e-03
3.839999999999999858e+01 2.068062953173110171e-03
3.839999999999999858e+01 2.068062953173110171e-03
3.839999999999999858e+01 2.068062953173110171e-03
4.079999999999999716e+01 2.068107196047979952e-03
4.079999999999999716e+01 2.068107196047979952e-03
4.079999999999999716e+01 2.068107196047979952e-03
4.079999999999999716e+01 2.068107196047979952e-03
4.079999999999999716e+01 2.068107196047979952e-03
4.320000000000000284e+01 2.068624088374149822e-03
