t rho
3.600000000000000089e+00 2.069224076144150163e-03
3.600000000000000089e+00 2.069224076144150163e-03
3.600000000000000089e+00 2.069224076144150163e-03
3.600000000000000089e+00 2.069224076144150163e-03
3.600000000000000089e+00 2.069224076144150163e-03
7.200000000000000178e+00 2.068821791135279885e-03
7.200000000000000178e+00 2.068821791135279885e-03
7.200000000000000178e+00 2.068821791135279885e-03
7.200000000000000178e+00 2.068821791135279885e-03
7.200000000000000178e+00 2.068821791135279885e-03
1.080000000000000071e+01 2.068729095646070111e-03
1.080000000000000071e+01 2.068729095646070111e-03
1.080000000000000071e+01 2.068729095646070111e-03
1.080000000000000071e+01 2.068729095646070111e-03
1.080000000000000071e+01 2.068729095646070111e-03
1.440000000000000036e+01 2.068734169883029977e-03
1.440000000000000036e+01 2.068734169883029977e-03
1.440000000000000036e+01 2.068734169883029977e-03
1.440000000000000036e+01 2.068734169883029977e-03
1.440000000000000036e+01 2.068734169883029977e-03
1.800000000000000000e+01 2.068738600862600214e-03
1.800000000000000000e+01 2.068738600862600214e-03
1.800000000000000000e+01 2.068738600862600214e-03
1.800000000000000000e+01 2.068738600862600214e-03
1.800000000000000000e+01 2.068738600862600214e-03
2.160000000000000142e+01 2.068690756441879820e-03
2.160000000000000142e+01 2.068690756441879820e-03
2.160000000000000142e+01 2.068690756441879820e-03
2.160000000000000142e+01 2.068690756441879820e-03
2.160000000000000142e+01 2.068690756441879820e-03
2.519999999999999929e+01 2.068596729538150179e-03
2.519999999999999929e+01 2.068596729538150179e-03
2.519999999999999929e+01 2.068596729538150179e-03
2.519999999999999929e+01 2.068596729538150179e-03
2.519999999999999929e+01 2.068596729538150179e-03
2.880000000000000071e+01 2.068456999611399932e-03
2.880000000000000071e+01 2.068456999611399932e-03
2.880000000000000071e+01 2.068456999611399932e-03
2.880000000000000071e+01 2.068456999611399932e-03
2.880000000000000071e+01 2.068456999611399932e-03
3.239999999999999858e+01 2.068083453171080163e-03
3.239999999999999858e+01 2.068083453171080163e-03
3.239999999999999858e+01 2.068083453171080163e-03
3.239999999999999858e+01 2.068083453171080163e-03
3.239999999999999858e+01 2.068083453171080163e-03
3.600000000000000000e+01 2.067138565861170035e-03
3.600000000000000000e+01 2.067138565861170035e-03
3.600000000000000000e+01 2.067138565861170035e-03
3.600000000000000000e+01 2.067138565861170035e-03
3.600000000000000000e+01 2.067138565861170035e-03
