t rho
8.000000000000000444e-01 2.071078883044930215e-03
8.000000000000000444e-01 2.071078883044930215e-03
8.000000000000000444e-01 2.071078883044930215e-03
8.000000000000000444e-01 2.071078883044930215e-03
8.000000000000000444e-01 2.071078883044930215e-03
1.600000000000000089e+00 2.071091892546899835e-03
1.600000000000000089e+00 2.071091892546899835e-03
1.600000000000000089e+00 2.071091892546899835e-03
1.600000000000000089e+00 2.071091892546899835e-03
1.600000000000000089e+00 2.071091892546899835e-03
2.399999999999999911e+00 2.071081977610010096e-03
2.399999999999999911e+00 2.071081977610010096e-03
2.399999999999999911e+00 2.071081977610010096e-03
2.399999999999999911e+00 2.071081977610010096e-03
2.399999999999999911e+00 2.071081977610010096e-03
3.200000000000000178e+00 2.071077002862620024e-03
3.200000000000000178e+00 2.071077002862620024e-03
3.200000000000000178e+00 2.071077002862620024e-03
3.200000000000000178e+00 2.071077002862620024e-03
3.200000000000000178e+00 2.071077002862620024e-03
4.000000000000000000e+00 2.071066680726149807e-03
4.000000000000000000e+00 2.071066680726149807e-03
4.000000000000000000e+00 2.071066680726149807e-03
4.000000000000000000e+00 2.071066680726149807e-03
4.000000000000000000e+00 2.071066680726149807e-03
4.799999999999999822e+00 2.071083824259010043e-03
4.799999999999999822e+00 2.071083824259010043e-03
4.799999999999999822e+00 2.071083824259010043e-03
4.799999999999999822e+00 2.071083824259010043e-03
4.799999999999999822e+00 2.071083824259010043e-03
5.599999999999999645e+00 2.071059042008970182e-03
5.599999999999999645e+00 2.071059042008970182e-03
5.599999999999999645e+00 2.071059042008970182e-03
5.599999999999999645e+00 2.071059042008970182e-03
5.599999999999999645e+00 2.071059042008970182e-03
6.400000000000000355e+00 2.071069655764430206e-03
6.400000000000000355e+00 2.071069655764430206e-03
6.400000000000000355e+00 2.071069655764430206e-03
6.400000000000000355e+00 2.071069655764430206e-03
6.400000000000000355e+00 2.071069655764430206e-03
7.200000000000000178e+00 2.071062553891619886e-03
7.200000000000000178e+00 2.071062553891619886e-03
7.200000000000000178e+00 2.071062553891619886e-03
7.200000000000000178e+00 2.071062553891619886e-03
7.200000000000000178e+00 2.071062553891619886e-03
8.000000000000000000e+00 2.071045180050040072e-03
8.000000000000000000e+00 2.071045180050040072e-03
8.000000000000000000e+00 2.071045180050040072e-03
8.000000000000000000e+00 2.071045180050040072e-03
8.000000000000000000e+00 2.071045180050040072e-03
8.800000000000000711e+00 2.071048808782090158e-03
8.800000000000000711e+00 2.071048808782090158e-03
8.800000000000000711e+00 2.071048808782090158e-03
8.800000000000000711e+00 2.071048808782090158e-03
8.800000000000000711e+00 2.071048808782090158e-03
9.599999999999999645e+00 2.071045754090370099e-03
9.599999999999999645e+00 2.071045754090370099e-03
9.599999999999999645e+00 2.071045754090370099e-03
9.599999999999999645e+00 2.071045754090370099e-03
9.599999999999999645e+00 2.071045754090370099e-03
1.040000000000000036e+01 2.071033549115349880e-03
1.040000000000000036e+01 2.071033549115349880e-03
1.040000000000000036e+01 2.071033549115349880e-03
1.040000000000000036e+01 2.071033549115349880e-03
1.040000000000000036e+01 2.071033549115349880e-03
1.119999999999999929e+01 2.071037653769319895e-03
1.119999999999999929e+01 2.071037653769319895e-03
1.119999999999999929e+01 2.071037653769319895e-03
1.119999999999999929e+01 2.071037653769319895e-03
1.119999999999999929e+01 2.071037653769319895e-03
1.200000000000000000e+01 2.071055874096729924e-03
1.200000000000000000e+01 2.071055874096729924e-03
1.200000000000000000e+01 2.071055874096729924e-03
