t rho
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
0.000000000000000000e+00 1.280127387249440024e-03
5.000000000000000000e-01 1.279424756931150063e-03
5.000000000000000000e-01 1.279424756931150063e-03
5.000000000000000000e-01 1.279424756931150063e-03
5.000000000000000000e-01 1.279424756931150063e-03
1.000000000000000000e+00 1.278882536912290084e-03
1.000000000000000000e+00 1.278882536912290084e-03
1.000000000000000000e+00 1.278882536912290084e-03
1.000000000000000000e+00 1.278882536912290084e-03
1.000000000000000000e+00 1.278882536912290084e-03
1.500000000000000000e+00 1.278638644820940043e-03
1.500000000000000000e+00 1.278638644820940043e-03
1.500000000000000000e+00 1.278638644820940043e-03
1.500000000000000000e+00 1.278638644820940043e-03
2.000000000000000000e+00 1.278658334904009914e-03
2.000000000000000000e+00 1.278658334904009914e-03
2.000000000000000000e+00 1.278658334904009914e-03
2.000000000000000000e+00 1.278658334904009914e-03
2.000000000000000000e+00 1.278658334904009914e-03
2.500000000000000000e+00 1.278842196245679949e-03
2.500000000000000000e+00 1.278842196245679949e-03
2.500000000000000000e+00 1.278842196245679949e-03
2.500000000000000000e+00 1.278842196245679949e-03
3.000000000000000000e+00 1.279063085447269908e-03
3.000000000000000000e+00 1.279063085447269908e-03
3.000000000000000000e+00 1.279063085447269908e-03
3.000000000000000000e+00 1.279063085447269908e-03
3.000000000000000000e+00 1.279063085447269908e-03
3.500000000000000000e+00 1.279232866103179999e-03
3.500000000000000000e+00 1.279232866103179999e-03
3.500000000000000000e+00 1.279232866103179999e-03
3.500000000000000000e+00 1.279232866103179999e-03
4.000000000000000000e+00 1.279322746230599937e-03
4.000000000000000000e+00 1.279322746230599937e-03
4.000000000000000000e+00 1.279322746230599937e-03
4.000000000000000000e+00 1.279322746230599937e-03
4.000000000000000000e+00 1.279322746230599937e-03
4.500000000000000000e+00 1.279335930587189923e-03
4.500000000000000000e+00 1.279335930587189923e-03
4.500000000000000000e+00 1.279335930587189923e-03
4.500000000000000000e+00 1.279335930587189923e-03
5.000000000000000000e+00 1.279310206165020034e-03
5.000000000000000000e+00 1.279310206165020034e-03
5.000000000000000000e+00 1.279310206165020034e-03
5.000000000000000000e+00 1.279310206165020034e-03
5.000000000000000000e+00 1.279310206165020034e-03
5.500000000000000000e+00 1.279285483059560032e-03
5.500000000000000000e+00 1.279285483059560032e-03
5.500000000000000000e+00 1.279285483059560032e-03
5.500000000000000000e+00 1.279285483059560032e-03
6.000000000000000000e+00 1.279276211073949966e-03
6.000000000000000000e+00 1.279276211073949966e-03
6.000000000000000000e+00 1.279276211073949966e-03
